Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Classification,Lithology Suffix,Complete name,Lithology [%],"Dominant grain size (Wentworth, 1922)",Clastic grain: roundness,Lithification,Lithology comment,Color,Color code,Volcaniclastic grain size name,Volcaniclastic grain minerals,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
324-U1347A-7R-3-A,324,U1347,A,7,7-3,R,3,A,4.43,6.57,121.054,121.076,,,,,,,,,,,,10Y 5/1,,,,,,
324-U1347A-7R-3-A,324,U1347,A,7,7-3,R,3,A,4.5,6.7,121.055,121.077,radiolarian bearing,Silty Sandstone [MMK88],"Mazullo, Meyer ",,radiolarian bearing Silty Sandstone,100,,,moderately indurated,coarse sand lens in sandy siltstone,greenish gray,10Y 5/1,,,,,,
324-U1347A-7R-3-A,324,U1347,A,7,7-3,R,3,A,6.68,56.39,121.077,121.574,,,,,,,,,,,,10Y 5/1,,,,,,
324-U1347A-7R-3-A,324,U1347,A,7,7-3,R,3,A,6.7,56.5,121.077,121.575,radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer ",,radiolarian bearing Sandy Siltstone,100,,,moderately indurated,,greenish gray,10Y 5/1,,,,,,
324-U1347A-7R-3-A,324,U1347,A,7,7-3,R,3,A,56.5,70.5,121.575,121.715,radiolarian bearing,claystone [MMK88],"Mazullo, Meyer ",,radiolarian bearing claystone,100,,,slightly indurated,,greenish gray,10Y 5/1,,,,,,
324-U1347A-7R-3-A,324,U1347,A,7,7-3,R,3,A,56.56,69.99,121.576,121.71,,,,,,,,,,,,10Y 5/1,,,,,,
324-U1347A-7R-3-A,324,U1347,A,7,7-3,R,3,A,70.5,141,121.715,122.42,radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer ",,radiolarian bearing Sandy Siltstone,100,,,moderately indurated,,greenish gray,10Y 5/1,,,,,,
324-U1347A-7R-3-A,324,U1347,A,7,7-3,R,3,A,70.79,141,121.718,122.42,,,,,,,,,,,,10Y 5/1,,,,,,
324-U1347A-7R-4-A,324,U1347,A,7,7-4,R,4,A,0,0.01,122.42,122.42,,,,,,,,,,,,10Y 5/1,,,,,,
324-U1347A-7R-4-A,324,U1347,A,7,7-4,R,4,A,0,0.0147000002861023,122.42,122.42,,,,,,,,,,,,10Y 5/1,,,,,,
324-U1347A-7R-4-A,324,U1347,A,7,7-4,R,4,A,0,5.9,122.42,122.479,radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer ",,radiolarian bearing Sandy Siltstone,100,,,moderately indurated,grades down into a coarser silty sandstone,greenish gray,10Y 5/1,,,,,,
324-U1347A-7R-4-A,324,U1347,A,7,7-4,R,4,A,0.03,5.91,122.42,122.479,radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer ",,radiolarian bearing Sandy Siltstone,100,,,moderately indurated,grades down into a coarser silty sandstone,greenish gray,10Y 5/1,,,,,,
324-U1347A-7R-4-A,324,U1347,A,7,7-4,R,4,A,5.9,13.2,122.479,122.552,radiolarian bearing,Silty Sandstone [MMK88],"Mazullo, Meyer ",,radiolarian bearing Silty Sandstone,100,,,moderately indurated,coarser sand at base of piece,greenish gray,10Y 5/1,,,,,,
324-U1347A-7R-4-A,324,U1347,A,7,7-4,R,4,A,5.93,13.11,122.479,122.551,,,,,,,,,,,,10Y 5/1,,,,,,
324-U1347A-7R-4-A,324,U1347,A,7,7-4,R,4,A,13.16,28.86,122.552,122.709,,,,,,,,,,,,10GY 5/1,,,,,,
324-U1347A-7R-4-A,324,U1347,A,7,7-4,R,4,A,13.2,29.9,122.552,122.719,radiolarian bearing,Sandy Claystone [MMK88],"Mazullo, Meyer ",,radiolarian bearing Sandy Claystone,100,,,slightly indurated,greenish grey clayey pieces,greenish gray,10GY 5/1,,,,,,
324-U1347A-7R-4-A,324,U1347,A,7,7-4,R,4,A,29.9,88.3,122.719,123.303,radiolarian bearing,sandy siltstone [MMK88],"Mazullo, Meyer ",,radiolarian bearing sandy siltstone,100,,,moderately indurated,,greenish gray,10Y 5/1,,,,,,
324-U1347A-7R-4-A,324,U1347,A,7,7-4,R,4,A,29.91,88.11,122.719,123.301,,,,,,,,,,,,10Y 5/1,,,,,,
324-U1347A-7R-4-A,324,U1347,A,7,7-4,R,4,A,88.3,146.9,123.303,123.889,radiolarian bearing,sandy siltstone [MMK88],"Mazullo, Meyer ",,radiolarian bearing sandy siltstone,100,,,moderately indurated,whole pieces plus brecciated pieces of sandy siltstone. slightly more clay rich towards the bottom. ,greenish gray,10Y 5/1,,,,,,
324-U1347A-7R-4-A,324,U1347,A,7,7-4,R,4,A,88.33,146.89,123.303,123.889,,,,,,,,,,,,10Y 5/1,,,,,,
324-U1347A-8R-1-A,324,U1347,A,8,8-1,R,1,A,0,17.1,128.6,128.771,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,trace fossil,dark greenish gray,10Y 4/1,fine ash [S81],basalt,,,,
324-U1347A-8R-1-A,324,U1347,A,8,8-1,R,1,A,0,17.12,128.6,128.771,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,trace fossil,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-1-A,324,U1347,A,8,8-1,R,1,A,16.48,23.43,128.765,128.834,Radiolarian bearing,Claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Claystone,100,clay [U14W22],,moderately indurated,,dark gray,N 4,,,,,,
324-U1347A-8R-1-A,324,U1347,A,8,8-1,R,1,A,17.1,23.9,128.771,128.839,Radiolarian bearing,Claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Claystone,100,clay [U14W22],,moderately indurated,,dark gray,N 4,,,,,,
324-U1347A-8R-1-A,324,U1347,A,8,8-1,R,1,A,23.87,55.55,128.839,129.156,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-1-A,324,U1347,A,8,8-1,R,1,A,23.9,55.6,128.839,129.156,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,fine ash [S81],basalt,,,,
324-U1347A-8R-1-A,324,U1347,A,8,8-1,R,1,A,55.6,56.8,129.156,129.168,Radiolarian bearing,Silty Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Silty Sandstone,100,medium sand [U14W22],,moderately indurated,"coarse lag at base, overlaying claystone. contains clay, volcanoclastics (including scoria) and radiolarians.",dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-1-A,324,U1347,A,8,8-1,R,1,A,55.64,56.66,129.156,129.167,Radiolarian bearing,Silty Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Silty Sandstone,100,medium sand [U14W22],,moderately indurated,"coarse lag at base, overlaying claystone. contains clay, volcanoclastics (including scoria) and radiolarians.",dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-1-A,324,U1347,A,8,8-1,R,1,A,56.77,149.93,129.168,130.099,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,heavily bioturbated,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-1-A,324,U1347,A,8,8-1,R,1,A,56.8,149.9,129.168,130.099,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,heavily bioturbated,dark greenish gray,10Y 4/1,fine ash [S81],basalt,,,,
324-U1347A-8R-2-A,324,U1347,A,8,8-2,R,2,A,0,11.59,130.1,130.216,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,just above chondrites,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-2-A,324,U1347,A,8,8-2,R,2,A,0,11.7,130.1,130.217,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,just above chondrites,dark greenish gray,10Y 4/1,fine ash [S81],basalt,,,,
324-U1347A-8R-2-A,324,U1347,A,8,8-2,R,2,A,11.7,17,130.217,130.27,,Claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",with radiolarians,Claystone with radiolarians,100,clay [U14W22],,moderately indurated,,dark gray,N 4,,,,,,
324-U1347A-8R-2-A,324,U1347,A,8,8-2,R,2,A,11.97,16.99,130.22,130.27,,Claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",with radiolarians,Claystone with radiolarians,100,clay [U14W22],,moderately indurated,,dark gray,N 4,,,,,,
324-U1347A-8R-2-A,324,U1347,A,8,8-2,R,2,A,11.97,44.03,130.22,130.54,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-2-A,324,U1347,A,8,8-2,R,2,A,17,44,130.27,130.54,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,fine ash [S81],basalt,,,,
324-U1347A-8R-2-A,324,U1347,A,8,8-2,R,2,A,44,56,130.54,130.66,,claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",with radiolarians,claystone with radiolarians,100,clay [U14W22],,moderately indurated,contains chondrites trace fossils,dark gray,N 4,,,,,,
324-U1347A-8R-2-A,324,U1347,A,8,8-2,R,2,A,44.06,56.02,130.541,130.66,,claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",with radiolarians,claystone with radiolarians,100,clay [U14W22],,moderately indurated,contains chondrites trace fossils,dark gray,N 4,,,,,,
324-U1347A-8R-2-A,324,U1347,A,8,8-2,R,2,A,55.94,60.01,130.659,130.7,Radiolarian bearing,Silty Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Silty Sandstone,100,medium sand [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-2-A,324,U1347,A,8,8-2,R,2,A,56,60.3,130.66,130.703,Radiolarian bearing,Silty Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Silty Sandstone,100,medium sand [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,fine ash [S81],basalt,,,,
324-U1347A-8R-2-A,324,U1347,A,8,8-2,R,2,A,60.27,114.96,130.703,131.25,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,heavily bioturbated,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-2-A,324,U1347,A,8,8-2,R,2,A,60.3,115,130.703,131.25,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,heavily bioturbated,dark greenish gray,10Y 4/1,fine ash [S81],basalt,,,,
324-U1347A-8R-3-A,324,U1347,A,8,8-3,R,3,A,0,37.3,131.25,131.623,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,heavily bioturbated,dark greenish gray,10Y 4/1,fine ash [S81],,,,,
324-U1347A-8R-3-A,324,U1347,A,8,8-3,R,3,A,0,37.32,131.25,131.623,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,heavily bioturbated,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-3-A,324,U1347,A,8,8-3,R,3,A,37.3,41.9,131.623,131.669,,claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",,claystone,100,clay [U14W22],,moderately indurated,swirly contact with sandy siltstone above and below,dark gray,N 4,,,,,,
324-U1347A-8R-3-A,324,U1347,A,8,8-3,R,3,A,37.35,41.81,131.624,131.668,,claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",,claystone,100,clay [U14W22],,moderately indurated,swirly contact with sandy siltstone above and below,dark gray,N 4,,,,,,
324-U1347A-8R-3-A,324,U1347,A,8,8-3,R,3,A,41.9,77.4,131.669,132.024,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,fine ash [S81],basalt,,,,
324-U1347A-8R-3-A,324,U1347,A,8,8-3,R,3,A,41.94,77.4,131.669,132.024,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-3-A,324,U1347,A,8,8-3,R,3,A,77.37,81.49,132.024,132.065,,claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",,claystone,100,clay [U14W22],,moderately indurated,,dark gray,N 4,,,,,,
324-U1347A-8R-3-A,324,U1347,A,8,8-3,R,3,A,77.4,82,132.024,132.07,,claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",,claystone,100,clay [U14W22],,moderately indurated,,dark gray,N 4,,,,,,
324-U1347A-8R-3-A,324,U1347,A,8,8-3,R,3,A,82,100.1,132.07,132.251,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,medium grained sandy part with sharp contact to finer sandy siltstone below.,dark greenish gray,10Y 4/1,fine ash [S81],basalt,,,,
324-U1347A-8R-3-A,324,U1347,A,8,8-3,R,3,A,82.24,100.99,132.072,132.26,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,medium grained sandy part with sharp contact to finer sandy siltstone below.,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-3-A,324,U1347,A,8,8-3,R,3,A,101,139,132.26,132.64,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,silt [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-3-A,324,U1347,A,8,8-3,R,3,A,101.77,139,132.268,132.64,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,silt [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-4-A,324,U1347,A,8,8-4,R,4,A,0,0.008299999833107,132.64,132.64,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,silt [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-4-A,324,U1347,A,8,8-4,R,4,A,0,0.03,132.64,132.64,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,silt [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-4-A,324,U1347,A,8,8-4,R,4,A,0,82.97,132.64,133.47,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,silt [U14W22],,moderately indurated,"greenish, siltstone with some fine sand component. ",dark greenish gray,5GY 4/1,,,,,,
324-U1347A-8R-4-A,324,U1347,A,8,8-4,R,4,A,0,83,132.64,133.47,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,silt [U14W22],,moderately indurated,"greenish, siltstone with some fine sand component. ",dark greenish gray,5GY 4/1,fine ash [S81],basalt and glass,,,,
324-U1347A-8R-5-A,324,U1347,A,8,8-5,R,5,A,0,13.8,133.47,133.608,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,silt [U14W22],,moderately indurated,"greenish, siltstone with some fine sand component. ",dark greenish gray,5GY 4/1,,,,,,
324-U1347A-8R-5-A,324,U1347,A,8,8-5,R,5,A,0,13.81,133.47,133.608,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,silt [U14W22],,moderately indurated,"greenish, siltstone with some fine sand component. ",dark greenish gray,5GY 4/1,,,,,,
324-U1347A-8R-5-A,324,U1347,A,8,8-5,R,5,A,13.8,28.1,133.608,133.751,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,medium sand siltstone,dark greenish gray,10Y 4/1,fine ash [S81],basalt,,,,
324-U1347A-8R-5-A,324,U1347,A,8,8-5,R,5,A,13.81,28.1,133.608,133.751,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,medium sand siltstone,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-5-A,324,U1347,A,8,8-5,R,5,A,28.1,34.3,133.751,133.813,Radiolarian bearing,siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing siltstone,100,coarse silt [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-5-A,324,U1347,A,8,8-5,R,5,A,28.16,34.2,133.752,133.812,Radiolarian bearing,siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing siltstone,100,coarse silt [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-5-A,324,U1347,A,8,8-5,R,5,A,34.28,50.01,133.813,133.97,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-5-A,324,U1347,A,8,8-5,R,5,A,34.3,50.7,133.813,133.977,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,fine ash [S81],basalt,,,,
324-U1347A-8R-5-A,324,U1347,A,8,8-5,R,5,A,50.68,60.08,133.977,134.071,Radiolarian bearing,siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing siltstone,100,silt [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-5-A,324,U1347,A,8,8-5,R,5,A,50.7,60,133.977,134.07,Radiolarian bearing,siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing siltstone,100,silt [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-5-A,324,U1347,A,8,8-5,R,5,A,59.92,93,134.069,134.4,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,heavily bioturbated,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-5-A,324,U1347,A,8,8-5,R,5,A,60,93,134.07,134.4,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,heavily bioturbated,dark greenish gray,10Y 4/1,fine ash [S81],basalt,,,,
324-U1347A-9R-1-A,324,U1347,A,9,9-1,R,1,A,0,27,138.2,138.47,,Siltstone [MMK88],"Mazullo, Meyer ",,Siltstone,100,silt [U14W22],,moderately indurated,Dark gray brecciated pieces of claystone/siltstone. concoidal fracture. ,very dark gray,N 3,,,,,,
324-U1347A-9R-1-A,324,U1347,A,9,9-1,R,1,A,0.26,26.44,138.203,138.464,,,,,,,silt [U14W22],,,,,,,,,,,
324-U1347A-10R-1-A,324,U1347,A,10,10-1,R,1,A,0,7,147.8,147.87,,Silty Sandstone [MMK88],"Mazullo, Meyer ",with volcanic sand,Silty Sandstone with volcanic sand,100,,,moderately indurated,grading to a sandy siltstone,dark olive gray,5Y 3/2,,,,,,
324-U1347A-10R-1-A,324,U1347,A,10,10-1,R,1,A,7,11,147.87,147.91,,Clayey Siltstone [MMK88],"Mazullo, Meyer ",,Clayey Siltstone,100,,,moderately indurated,,greenish black,5GY 2.5/1,,,,,,
324-U1347A-10R-1-A,324,U1347,A,10,10-1,R,1,A,11,23,147.91,148.03,,Sandy Siltstone [MMK88],"Mazullo, Meyer ",,Sandy Siltstone,100,,,moderately indurated,,greenish black,5GY 2.5/1,,,,,,
324-U1347A-10R-1-A,324,U1347,A,10,10-1,R,1,A,23,26,148.03,148.06,,Clayey Siltstone [MMK88],"Mazullo, Meyer ",,Clayey Siltstone,95,,,moderately indurated,,greenish black,5GY 2.5/1,,,,,,
324-U1347A-10R-1-A,324,U1347,A,10,10-1,R,1,A,23,26,148.03,148.06,,Sandstone [MMK88],"Mazullo, Meyer ",,Sandstone,5,,,moderately indurated,very coarse sandstone,very dark gray,N 3,,,,,,
324-U1347A-10R-1-A,324,U1347,A,10,10-1,R,1,A,26,48,148.06,148.28,,Siltstone [MMK88],"Mazullo, Meyer ",,Siltstone,100,,,moderately indurated,,greenish black,5GY 2.5/1,,,,,,
324-U1347A-10R-1-A,324,U1347,A,10,10-1,R,1,A,48,51,148.28,148.31,,Sandy Siltstone [MMK88],"Mazullo, Meyer ",,Sandy Siltstone,100,,,moderately indurated,,greenish black,5GY 2.5/1,,,,,,
324-U1347A-10R-1-A,324,U1347,A,10,10-1,R,1,A,51,79,148.31,148.59,,Clayey Siltstone [MMK88],"Mazullo, Meyer ",,Clayey Siltstone,100,,,moderately indurated,,greenish black,5GY 2.5/1,,,,,,
324-U1347A-10R-1-A,324,U1347,A,10,10-1,R,1,A,79,105,148.59,148.85,Radiolarian-bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer ",,Radiolarian-bearing Sandy Siltstone,100,,,moderately indurated,,greenish black,5GY 2.5/1,,,,,,
324-U1347A-11R-1-A,324,U1347,A,11,11-1,R,1,A,0,20,157.4,157.6,,Silty Sandstone [MMK88],"Mazullo, Meyer ",,Silty Sandstone,100,very fine sand [U14W22],,moderately indurated,,greenish black,10Y 2.5/1,,,,,,
324-U1347A-11R-1-A,324,U1347,A,11,11-1,R,1,A,0,20.3,157.4,157.603,,,,,,,very fine sand [U14W22],,,,,,,,,,,
324-U1347A-11R-1-A,324,U1347,A,11,11-1,R,1,A,20,103,157.6,158.43,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 ",,basalt,100,,,,glassy massive basalt.,,,,,,,,
324-U1347A-10R-CC-A,324,U1347,A,10,10-CC,R,CC,A,0,8,148.85,148.93,Radiolarian-bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer ",,Radiolarian-bearing Sandy Siltstone,100,,,moderately indurated,,greenish black,5GY 2.5/1,,,,,,
324-U1347A-10R-CC-A,324,U1347,A,10,10-CC,R,CC,A,8,20,148.93,149.05,,Siltstone [MMK88],"Mazullo, Meyer ",,Siltstone,100,,,moderately indurated,Greenish reduction streaks in places,greenish black,5GY 2.5/1,,,,,,
324-U1347A-10R-CC-A,324,U1347,A,10,10-CC,R,CC,A,20,28.5,149.05,149.135,,Sandy Claystone [MMK88],"Mazullo, Meyer ",,Sandy Claystone,100,,,moderately indurated,,greenish black,5GY 2.5/1,,,,,,
324-U1347A-13R-7-A,324,U1347,A,13,13-7,R,7,A,0,15,174.24,174.39,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,100,,,,Glassy,,,,,,,,
324-U1347A-13R-7-A,324,U1347,A,13,13-7,R,7,A,16,22,174.4,174.46,radiolarian-bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with fine grained volcaniclastics,radiolarian-bearing Sandy Siltstone with fine grained volcaniclastics,75,silt [U14W22],,indurated,Interbedded radiolarian-bearing sandy siltstone. The sediment is partly baked where it is in contact with the basalt.,greenish black,10BG 2.5/1,fine ash [S81],,,,,
324-U1347A-13R-7-A,324,U1347,A,13,13-7,R,7,A,16,22,174.4,174.46,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,25,,,,Glassy,,,,,,,,
324-U1347A-13R-7-A,324,U1347,A,13,13-7,R,7,A,23,31,174.47,174.55,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,100,,,,Glassy,,,,,,,,
324-U1347A-13R-7-A,324,U1347,A,13,13-7,R,7,A,31,41,174.55,174.65,radiolarian-bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with fine grained volcaniclastics.,radiolarian-bearing Sandy Siltstone with fine grained volcaniclastics.,20,silt [U14W22],,indurated,"Sandy siltstone mingled with brecciated, glassy basalt. Sandy siltstone is partly baked.
",very dark gray,N 3,fine ash [S81],,,,,
324-U1347A-13R-7-A,324,U1347,A,13,13-7,R,7,A,31,41,174.55,174.65,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,80,,,,Glassy,,,,,,,,
324-U1347A-13R-7-A,324,U1347,A,13,13-7,R,7,A,42,101,174.66,175.25,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,100,,,,Glassy,,,,,,,,
324-U1347A-15R-1-A,324,U1347,A,15,15-1,R,1,A,0,49,186.2,186.69,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,100,,,indurated,,,,,,,,,
324-U1347A-15R-1-A,324,U1347,A,15,15-1,R,1,A,49,63,186.69,186.83,,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,,very dark gray,N 3,fine ash [S81],basalt and glass,,,,
324-U1347A-15R-1-A,324,U1347,A,15,15-1,R,1,A,63,99,186.83,187.19,radiolarian-bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,radiolarian-bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,Contains volcanic glass fragments.,greenish gray,10Y 5/1,fine ash [S81],basalt and glass,,,,
