Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina patagonica	Pseudohastigerina wilcoxensis	Globanomalina australiformis	Acarinina primitiva	Acarinina cuneicamerata	Globigerinatheka senni	Chiloguembelina sp.	Acarinina camerata	Acarinina pseudotopilensis	Acarinina matthewsae	Globorotaloides turgida	Globigerinoides higginsi	Subbotina linaperta	Acarinina bullbrooki	Subbotina frontosa	Acarinina collactea	Subbotina eocaena	Pseudohastigerina micra	Subbotina inaequispira	Subbotina angiporoides	Globigerinatheka index	Chiloguembelina cubensis	Subbotina hagni	Globorotaloides suteri	Paragloborotalia nana	Catapsydrax echinatus	Tenuitellinata insolita	Subbotina cf. eocaena	Pseudohastigerina barbadoensis	Morozovella sp.	Globigerina officinalis	Chiloguembelina spp.	Acarinina echinata	Acarinina aculeata	Subbotina brevis	Praetenuitella praegemma	Praetenuitella insolita	Catapsydrax dissimilis	Tenuitella munda	Tenuitella gemma	Tenuitella angustiumbilicata	Globigerinita juvenilis	Globigerina labiacrassata	Globigerina euapertura	Tenuitellinata juvenilis	Tenuitellinata angustiumbilicata	Tenuitella munda/juvenilis transition	Subbotina labiacrassata	Tenuitellinata juvenilis/uvula transition	Subbotina euapertura	Tenuitellinata uvula	Globigerinita praestainforthi	Globigerinita boweni	Globigerina praebulloides	Catapsydrax unicavus	Globigerina woodi	Globigerina bulloides	Neogloboquadrina pachyderma	Comment
  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 2	   0.00	     16.8000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	1                  	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	4                      	                      	4                     	                      	                        	               	39                    	                     	                     	                       	                     	                              	               	                       	85                  	22                	3                 	                	4                       	33                     	2                     	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	Other taxa = 2; from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 2	  15.00	     16.9500	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	17                    	5                     	                        	               	20                    	3                    	                     	                       	1                    	                              	1              	                       	                    	83                	                  	6               	                        	5                      	8                     	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 2	  15.00	     16.9500	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	3                      	                      	3                     	                      	                        	               	27                    	3                    	                     	                       	                     	                              	1              	                       	133                 	9                 	                  	                	cf                      	15                     	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 2	  35.00	     17.1500	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	20                    	86                    	                        	               	5                     	2                    	                     	                       	                     	                              	1              	2                      	                    	25                	1                 	3               	                        	                       	6                     	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 2	  35.00	     17.1500	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	14                     	                      	7                     	9                     	                        	               	20                    	5                    	                     	                       	                     	                              	8              	2                      	253                 	8                 	9                 	                	2                       	23                     	4                     	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	AP12              	              	120	 749	B	  3	H	 2	  40.00	     17.2000	Berggren 	Planktonic Foraminifers                      	C              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	F                  	                    	                  	R                  	                 	R                      	                      	F                     	C                     	C                       	               	F                     	                     	R                    	R                      	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 2	  51.00	     17.3100	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	6                     	76                    	                        	               	19                    	2                    	                     	                       	2                    	                              	               	2                      	                    	53                	                  	4               	                        	1                      	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	Other taxa = 3; from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 2	  51.00	     17.3100	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	1                  	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	9                      	                      	3                     	4                     	                        	               	23                    	2                    	                     	                       	2                    	                              	2              	                       	185                 	7                 	3                 	                	2                       	16                     	1                     	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	AP12              	              	120	 749	B	  3	H	 3	  40.00	     18.7000	Berggren 	Planktonic Foraminifers                      	C              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	F                  	                    	                  	                   	                 	R                      	                      	F                     	C                     	C                       	               	F                     	R                    	R                    	R                      	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Late Eocene      	                 	AP12              	              	120	 749	B	  3	H	 4	  40.00	     20.2000	Berggren 	Planktonic Foraminifers                      	C              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	R                  	                    	                  	                   	C                	R                      	                      	R                     	C                     	C                       	               	R                     	R                    	R                    	R                      	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 4	  51.00	     20.3100	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	31                    	92                    	                        	               	3                     	24                   	                     	                       	3                    	                              	               	5                      	                    	1                 	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	Other taxa = 4; from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 4	  51.00	     20.3100	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	1                  	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	8                      	                      	5                     	5                     	                        	               	17                    	10                   	                     	                       	7                    	2                             	1              	3                      	195                 	2                 	6                 	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	AP12              	              	120	 749	B	  3	H	 5	  40.00	     21.7000	Berggren 	Planktonic Foraminifers                      	C              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	R                  	                    	                  	                   	C                	R                      	                      	R                     	C                     	A                       	               	R                     	R                    	                     	R                      	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Late Eocene      	                 	AP12              	              	120	 749	B	  3	H	 6	  40.00	     23.2000	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	F                  	                    	                  	                   	F                	R                      	                      	R                     	C                     	A                       	               	R                     	R                    	                     	R                      	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Late Eocene      	                 	AP12              	              	120	 749	B	  3	H	CC	  10.00	     24.9900	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	C                  	                    	                  	                   	F                	                       	                      	                      	C                     	A                       	R              	                      	R                    	                     	R                      	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Late Eocene      	                 	AP12              	              	120	 749	B	  4	H	 2	  40.00	     26.7000	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	F                  	                    	                  	                   	C                	                       	                      	                      	C                     	A                       	R              	                      	R                    	                     	R                      	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Late Eocene      	                 	AP12              	              	120	 749	B	  4	H	 3	  40.00	     28.2000	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	F                  	                    	                  	                   	C                	                       	                      	                      	C                     	A                       	               	F                     	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP11              	              	120	 749	B	  4	H	 4	  40.00	     29.7000	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	R                  	                    	                  	F                  	C                	                       	                      	                      	C                     	A                       	               	F                     	                     	F                    	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP11              	              	120	 749	B	  4	H	 5	  40.00	     31.2000	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	R                  	                    	                  	F                  	C                	                       	                      	F                     	C                     	A                       	               	F                     	R                    	R                    	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP11              	              	120	 749	B	  4	H	 7	  40.00	     34.2000	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	A                  	                    	                  	F                  	R                	                       	                      	F                     	F                     	A                       	               	R                     	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP11              	              	120	 749	B	  4	H	CC	  18.00	     34.4100	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	A                  	                    	                  	F                  	R                	                       	                      	F                     	F                     	A                       	               	R                     	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP11              	              	120	 749	B	  5	H	 1	  40.00	     34.7000	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	F                      	                        	A                  	                    	                  	F                  	F                	                       	                      	F                     	F                     	C                       	F              	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP11              	              	120	 749	B	  5	H	 2	  40.00	     36.2000	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	F                      	                        	A                  	                    	                  	F                  	F                	R                      	                      	F                     	F                     	C                       	F              	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP11              	              	120	 749	B	  5	H	 3	  40.00	     37.7000	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	F                      	                        	A                  	                    	                  	F                  	F                	R                      	                      	F                     	F                     	C                       	F              	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP11              	              	120	 749	B	  5	H	 4	  40.00	     39.2000	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	F                      	                        	A                  	                    	                  	F                  	F                	                       	                      	F                     	F                     	C                       	F              	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP11              	              	120	 749	B	  5	H	 5	  40.00	     40.7000	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	F                      	                        	A                  	                    	                  	F                  	F                	                       	                      	F                     	F                     	C                       	C              	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP11              	              	120	 749	B	  5	H	 6	  40.00	     42.2000	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	F                      	                        	C                  	                    	                  	F                  	F                	                       	                      	F                     	F                     	A                       	C              	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP11              	              	120	 749	B	  5	H	CC	  21.00	     43.8500	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	F                      	                        	C                  	                    	                  	F                  	F                	                       	                      	F                     	C                     	A                       	C              	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP11              	              	120	 749	B	  6	X	CC	  17.00	     44.1100	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	F                  	                       	                      	                   	                  	                          	                    	F                      	                        	C                  	                    	                  	C                  	F                	                       	                      	F                     	C                     	A                       	F              	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP11              	              	120	 749	B	  7	X	CC	  29.00	     53.9200	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	C                  	                       	                      	R                  	                  	                          	                    	R                      	                        	C                  	                    	                  	C                  	                 	F                      	                      	F                     	                      	A                       	               	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP11              	              	120	 749	B	  9	X	 1	  48.00	     72.7800	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	                   	                       	                      	R                  	                  	                          	                    	                       	                        	R                  	                    	                  	F                  	                 	F                      	                      	R                     	                      	                        	               	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP11              	              	120	 749	B	  9	X	 4	 134.00	     78.1400	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	C                  	                       	                      	                   	                  	                          	                    	                       	                        	                   	F                   	                  	C                  	                 	R                      	                      	R                     	A                     	F                       	               	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP11              	              	120	 749	B	 10	X	 1	  40.00	     82.2000	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	C                            	                            	F                  	                       	                      	F                  	                  	                          	F                   	R                      	                        	F                  	F                   	R                 	A                  	                 	F                      	F                     	                      	                      	                        	               	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP8               	              	120	 749	B	 10	X	 2	  40.00	     83.7000	Berggren 	Planktonic Foraminifers                      	A              	G                 	F                   	F                            	                            	R                  	R                      	                      	R                  	C                 	                          	F                   	                       	                        	R                  	F                   	R                 	A                  	                 	F                      	                      	                      	                      	                        	               	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP8               	              	120	 749	B	 10	X	 3	  40.00	     85.2000	Berggren 	Planktonic Foraminifers                      	A              	G                 	F                   	F                            	                            	F                  	R                      	                      	R                  	F                 	                          	F                   	                       	                        	F                  	F                   	R                 	A                  	                 	F                      	                      	                      	                      	                        	               	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP8               	              	120	 749	B	 10	X	 4	  40.00	     86.7000	Berggren 	Planktonic Foraminifers                      	A              	G                 	F                   	F                            	                            	F                  	F                      	                      	R                  	F                 	                          	F                   	                       	                        	F                  	F                   	R                 	A                  	                 	F                      	                      	                      	                      	                        	               	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP8               	              	120	 749	B	 10	X	 5	 108.00	     88.8800	Berggren 	Planktonic Foraminifers                      	A              	G                 	C                   	                             	                            	C                  	                       	                      	                   	                  	                          	F                   	R                      	F                       	R                  	F                   	                  	C                  	                 	                       	                      	                      	                      	                        	               	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP8               	              	120	 749	B	 11	X	 1	  40.00	     91.7000	Berggren 	Planktonic Foraminifers                      	A              	G                 	C                   	                             	R                           	F                  	F                      	                      	F                  	F                 	                          	F                   	                       	                        	R                  	F                   	                  	C                  	                 	                       	                      	                      	                      	                        	               	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP8               	              	120	 749	B	 11	X	 2	  40.00	     93.2000	Berggren 	Planktonic Foraminifers                      	A              	G                 	C                   	                             	R                           	F                  	F                      	                      	F                  	F                 	                          	C                   	                       	                        	R                  	                    	R                 	C                  	R                	                       	                      	                      	                      	                        	               	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP8               	              	120	 749	B	 11	X	CC	  25.00	     93.7400	Berggren 	Planktonic Foraminifers                      	A              	G                 	F                   	                             	R                           	F                  	F                      	                      	                   	F                 	                          	                    	                       	F                       	R                  	F                   	R                 	C                  	                 	                       	                      	                      	                      	                        	               	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP8               	              	120	 749	B	 12	X	 1	  40.00	    101.2000	Berggren 	Planktonic Foraminifers                      	A              	G                 	C                   	R                            	F                           	F                  	C                      	                      	                   	F                 	                          	F                   	                       	                        	F                  	F                   	                  	                   	                 	                       	                      	                      	                      	                        	               	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP7               	              	120	 749	B	 12	X	CC	  43.00	    103.0500	Berggren 	Planktonic Foraminifers                      	A              	G                 	F                   	R                            	R                           	F                  	F                      	                      	                   	F                 	                          	R                   	R                      	F                       	                   	                    	                  	                   	                 	                       	                      	                      	                      	                        	               	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP7               	              	120	 749	B	 13	X	 1	  40.00	    110.7000	Berggren 	Planktonic Foraminifers                      	A              	G                 	C                   	R                            	R                           	F                  	F                      	                      	R                  	F                 	R                         	R                   	                       	                        	                   	                    	                  	                   	                 	                       	                      	                      	                      	                        	               	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Middle Eocene    	                 	AP7               	              	120	 749	B	 13	X	CC	  15.00	    112.0600	Berggren 	Planktonic Foraminifers                      	A              	G                 	F                   	R                            	F                           	R                  	                       	R                     	R                  	F                 	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	                      	                      	                        	               	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

