Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiosira praeoestrupii,Thalassiosira eccentrica,Thalassionema nitzschioides,Stephanopyxis turris,Pyxidicula zabelinae,Nitzschia rolandii,Neodenticula kamtschatica,Coscinodiscus marginatus,Actinoptychus senarius,Paralia sulcata,Koizumia tatsunokuchiensis,Thalassiosira nidulus,Nitzschia fossilis,Chaetoceros spp. (resting spores),Thalassiosira antiqua,Delphineis surirella,Thalassiosira lineata,Aulacoseira spp.,Actinocyclus curvatulus,Cocconeis costata,Asteromphalus flabellatus,Proboscia barboi,Thalassiothrix longissima,Thalassiosira jouseae,Rhizosolenia hebetata f. hiemalis,Actinocyclus octonarius,Odontella aurita,Nitzschia reinholdii,Grammatophora spp.,Delphineis simonsenii,Coscinodiscus radiatus,Actinocyclus ochotensis,Thalassiosira oestrupii,Thalassiosira nordenskioeldii,Fragilariopsis doliolus,Hemidiscus cuneiformis,Thalassiosira latimarginata,Thalassiosira gravida,Actinocyclus oculatus,Azpeitia nodulifera,Thalassiosira convexa,Neodenticula koizumii,Stephanopyxis horridus,Neodenticula seminae,Azpeitia tabularis,Nitzschia marina,Rhizosolenia bergonii,Nitzschia interruptestriata,Proboscia curvirostris,Bacterosira fragilis,Cyclotella striata,Porosira glacialis,Actinocyclus ingens,Comment
  IR,Late Pliocene    ,Late Pliocene    ,NPD 8             ,NPD 8         ,186,1150,A, 24,X,CC,   8.00,    213.2200,Ikeda    ,Diatoms                                      ,C              ,M                 ,                           ,                        ,                           ,                    ,C                   ,                  ,A                        ,C                       ,                      ,R              ,                          ,                     ,                  ,                                 ,                     ,                    ,                     ,                ,                       ,                 ,                         ,R               ,                         ,F                    ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,R                      ,                             ,                       ,R                     ,                           ,                     ,R                    ,                   ,                     ,R                    ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,NPD 8             ,NPD 8         ,186,1150,A, 25,X,CC,  55.00,    232.1400,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,                        ,R                          ,                    ,                    ,                  ,A                        ,F                       ,                      ,               ,                          ,                     ,R                 ,R                                ,                     ,                    ,                     ,                ,                       ,R                ,                         ,R               ,                         ,                     ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,F                      ,                             ,                       ,R                     ,                           ,                     ,                     ,                   ,                     ,C                    ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,NPD 8             ,NPD 8         ,186,1150,A, 26,X,CC,  13.00,    239.5500,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,                        ,F                          ,R                   ,                    ,                  ,A                        ,C                       ,                      ,               ,                          ,                     ,                  ,R                                ,                     ,                    ,                     ,                ,                       ,R                ,                         ,                ,                         ,                     ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,F                      ,                             ,                       ,                      ,                           ,                     ,                     ,R                  ,R                    ,R                    ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,reworking=trace(C.insignis)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,NPD 8             ,NPD 8         ,186,1150,A, 27,X,CC,  27.00,    251.1600,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,R                       ,C                          ,R                   ,                    ,                  ,A                        ,F                       ,                      ,               ,                          ,                     ,                  ,F                                ,R                    ,                    ,                     ,R               ,                       ,                 ,                         ,                ,                         ,                     ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,C                      ,R                            ,                       ,R                     ,                           ,                     ,                     ,                   ,                     ,R                    ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Early Pliocene   ,NPD 8             ,NPD 8         ,186,1150,A, 28,X,CC,  29.00,    260.3300,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,                        ,C                          ,R                   ,F                   ,                  ,C                        ,F                       ,R                     ,               ,                          ,                     ,                  ,F                                ,                     ,                    ,                     ,                ,R                      ,                 ,                         ,                ,                         ,R                    ,                                 ,                       ,                ,                    ,R                 ,                     ,                      ,                       ,                       ,R                            ,                       ,                      ,                           ,                     ,                     ,                   ,R                    ,R                    ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 29,X, 3,  63.00,    264.4300,Ikeda    ,Diatoms                                      ,C              ,M                 ,                           ,                        ,F                          ,F                   ,F                   ,                  ,C                        ,C                       ,                      ,T              ,                          ,                     ,                  ,C                                ,R                    ,                    ,                     ,                ,                       ,                 ,                         ,                ,                         ,R                    ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,R                      ,R                      ,                             ,                       ,                      ,                           ,                     ,                     ,R                  ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,"reworking=trace(D.dimorpha,A.ingens)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 29,X,CC,  17.00,    269.3400,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,F                       ,F                          ,F                   ,C                   ,                  ,A                        ,R                       ,                      ,               ,                          ,                     ,                  ,R                                ,                     ,                    ,F                    ,                ,                       ,R                ,                         ,                ,                         ,F                    ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,C                      ,                             ,                       ,                      ,                           ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,FO of N. koizumii (3.53-3.95 Ma)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 30,X,CC,  30.00,    280.1100,Ikeda    ,Diatoms                                      ,A              ,M                 ,                           ,R                       ,C                          ,R                   ,                    ,                  ,A                        ,F                       ,                      ,R              ,                          ,                     ,                  ,F                                ,                     ,                    ,                     ,                ,                       ,                 ,                         ,                ,                         ,R                    ,                                 ,                       ,                ,                    ,                  ,                     ,F                     ,                       ,F                      ,                             ,                       ,                      ,R                          ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 31,X,CC,  51.00,    289.8000,Ikeda    ,Diatoms                                      ,A              ,M                 ,                           ,                        ,C                          ,                    ,                    ,                  ,A                        ,F                       ,                      ,               ,                          ,                     ,F                 ,F                                ,                     ,                    ,F                    ,                ,                       ,                 ,                         ,R               ,                         ,R                    ,                                 ,                       ,                ,T                   ,                  ,                     ,                      ,                       ,F                      ,                             ,                       ,                      ,F                          ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 32,X,CC,  25.00,    298.8300,Ikeda    ,Diatoms                                      ,C              ,G                 ,                           ,F                       ,C                          ,R                   ,                    ,                  ,C                        ,                        ,                      ,               ,                          ,                     ,C                 ,F                                ,R                    ,                    ,                     ,                ,                       ,                 ,                         ,                ,                         ,R                    ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,C                      ,                             ,                       ,R                     ,                           ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 33,X,CC,   9.00,    305.5700,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,R                       ,C                          ,F                   ,                    ,                  ,C                        ,C                       ,R                     ,               ,                          ,                     ,                  ,C                                ,                     ,                    ,                     ,                ,                       ,T                ,                         ,                ,                         ,F                    ,                                 ,                       ,                ,                    ,                  ,                     ,F                     ,                       ,F                      ,                             ,                       ,                      ,F                          ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 34,X,CC,  26.00,    318.9400,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,R                       ,F                          ,F                   ,C                   ,                  ,A                        ,C                       ,R                     ,               ,                          ,                     ,                  ,F                                ,                     ,                    ,                     ,                ,C                      ,                 ,                         ,                ,                         ,F                    ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,C                      ,                             ,                       ,                      ,C                          ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,reworking=trace (D. cf. hyalina)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 35,X,CC,  37.00,    328.8500,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,R                       ,F                          ,F                   ,F                   ,                  ,A                        ,C                       ,                      ,F              ,                          ,                     ,                  ,F                                ,                     ,                    ,                     ,                ,                       ,                 ,                         ,                ,                         ,                     ,                                 ,                       ,R               ,                    ,                  ,                     ,                      ,                       ,                       ,R                            ,                       ,                      ,R                          ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 36,X,CC,  31.00,    338.4300,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,F                       ,                           ,R                   ,C                   ,                  ,A                        ,                        ,R                     ,               ,                          ,                     ,                  ,C                                ,                     ,                    ,                     ,                ,                       ,R                ,                         ,                ,                         ,R                    ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,F                      ,                             ,                       ,                      ,R                          ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 37,X,CC,  27.00,    347.3700,Ikeda    ,Diatoms                                      ,C              ,G                 ,                           ,R                       ,C                          ,C                   ,C                   ,                  ,A                        ,                        ,R                     ,               ,                          ,                     ,                  ,F                                ,                     ,                    ,                     ,                ,                       ,                 ,                         ,                ,T                        ,                     ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,R                      ,                             ,                       ,                      ,R                          ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 38,X,CC,  24.00,    357.3900,Ikeda    ,Diatoms                                      ,C              ,G                 ,                           ,                        ,F                          ,                    ,C                   ,                  ,A                        ,C                       ,                      ,               ,                          ,                     ,                  ,R                                ,                     ,                    ,R                    ,                ,R                      ,                 ,                         ,                ,                         ,R                    ,                                 ,                       ,                ,                    ,R                 ,                     ,                      ,                       ,C                      ,                             ,                       ,                      ,                           ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 39,X,CC,  33.00,    366.9800,Ikeda    ,Diatoms                                      ,C              ,M                 ,                           ,                        ,F                          ,R                   ,C                   ,                  ,C                        ,F                       ,                      ,               ,                          ,                     ,R                 ,F                                ,                     ,                    ,                     ,                ,R                      ,                 ,                         ,                ,                         ,R                    ,                                 ,                       ,                ,                    ,                  ,                     ,R                     ,                       ,F                      ,                             ,                       ,                      ,                           ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 40,X,CC,  17.00,    376.4100,Ikeda    ,Diatoms                                      ,C              ,M                 ,                           ,                        ,R                          ,R                   ,C                   ,                  ,C                        ,F                       ,F                     ,               ,                          ,                     ,                  ,R                                ,                     ,                    ,                     ,                ,                       ,                 ,                         ,                ,                         ,                     ,                                 ,F                      ,                ,                    ,                  ,                     ,                      ,                       ,C                      ,                             ,                       ,                      ,F                          ,                     ,F                    ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,reworking=trace (D. praedimorpha)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 41,X,CC,  22.00,    378.6100,Ikeda    ,Diatoms                                      ,C              ,M                 ,                           ,                        ,F                          ,                    ,C                   ,                  ,C                        ,C                       ,R                     ,R              ,                          ,                     ,                  ,R                                ,                     ,                    ,                     ,                ,R                      ,                 ,                         ,                ,                         ,                     ,                                 ,F                      ,                ,                    ,                  ,                     ,                      ,                       ,F                      ,                             ,                       ,R                     ,                           ,                     ,F                    ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,reworking=trace(D.simonsenii)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 42,X,CC,  37.00,    395.6200,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,R                       ,                           ,                    ,F                   ,                  ,A                        ,C                       ,F                     ,R              ,                          ,                     ,                  ,F                                ,                     ,                    ,                     ,                ,                       ,                 ,                         ,                ,                         ,R                    ,                                 ,R                      ,                ,                    ,                  ,                     ,                      ,                       ,F                      ,                             ,                       ,F                     ,R                          ,                     ,R                    ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 43,X,CC,  38.00,    405.2800,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,                        ,A                          ,F                   ,C                   ,                  ,A                        ,                        ,F                     ,               ,                          ,                     ,                  ,R                                ,                     ,                    ,                     ,                ,                       ,                 ,                         ,                ,                         ,R                    ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,F                      ,                             ,                       ,                      ,R                          ,C                    ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 44,X,CC,  46.00,    414.4800,Ikeda    ,Diatoms                                      ,C              ,M                 ,                           ,                        ,F                          ,                    ,                    ,                  ,C                        ,F                       ,R                     ,T              ,                          ,                     ,                  ,R                                ,                     ,                    ,                     ,                ,R                      ,                 ,                         ,                ,                         ,                     ,                                 ,                       ,                ,                    ,                  ,R                    ,                      ,                       ,F                      ,                             ,                       ,R                     ,                           ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 45,X,CC,  13.00,    424.3300,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,                        ,                           ,F                   ,C                   ,                  ,A                        ,C                       ,F                     ,F              ,                          ,                     ,                  ,T                                ,                     ,                    ,                     ,                ,                       ,                 ,                         ,                ,                         ,                     ,                                 ,                       ,                ,R                   ,                  ,                     ,                      ,                       ,F                      ,                             ,                       ,                      ,R                          ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 46,X,CC,  28.00,    428.8300,Ikeda    ,Diatoms                                      ,A              ,M                 ,                           ,                        ,C                          ,                    ,F                   ,                  ,A                        ,                        ,F                     ,R              ,                          ,                     ,                  ,R                                ,                     ,                    ,                     ,                ,                       ,                 ,                         ,                ,R                        ,                     ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,F                      ,R                            ,                       ,                      ,                           ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,FO of T. latimariginata (5.07 Ma)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 47,X,CC,  18.00,    443.6800,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,                        ,A                          ,                    ,C                   ,                  ,C                        ,C                       ,                      ,R              ,                          ,                     ,                  ,R                                ,                     ,                    ,                     ,                ,R                      ,                 ,                         ,R               ,                         ,                     ,                                 ,                       ,                ,                    ,                  ,                     ,R                     ,                       ,F                      ,                             ,                       ,R                     ,                           ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 48,X,CC,  41.00,    453.3500,Ikeda    ,Diatoms                                      ,A              ,M                 ,                           ,                        ,C                          ,C                   ,F                   ,                  ,C                        ,F                       ,                      ,               ,F                         ,                     ,                  ,R                                ,                     ,R                   ,                     ,                ,                       ,                 ,                         ,                ,                         ,F                    ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,F                      ,                             ,                       ,                      ,                           ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 49,X,CC,  48.00,    463.1400,Ikeda    ,Diatoms                                      ,A              ,M                 ,                           ,                        ,C                          ,F                   ,                    ,                  ,A                        ,C                       ,                      ,               ,F                         ,                     ,                  ,F                                ,C                    ,                    ,                     ,                ,                       ,R                ,                         ,                ,                         ,R                    ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,F                      ,                             ,                       ,R                     ,                           ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 50,X,CC,   9.00,    462.9900,Ikeda    ,Diatoms                                      ,R              ,M                 ,                           ,                        ,                           ,                    ,                    ,                  ,                         ,R                       ,                      ,               ,R                         ,                     ,                  ,                                 ,                     ,                    ,                     ,                ,                       ,                 ,                         ,                ,                         ,                     ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,R                      ,                             ,                       ,                      ,                           ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,silty clay
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 51,X,CC,  26.00,    480.5800,Ikeda    ,Diatoms                                      ,R              ,M                 ,                           ,                        ,                           ,                    ,                    ,                  ,                         ,R                       ,                      ,               ,R                         ,                     ,                  ,                                 ,                     ,                    ,                     ,                ,                       ,                 ,                         ,                ,R                        ,                     ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,                       ,                             ,                       ,                      ,                           ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,volcanic glass
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 52,X,CC,  20.00,    482.5000,Ikeda    ,Diatoms                                      ,A              ,G                 ,R                          ,R                       ,                           ,F                   ,                    ,                  ,C                        ,C                       ,R                     ,               ,F                         ,                     ,R                 ,R                                ,R                    ,                    ,                     ,                ,                       ,                 ,                         ,                ,R                        ,F                    ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,R                      ,                             ,                       ,                      ,                           ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 53,X,CC,  25.00,    492.2500,Ikeda    ,Diatoms                                      ,C              ,M                 ,                           ,R                       ,R                          ,                    ,R                   ,R                 ,C                        ,C                       ,                      ,               ,R                         ,R                    ,R                 ,C                                ,R                    ,                    ,                     ,                ,                       ,                 ,                         ,                ,                         ,                     ,                                 ,R                      ,                ,                    ,                  ,F                    ,                      ,                       ,                       ,                             ,                       ,                      ,                           ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 54,X,CC,  31.00,    511.4600,Ikeda    ,Diatoms                                      ,A              ,G                 ,R                          ,                        ,F                          ,C                   ,F                   ,R                 ,C                        ,C                       ,                      ,               ,R                         ,R                    ,                  ,F                                ,F                    ,F                   ,                     ,                ,                       ,R                ,                         ,R               ,                         ,                     ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,R                      ,                             ,R                      ,                      ,                           ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,reworking=trace (A. ingens)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,NPD 7Bb           ,NPD 7Bb       ,186,1150,A, 55,X,CC,  35.00,    520.8000,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,                        ,C                          ,R                   ,                    ,                  ,A                        ,C                       ,F                     ,               ,                          ,                     ,                  ,F                                ,                     ,                    ,                     ,                ,                       ,                 ,                         ,                ,                         ,R                    ,                                 ,                       ,                ,                    ,                  ,R                    ,                      ,                       ,                       ,R                            ,                       ,                      ,                           ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
