Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus moriformis,Coccolithus pelagicus,Reticulofenestra pseudoumbilicus,Helicosphaera carteri,Discoaster variabilis,Discoaster pentaradiatus,Discoaster calcaris,Discoaster brouweri,Discoaster bollii,Discoaster pseudovariabilis,Catinaster coalitus,Umbilicosphaera sibogae,Thoracosphaera spp.,Syracosphaera pulchra,Syracosphaera lamina,Sphenolithus grandis,Rhabdosphaera clavigera,Reticulofenestra minutula,Holodiscolithus macroporus,Discolithina japonica,Discoaster pansus,Discoaster deflandrei,Dictyococcites productellus,Calcidiscus tropicus,Calcidiscus leptoporus,Discolithina multipora,Discoaster hamatus,Triquetrorhabdulus rugosus,Discolithina discopora,Scapholithus fossilis,Discosphaera tubifera,Discoaster asymmetricus,Cyclolithella annula,Sphenolithus abies,Discoaster neohamatus,Catinaster calyculus,Holodiscolithus solidus,Discoaster challengeri,Oolithotus antillarum,Discoaster moorei,Sphenolithus compactus,Discoaster prepentaradiatus,Hayaster perplexus,Helicosphaera minuta,Discoaster surculus,Discoaster blackstockae,Reticulofenestra minuta,Discoaster quadramus,Discoaster quinqueramus,Discoaster berggrenii,Helicosphaera sellii,Syracosphaera nodosa,Cricosphaera quadrilaminata,Ceratolithus armatus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Scyphosphaera pulcherrima,Amaurolithus amplificus,Amaurolithus primus,Gephyrocapsa spp. (small),Pseudoemiliania lacunosa,Ceratolithus cristatus,Discolithina syracusana,Discoaster tamalis,Gephyrocapsa margerelii,Scyphosphaera sp.,Ceratolithus rugosus,Gephyrocapsa oceanica s.l.,Gephyrocapsa caribbeanica,Helicosphaera wallichii,Ceratolithus telesmus,Gephyrocapsa oceanica (>6 microns),Umbellosphaera irregularis,Helicosphaera inversa,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN18              ,              ,124, 767,B, 17,X,CC,  25.00,    153.8500,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,VR                   ,                                ,                     ,                     ,                        ,                   ,                   ,                 ,                           ,                   ,                       ,                   ,                     ,                    ,                    ,                       ,                         ,                          ,                     ,                 ,                     ,                           ,                    ,                      ,                      ,                  ,                          ,                      ,                     ,                     ,                       ,                    ,VR                ,                     ,                    ,                       ,                      ,                     ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,                       ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,                         ,VR                      ,                      ,                       ,                  ,VR                     ,                 ,                    ,                          ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN18              ,              ,124, 767,B, 18,X, 1,  47.00,    158.4700,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,F                    ,VR                              ,F                    ,                     ,VR                      ,                   ,F                  ,                 ,                           ,                   ,R                      ,                   ,F                    ,                    ,                    ,F                      ,F                        ,                          ,F                    ,                 ,                     ,F                          ,VR                  ,F                     ,                      ,                  ,                          ,                      ,R                    ,VR                   ,                       ,                    ,F                 ,                     ,                    ,                       ,                      ,R                    ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,                       ,                    ,                       ,                     ,                    ,                    ,VR                         ,                    ,                            ,                      ,                         ,                       ,                   ,C                        ,F                       ,                      ,                       ,                  ,F                      ,                 ,                    ,                          ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN18              ,              ,124, 767,B, 18,X, 3,   9.00,    161.0900,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,VR                   ,                                ,VR                   ,                     ,                        ,                   ,                   ,                 ,                           ,                   ,                       ,VR                 ,F                    ,                    ,                    ,VR                     ,VR                       ,                          ,VR                   ,                 ,                     ,F                          ,                    ,R                     ,                      ,                  ,                          ,                      ,VR                   ,                     ,                       ,                    ,                  ,                     ,                    ,                       ,                      ,VR                   ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,                       ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,F                        ,F                       ,                      ,                       ,                  ,R                      ,                 ,                    ,                          ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN18              ,              ,124, 767,B, 18,X,CC,  23.00,    167.5500,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,R                    ,                                ,F                    ,VR                   ,VR                      ,                   ,R                  ,                 ,                           ,                   ,                       ,VR                 ,VR                   ,                    ,                    ,                       ,                         ,                          ,R                    ,                 ,                     ,F                          ,VR                  ,F                     ,                      ,                  ,                          ,                      ,VR                   ,                     ,                       ,                    ,VR                ,                     ,                    ,                       ,                      ,VR                   ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,                       ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,F                        ,F                       ,                      ,                       ,                  ,R                      ,                 ,                    ,                          ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN18              ,              ,124, 767,B, 19,X, 1,  46.00,    168.0600,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,R                    ,                                ,R                    ,                     ,                        ,                   ,R                  ,                 ,                           ,                   ,                       ,                   ,                     ,                    ,                    ,                       ,VR                       ,                          ,                     ,                 ,                     ,                           ,                    ,R                     ,                      ,                  ,                          ,                      ,                     ,                     ,                       ,                    ,                  ,                     ,                    ,                       ,                      ,                     ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,                       ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,VR                       ,R                       ,                      ,                       ,                  ,VR                     ,                 ,                    ,                          ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN18              ,              ,124, 767,B, 19,X, 3,  89.00,    171.4900,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,F                    ,VR                              ,F                    ,                     ,R                       ,                   ,F                  ,                 ,                           ,                   ,                       ,                   ,F                    ,                    ,                    ,R                      ,R                        ,                          ,VR                   ,                 ,                     ,F                          ,R                   ,F                     ,                      ,                  ,                          ,VR                    ,                     ,                     ,                       ,                    ,F                 ,                     ,                    ,                       ,                      ,VR                   ,                 ,                      ,                           ,                  ,                    ,R                  ,                       ,F                      ,                    ,                       ,                     ,                    ,VR                  ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,                         ,F                       ,                      ,                       ,                  ,                       ,                 ,                    ,                          ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN18              ,              ,124, 767,B, 19,X, 5,  32.00,    173.9200,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,R                    ,                                ,F                    ,                     ,VR                      ,                   ,F                  ,                 ,                           ,                   ,                       ,VR                 ,R                    ,                    ,                    ,R                      ,R                        ,                          ,VR                   ,                 ,                     ,F                          ,R                   ,F                     ,                      ,                  ,                          ,                      ,                     ,                     ,                       ,                    ,F                 ,                     ,                    ,                       ,                      ,                     ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,                       ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,F                        ,F                       ,                      ,                       ,                  ,                       ,                 ,                    ,                          ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN17              ,              ,124, 767,B, 20,X, 1,  43.00,    177.7300,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,F                    ,                                ,F                    ,R                    ,F                       ,                   ,F                  ,                 ,                           ,                   ,VR                     ,R                  ,VR                   ,                    ,                    ,VR                     ,F                        ,                          ,                     ,                 ,                     ,F                          ,R                   ,F                     ,                      ,                  ,                          ,                      ,VR                   ,VR                   ,                       ,                    ,F                 ,                     ,                    ,                       ,                      ,                     ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,VR                     ,                    ,VR                     ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,C                        ,R                       ,                      ,                       ,                  ,                       ,                 ,                    ,                          ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN17              ,              ,124, 767,B, 20,X, 3,  51.00,    180.8100,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,R                    ,                                ,F                    ,VR                   ,VR                      ,                   ,F                  ,                 ,                           ,                   ,                       ,                   ,R                    ,                    ,                    ,                       ,F                        ,                          ,                     ,                 ,                     ,R                          ,R                   ,F                     ,                      ,                  ,VR                        ,                      ,                     ,                     ,                       ,                    ,F                 ,                     ,                    ,                       ,                      ,                     ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,VR                     ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,R                        ,F                       ,                      ,                       ,                  ,                       ,                 ,                    ,                          ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN17              ,              ,124, 767,B, 21,X, 1,  83.00,    184.6300,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,R                    ,                                ,F                    ,                     ,R                       ,                   ,F                  ,                 ,                           ,                   ,VR                     ,VR                 ,R                    ,                    ,                    ,R                      ,F                        ,                          ,                     ,                 ,                     ,F                          ,F                   ,F                     ,                      ,                  ,                          ,                      ,                     ,                     ,                       ,                    ,F                 ,                     ,                    ,                       ,                      ,                     ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,                       ,                    ,                       ,                     ,                    ,VR                  ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,                         ,F                       ,                      ,                       ,                  ,                       ,                 ,                    ,                          ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,124, 767,B, 21,X, 3,  24.00,    187.0400,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,F                    ,                                ,F                    ,                     ,F                       ,                   ,F                  ,                 ,                           ,                   ,                       ,VR                 ,R                    ,                    ,                    ,VR                     ,F                        ,                          ,                     ,                 ,                     ,VR                         ,R                   ,R                     ,VR                    ,                  ,                          ,                      ,                     ,                     ,                       ,                    ,R                 ,                     ,                    ,                       ,                      ,                     ,                 ,                      ,                           ,                  ,                    ,VR                 ,                       ,                       ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,                         ,F                       ,VR                    ,                       ,                  ,                       ,                 ,VR                  ,                          ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,124, 767,B, 21,X, 5,  27.00,    190.0700,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,F                    ,                                ,F                    ,                     ,F                       ,                   ,F                  ,                 ,                           ,                   ,                       ,                   ,F                    ,                    ,                    ,R                      ,F                        ,                          ,VR                   ,                 ,                     ,R                          ,R                   ,F                     ,                      ,                  ,                          ,                      ,VR                   ,                     ,                       ,                    ,F                 ,                     ,                    ,                       ,                      ,R                    ,                 ,                      ,                           ,VR                ,                    ,R                  ,                       ,                       ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,                         ,F                       ,                      ,                       ,                  ,VR                     ,                 ,VR                  ,                          ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,124, 767,B, 21,X,CC,  31.00,    193.5500,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,F                    ,VR                              ,F                    ,                     ,F                       ,F                  ,                   ,                 ,                           ,                   ,                       ,                   ,F                    ,VR                  ,                    ,F                      ,F                        ,                          ,VR                   ,                 ,                     ,R                          ,F                   ,F                     ,                      ,                  ,                          ,                      ,VR                   ,                     ,                       ,                    ,F                 ,                     ,                    ,                       ,                      ,VR                   ,                 ,                      ,                           ,                  ,                    ,R                  ,                       ,                       ,                    ,VR                     ,                     ,                    ,VR                  ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,                         ,F                       ,                      ,                       ,                  ,                       ,                 ,VR                  ,                          ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,124, 767,B, 22,X, 1,  90.00,    194.4000,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,F                    ,                                ,F                    ,                     ,F                       ,                   ,F                  ,                 ,                           ,                   ,                       ,                   ,R                    ,                    ,                    ,VR                     ,R                        ,                          ,                     ,                 ,                     ,R                          ,R                   ,F                     ,                      ,                  ,                          ,                      ,                     ,                     ,                       ,                    ,R                 ,                     ,                    ,                       ,                      ,                     ,                 ,                      ,                           ,                  ,                    ,R                  ,                       ,F                      ,                    ,VR                     ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,                         ,F                       ,                      ,                       ,                  ,                       ,                 ,                    ,                          ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,124, 767,B, 22,X, 3,  60.00,    197.1000,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,R                    ,                                ,F                    ,                     ,F                       ,                   ,F                  ,                 ,                           ,                   ,                       ,VR                 ,VR                   ,                    ,                    ,VR                     ,F                        ,                          ,VR                   ,                 ,                     ,                           ,R                   ,R                     ,                      ,                  ,                          ,                      ,                     ,                     ,                       ,                    ,VR                ,                     ,                    ,                       ,                      ,                     ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,F                      ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,                         ,F                       ,                      ,                       ,                  ,                       ,                 ,                    ,                          ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,124, 767,B, 23,X, 1,  20.00,    203.5000,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,VR                   ,                                ,F                    ,                     ,F                       ,                   ,F                  ,                 ,                           ,                   ,                       ,                   ,VR                   ,                    ,                    ,VR                     ,VR                       ,                          ,VR                   ,                 ,                     ,F                          ,                    ,R                     ,                      ,                  ,                          ,                      ,                     ,                     ,                       ,                    ,R                 ,                     ,                    ,                       ,                      ,                     ,                 ,                      ,                           ,                  ,                    ,VR                 ,                       ,F                      ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,VR                       ,                       ,                   ,                         ,F                       ,                      ,                       ,                  ,                       ,                 ,                    ,                          ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,124, 767,B, 23,X, 3,  24.00,    206.5400,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,                                ,VR                   ,                     ,                        ,                   ,VR                 ,                 ,                           ,                   ,                       ,                   ,                     ,                    ,                    ,                       ,                         ,                          ,                     ,                 ,                     ,VR                         ,                    ,                      ,                      ,                  ,                          ,                      ,                     ,                     ,                       ,                    ,                  ,                     ,                    ,                       ,                      ,                     ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,                       ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,                         ,                        ,                      ,                       ,                  ,                       ,                 ,                    ,                          ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,124, 767,B, 23,X,CC,  30.00,    207.3100,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,                                ,VR                   ,                     ,                        ,                   ,R                  ,                 ,                           ,                   ,                       ,                   ,                     ,                    ,                    ,                       ,                         ,                          ,                     ,                 ,                     ,R                          ,VR                  ,VR                    ,                      ,                  ,                          ,                      ,                     ,                     ,                       ,                    ,                  ,                     ,                    ,                       ,                      ,                     ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,R                      ,                    ,                       ,                     ,VR                  ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,                         ,                        ,                      ,                       ,                  ,                       ,VR               ,                    ,                          ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,NN16              ,              ,124, 767,B, 24,X, 1,  23.00,    213.3300,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,                                ,                     ,                     ,                        ,                   ,                   ,                 ,                           ,                   ,                       ,                   ,                     ,                    ,                    ,                       ,                         ,                          ,                     ,                 ,                     ,                           ,                    ,                      ,                      ,                  ,                          ,                      ,                     ,                     ,                       ,                    ,                  ,                     ,                    ,                       ,                      ,                     ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,VR                     ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,                         ,                        ,                      ,                       ,                  ,                       ,                 ,                    ,                          ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,NN12              ,NN15          ,124, 767,B, 24,X,CC,  34.00,    218.6200,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,R                    ,F                               ,F                    ,VR                   ,F                       ,                   ,F                  ,                 ,                           ,                   ,                       ,VR                 ,R                    ,                    ,                    ,VR                     ,C                        ,                          ,VR                   ,                 ,                     ,F                          ,R                   ,R                     ,                      ,                  ,                          ,                      ,                     ,                     ,                       ,                    ,F                 ,                     ,                    ,                       ,VR                    ,R                    ,                 ,                      ,                           ,                  ,                    ,F                  ,                       ,F                      ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,                         ,F                       ,                      ,                       ,                  ,                       ,                 ,                    ,                          ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,NN12              ,NN15          ,124, 767,B, 25,X, 1,  30.00,    223.2000,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,F                               ,VR                   ,                     ,VR                      ,                   ,                   ,                 ,                           ,                   ,                       ,                   ,                     ,                    ,                    ,                       ,R                        ,                          ,VR                   ,                 ,                     ,VR                         ,                    ,R                     ,VR                    ,                  ,                          ,                      ,                     ,                     ,                       ,                    ,R                 ,                     ,                    ,                       ,                      ,                     ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,                       ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,                         ,VR                      ,                      ,                       ,                  ,                       ,                 ,                    ,                          ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,NN12              ,NN15          ,124, 767,B, 25,X, 3,  76.00,    226.6600,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,                                ,F                    ,                     ,F                       ,                   ,VR                 ,                 ,                           ,                   ,                       ,                   ,                     ,                    ,                    ,VR                     ,C                        ,                          ,                     ,                 ,                     ,F                          ,VR                  ,R                     ,                      ,                  ,                          ,                      ,                     ,                     ,                       ,                    ,F                 ,                     ,                    ,                       ,                      ,                     ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,F                      ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,VR                       ,F                       ,                      ,                       ,                  ,VR                     ,                 ,                    ,                          ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
