Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Sample comment,Preservation,Group abundance,Florisphaera profunda,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Reticulofenestra minuta,Reticulofenestra haqii,Reticulofenestra rotaria,Dictyococcites antarcticus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Umbilicosphaera sibogae,Umbilicosphaera jafari,Umbilicosphaera rotula,Oolithotus fragilis,Helicosphaera carteri,Helicosphaera wallichii,Helicosphaera pavimentum,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera canescens,Scyphosphaera globulata,Rhabdosphaera clavigera,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Syracosphaera pulchra,Syracosphaera lamina,Calciosolenia murrayi,Ceratolithus cristatus,Ceratolithus acutus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus amplificus,Sphenolithus abies,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus belemnos,Discoaster brouweri,Discoaster triradiatus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster asymmetricus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster bollii,Discoaster bellus,Discoaster loeblichii,Discoaster hamatus,Discoaster neohamatus,Discoaster deflandrei,Discoaster kugleri,Discoaster petaliformis,Discoaster signus,Discoaster druggii,Orthorhabdus rugosus,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus larrymayeri,Gephyrocapsa omega,Coronocyclus nitescens,Helicosphaera ampliaperta,Helicosphaera euphratis,Minylitha convallis,Orthorhabdus serratus,Sphenolithus capricornutus,Sphenolithus disbelemnos,Triquetrorhabdulus carinatus,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus pacificanus,Calcidiscus pataecus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Catinaster mexicanus,Cryptococcolithus mediaperforate,Dictyococcites bisectus,Discoaster altus,Discoaster bergenii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster exilis,Discoaster extensus,Discoaster musicus,Discoaster neorectus,Discoaster prepentaradiatus,Discoaster spp.,Gephyrocapsa lumina,Gephyrocapsa muellerae,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Ceratolithus atlanticus,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Orthorhabdus rioi,Orthorhabdus striatus,Pontosphaera spp.,Pontosphaera syracusana,Reticulofenestra daviesii,Reticulofenestra gelida,Reticulofenestra minutula,Rhabdosphaera poculii,Rhabdosphaera spp.,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera tubifera,Scyphosphaera ventriosa,Solidopons petrae,Sphenolithus calyculus,Sphenolithus conicus,Sphenolithus dissimilis,Syracolithus schilleri,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus milowii,Umbilicosphaera hulburtiana,Reworked species,Diatoms,Radiolarian fragments,Datum type,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
363-U1488A-9H-CC-PAL-NANNO,0,5,82.22,82.27,NN16 [M71],LB; AGSF - with R. pseudoumbilicus > 7 um - 1; S abies - 1,G [P33],D [A22],V [A94],,,,,C [A04],C [A04],A [A23],x [A115],V [A94],,,,,,,,,,,,,C [A04],,,,,F [A30],,,,,,,F [A30],,,,,,,F [A30],F [A30],,,,,,,,x [A115],,,,C [A04],,C [A04],F [A30],R [A30],,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,9,H,CC,PAL,NANNO
363-U1488A-10H-2-W 50/50-NANNO,0,0,83.9,83.9,,AGSF - S abies <0.1% of the assemblage; R pseduoumbilicus <7 um present,,,,,,,,C [A04],C [A04],,x [A115],,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x [A115],,,,C [A04],P [A30],R [A30],C [A04],R [A30],R [A30],R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,10,H,2,W,50/50-NANNO
363-U1488A-10H-4-W 50/50-NANNO,0,0,86.9,86.9,,AGSF - S abies <0.1% of the assemblage; R pseduoumbilicus <7 um present; R pseudoumbilicus >7 um - 1,,,,,,,,,,,x [A115],,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x [A115],,,,C [A04],,R [A30],C [A04],,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,10,H,4,W,50/50-NANNO
363-U1488A-10H-6-W 50/50-NANNO,0,0,89.9,89.9,,AGSF - S abies <0.1%,,,,,,,,C [A04],C [A04],,x [A115],,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x [A115],,,,C [A04],,R [A30],C [A04],,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,10,H,6,W,50/50-NANNO
363-U1488A-10H-CC-PAL-NANNO,0,5,91.56,91.61,NN15 [M71],LB; AGSF - S abies more common than the previous slides (section samples from core 10); Reticulofenestra pseudoumbilicus <7 um common,G [P33],D [A22],V [A94],,,,,F [A30],C [A04],A [A23],A [A23],A [A23],,,,,C [A04],,,F [A30],,P [A30],,P [A30],C [A04],,,,,F [A30],,,,,P [A30],,,,,,,,,,F [A30],,P [A30],,,,,,C [A04],,,,C [A04],,F [A30],F [A30],F [A30],P [A30],P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,10,H,CC,PAL,NANNO
363-U1488A-11H-1-W 90/90-NANNO,0,0,92.3,92.3,,AGSF - only R. pseudoumbilicus <7 um present in sample,,,,,,,,,,,x [A115],,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,,,C [A04],P [A30],R [A30],F [A30],R [A30],P [A30],R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,11,H,1,W,90/90-NANNO
363-U1488A-11H-4-W 90/90-NANNO,0,0,96.8,96.8,,AGSF - R pseudoumbilicus >7 um - present; really big D. variabilis,,,,,,,,,,,F [A30],,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,,,C [A04],,R [A30],C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,11,H,4,W,90/90-NANNO
363-U1488A-11H-6-W 90/90-NANNO,0,0,99.8,99.8,,AGSF - discoasters few,,,,,,,,,,,F [A30],,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,C [A04],,,,C [A04],P [A30],,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,11,H,6,W,90/90-NANNO
363-U1488A-11H-CC-PAL-NANNO,0,5,101.25,101.3,,TDJ -,G [P33],D [A22],A [A23],,,,,,F [A30],R [A30],C [A04],A [A23],,,,,R [A30],,,F [A30],,F [A30],C [A04],F [A30],C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],F [A30],,,F [A30],,F [A30],C [A04],R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,363,U1488,A,11,H,CC,PAL,NANNO
363-U1488A-12H-2-W 130/130-NANNO,0,0,103.7,103.7,,"AGSF - airplane discoaster; Ceratolithus mostly overgrown; looking for Amaurolithus tricorniculatus, apparently absent",,,,,,,,,,,A [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,x [A115],,,,A [A23],,,,C [A04],F [A30],R [A30],C [A04],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,12,H,2,W,130/130-NANNO
363-U1488A-12H-4-W 60/60-NANNO,0,0,106,106,,AGSF - Ceratlithus overgrown; airplane discoaster,,,,,,,,,,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,x [A115],,,,A [A23],,,,C [A04],R [A30],R [A30],C [A04],R [A30],,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,12,H,4,W,60/60-NANNO
363-U1488A-12H-6-W 60/60-NANNO,0,0,109,109,,AGSF - airplane discoaster; Ceratolithus overgrown,,,,,,,,,,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,x [A115],,,,A [A23],,,,C [A04],R [A30],R [A30],C [A04],R [A30],,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,12,H,6,W,60/60-NANNO
363-U1488A-12H-CC-PAL-NANNO,0,5,110.47,110.52,,TDJ -,G [P33],D [A22],A [A23],,,,,,,,C [A04],A [A23],,,,,,,F [A30],,,,C [A04],,C [A04],,,,,F [A30],,,,,P [A30],,,,,,,,,,,,R [A30],,,,,,A [A23],C [A04],,,C [A04],,F [A30],C [A04],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,12,H,CC,PAL,NANNO
363-U1488A-13H-2-W 80/80-NANNO,0,0,112.7,112.7,,AGSF - overgrown ceratoliths; airplane discoaster,,,,,,,,,,,C [A04],,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,x [A115],,,,A [A23],,,,C [A04],R [A30],F [A30],C [A04],R [A30],,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,13,H,2,W,80/80-NANNO
363-U1488A-13H-4-W 80/80-NANNO,0,0,115.7,115.7,,AGSF - Ceratolithus spp overgrown,,,,,,,,,,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,C [A04],,,,C [A04],R [A30],R [A30],C [A04],P [A30],,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,13,H,4,W,80/80-NANNO
363-U1488A-13H-6-W 80/80-NANNO,0,0,118.7,118.7,,AGSF - fewer D. brouweri compared to 3H-4,,,,,,,,,,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x [A115],,,,A [A23],,,,F [A30],R [A30],R [A30],C [A04],R [A30],R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,13,H,6,W,80/80-NANNO
363-U1488A-13H-CC-PAL-NANNO,0,5,120.31,120.36,,"TDJ - noticeably less F. profunda; no C. pelagicus observed - when they were in core 11, they were much smaller (about 4um) when compared to early Pleistocene forms(>10um with bar).",G [P33],D [A22],C [A04],,,,,,,,A [A23],A [A23],,,,,,,F [A30],F [A30],,,C [A04],F [A30],C [A04],,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,,F [A30],,,C [A04],,,C [A04],F [A30],P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,13,H,CC,PAL,NANNO
363-U1488A-14H-2-W 60/60-NANNO,0,0,122,122,,AGSF - Ceratoliths overgrown; common Scyphosphaera,,,,,,,,,,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,x [A115],,,,C [A04],,,,F [A30],R [A30],R [A30],C [A04],P [A30],,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,14,H,2,W,60/60-NANNO
363-U1488A-14H-4-W 60/60-NANNO,0,0,125,125,,AGSF - didn't check other taxa. just looked for Amaurolithus; airplane discoaster present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,x [A115],,,,,,,,,,,C [A04],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,14,H,4,W,60/60-NANNO
363-U1488A-14H-6-W 60/60-NANNO,0,0,128,128,,TDJ,M [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,14,H,6,W,60/60-NANNO
363-U1488A-14H-CC-PAL-NANNO,0,5,129.75,129.8,,TDJ - C. cristatus present (no C. armatus),G [P33],D [A22],C [A04],,,,,,,,A [A23],A [A23],,,,,,,F [A30],,,,C [A04],,F [A30],,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,C [A04],F [A30],,,C [A04],,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,14,H,CC,PAL,NANNO
363-U1488A-15H-2-W 80/80-NANNO,0,0,131.7,131.7,,TDJ -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],X [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,15,H,2,W,80/80-NANNO
363-U1488A-15H-4-W 80/80-NANNO,0,0,134.7,134.7,,TDJ -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X [A115],R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,15,H,4,W,80/80-NANNO
363-U1488A-15H-6-W 10/10-NANNO,0,0,137,137,,TDJ -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,15,H,6,W,10/10-NANNO
363-U1488A-15H-CC-PAL-NANNO,0,5,139.25,139.3,,TDJ - C. armatus present (no C. cristatus),M [P33],D [A22],,,,,,,,,A [A23],A [A23],,,,,,,F [A30],,,,C [A04],,F [A30],,,,,,,,,,R [A30],,,,,,,,,,,,,R [A30],,,,,A [A23],A [A23],,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,15,H,CC,PAL,NANNO
363-U1488A-16H-2-W 80/80-NANNO,0,0,141.2,141.2,,TDJ -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,16,H,2,W,80/80-NANNO
363-U1488A-16H-4-W 80/80-NANNO,0,0,144.2,144.2,,TDJ -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,16,H,4,W,80/80-NANNO
363-U1488A-16H-6-W 10/10-NANNO,0,0,146.5,146.5,,TDJ -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,,,,C [A04],,,C [A04],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,16,H,6,W,10/10-NANNO
363-U1488A-16H-CC-PAL-NANNO,0,5,148.84,148.89,,TDJ - C. armatus present,M [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,R [A30],,R [A30],,,A [A23],,,,C [A04],,,C [A04],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,16,H,CC,PAL,NANNO
363-U1488A-17H-2-W 80/80-NANNO,0,0,150.7,150.7,,TDJ -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,17,H,2,W,80/80-NANNO
363-U1488A-17H-4-W 80/80-NANNO,0,0,153.7,153.7,,TDJ -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],F [A30],F [A30],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,17,H,4,W,80/80-NANNO
363-U1488A-17H-6-W 10/10-NANNO,0,0,156,156,,TDJ -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,17,H,6,W,10/10-NANNO
363-U1488A-17H-CC-PAL-NANNO,0,5,158.3,158.35,,TDJ - no Ceratolithus present; rare Orthorhabdus rugosus,M [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],,,,,R [A30],C [A04],C [A04],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,17,H,CC,PAL,NANNO
363-U1488A-18H-2-W 80/80-NANNO,0,0,160.2,160.2,,TDJ -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,F [A30],F [A30],F [A30],,,C [A04],,,,,,,,,,,,X [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,18,H,2,W,80/80-NANNO
363-U1488A-18H-4-W 80/80-NANNO,0,0,163.2,163.2,,TDJ - D. quinqueramus present; searched for Amaurolithus - none seen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],,,,,,F [A30],F [A30],F [A30],,,C [A04],,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,18,H,4,W,80/80-NANNO
363-U1488A-18H-6-W 10/10-NANNO,0,0,165.5,165.5,,TDJ -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],,,,,,F [A30],F [A30],F [A30],,,F [A30],,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,18,H,6,W,10/10-NANNO
363-U1488A-18H-CC-PAL-NANNO,0,5,167.79,167.84,,TDJ - D. quinqueramus present,M [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],,,,F [A30],,C [A04],F [A30],C [A04],,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,18,H,CC,PAL,NANNO
363-U1488A-19H-2-W 80/80-NANNO,0,0,169.7,169.7,,TDJ -,M [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,19,H,2,W,80/80-NANNO
363-U1488A-19H-4-W 80/80-NANNO,0,0,172.7,172.7,,TDJ - NO N. amplificus seen,M [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,19,H,4,W,80/80-NANNO
363-U1488A-19H-6-W 10/10-NANNO,0,0,175,175,,TDJ - N. amplificus present,M [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,19,H,6,W,10/10-NANNO
363-U1488A-19H-CC-PAL-NANNO,0,5,177.09,177.14,,TDJ - N.amplificus present; D. quinqueramus present,M [P33],D [A22],,,,,,,,,C [A04],A [A23],,,,,,,C [A04],,,,F [A30],,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],C [A04],,,,F [A30],,F [A30],F [A30],,,,F [A30],,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,19,H,CC,PAL,NANNO
363-U1488A-20H-2-W 80/80-NANNO,0,0,179.2,179.2,,TDJ - no N. amplificus seen,M [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,20,H,2,W,80/80-NANNO
363-U1488A-20H-4-W 80/80-NANNO,0,0,182.2,182.2,,TDJ - A. delicatus present; N.amplificus present,M [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,20,H,4,W,80/80-NANNO
