Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],?Acarinina spp.,?Morozovella spp.,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis ,Clavatorella bermudezi ,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi ,Globigerina euapertura,Globigerina falconensis,Globigerina gortanii ,Globigerina ouachitaensis ,Globigerina praebulloides,Globigerina pseudovenezuelana ,Globigerina quinqueloba,Globigerina rubescens (pink),Globigerina rubescens (white),Globigerina tapuriensis ,Globigerina tripartita,Globigerinatella insueta ,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiaperturus,Globigerinoides conglobatus ,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius ,Globigerinoides ruber (pink),Globigerinoides ruber (white) ,Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus ,Globoquadrina baroemoenensis,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina praedehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii ,Globorotalia birnageae,Globorotalia cibaoensis ,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula ,Globorotalia decoraperta ,Globorotalia exilis ,Globorotalia fimbriata,Globorotalia flexuosa ,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai ,Globorotalia lenguaensis,Globorotalia limbata ,Globorotalia margaritae ,Globorotalia menardii ,Globorotalia merotumida,Globorotalia miotumida,Globorotalia miozea ,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta ,Globorotalia peripheroronda,Globorotalia pertenuis,Globorotalia plesiotumida ,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica ,Globorotalia scitula,Globorotalia sp. ,Globorotalia tosaensis ,Globorotalia truncatulinoides ,Globorotalia tumida ,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta ,Globoturborotalita nepenthes ,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp. ,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (dextral) ,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp. ,Orbulina sp. ,Orbulina suturalis ,Orbulina universa ,Paragloborotalia kugleri,Paragloborotalia mayeri ,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Paragloborotalia sp.,Praeorbulina circularis,Praeorbulina glomerosa,Praeorbulina sicana,Praeorbulina sp. ,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra ,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis ,Sphaeroidinella dehiscens ,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides ,Subbotina eocaena s.l.,Subbotina linaperta s.l. ,Subbotinal yeguaensis s.l.,Tenuitella gemma ,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis ,Turborotalia cocoaensis ,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli ,Turborotalita humilis,Comment,Ship File Links,Shore File Links,File Data
368-U1505C-37F-CC-PAL-FORAM,0,5,272.96,273.01,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,F [A88],,,,,,P [A88],,,,,P [A88],,,,,,,,,,,,,,,,,R [A88],,,A [A88],F [A88],,,,R [A88],P [A88],,F [A88],,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,P [A88],P [A88],R [A88],P [A88],,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,
368-U1505C-38F-CC-PAL-FORAM,0,5,277.9,277.95,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,A [A88],A [A88],,,,R [A88],P [A88],,F [A88],,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,P [A88],,,,,P [A88],R [A88],R [A88],P [A88],,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,
368-U1505C-39F-CC-PAL-FORAM,0,5,279.35,279.4,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,R [A88],,,A [A88],F [A88],,,,R [A88],P [A88],,R [A88],,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,P [A88],R [A88],P [A88],,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,
368-U1505C-40F-CC-PAL-FORAM,0,5,284.39,284.44,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,P [A88],,,,F [A88],,,,,,P [A88],,,,,,,,,,,,,,,,P [A88],,P [A88],,,,R [A88],,,A [A88],F [A88],,,,P [A88],P [A88],,F [A88],,P [A88],,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,P [A88],P [A88],,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,
368-U1505C-41F-CC-PAL(20-25)-FORAM,0,5,288.96,289.01,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,P [A88],,,,F [A88],,,,,,,,,,,P [A88],,,,,,,,,,,P [A88],,,,,,R [A88],,,A [A88],F [A88],,,,P [A88],P [A88],,F [A88],,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,
368-U1505C-42F-CC-PAL(28-33)-FORAM,0,5,293.78,293.83,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,P [A88],,,,A [A88],,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,R [A88],,,F [A88],F [A88],,,,,P [A88],,P [A88],,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,P [A88],,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,
368-U1505C-43F-CC-PAL(21-26)-FORAM,0,5,298.17,298.22,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,A [A88],,,,,,P [A88],,,,,P [A88],,,,,,,,,,,P [A88],,,,,,R [A88],,,F [A88],A [A88],,,,,,,F [A88],,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1505C-44F-CC-PAL(26-31)-FORAM,0,5,303.16,303.21,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,A [A88],,,,,,P [A88],,,,,P [A88],,,,,,,,,,,P [A88],,,,,,R [A88],,,A [A88],A [A88],,,,,P [A88],,P [A88],,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,P [A88],,,,,,,,,,,,P [A88],,,,,,,R [A88],P [A88],,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,
368-U1505C-45F-CC-PAL(22-27)-FORAM,0,5,307.87,307.92,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,A [A88],,,,,,,,,,,R [A88],,,,,,,,,,,F [A88],,,,,,,,,F [A88],F [A88],,,,,P [A88],,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,
368-U1505C-46F-CC-PAL(20-25)-FORAM,0,5,310.69,310.74,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,,,,,,,P,,,,,P [A88],,,,,,,,,,,,,,,,,P [A88],,,,,,,,P [A88],P [A88],,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1505C-47F-CC-PAL(21-26)-FORAM,0,5,314.85,314.9,,,,,,,,,,,,,,G,A,90,,,,,,,,,,,P,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,P [A88],,,,,,,,,P,,,P,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1505C-48X-CC-PAL(36-41)-FORAM,0,5,326.88,326.93,,,,,,,,,,,,,,G [P32],A,90,,,,,,,F [A88],,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1505C-49X-CC-PAL(34-39)-FORAM,0,5,336.65,336.7,,,,,,,,,,,,,,M [P32],A [A87],95,,,,,,,F [A88],,,,R [A88],,,,,,,A [A88],,,,A [A88],,,,,,,,,,,F [A88],,,,,,,,,,,,,,,P [A88],P [A88],,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,P [A88],,,,,,,,,,,,P [A88],,,,,,,,P [A88],,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,
368-U1505C-50X-CC-PAL-FORAM,0,5,346.07,346.12,,,,,,,,,,,,,,M [P32],A [A87],90,,,,,,,R [A88],,,,,,,,,,,P [A88],,,,F [A88],,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,P [A88],P [A88],F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,R [A88],,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1505C-51X-CC-PAL-FORAM,0,5,355.53,355.58,,,,,,,,,,,,,,M [P32],A [A87],90,,,,,,,R [A88],,,,,,,,,,,R [A88],,,,R [A88],,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,P [A88],F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1505C-52X-CC-PAL-FORAM,0,5,364.93,364.98,,,,,,,,,,,,,,M [P32],A [A87],90,,,,,,,R [A88],,,,,,,,,,,F [A88],,,,R [A88],,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,R [A88],R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,R [A88],A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1505C-53X-CC-PAL-FORAM,0,5,374.52,374.57,,,,,,,,,,,,,,M [P32],A [A87],70,,,,,,,F [A88],,,,,,,,,,,R [A88],,,,R [A88],,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,P [A88],R [A88],F [A88],F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1505C-54X-CC-PAL-FORAM,0,5,383.9,383.95,,,,,,,,,,,,,,M [P32],A [A87],95,,,,,,,R [A88],,,,,,,,,P [A88],,R [A88],,,,R [A88],,,,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,P [A88],R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1505C-55X-CC-PAL(44-49)-FORAM,0,5,394.06,394.11,,,,,,,,,,,,,,M [P32],A [A87],90,,,,,,,R [A88],,,,,,,,,P [A88],,R [A88],,,,F [A88],,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,P [A88],F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1505C-56X-CC-PAL(37-42)-FORAM,0,5,403.79,403.84,,,,,,,,,,,,,,M,A [A87],90,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,P [A88],,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1505C-57X-1-W 24/26-FORAM,0,2,403.74,403.76,,,,,,,,,,,,,,P [P32],B [A87],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1505C-57X-CC-PAL(39-44)-FORAM,0,5,413.44,413.49,,,,,,,,,,,,,,P [P32],R [A87],5,,,,,,,,,,,,,,,,,,,,,P [A88],R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1505C-58X-CC-PAL(37-42)-FORAM,0,5,419.53,419.58,,,,,,,,,,,,,,,B [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1505C-59X-CC-PAL(46-51)-FORAM,0,5,430.21,430.26,,,,,,,,,,,,,,M [P32],C [A87],50,,,,,,,,,,,,,,,,R [A88],,,,,F [A88],R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,
368-U1505C-60X-CC-PAL-FORAM,0,5,442.26,442.31,,,,,,,,,,,,,,M,A [A87],75,,,,,,,,,P [A88],,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1505C-61X-CC-PAL-FORAM,0,5,451.88,451.93,,,,,,,,,,,,,,M [P32],C [A87],70,,,,,,,,,,,,,,,,R [A88],,,,,F [A88],F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,
368-U1505C-62X-CC-PAL-FORAM,0,5,461.44,461.49,,,,,,,,,,,,,,M [P32],C [A87],50,,,,,,,,,,,,,,,,F [A88],,,,,R [A88],F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,
368-U1505C-63X-CC-PAL-FORAM,0,5,471.04,471.09,,,,,,,,,,,,,,P [P32],R [A87],10,,,,,,,,,,,,,,,,F [A88],,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1505C-64X-CC-PAL(36-41)-FORAM,0,5,480.49,480.54,,,,,,,,,,,,,,P [P32],R [A87],10,,,,,,,,,,,,,,,,F [A88],,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,
