Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys wolffii,Lithopera thornburgi,Lithopera renzae,Diartus petterssoni,Cyrtocapsella japonica,Cyrtocapsella cornuta,Carpocanopsis cristata,Botryostrobus miralestensis,Stichocorys delmontensis,Siphostichartus corona,Phormostichoartus doliolum,Diartus hughesi,Calocycletta caepa,Stichocorys johnsoni,Solenosphaera omnitubus omnitubus,Didymocyrtis penultima,Stichocorys peregrina,Lychnodictyum audax,Theocorythium vetulum,Stylatractus universus,Spongaster tetras,Pterocanium prismatium,Phormostichoartus fistula,Lamprocyrtis neoheteroporos,Lamprocyrtis heteroporos,Anthocyrtidium pliocenica,Anthocyrtidium jenghisi,Amphirhopalum ypsilon,Theocalyptra davisiana,Anthocyrtidium angulare,Pterocorys minythorax,Lamprocyrtis nigriniae,Theocorythium trachelium trachelium,Collosphaera tuberosa,Comment
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 846,B,  8,H,CC,  18.00,     73.9300,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,F                    ,R                     ,R                ,R                     ,                         ,R                          ,-                       ,                         ,                       ,R                    ,R                     ,                       ,                     ,                      ,                                   ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 846,B,  9,H, 3, 110.00,     77.6000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,F                    ,R                     ,R                ,R                     ,                         ,R                          ,-                       ,                         ,                       ,R                    ,R                     ,                       ,                     ,                      ,                                   ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 846,B,  9,H, 4, 100.00,     79.0000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,F                    ,R                     ,R                ,R                     ,                         ,-                          ,-                       ,                         ,-                      ,R                    ,R                     ,                       ,                     ,                      ,                                   ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 846,B,  9,H, 5, 110.00,     80.6000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,F                    ,R                     ,R                ,R                     ,                         ,R                          ,R                       ,                         ,R                      ,R                    ,R                     ,                       ,                     ,                      ,                                   ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 846,B,  9,H,CC,  25.00,     83.0400,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,F                    ,R                     ,R                ,R                     ,                         ,R                          ,-                       ,                         ,R                      ,R                    ,R                     ,                       ,                     ,                      ,                                   ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
