Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)		Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Quadrum trifidum	Quadrum sissinghii	Micula decussata	Micula concava	Cribrosphaerella ehrenbergii	Cretarhabdus crenulatus	Ceratolithoides aculeus	Aspidolithus parcus parcus	Quadrum gothicum	Toweius pertusus	Sphenolithus anarrhopus	Placozygus sigmoides	Heliolithus kleinpellii	Fasciculithus tympaniformis	Fasciculithus thomasii	Discoaster mohleri	Cruciplacolithus tenuis	Cruciplacolithus primus	Cruciplacolithus frequens	Cruciplacolithus asymmetricus	Coccolithus pelagicus	Chiasmolithus bidens	Zygrhablithus bijugatus	Toweius eminens	Fasciculithus involutus	Markalius inversus	Heliolithus riedelii	Chiasmolithus consuetus	Tribrachiatus orthostylus	Toweius crassus	Discoaster lodoensis	Coccolithus formosus	Campylosphaera dela	Chiasmolithus grandis	Sphenolithus radians	Ellipsolithus macellus	Coronocyclus nitescens	Discoaster barbadiensis	Clausicoccus fenestratus	Toweius gammation	Chiasmolithus solitus	Discoaster sublodoensis	Reticulofenestra dictyoda	Nannotetrina fulgens	Chiasmolithus gigas	Comment
  IR	                 	Late Paleocene   	                  	NP8           		197	1204	A	  6	R	 1	  25.00	    810.1500	Siesser  	Nannofossils                                 	F              	M                 	                    	                	                  	                	              	                            	                       	                       	                          	                	R               	R                      	F                   	F                      	F                          	                      	R                 	                       	                       	                         	                             	F                    	R                   	                       	F              	                       	F                 	R                   	                       	                         	               	                    	                    	                   	                     	                    	                      	                      	                       	                        	                 	                     	                       	                         	                    	                   	       

  IR	                 	Late Paleocene   	                  	NP8           		197	1204	A	  6	R	 1	  50.00	    810.4000	Siesser  	Nannofossils                                 	F              	M                 	                    	                	                  	                	              	                            	                       	                       	                          	                	                	                       	C                   	C                      	F                          	                      	R                 	                       	                       	                         	                             	C                    	R                   	F                      	F              	R                      	R                 	                    	F                      	                         	               	                    	                    	                   	                     	                    	                      	                      	                       	                        	                 	                     	                       	                         	                    	                   	       

  IR	                 	Late Paleocene   	                  	NP8           		197	1204	A	  6	R	 1	  58.00	    810.4800	Siesser  	Nannofossils                                 	C              	M                 	                    	                	                  	                	              	                            	                       	                       	                          	                	R               	F                      	F                   	F                      	F                          	                      	R                 	R                      	                       	                         	                             	C                    	R                   	R                      	F              	                       	R                 	R                   	F                      	                         	               	                    	                    	                   	                     	                    	                      	                      	                       	                        	                 	                     	                       	                         	                    	                   	       

  IR	                 	Late Paleocene   	                  	NP7           		197	1204	A	  6	R	 1	  79.00	    810.6900	Siesser  	Nannofossils                                 	F              	M                 	                    	                	                  	                	              	                            	                       	                       	                          	                	R               	R                      	F                   	F                      	F                          	                      	R                 	R                      	R                      	R                        	R                            	F                    	F                   	R                      	F              	R                      	                  	                    	                       	                         	               	                    	                    	                   	                     	                    	                      	                      	                       	                        	                 	                     	                       	                         	                    	                   	       

  IR	                 	Late Paleocene   	                  	NP7           		197	1204	A	  6	R	 1	 107.00	    810.9700	Siesser  	Nannofossils                                 	F              	M                 	                    	                	                  	                	              	                            	                       	                       	                          	                	R               	R                      	F                   	F                      	F                          	R                     	R                 	R                      	R                      	R                        	R                            	C                    	R                   	                       	               	                       	                  	                    	                       	                         	               	                    	                    	                   	                     	                    	                      	                      	                       	                        	                 	                     	                       	                         	                    	                   	       

  IR	                 	Campanian        	CC23              	CC22(Perch-Nielsen)	197	1204	A	  6	R	 2	  86.00	    812.2600	Siesser  	Nannofossils                                 	R              	M                 	C                   	R               	                  	F               	R             	R                           	                       	F                      	                          	R               	                	                       	                    	                       	                           	                      	                  	                       	                       	                         	                             	                     	                    	                       	               	                       	                  	                    	                       	                         	               	                    	                    	                   	                     	                    	                      	                      	                       	                        	                 	                     	                       	                         	                    	                   	       

  IR	                 	Campanian        	CC23              	CC22(Perch-Nielsen)	197	1204	A	  6	R	 3	  80.00	    813.7000	Siesser  	Nannofossils                                 	R              	M                 	C                   	F               	R                 	C               	R             	R                           	R                      	R                      	R                         	                	                	                       	                    	                       	                           	                      	                  	                       	                       	                         	                             	                     	                    	                       	               	                       	                  	                    	                       	                         	               	                    	                    	                   	                     	                    	                      	                      	                       	                        	                 	                     	                       	                         	                    	                   	       

