taxon_name,taxon_group
Subbotina gortanii (Borsettti) 1959 pp 205-212 pl 1 fig 1,planktic_forams
Globoconella puncticuloides (compressed),planktic_forams
Nonionella flemingi,benthic_forams
Dictyococcites scrippsae (< 10 μm),nannofossils
Globigerinatheka barri,planktic_forams
"Acarinina medizzai (Tourmarkine & Bolli, 1975 = Globigerina medizzai)",planktic_forams
Enneadocysta pectinoformis,dinoflagellates
Sigmoilopsis schlumbergeri,benthic_forams
Peneroplis pertusus,benthic_forams
Pontosphaera syracusana,nannofossils
Astalocus bradyi,benthic_forams
Discoaster spp.,nannofossils
Amaurolithus tricorniculatus,nannofossils
Triceratium kanayae var. quadriloba,diatoms
Thalassiosira inura,diatoms
Dorcadospyris cyclacantha n. sp.,radiolarians
"Morozovella praeangulata (Blow, 1979)",planktic_forams
Tetralithoides symeonidesii,nannofossils
Coccolithus cachaoi,nannofossils
"Subbotina eocaena (Guembel, 1868 p.662, pl.2, figs.109a-b as Globigerina)",planktic_forams
Arachnodinium antarcticum,dinoflagellates
Eisenackia reticulata,dinoflagellates
Nematosphaeropsis labyrinthus,dinoflagellates
Denticulopsis delicata,diatoms
Acarinina interposita,planktic_forams
Morozovella lensiformis,planktic_forams
Turborotalia increbescens,planktic_forams
Aragonia tenera,benthic_forams
Hantkenina alabamensis,planktic_forams
Cassigerinella chipolensis _T,planktic_forams
Paragloborotalia opima nana (Bolli) 1957 p 118 pl 28 figs 3a-c as Globorotalia,planktic_forams
Menardella limbata,planktic_forams
"Pseudoglobigerinella bolivariana (Petters, 1954)",planktic_forams
Discoaster pentaradiatus,nannofossils
Reticulofenestra daviesii,nannofossils
"Cassigerinella winniana (Howe, 1939)",planktic_forams
Thalassiosira miocenica,diatoms
Spiniferites sp. A,dinoflagellates
Chaetoceros bullbosum,diatoms
"Morozovella crater (Finlay, 1939)",planktic_forams
Hyalinea balthica,benthic_forams
Scyphosphaera apsteinii,nannofossils
"Acarinina sibaiyaensis (El Naggar, 1966)",planktic_forams
Laticarinina pauperata,benthic_forams
Melonis pompilioides,benthic_forams
"Paragloborotalia opima (Bolli, 1957)",planktic_forams
Igorina albeari,planktic_forams
Pyxilla sp.,diatoms
"Woodringina hornerstownensis Olsson, 1960",planktic_forams
Dorcadospyris circulus,radiolarians
Oolina globosa,benthic_forams
Catapsydrax parvulus,planktic_forams
Globigerinoides ruber _pink_ T,planktic_forams
Zeaglobigerina woodi,planktic_forams
Cerebrocysta spp.,dinoflagellates
Coscinodiscus marginatus,diatoms
Cassigerinella martinezpicoi,planktic_forams
Victoriella conoidea,benthic_forams
Siphotextularia awamoana,benthic_forams
Globorotalia praemenardii _B,planktic_forams
Pseudotriquetrorhabdulus inversus,nannofossils
Thalassionema nitzschioides  var. parva,diatoms
Dorcadospyris copelata n. sp.,radiolarians
