Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Sphenolithus spiniger	Sphenolithus pseudoradians	Sphenolithus moriformis	Sphenolithus furcatolithoides	Reticulofenestra umbilica	Reticulofenestra samodurovii	Pseudotriquetrorhabdulus inversus	Pedinocyclus larvalis	Markalius sp. 2	Markalius sp. 1	Markalius inversus	Lanternithus minutus	Holococcolith type A	Helicosphaera heezenii	Ericsonia pacifica	Ericsonia formosa	Discoaster saipanensis	Discoaster deflandrei	Discoaster barbadiensis	Cyclolithella kalianata	Cyclicargolithus floridanus	Cruciplacolithus tarquinius	Cribrocentrum reticulatum	Coccolithus sp.1	Coccolithus pelagicus	Coccolithus eopelagicus	Chiasmolithus titus	Chiasmolithus grandis	Campylosphaera dela	Calcidiscus protoannulus	Calcidiscus kingii	Bramletteius serraculoides	Pemma rotundum	Discoaster nodifer	Braarudosphaera bigelowii	Discoaster tanii	Pontosphaera segmenta	Sphenolithus predistentus	Micrantholithus flos	Helicosphaera reticulata	Helicosphaera euphratis	Dictyococcites scrippsae	Dictyococcites bisectus	Coronocyclus nitescens	Triquetrorhabdulus carinatus	Sphenolithus distentus	Sphenolithus ciperoensis	Ericsonia obruta	Coccolithus fuscus	Sphenolithus dissimilis	Triquetrorhabdulus milowii	Sphenolithus heteromorphus	Sphenolith (unspecified taxon or taxa)	Scyphosphaera spp.	Reticulofenestrid taxa	Helicosphaera carteri	Hayella aperta	Geminilithella rotula	Discoaster variabilis	Discoaster undefined 6-ray b.	Discoaster signus-tuberi	Discoaster moorei	Discoaster extensus-dilatus group	Discoaster exilis	Discoaster adamanteus	Dictyococcites spp.	Coccolithus radiatus	Thoracosphaera spp.	Pontosphaera spp.	Discoaster formosus	Helicosphaera obliqua	Helicosphaera intermedia	Cyclicargolithus abisectus (< 10 microns)	Coccolithus miopelagicus	Calcidiscus leptoporus	Discoaster undefined 6-ray m.	Calcidiscus premacintyrei	Triquetrorhabdulus rugosus/rioensis	Syracosphaera spp.	Reticulofenestra pseudoumbilicus	Discoaster undefined 5-ray	Discoaster triradiatus	Discoaster intercalaris	Discoaster hamatus	Discoaster brouweri	Catinaster coalitus	Calcidiscus macintyrei	Discoaster undefined 6-ray	Discoaster pansus	Discoaster neohamatus	Discoaster bellus	Catinaster calyculus	Minylitha convallis	Discoaster surculus	Discoaster prepentaradiatus	Discoaster pentaradiatus	Umbilicosphaera spp.	Discoaster sp. 1	Discoaster quinqueramus/berggrenii	Amaurolithus primus	Amaurolithus delicatus	Amaurolithus amplificus	Discoaster sp. 2	Discoaster asymmetricus	Rhabdosphaera spp.	Discoaster tristellifer	Ceratolithus rugosus	Amaurolithus tricorniculatus	Ceratolithus armatus	Ceratolithus acutus	Helicosphaera sellii	Pseudoemiliania lacunosa	Discoaster decorus	Discoaster tamalis	Ceratolithus cristatus	Comment
  SR	                 	                 	CN8               	              	115	 712	A	  4	R	 2	  93.00	     31.0300	Rio      	Nannofossils                                 	A              	P                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	C                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	A                                     	                  	F                     	C                    	              	C                    	cf                   	C                            	                        	                 	                                 	                 	                     	                   	R                   	                   	R                	                   	                     	                        	                                         	                        	C                     	                             	                         	R                                  	cf                	                                	C                         	                      	                       	                  	C                  	                   	R                     	C                         	                 	cf                   	cf               	                    	                   	R                  	                           	F                       	R                   	                	                                  	                   	                      	                       	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN8               	              	115	 712	A	  4	R	 2	 102.00	     31.1200	Rio      	Nannofossils                                 	A              	P                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	C                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	A                                     	                  	F                     	C                    	              	C                    	F                    	C                            	                        	                 	                                 	                 	                     	C                  	F                   	                   	                 	                   	                     	                        	                                         	                        	C                     	                             	                         	R                                  	                  	                                	C                         	R                     	                       	                  	C                  	                   	R                     	C                         	R                	F                    	cf               	                    	C                  	                   	                           	F                       	                    	                	                                  	                   	                      	                       	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN8               	              	115	 712	A	  4	R	 3	  30.00	     31.9000	Rio      	Nannofossils                                 	A              	M                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	C                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	A                                     	                  	                      	C                    	              	C                    	F                    	C                            	                        	                 	                                 	                 	                     	R                  	F                   	R                  	                 	                   	                     	                        	                                         	                        	C                     	                             	                         	R                                  	cf                	                                	C                         	                      	R                      	                  	C                  	                   	R                     	C                         	                 	C                    	                 	                    	C                  	                   	C                          	F                       	                    	                	                                  	                   	                      	                       	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN8               	              	115	 712	A	  4	R	CC	   0.00	     32.1700	Rio      	Nannofossils                                 	A              	M                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	C                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	C                                     	                  	                      	C                    	              	C                    	C                    	C                            	                        	                 	                                 	                 	                     	                   	C                   	R                  	                 	                   	                     	                        	                                         	                        	C                     	                             	                         	R                                  	                  	                                	C                         	R                     	                       	                  	C                  	                   	F                     	C                         	R                	C                    	cf               	                    	C                  	                   	                           	R                       	                    	                	                                  	                   	                      	                       	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN8               	              	115	 712	A	  5	R	 1	  75.00	     39.0500	Rio      	Nannofossils                                 	A              	M                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	C                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	C                                     	                  	C                     	C                    	              	C                    	C                    	C                            	                        	                 	                                 	                 	                     	F                  	C                   	F                  	                 	                   	                     	                        	                                         	                        	C                     	                             	                         	F                                  	                  	C                               	F                         	R                     	                       	                  	C                  	                   	R                     	C                         	F                	C                    	                 	                    	C                  	cf                 	C                          	                        	                    	                	                                  	                   	                      	                       	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN7               	              	115	 712	A	  5	R	 1	 130.00	     39.6000	Rio      	Nannofossils                                 	A              	M                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	C                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	C                                     	                  	C                     	C                    	              	C                    	C                    	C                            	                        	                 	                                 	R                	                     	F                  	C                   	R                  	                 	                   	                     	                        	                                         	                        	C                     	                             	                         	F                                  	                  	C                               	                          	R                     	F                      	F                 	F                  	                   	F                     	F                         	R                	C                    	F                	F                   	                   	                   	                           	                        	                    	                	                                  	                   	                      	                       	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN7               	              	115	 712	A	  5	R	 2	  75.00	     40.5500	Rio      	Nannofossils                                 	A              	M                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	C                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	C                                     	                  	C                     	C                    	              	                     	C                    	C                            	                        	R                	                                 	F                	                     	C                  	F                   	R                  	                 	                   	                     	                        	                                         	R                       	C                     	                             	                         	C                                  	cf                	C                               	R                         	R                     	R                      	R                 	R                  	F                  	F                     	                          	                 	                     	                 	                    	                   	                   	                           	                        	                    	                	                                  	                   	                      	                       	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN4               	              	115	 712	A	  6	R	 1	  75.00	     48.6500	Rio      	Nannofossils                                 	A              	M                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	A                          	                           	                         	                	C                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	R                      	                        	                       	C                     	                            	                      	                        	                	                  	                       	                          	A                         	C                                     	F                 	A                     	C                    	              	                     	                     	C                            	                        	R                	                                 	                 	F                    	                   	R                   	                   	                 	                   	R                    	R                       	                                         	R                       	F                     	C                            	R                        	                                   	                  	                                	                          	                      	                       	                  	                   	                   	                      	                          	                 	                     	                 	                    	                   	                   	                           	                        	                    	                	                                  	                   	                      	                       	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN4               	              	115	 712	A	  6	R	 2	  75.00	     50.1500	Rio      	Nannofossils                                 	A              	M                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	F                    	                       	                       	A                          	                           	                         	                	C                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	C                     	                            	                      	                        	                	                  	                       	                          	A                         	C                                     	                  	A                     	C                    	              	                     	F                    	C                            	R                       	R                	R                                	cf               	F                    	C                  	R                   	                   	                 	R                  	R                    	R                       	R                                        	F                       	R                     	                             	                         	                                   	                  	                                	                          	                      	                       	                  	                   	                   	                      	                          	                 	                     	                 	                    	                   	                   	                           	                        	                    	                	                                  	                   	                      	                       	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN4               	              	115	 712	A	  6	R	 2	 130.00	     50.7000	Rio      	Nannofossils                                 	A              	P                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	C                    	                       	                       	A                          	                           	                         	                	C                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	F                     	                            	                      	                        	                	                  	                       	                          	C                         	C                                     	                  	C                     	C                    	C             	                     	R                    	                             	cf                      	R                	F                                	cf               	F                    	C                  	                    	F                  	F                	cf                 	                     	                        	                                         	                        	                      	                             	                         	                                   	                  	                                	                          	                      	                       	                  	                   	                   	                      	                          	                 	                     	                 	                    	                   	                   	                           	                        	                    	                	                                  	                   	                      	                       	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN4               	              	115	 712	A	  6	R	 3	  20.00	     51.1000	Rio      	Nannofossils                                 	A              	M                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	C                    	                       	                       	A                          	                           	                         	                	F                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	C                     	                            	                      	                        	                	                  	                       	F                         	A                         	C                                     	F                 	C                     	C                    	C             	F                    	R                    	C                            	cf                      	R                	F                                	cf               	F                    	F                  	R                   	                   	                 	                   	                     	                        	                                         	                        	                      	                             	                         	                                   	                  	                                	                          	                      	                       	                  	                   	                   	                      	                          	                 	                     	                 	                    	                   	                   	                           	                        	                    	                	                                  	                   	                      	                       	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CP19a             	              	115	 712	A	 10	R	CC	  10.00	     86.5000	Okada    	Nannofossils                                 	C              	P                 	F                      	                     	rF                        	14.0%                  	                             	                         	                            	                                 	                     	               	               	                  	                    	F                   	                      	                  	                 	                      	2.0%                 	                       	                       	72.0%                      	                           	                         	                	4.0%                 	R                      	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	2.0%                     	                    	                        	                       	F                       	F                      	1.0%                  	F                           	F                     	F                       	F               	1.0%              	F                      	                          	                          	                                      	                  	                      	                     	              	                     	                     	                             	                        	                 	                                 	                 	                     	                   	                    	                   	                 	                   	                     	                        	                                         	                        	                      	                             	                         	                                   	                  	                                	                          	                      	                       	                  	                   	                   	                      	                          	                 	                     	                 	                    	                   	                   	                           	                        	                    	                	                                  	                   	                      	                       	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	slight reworking.from 115 SR. Chapter 14. Table 13. pages 160-161.

  SR	                 	                 	CP19a             	              	115	 712	A	 11	R	 1	   1.00	     96.1100	Okada    	Nannofossils                                 	C              	P                 	F                      	                     	                          	8.0%                   	rF                           	rF                       	rF                          	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	rF                    	3.0%                 	rF                     	                       	68.0%                      	                           	rF                       	                	8.0%                 	                       	                   	                     	                   	                        	R                 	                          	              	                  	                         	                	                     	2.0%                     	                    	                        	                       	F                       	1.0%                   	F                     	F                           	F                     	R                       	F               	F                 	                       	                          	                          	                                      	                  	                      	                     	              	                     	                     	                             	                        	                 	                                 	                 	                     	                   	                    	                   	                 	                   	                     	                        	                                         	                        	                      	                             	                         	                                   	                  	                                	                          	                      	                       	                  	                   	                   	                      	                          	                 	                     	                 	                    	                   	                   	                           	                        	                    	                	                                  	                   	                      	                       	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	moderate reworking.from 115 SR. Chapter 14. Table 13. pages 160-161.

  SR	                 	                 	                  	              	115	 712	A	 11	R	CC	   7.00	     98.3400	Okada    	Nannofossils                                 	C              	P                 	3.0%                   	                     	                          	6.0%                   	                             	rR                       	                            	                                 	                     	               	               	                  	                    	3.0%                	                      	                  	                 	                      	                     	rR                     	                       	44.0%                      	                           	                         	                	16.0%                	1.0%                   	                   	                     	                   	                        	                  	                          	              	                  	2.0%                     	R               	                     	F                        	F                   	1.0%                    	F                      	5.0%                    	7.0%                   	F                     	                            	                      	                        	                	                  	                       	                          	                          	                                      	                  	                      	                     	              	                     	                     	                             	                        	                 	                                 	                 	                     	                   	                    	                   	                 	                   	                     	                        	                                         	                        	                      	                             	                         	                                   	                  	                                	                          	                      	                       	                  	                   	                   	                      	                          	                 	                     	                 	                    	                   	                   	                           	                        	                    	                	                                  	                   	                      	                       	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	questionable zone assignment.slight reworking.from 115 SR. Chapter 14. Table 13. pages 160-161.

  SR	                 	                 	CP14b             	              	115	 712	A	 12	R	 1	   6.00	    105.7600	Okada    	Nannofossils                                 	A              	M                 	3.0%                   	6.0%                 	2.0%                      	3.0%                   	6.0%                         	2.0%                     	4.0%                        	3.0%                             	R                    	R              	8.0%           	R                 	R                   	F                   	1.0%                  	R                 	1.0%             	1.0%                  	                     	10.0%                  	                       	20.0%                      	F                          	1.0%                     	F               	13.0%                	F                      	F                  	F                    	3.0%               	1.0%                    	R                 	3.0%                      	R             	R                 	                         	                	R                    	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	                                      	                  	                      	                     	              	                     	                     	                             	                        	                 	                                 	                 	                     	                   	                    	                   	                 	                   	                     	                        	                                         	                        	                      	                             	                         	                                   	                  	                                	                          	                      	                       	                  	                   	                   	                      	                          	                 	                     	                 	                    	                   	                   	                           	                        	                    	                	                                  	                   	                      	                       	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 14. Table 13. pages 160-161.

  SR	                 	                 	CP14b             	              	115	 712	A	 12	R	 2	  32.00	    107.3900	Okada    	Nannofossils                                 	A              	P                 	4.0%                   	1.0%                 	F                         	4.0%                   	3.0%                         	1.0%                     	1.0%                        	F                                	R                    	               	1.0%           	F                 	R                   	2.0%                	F                     	R                 	4.0%             	1.0%                  	R                    	13.0%                  	                       	39.0%                      	1.0%                       	F                        	1.0%            	11.0%                	F                      	1.0%               	R                    	3.0%               	F                       	R                 	3.0%                      	R             	R                 	                         	R               	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	                                      	                  	                      	                     	              	                     	                     	                             	                        	                 	                                 	                 	                     	                   	                    	                   	                 	                   	                     	                        	                                         	                        	                      	                             	                         	                                   	                  	                                	                          	                      	                       	                  	                   	                   	                      	                          	                 	                     	                 	                    	                   	                   	                           	                        	                    	                	                                  	                   	                      	                       	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 14. Table 13. pages 160-161.

  SR	                 	                 	CP14b             	              	115	 712	A	 12	R	 3	  76.00	    109.3300	Okada    	Nannofossils                                 	A              	P                 	1.0%                   	1.0%                 	1.0%                      	1.0%                   	10.0%                        	2.0%                     	8.0%                        	R                                	R                    	               	2.0%           	R                 	                    	1.0%                	1.0%                  	R                 	7.0%             	F                     	R                    	17.0%                  	R                      	18.0%                      	F                          	F                        	1.0%            	15.0%                	F                      	F                  	F                    	2.0%               	F                       	F                 	1.0%                      	R             	1.0%              	R                        	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	                                      	                  	                      	                     	              	                     	                     	                             	                        	                 	                                 	                 	                     	                   	                    	                   	                 	                   	                     	                        	                                         	                        	                      	                             	                         	                                   	                  	                                	                          	                      	                       	                  	                   	                   	                      	                          	                 	                     	                 	                    	                   	                   	                           	                        	                    	                	                                  	                   	                      	                       	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 14. Table 13. pages 160-161.

  SR	                 	                 	CP14b             	              	115	 712	A	 12	R	CC	   0.00	    110.0700	Okada    	Nannofossils                                 	A              	P                 	F                      	3.0%                 	1.0%                      	5.0%                   	10.0%                        	1.0%                     	5.0%                        	R                                	F                    	R              	1.0%           	F                 	R                   	2.0%                	1.0%                  	R                 	7.0%             	F                     	F                    	17.0%                  	R                      	17.0%                      	F                          	F                        	F               	13.0%                	F                      	1.0%               	F                    	3.0%               	F                       	F                 	6.0%                      	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	                                      	                  	                      	                     	              	                     	                     	                             	                        	                 	                                 	                 	                     	                   	                    	                   	                 	                   	                     	                        	                                         	                        	                      	                             	                         	                                   	                  	                                	                          	                      	                       	                  	                   	                   	                      	                          	                 	                     	                 	                    	                   	                   	                           	                        	                    	                	                                  	                   	                      	                       	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 14. Table 13. pages 160-161.

