pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,genus_taxon_name,genus_taxon_id,family_taxon_name,family_taxon_id,order_taxon_name,order_taxon_id,class_taxon_name,class_taxon_id,phylum_taxon_name,phylum_taxon_id,kingdom_taxon_name,kingdom_taxon_id,version,pbdb_name_count
237,Perichlamydium,genus,Perichlamydium,237,Spongodiscidae,65975,Spumellaria,5,,,Radiolaria,4,Rhizaria,212476,old,2
237,Perichlamydium,genus,Perichlamydium,237,Euchitoniidae,432610,Spumellaria,5,,,Radiolaria,4,Rhizaria,212476,updated,2
166535,Peritiviator,genus,Peritiviator,166535,,,Spumellaria,5,,,Radiolaria,4,Rhizaria,212476,old,2
166535,Peritiviator,genus,Peritiviator,166535,,,,,,,Radiolaria,4,Rhizaria,212476,updated,2
435960,Phaeodaria,subclass,,,,,,,Thecofilosea,435945,Cercozoa,212477,Rhizaria,212476,old,2
435960,Phaeodaria,subclass,Phaeodaria,435960,,,,,Thecofilosea,435945,Cercozoa,212477,Rhizaria,212476,updated,2
434849,Phillyrea,genus,Phillyrea,434849,Oleaceae,54728,Lamiales,54939,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
434849,Phillyrea,genus,Phillyrea,434849,Oleaceae,54728,Lamiales,54939,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
83629,Picea,genus,Picea,83629,Pinaceae,54794,Pinales,82140,Pinopsida,82141,Pinophyta,82139,Plantae,54311,old,2
83629,Picea,genus,Picea,83629,Pinaceae,54794,Pinales,82140,Pinopsida,82141,Spermatophyta,55350,Plantae,54311,updated,2
55062,Pinus,genus,Pinus,55062,Pinaceae,54794,Pinales,82140,Pinopsida,82141,Pinophyta,82139,Plantae,54311,old,2
55062,Pinus,genus,Pinus,55062,Pinaceae,54794,Pinales,82140,Pinopsida,82141,Spermatophyta,55350,Plantae,54311,updated,2
317548,Pistacia,genus,Pistacia,317548,Anacardiaceae,54686,Sapindales,54934,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
317548,Pistacia,genus,Pistacia,317548,Anacardiaceae,54686,Sapindales,54934,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
66455,Plagiacanthidae,family,,,Plagiacanthidae,66455,Nassellaria,402,,,Radiolaria,4,Rhizaria,212476,old,2
66455,Plagiacanthidae,family,Plagiacanthidae,66455,,,Nassellaria,402,,,Radiolaria,4,Rhizaria,212476,updated,2
251999,Plantago,genus,Plantago,251999,Plantaginaceae,55762,Lamiales,54939,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
251999,Plantago,genus,Plantago,251999,Plantaginaceae,55762,Lamiales,54939,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
155922,Pleurostomellidae,family,,,Pleurostomellidae,155922,,,,,Foraminifera,288974,Rhizaria,212476,old,2
155922,Pleurostomellidae,family,Pleurostomellidae,155922,,,,,,,Foraminifera,288974,Rhizaria,212476,updated,2
55426,Plumbaginaceae,family,,,Plumbaginaceae,55426,Caryophyllales,54896,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
55426,Plumbaginaceae,family,Plumbaginaceae,55426,,,Caryophyllales,54896,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
53546,Poaceae,family,,,Poaceae,53546,Poales,182987,,,Angiospermae,54885,Plantae,54311,old,2
53546,Poaceae,family,Poaceae,53546,,,Poales,182987,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
436100,Polypodium,genus,Polypodium,436100,Polypodiidae,55185,,,Pteridopsida,263811,Pteridophyta,54828,Plantae,54311,old,2
436100,Polypodium,genus,Polypodium,436100,Polypodiaceae,54782,Polypodiales,196333,Polypodiopsida,196331,Pteridophyta,54828,Plantae,54311,updated,2
2894,Porifera,phylum,,,,,,,,,Porifera,2894,Animalia,325038,old,2
2894,Porifera,phylum,Porifera,2894,,,,,,,,,Animalia,325038,updated,2
24466,Poseidonamicus,genus,Poseidonamicus,24466,,,Podocopida,23837,Ostracoda,22826,Arthropoda,18891,Animalia,325038,old,2
24466,Poseidonamicus,genus,Poseidonamicus,24466,Hemicytheridae,162993,Podocopida,23837,Ostracoda,22826,Arthropoda,18891,Animalia,325038,updated,2
306713,Prasinophyceae,class,,,,,,,Prasinophyceae,306713,,,,,old,1
212604,Prasinophytae,unranked clade,Prasinophytae,212604,,,,,,,,,,,updated,1
24505,Pseudocythere,genus,Pseudocythere,24505,,,Podocopida,23837,Ostracoda,22826,Arthropoda,18891,Animalia,325038,old,2
24505,Pseudocythere,genus,Pseudocythere,24505,Bythocytheridae,142870,Podocopida,23837,Ostracoda,22826,Arthropoda,18891,Animalia,325038,updated,2
54828,Pteridophyta,phylum,,,,,,,,,Pteridophyta,54828,Plantae,54311,old,2
54828,Pteridophyta,phylum,Pteridophyta,54828,,,,,,,,,Plantae,54311,updated,2
84792,Pyloniidae,family,,,Pyloniidae,84792,Spumellaria,5,,,Radiolaria,4,Rhizaria,212476,old,2
84792,Pyloniidae,family,Pyloniidae,84792,,,Spumellaria,5,,,Radiolaria,4,Rhizaria,212476,updated,2
54594,Quercus,genus,Quercus,54594,Fagaceae,52764,Fagales,54902,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
54594,Quercus,genus,Quercus,54594,Fagaceae,52764,Fagales,54902,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
453149,Quinquecuspis,genus,Quinquecuspis,453149,,,,,,,,,,,old,2
453149,Quinquecuspis,genus,Quinquecuspis,453149,Peridiniaceae,277915,Peridiniales,277919,Dinophyceae,321578,,,,,updated,2
4,Radiolaria,phylum,,,,,,,,,Radiolaria,4,Rhizaria,212476,old,2
4,Radiolaria,phylum,Radiolaria,4,,,,,,,,,Rhizaria,212476,updated,2
55402,Ranunculaceae,family,,,Ranunculaceae,55402,Ranunculales,54893,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
55402,Ranunculaceae,family,Ranunculaceae,55402,,,Ranunculales,54893,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
54647,Rosaceae,family,,,Rosaceae,54647,Rosales,54921,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
54647,Rosaceae,family,Rosaceae,54647,,,Rosales,54921,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
320020,Rumex,genus,Rumex,320020,Polygonaceae,55425,Caryophyllales,54896,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
320020,Rumex,genus,Rumex,320020,Polygonaceae,55425,Caryophyllales,54896,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
54580,Salix,genus,Salix,54580,Salicaceae,54581,Malpighiales,183005,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
54580,Salix,genus,Salix,54580,Salicaceae,54581,Malpighiales,183005,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
435000,Sanguisorba,genus,Sanguisorba,435000,Rosaceae,54647,Rosales,54921,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
435000,Sanguisorba,genus,Sanguisorba,435000,Rosaceae,54647,Rosales,54921,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
8166,Scaphopoda,class,,,,,,,Scaphopoda,8166,Mollusca,7805,Animalia,325038,old,2
8166,Scaphopoda,class,Scaphopoda,8166,,,,,,,Mollusca,7805,Animalia,325038,updated,2
