Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina continuosa,Globigerina praebulloides,Globoquadrina dehiscens,Paragloborotalia mayeri,Globorotalia zealandica,Globorotalia praescitula,Globigerinoides quadrilobatus,Globigerinoides obliquus,Catapsydrax dissimilis,Globoquadrina baroemoenensis,Sphaeroidinellopsis disjuncta,Praeorbulina glomerosa glomerosa,Globigerina woodi,Globorotalia miozea,Globigerinita glutinata,Globigerinoides trilobus,Catapsydrax stainforthi,Orbulina suturalis,Globigerina bulloides,Praeorbulina glomerosa circularis,Orbulina universa,Globorotalia scitula,Globorotalia conoidea,Globigerina quinqueloba,Globigerina eamesi,Globigerinoides subquadratus,Neogloboquadrina spp.,Streptochilus globigerum,Neogloboquadrina pachyderma (dextral),Neogloboquadrina atlantica (dextral),Sphaeroidinellopsis kochi,Orbulina bilobata,Neogloboquadrina atlantica (sinistral),Globigerinita uvula,Neogloboquadrina acostaensis,Globigerinoides spp.,Globorotalia juanai,Globigerina nepenthes,Globigerina aequilateralis,Globorotalia conomiozea,Globorotalia cf. Gr. crassula,Globorotalia margaritae,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina humerosa,Globorotalia puncticulata,Globorotalia inflata,Globorotalia crassaformis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. margaritae,,162,982,B,18,H,2,24.00,159.2400,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,C                      ,                        ,                       ,                  ,C                    ,                                 ,F                ,R                   ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,C                                     ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. margaritae,,162,982,B,18,H,3,24.00,160.7400,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,F                      ,                        ,                       ,                  ,C                    ,                                 ,F                ,                    ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,C                                     ,                   ,T                           ,                    ,                   ,                     ,                          ,                       ,                             ,F                      ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,Gr. conomiozea,,162,982,B,18,H,4,24.00,162.2400,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,F                      ,                        ,                       ,                  ,C                    ,                                 ,F                ,                    ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,C                                     ,                   ,F                           ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,Gr. conomiozea,,162,982,B,18,H,5,24.00,163.7400,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,A                    ,                                 ,F                ,T                   ,                     ,                       ,R                 ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,C                                     ,                   ,F                           ,                    ,                   ,                     ,                          ,                       ,R                            ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,Gr. conomiozea,,162,982,B,24,H,CC,6.00,224.0200,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,F                          ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,T                ,                   ,                       ,                        ,                       ,                  ,C                    ,                                 ,                 ,                    ,F                    ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,F                                     ,                   ,R                           ,                    ,                   ,                     ,                          ,                       ,R                            ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,Gr. conomiozea,,162,982,B,25,H,CC,9.00,233.4400,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,A                    ,                                 ,F                ,                    ,                     ,                       ,R                 ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,C                                     ,                   ,F                           ,                    ,                   ,                     ,                          ,                       ,F                            ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,Gr. conomiozea,,162,982,B,26,H,2,19.00,235.1900,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,R                          ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,C                    ,                                 ,F                ,                    ,                     ,                       ,T                 ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,R                                     ,                   ,C                           ,                    ,                   ,                     ,                          ,R                      ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,Gr. conomiozea,,162,982,B,26,H,3,19.00,236.6900,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,A                    ,                                 ,                 ,                    ,                     ,R                      ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,C                                     ,                   ,C                           ,                    ,                   ,                     ,                          ,                       ,                             ,F                      ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,N. acostaensis (P&B),,162,982,B,26,H,4,19.00,238.1900,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,A                    ,                                 ,F                ,                    ,                     ,                       ,R                 ,                            ,                     ,                        ,                                     ,C                                   ,                         ,                 ,                                      ,                   ,R                           ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,N. acostaensis (P&B),,162,982,B,26,H,5,19.00,239.6900,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,R                      ,                        ,                       ,                  ,A                    ,                                 ,R                ,                    ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,R                                   ,                         ,                 ,                                      ,                   ,R                           ,                    ,                   ,                     ,                          ,                       ,F                            ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,N. acostaensis (P&B),,162,982,B,26,H,CC,19.00,242.9500,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,R                ,                   ,F                      ,                        ,                       ,                  ,C                    ,                                 ,                 ,                    ,                     ,                       ,R                 ,                            ,                     ,                        ,                                     ,R                                   ,                         ,                 ,                                      ,                   ,F                           ,                    ,                   ,                     ,                          ,F                      ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,N. acostaensis (P&B),,162,982,B,27,X,2,19.00,244.6900,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,R                      ,                        ,                       ,                  ,D                    ,                                 ,R                ,                    ,                     ,R                      ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,R                         ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,N. acostaensis (P&B),,162,982,B,27,X,4,19.00,247.6900,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,F                      ,                        ,                       ,                  ,D                    ,                                 ,                 ,                    ,F                    ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,                                      ,                   ,R                           ,                    ,                   ,T                    ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,N. acostaensis (P&B),,162,982,B,27,X,CC,18.00,249.4800,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,F                      ,                        ,                       ,                  ,A                    ,                                 ,                 ,F                   ,                     ,                       ,F                 ,                            ,                     ,                        ,                                     ,F                                   ,                         ,                 ,                                      ,                   ,F                           ,                    ,R                  ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,N. acostaensis (P&B),,162,982,B,28,X,CC,19.00,256.4700,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,D                    ,                                 ,                 ,                    ,                     ,                       ,R                 ,                            ,                     ,                        ,                                     ,F                                   ,R                        ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,N. acostaensis (P&B),,162,982,B,29,X,CC,16.00,264.6400,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,F                          ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,A                    ,                                 ,                 ,                    ,                     ,                       ,                  ,                            ,R                    ,                        ,                                     ,                                    ,                         ,                 ,                                      ,                   ,R                           ,                    ,F                  ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,N. acostaensis (P&B),,162,982,B,31,X,CC,18.00,287.7500,Flower   ,Planktonic Foraminifers                      ,F              ,M                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,T                      ,                        ,                       ,                  ,C                    ,                                 ,T                ,T                   ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,C                                   ,                         ,T                ,                                      ,                   ,C                           ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,N. acostaensis (P&B),,162,982,B,32,X,CC,33.00,293.6100,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,C                    ,                                 ,F                ,                    ,                     ,T/R                    ,                  ,                            ,                     ,                        ,                                     ,C                                   ,                         ,                 ,                                      ,                   ,C                           ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,N. acostaensis (P&B),,162,982,B,33,X,CC,34.00,305.5300,Flower   ,Planktonic Foraminifers                      ,A              ,M                 ,                           ,                         ,                       ,                       ,                       ,R                       ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,A                    ,                                 ,F                ,                    ,                     ,F                      ,                  ,                            ,                     ,                        ,                                     ,F                                   ,                         ,                 ,                                      ,                   ,R                           ,T                   ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,N. acostaensis (P&B),,162,982,B,34,X,CC,32.00,315.1500,Flower   ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,T                      ,                        ,                       ,                  ,C                    ,                                 ,                 ,T                   ,                     ,                       ,                  ,                            ,                     ,                        ,C                                    ,                                    ,                         ,                 ,                                      ,                   ,C                           ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,N. acostaensis (P&B),,162,982,B,35,X,4,19.00,321.3900,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,C                          ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,C                    ,                                 ,                 ,F                   ,                     ,                       ,                  ,                            ,                     ,                        ,F                                    ,                                    ,                         ,                 ,                                      ,                   ,C                           ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,N. acostaensis (P&B),,162,982,B,35,X,CC,33.00,323.0300,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,R                      ,                        ,                       ,                  ,C                    ,                                 ,                 ,R                   ,                     ,                       ,                  ,                            ,                     ,                        ,C                                    ,C                                   ,                         ,                 ,                                      ,                   ,C                           ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,N. acostaensis (P&B),,162,982,B,36,X,1,19.00,326.4900,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,C                      ,                       ,R                       ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,R                      ,                        ,                       ,                  ,A                    ,                                 ,                 ,                    ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,N. acostaensis (P&B),,162,982,B,36,X,2,19.00,327.9900,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                         ,                       ,C                      ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,R                      ,                        ,                       ,                  ,R                    ,                                 ,                 ,R                   ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,                                      ,F                  ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,N. acostaensis (P&B),,162,982,B,36,X,CC,33.00,333.3200,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                         ,                       ,F                      ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,C                    ,                                 ,                 ,                    ,                     ,                       ,                  ,                            ,                     ,                        ,A                                    ,                                    ,R                        ,T                ,T                                     ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,N. acostaensis (P&B),,162,982,B,37,X,CC,17.00,343.9100,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,C/A                  ,                                 ,                 ,T                   ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,A                                   ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,O. suturalis  ,,162,982,B,38,X,CC,32.00,353.7700,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,F/C                  ,                                 ,                 ,                    ,                     ,                       ,                  ,                            ,                     ,                        ,D                                    ,                                    ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,O. suturalis  ,,162,982,B,39,X,CC,32.00,362.6000,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,C                    ,                                 ,                 ,                    ,                     ,                       ,                  ,                            ,                     ,                        ,D                                    ,                                    ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,O. suturalis  ,,162,982,B,40,X,CC,33.00,372.2800,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,C                    ,                                 ,                 ,                    ,                     ,                       ,                  ,                            ,                     ,A                       ,A                                    ,                                    ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,O. suturalis  ,,162,982,B,43,X,CC,24.00,399.8800,Flower   ,Planktonic Foraminifers                      ,F/C            ,M                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,C                    ,                                 ,                 ,T                   ,                     ,F                      ,                  ,                            ,A                    ,                        ,                                     ,                                    ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,O. suturalis  ,,162,982,B,45,X,CC,32.00,422.7200,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                         ,                       ,T                      ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,C                    ,                                 ,                 ,                    ,                     ,                       ,                  ,                            ,A/D                  ,                        ,                                     ,                                    ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,O. suturalis  ,,162,982,B,47,X,CC,44.00,438.6400,Flower   ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                         ,                       ,C                      ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,                     ,                                 ,                 ,                    ,C                    ,C                      ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,O. suturalis  ,,162,982,B,48,X,CC,37.00,450.1200,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,C                    ,                                 ,                 ,R                   ,F                    ,                       ,                  ,                            ,F                    ,                        ,                                     ,                                    ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,O. suturalis  ,,162,982,B,49,X,CC,27.00,458.3700,Flower   ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,C                            ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,C                    ,                                 ,                 ,                    ,F                    ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,O. suturalis  ,,162,982,B,50,X,CC,26.00,467.6700,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                         ,                       ,                       ,                       ,                        ,F                            ,                        ,                      ,T                           ,                             ,                                ,                 ,                   ,                       ,T                       ,T                      ,                  ,C                    ,                                 ,F                ,                    ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,O. suturalis  ,,162,982,B,51,X,CC,31.00,478.9600,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,C                        ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,C                  ,                       ,                        ,                       ,                  ,                     ,                                 ,                 ,                    ,                     ,                       ,                  ,F                           ,                     ,                        ,                                     ,                                    ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
