column,type
Paragloborotalia nana,taxa
Siphonodosaria sp.,taxa
Lobatula Lobatula,taxa
Tholospyris scaphipes,taxa
Tranolithus orionatus,taxa
Ammodochium rectangulare,taxa
Fursenkoina acuta,taxa
Dorcadospyris pseudopapilio,taxa
Coronocyclus spp.,taxa
Heterohelix sp.,taxa
Anthocyrtidum ophirense,taxa
Lagena nebulosa,taxa
Bulimina forticosta,taxa
Loxostomum limonense,taxa
Cibicides lobatulus,taxa
Nonionella globosa,taxa
Marginotruncana angusticarenata,taxa
Pavonina flabelliformis,taxa
Discoaster quintatus,taxa
Nuttallides truempyi sensu Hancock et al. 2006,taxa
Globorotalia crassaformis s.l. (sin),taxa
Valvulineria sadonica,taxa
Chiasmolithus danicus,taxa
Umbilicosphaera sigbogae,taxa
Coccolithus formosus,taxa
Sphaeroidinellopsis seminulina _T_ _PL4,taxa
Calocycloma ampulla,taxa
Cryptococcolithus mediaperforatus,taxa
Morozovelloides bandyi,taxa
Actinomma antarcticum,taxa
Gyroidinoides allani,taxa
Siphonodosasria lepidula f. huagaensis,taxa
Whiteinella sp.,taxa
Globoconella pliozea,taxa
Discoaster sp. cf. D. variabilis,taxa
Ammonia spp.,taxa
Amphirhopalum ypsilon,taxa
Rectuvigerina royoi,taxa
Reussella szajnochae,taxa
Sphaeroidinellopsis kochi _T,taxa
Pyramidulina sp.,taxa
Zone group,taxa
Discoaster challengerii,taxa
Praeorbulina circularis _B,taxa
Hanzawaia mantaensis,taxa
Globorotalia flexuosa _T and B_,taxa
Reticulofenestra asanoi (>6 microns),taxa
Lingulina spp.,taxa
Lower boundary age av. [Ma],taxa
Arenodosaria antipoda,taxa
Didymocyrtis laticonus,taxa
Whiteinella baltica,taxa
Heliolithus cantabriae,taxa
Actinocyclus fryxellae,taxa
Actynocyclus ellipticus fa. lanceolata,taxa
Agglutinated,taxa
Tribrachiatus contortus,taxa
Calcispheres,taxa
Shionodiscus gracilis var. expectus,taxa
Triceratium spp.,taxa
Axoprunum pierinae group,taxa
Eiffellithus turriseiffelii,taxa
Quinqueloculina stalkeri,taxa
Cibicidoides spp,taxa
Lenticulina peregrina,taxa
Praemurica inconstans,taxa
Thyrsocyrtis rhizodon,taxa
Acarinina punctocarinata,taxa
Stylatractus plato?,taxa
Percentage of planktic forams in total foram assemblage [%],taxa
Osangularia velascoensis,taxa
Eouvigerina sp.,taxa
Datum type,taxa
Globoconella puncticuloides (compressed),taxa
Chenopodiaceae,taxa
Rhabdammina spp.,taxa
Cenosphaera cristata,taxa
Chiasmolithus expansus,taxa
Orthomorphina cf. jedlitschkai,taxa
Discoaster mendomobensis,taxa
Reticulofenestra gelida,taxa
Sigmoilinita spp.,taxa
Pulleniatina spectabilis _T,taxa
Cyrtocapsella cornuta,taxa
Amphicraspedum prolixum group,taxa
Thalassionema robusta,taxa
Globigerinoides tenellus,taxa
Prinsius dimorphus,taxa
Sphenolithus heteromorpha,taxa
Coccolithus abisectus,taxa
Fohsella kugleri,taxa
Oolithotus sp.,taxa
Marginotruncana sigali,taxa
(Duplicate) Dentoglobigerina pseudovenezuelana,taxa
Datum region,taxa
Stichocorys johnsoni,taxa
Nonionella spp.,taxa
Ostracoda spp.,taxa
Solidopons petrae,taxa
Isoetes,taxa
Helicosphaera lophota,taxa
"""Skeletonema"" utriculosa",taxa
Allomorphina polonica,taxa
Cibicidoides micrus,taxa
Contusotruncana fornicata,taxa
Nonionella turgida digitata,taxa
Eucyrtidium cf. calvertense,taxa
Nitzschia cylindrica,taxa
Brizalina dilatata,taxa
Hantkenina alabamensis,taxa
Agglutinated gen. et sp. indet.,taxa
Reticulofenestra umbilicus (>14 microns),taxa
Globorotalia crassaformis sensu lato,taxa
Woodringina hornerstownensis,taxa
Actinoptychus vulgaris,taxa
Thalassiosira symbolophora,taxa
Actinocyclus ingens var. ingens,taxa
Diatom preservation - pyritization2,taxa
Stilostomella spp.,taxa
Bolivina alata,taxa
Neocrepidolithus cruciatus,taxa
Corscinospora arietina,taxa
Arcticacysta sp.,taxa
Rotaliatina sulcigera,taxa
Calciosolenia murrayi,taxa
Dentoglobigerina larmeui,taxa
Karreriella cylindrica,taxa
Pyrgo depressa,taxa
Pullenia simplex,taxa
Trochospiral,taxa
Lithochytris archaea,taxa
Muricoglobigerina senni,taxa
Mitrocalpis araneafera,taxa
Gavelinella becarriformis,taxa
Eunotia spp.,taxa
Hayaster perplexus,taxa
Gaudryina convexa,taxa
Eilohedra vitrea,taxa
Candeina nitida,taxa
Actinocyclus karstenii,taxa
Globocassidulina moluccensis,taxa
Elongated,taxa
Cycladophora bicornis,taxa
Sighted trachyleberidids,taxa
Shionodiscus trifultus,taxa
Thalassiosira oestrupii var. venrickae,taxa
Synedra sp.1,taxa
Subbotina crociapertura,taxa
Fissurina semimarginata,taxa
Globigerinatella sp.,taxa
Sphenolithus runus,taxa
Paralabamina spp.,taxa
Thalassiosira frauenfeldii,taxa
Coccolithus eopelagicus ( >14µm),taxa
Siphoniferoides siphonifera,taxa
Eusyringium lagena,taxa
Heterohelix labellosa,taxa
Cibicidoides refulgens,taxa
Actinocyclus curvatulus,taxa
Sphenolithus moriformis,taxa
Cruciplacolithus spp.,taxa
Monomarginatus quaternarius,taxa
Cibicidoides pachyderma,taxa
Dentoglobigerina tripartita,taxa
Tetrapodorhabdus decorus,taxa
Helicosphaera mediterranea,taxa
Pontosphaera spp.,taxa
Cyclagelosphaera margerelii,taxa
pc_fossil_group,taxa
Denticulopsos lauta s.l.,taxa
Turborotalia quinqueloba,taxa
Hanzawaia? sp.,taxa
Pseudononion auricula,taxa
Globotruncana orientalis,taxa
Florisphaera profunda,taxa
Paragloborotalia siakensis (D),taxa
Lychnocanium turgidum,taxa
Spongurus cylindricus,taxa
Cryptocarpium ornatum,taxa
Eusyringium fistuligerum,taxa
Alabamina dissonata,taxa
Cycladophora davisiana,taxa
Bolivina interjuncta var. bicostata,taxa
Aragonia aragonensis,taxa
Cassidulinoides spp.,taxa
Calocyclas hispida,taxa
Helicosphaera hyalina,taxa
Orbulina universa,taxa
Total in situ dinocysts,taxa
Anomalina indica,taxa
Allomorphina velascoensis,taxa
Reussella spinulosa,taxa
Amphistegina lobifera,taxa
Thalassiosira sp. E 'patches of processes',taxa
"Paragloborotalia nana (Bolli, 1957 p.118, pl.28, figs.3a-c as Globorotalia)",taxa
Distephanus crux group,taxa
Guttulina spp.,taxa
Uvigerina cf. proboscidea,taxa
Podocyrtis aphorma,taxa
Actinocyclus ingens var. nodus,taxa
Globocassidulina subglobosa,taxa
Igorina pusilla,taxa
Extra Sample ID Data,taxa
Cibicidoides subspiratus,taxa
Ceratolithoides spp.,taxa
Triquetrorhabdulus striatus,taxa
Chilostomella ovoidea,taxa
Thalassiosira praefraga,taxa
Globoquadrina tapurensis,taxa
Globigerina venezulana,taxa
Larcopyle polyacantha group,taxa
Globotruncana arca,taxa
Cycladophora sakaii,taxa
Antarctissa denticulata,taxa
Globigerinella calida _B,taxa
Oridorsalis spp.,taxa
Pyrgo simplex,taxa
Catapsydrax sp.,taxa
Lamarckina sp.,taxa
Rossiella praepaleacea,taxa
Quinqueloculina bicostata,taxa
Discoaster araneus,taxa
"Fohsella ""praefohsi"" _B_ _M8_",taxa
Micula cubiformis,taxa
Elphidium magellanicum,taxa
Cibicidoides barnetti,taxa
Fragilariopsis weaveri,taxa
Subbotina gortanii,taxa
Sphenolithus heteromorphus,taxa
Astacolus spp.,taxa
Eiffellithus sp.,taxa
Dorcadospyris riedeli,taxa
Subbotina linaperta,taxa
Globigerina labiacrassata,taxa
Krithe spp.,taxa
Helicosphaera carteri,taxa
Trilobatus bisphericus,taxa
Bulimina translucens,taxa
Nannoconus sp.,taxa
Quinqueloculina candeiana,taxa
Globigerina calida,taxa
Saracenaria volpicelli,taxa
"Catapsydrax unicavus Bolli, Loeblich & Tappan, 1957 p.37, pl.7, figs.9a-c",taxa
Trilobatus trilobus _B,taxa
Neochiastozygus chiastus,taxa
Nonion japonicum,taxa
Manivitella pemmatoidea,taxa
Toddostomella hochstetteri,taxa
Arkhangelskiella cymbiformis,taxa
Rhabdosphaera spp.,taxa
Pleurostomella alternans,taxa
Bolliella calida,taxa
Rosalia sp.,taxa
Calocyclas turris,taxa
Siphonodosaria spp.,taxa
Bulimina cf. alazanensis,taxa
Lamprocyclas cf. heteroporus,taxa
COMMENTS,taxa
Cretarhabdus striatus,taxa
Grammatophora spp.,taxa
Globorotalia multicamerata _T,taxa
Lophocyrtis keraspera,taxa
Ehrenbergina bicornis,taxa
Parafissurina spp.,taxa
Textularia agglutinans,taxa
"Roperia tesselata (Roper) Grunow in Van Heurck, 1883",taxa
Neoeponides spp.,taxa
Microrhabdulus belgicus,taxa
Globorotalia cibaoensis,taxa
Rhizosolenia spp.,taxa
Rhizammina algaeformis,taxa
Muricohedbergella crassa,taxa
Gephyrocapsa spp. medium,taxa
Brizalina alata,taxa
Leiosphaeridia sp.,taxa
Podocyrtis ampla,taxa
Fragilariopsis donahuensis,taxa
Coscinodiscus oculus-iridis,taxa
Hemiaulus dissimilis,taxa
Actinocylus octonarius var. asteriscus,taxa
Plantago,taxa
Globigerinella spp.,taxa
Reticulofenestra erbae,taxa
Stylatractus neptunus,taxa
Triquetrorhabdus carniatus,taxa
Siphocampe sp.,taxa
Asterorotalia gaimardii,taxa
Praehedbergella gorbachikae,taxa
Helotholus? haysi,taxa
Discoaster mohleri,taxa
Axoprunum acquilonium,taxa
Zeugrhabdotus praesigmoides,taxa
Unilocular species,taxa
Rouxia californica,taxa
Shore File Links,taxa
Turrilina brevispira,taxa
Lagena striata,taxa
Globigerinoides obliquus (regular),taxa
Pterocorys zancleus,taxa
Sphenolithus obtusus,taxa
Valvulineria sp. 2,taxa
Fragilariopsis fossilis,taxa
Globigerinoides ruber (pink),taxa
Reticulofenestra pseudoumbilica,taxa
Rhabdosphaera clavigera,taxa
Dentoglobigerina altispira _T_ _PL5_,taxa
Subbotina trivialis,taxa
Nitzschia pliocena,taxa
Gephyrocapsa omega,taxa
Thalassiosira teres,taxa
Dicarinella asymetrica,taxa
Core,taxa
Sigmoilina distorta,taxa
Ammoelphidiella pustulosa,taxa
Actinocyclus octonarius,taxa
Pseudotextularia nuttalli,taxa
Globigerina rubescens (pink),taxa
Eucyrtidium hexagonatum,taxa
Berthelina  intermedia,taxa
Uvigerina yabei,taxa
Tretomphaloides spp.,taxa
Uvigerinidae indet.,taxa
Actinocyclus ingens f. nodus,taxa
Gyroidina cf. broeckhiana,taxa
Rotliammina sp.,taxa
Globigerina apertura,taxa
Pullenia marssoni,taxa
Rossiella paleaceae,taxa
Nannotetrina  fulgens,taxa
Globigerinelloides praevolutus,taxa
Thalassiosira gravida,taxa
Watznaueria,taxa
Planularia sp.,taxa
Bolboforma metzmacheri ornata,taxa
Dorcadospyris quadripes,taxa
Microhedbergella rischi,taxa
Planoheterohelix papula,taxa
Citharina plumoides,taxa
Amphicoryna spp.,taxa
Alabaminella weddellensis,taxa
Melosira albicans,taxa
Otosphaera polymorpha,taxa
Larcopyle pylomaticus,taxa
Orbulina suturalis,taxa
Cruciplacolithus frequens,taxa
Protoperidinium sp. 3,taxa
Acarinina subsphaerica,taxa
Eouvigerina spp.,taxa
Globulina gibba,taxa
Neocrepidolithus neocrassus,taxa
Lagena gracilis,taxa
Cibicidoides bradyi,taxa
Buryella tetradica,taxa
Planoheterohelix globulosa,taxa
Haplophragmoides suborbicularis,taxa
Globorotalia fohsi fohsi,taxa
other Pennate,taxa
Globorotalia puncticulata,taxa
Rhizosolenia costata,taxa
Florisphaera profunda var. elongata,taxa
Cassigerinella martinezpicoi,taxa
Genus/species lower zone),taxa
Globoturborotalita druryi,taxa
Theocorys puriri,taxa
Turborotalita humilis,taxa
Astrophacus sp.,taxa
Truncorotalia truncatulinoides,taxa
Fragilariopsis curta,taxa
Thalassiosira nansenii,taxa
Aphetocyrtis bianulus,taxa
Lagena sulcata,taxa
Schackoina cenomana,taxa
Cymatiosphaera transparent sp. 1,taxa
Menardella praemenardii,taxa
Euchitonia furcata/elegans,taxa
Oolina,taxa
Triloculina trihedra,taxa
Buccella sp.,taxa
Discoaster paelikei,taxa
Ceratolithus larrymayeri,taxa
Theocyrtis perysinos n. sp.,taxa
Fragilariopsis laqueus,taxa
Eggerella decepta,taxa
Umbilicosphaera jafari,taxa
Numullites spp.,taxa
Amphistylus angelinus,taxa
Dictyopodium aff. oxylophus,taxa
Tholospyris sp. group,taxa
Anthocyrtidium zanguebaricum,taxa
Didymocyrtis tetrathalamus tetrathalamus,taxa
Discoaster sp. cf. D. brouweri,taxa
Cibicioides mundulus,taxa
Lophodolithus mochlophorus,taxa
Staurolithites gausorhethium,taxa
Pulleniatina (S),taxa
Saccospyris praeantarctica,taxa
Stylosphaera minor,taxa
Siphouvigerina interrupta,taxa
Globorotalia ronda,taxa
Pylospira octopyle,taxa
Notorotalia briggsi,taxa
Nicklithus amplificus,taxa
Pterocanium sp.,taxa
Eurrosia irregularis var. irregularis,taxa
Thyrsocyrtis hirsuta,taxa
Globorotalia archeomenardii,taxa
Poseidonamicus spp.,taxa
Sphenolithus moriformis gr.,taxa
Rhabdammina sp.,taxa
Sphenolithus conspicuus,taxa
Actinomma sp.,taxa
Osangularia,taxa
Reticulofenestra umbilicus (>14µm),taxa
Toweius callosus,taxa
Globigerina quinqueloba,taxa
Vaginulinopsis bradyi,taxa
Zygocircus sp.,taxa
Globocassidulina  sp.,taxa
Globigerinoides bisphericus,taxa
Helicolithus trabeculatus (<7 um),taxa
Halamphora spp.,taxa
Globigerina tripartita,taxa
Fohsella lenguaensis _T and B_ _M14_,taxa
Spirophtalmidium cf. actuimargo,taxa
Coccolithus pelagicus,taxa
Azpeitia sp.,taxa
Discoaster binodosus,taxa
Brigantedinium spp. psilate,taxa
Thalassiosira antiqua,taxa
Lithostrobus hexagonalis,taxa
Lioloma spp.,taxa
Chilostomella sp.,taxa
Praesphaerammina sp. aff. P. gerochi,taxa
Cibicides collinsi,taxa
Marginotruncana renzi,taxa
Globigerinoides kennetti,taxa
Globanomalina chapmani,taxa
Glomospira charoides,taxa
Uvigerina hispidocostata,taxa
Nodosaria spp.,taxa
Reinhardtites anthophorus,taxa
Tenuitella spp. N/A,taxa
Pullenia bulloides,taxa
Biticinella breggiensis,taxa
Fohsella praefohsi,taxa
Denticulopsis praedimorpha v. intermedia,taxa
Glandulina spp.,taxa
Uvigerina schwageri,taxa
Globorotalia (Fohsella) fohsi robusta,taxa
Laevidentalina spp.,taxa
Melonis spharoides,taxa
Cibicidoides praemundulus,taxa
Ceratolithus armatus (acutus),taxa
Fohsella lobata _B,taxa
Globorotalia pseudomiocenica,taxa
Gephyrocapsa spp. small (<4 microns),taxa
Thalassiosira minutissima,taxa
Turborotalia ampliapertura,taxa
Thoracosphaera sp.,taxa
Watznaueria bayackii,taxa
Syndedropsis spp.,taxa
Pulleniatina finalis _B,taxa
Strictocostella scharbergana,taxa
Thalassiosira spp.,taxa
Denticulopsis barronii,taxa
Bulimina aculeata,taxa
Quadrimorphina allomorphinoides,taxa
Coscinodiscus gigas var. diorama,taxa
Ellipsolithus distichus,taxa
Cassidulina japonica,taxa
Hymeniastrum euclidis,taxa
Thalassiothrix flaugenferdii,taxa
Glomospira sp.,taxa
Actinocyclus oculatus,taxa
Acarinina angulosa,taxa
Calocycloma castum,taxa
Dictyophimus infabricatus,taxa
Globigerinoides immaturus,taxa
Kamptnerius magnificus,taxa
Globigerinoides diminutus,taxa
Uvigerina senticosa,taxa
Cassidulina californica,taxa
Shionodiscus gracilis var. gracilis,taxa
Pedinocyclus larvalis,taxa
Lygeum spartum,taxa
Thyrsocyrtis robusta,taxa
Ehrenbergina pacifica,taxa
Textulariella barrettii,taxa
Rotalipora ticinensis,taxa
Carpocanopsis bramlettei,taxa
Bacterosira fragilis,taxa
Thecosphaera pseudojaponica,taxa
Globorotalia (Hirsutella) praemargaritae,taxa
Globigerinoides parawoodi,taxa
Reticulofenestra isabellae,taxa
Phormocyrtis cubensis,taxa
Naviculopsis eobiapiculata,taxa
Truncorotalia crassaformis (SIN),taxa
Lithocyclia crux,taxa
Broinsonia signata,taxa
Miliolinella sp. 1,taxa
Reticulofenestra pseudoumbilicus   (>7µm),taxa
Trisolenia megalactis,taxa
Navicula salinarum,taxa
Thyrsocyrtis tetracantha,taxa
Cytherella sp.,taxa
Pseudoglandulina spp.?,taxa
Cruciplacolithus cruciformis,taxa
Collosphaera orthoconus,taxa
Pulleniatina primalis (D),taxa
Halamphora costata,taxa
Dorcadospyris praeforcipata,taxa
Caryophyllaceae,taxa
Tetrapyle sp.,taxa
Planulina wuellerstorfi,taxa
Lithocyclia ocellus gr.,taxa
Cibicidoides incrassatus,taxa
Vaginulinopsis spp.,taxa
Gavelinella hyphalus,taxa
Acarinina aspensis,taxa
Rhizosolenia matuyamai,taxa
Biscutum castrorum,taxa
Bachmannocena pappii,taxa
Virgulina sp.,taxa
Planktonic Benthic ratio (P:B),taxa
Reticulofenestra umbilicus (>14um),taxa
Dictyoprora urceolus,taxa
Ammoelphidiella sp.,taxa
Theocorys perforalvus,taxa
Lychnocanoma amphitrite,taxa
Ehrenbergina trigona,taxa
Globoquadrina venezuelana,taxa
Hayella situliformis,taxa
Nodosaria aspera,taxa
Actinocyclus ingens  var. nodus,taxa
Calcidiscus protoannulus,taxa
Truncorotalia crassaformis,taxa
Globobulimina pupoides,taxa
Azpeitia gombosi,taxa
Eiffellithus gorkae,taxa
Denticulopsis hustedtii,taxa
Coronocyclus nitescens (circular),taxa
Chiasmolithus titus,taxa
Globoturborotalita rubescens,taxa
Uvigerina sp. 2,taxa
Lychnocanoma apodora,taxa
"Subbotina utilisindex (Jenkins and Orr, 1973)",taxa
Hedbergella sp.,taxa
Neogloboquadrina humerosa _B_,taxa
Laticarinina pauperata,taxa
Oridorsalis sp.,taxa
Globorotalia pseudomiocenica _T_ _PL6,taxa
Didymocyrtis tetrathalamus,taxa
Rosalina globularis,taxa
Rhizosolenia simplex,taxa
Heliolithus riedelii,taxa
Favocassidulina favus,taxa
Distephanus crux,taxa
Morozovella occlusa,taxa
Globigerina sp.,taxa
Selenopemphix nephroides,taxa
Polymorphina spp.,taxa
Lithelius minor,taxa
Alabamina sp.,taxa
Discoaster moorei,taxa
Liliaceae,taxa
Comment,taxa
Acervulina mabahethi,taxa
Theocotyle cryptocephala,taxa
Cibicides fletcheri,taxa
Quadrimorphina spp.,taxa
Reticulofenestra minutula (3-5 microns),taxa
Articulina cf. tubulosa,taxa
Turborotalia possagnoensis,taxa
Thalassionema spp.,taxa
Fursenkoina complanata,taxa
Otosphaera auriculata,taxa
Uvigerina hispida,taxa
Lithomelissa stigi,taxa
Bolivina subaenariensis,taxa
Dorothia  bulleta,taxa
Calcidiscus carlae,taxa
Pseudotriceratium radiosoreticulatum,taxa
Pterocodon anteclinata,taxa
Lagena semistriata,taxa
Chaetoceros spp. and similar spores,taxa
Globorotalia truncatulinoides _B_,taxa
Hedbergella simplex,taxa
Anomalina visenda,taxa
Fissurina orbignyana,taxa
Rotelapillus biarcus,taxa
Miliammina arenacea,taxa
Glaukolithus diplogrammus,taxa
Hanzawaia concentrica,taxa
Coscinodiscus lewisianus var. spiralis,taxa
Diplomenora cocconeisformis,taxa
Karreriella spp.,taxa
Discoaster lenticularis,taxa
Triquetrorhabdulus sp. (long needle like),taxa
Globoturborotalita decoraperta,taxa
Vozzhennikovia rohliae,taxa
Uvigerina cf. canariensis,taxa
Hanzawaia sp.,taxa
Globorotalia pliozea,taxa
Rzehakina epigona,taxa
Globigerina nepenthes,taxa
Dictyocha speculum,taxa
Dyctyocoryne profunda,taxa
"Globoturborotalita apertura (Cushman, 1918)",taxa
Acarinina triplex,taxa
Anthocyrtidum pliocenica,taxa
Spirotextularia fistulosa,taxa
Zealithapium mitra,taxa
Rhabdospaera claviger,taxa
Dorothia brevis,taxa
Phormostichoartus sp.,taxa
Thalassiosira insigna,taxa
Reticulofenestra minuta (<3 microns),taxa
Fohsella lenguaensis _T and B_ _M14,taxa
Lophodolithus acutus,taxa
Solenosphaera omnitubus,taxa
Type (upper zone),taxa
Brizalina cf. difformis,taxa
Siphonodosaria sp. 2,taxa
Aschemonella spp.,taxa
Fohsella robusta,taxa
Ellipsoidella  sp.,taxa
Rotalia sp.,taxa
Planomalina buxtorfi,taxa
Spirosigmoilinella  sp.,taxa
Laevidentalina,taxa
Cibicides kullenbergi,taxa
Amaurolithus amplificus,taxa
Hole,taxa
Vertebralina striata,taxa
Eucyrtidium inflatum,taxa
Biscutum constans,taxa
Cibicides parki,taxa
Datum age maximum [Ma],taxa
Buliminella browni,taxa
Type,taxa
Neococcolithes protenus,taxa
Spiroplectammina sp.,taxa
Amphistegina spp.,taxa
Pontosphaera pulchra,taxa
Pseudoclavulina sp.,taxa
Cassidulina norvangi,taxa
Cibicides mundulus,taxa
Zeugrhabdotus,taxa
Biscutum,taxa
Hughesius gizoensis,taxa
Helicolithus turonicus,taxa
Hirsutella hirsuta,taxa
Periphaena delta,taxa
Gyroidinoides spp.,taxa
Dextral:Sinistral _P. obliquiloculata_,taxa
Siphotextularia wairoana,taxa
Oolithotus spp.,taxa
Pseudoparrella exigua,taxa
Cycladophora funakawai,taxa
Discanomalina spp.,taxa
Verneuilinoides sp.,taxa
Azpeitia nodulifera f. cyclopa (Jouse),taxa
Siphouvigerina ampullacea,taxa
Cyrtocapsella sp.,taxa
"Dentoglobigerina pseudovenezuelana (Blow and Banner, 1962)",taxa
Periphaena tripyramis triangula,taxa
Asteromphalus parvulus,taxa
Dendrospyris sakaii,taxa
Planctostoma luculenta,taxa
Pyrulina cylindroides,taxa
Siphonodosaria cf. holoserica,taxa
Prunopyle tetrapila,taxa
Cribrostomoides nonioininoides,taxa
Globoturborotalita nepenthes,taxa
Chiastozygus platyrhethus,taxa
Dorcadospyris forcipata,taxa
Anthocyrtidium pliocenica,taxa
Stauroxiphos communis,taxa
Thalassiosira tappanae,taxa
Spirosigmoilina distorta,taxa
Exotic,taxa
Planulina spp.,taxa
Cibicidoides grimsdalei,taxa
Didymocyrtis violina,taxa
Globigerinoides subquadratus _T,taxa
Rhizosolenia styliformis,taxa
Discoaster septemradiatus,taxa
Globorotalia conomiozea,taxa
Thalassionema nitzschioides var. parva,taxa
Gephyrocapsa (>5.5 microns),taxa
Didymocyrtis penultima,taxa
Subbotina lozanoi,taxa
Speetonia sp.,taxa
Fohsella fohsi,taxa
Spiroplectammina cubensis,taxa
Thalassiosira spumellaroides,taxa
Globigerinoides sacculifer (without sack),taxa
Anomalinoides acutus,taxa
Chiasmolithus spp.,taxa
Stillostomellidae indet.,taxa
Azpeitia neocrenulata,taxa
Triquetrorhabdulus carinatus,taxa
Pontesphaera multipora,taxa
Textularia sp.,taxa
Lamprocyrtis neoheteroporos,taxa
Mixing,taxa
Siphonodosaria cf. ketienziensis,taxa
Ephedra fragilis type,taxa
Collonosphaera cyrtodon,taxa
Artemisia,taxa
Globigerinoides sacculifer (without sac),taxa
Praeglobotruncana stephani,taxa
Laevidentalina  spp.,taxa
Pleurostomella paleocenica,taxa
Clavulina mexicana,taxa
Botryocyrtis scutum,taxa
Neogloboquadrina acostaensis (D),taxa
Eiffellithus parallelus,taxa
Stylosphaera sp.,taxa
Karreriella cylindrica >400 m,taxa
Rhopalocanium ornatum,taxa
Globoturborotalita apertura _T and B,taxa
Coccolithus crassus,taxa
Cibicidoides dohmi,taxa
Globocassidulina globosa,taxa
Truncorotalia crassaformis (DEX),taxa
Uvigerina carapitana,taxa
Emiliania huxleyi,taxa
Morozovella praeangulata,taxa
Sphenolithus cuniculus,taxa
Helianthemum,taxa
Rhizosolenia oligocaenica,taxa
Uvigerina mediterranea,taxa
Lamptonium fabaeforme,taxa
Ceratolithus spp.,taxa
Eucyrtidium mariae,taxa
Phormospyris sp.,taxa
Hyalinonetrion gracillimum,taxa
Martinottiella sp. N/A,taxa
Nonionella stella,taxa
Subbotina angiporoides minima,taxa
Anaulus spp.,taxa
Anthocyrtidium marieae,taxa
Pulleniatina obliquiloculata (S),taxa
Globorotalia (Menardella) menardii,taxa
Tegumentum stradneri,taxa
Subbotina euapertura,taxa
Globorotalia miotumida,taxa
Fursenkoina spp.,taxa
Helicosphaera perch-nielseniae,taxa
Cassidulina subglobosa,taxa
Dictyocoryne truncatum,taxa
Scyphosphaera cylindrica,taxa
Kannoa hastata,taxa
Markalius apertus,taxa
Rhaphoneis miocenica,taxa
Engelhardia,taxa
Praehedbergella roblesae,taxa
Proboscia curvirostris,taxa
Angulogerina angulosa,taxa
Siphogenerina sp.?,taxa
Larcopyle buetschlii,taxa
Globigerina gnaucki,taxa
Gyroidinoides,taxa
Siphonodosaria hispidula,taxa
Brizalina spathulata,taxa
Discorbis sp.,taxa
Botryocella sp. gr.,taxa
Globigerina glutinata,taxa
Rhizosolenia minima,taxa
Subbotina eocaena,taxa
Globobulimina auriculata,taxa
Campylosphaera eodela,taxa
Eiffellithus eximius,taxa
Bulimina jarvisi,taxa
Micrantholithus flos,taxa
Martinotiella communis,taxa
Spongaster berminghami,taxa
Cladococcus abietinus,taxa
Grantarhabdus coronadventis,taxa
Carpocanopsis sp.,taxa
Cryptocarpium azyx,taxa
Hemiaulus angustobrachiatus,taxa
Ceratospyris borealis,taxa
Helicosphaera scissura,taxa
Triquetrorhabdulus finifer,taxa
Protoperidinium sp.1,taxa
Globorotalia sp.,taxa
Bacteriostriata spp.,taxa
Sceptroneis sp.,taxa
Hughesius tasmaniae,taxa
Globigerina braziere,taxa
Staurolithites angustus,taxa
Retecapsa surirella,taxa
Paragloborotalia bella,taxa
Amphisphaera radiosa,taxa
Craspedodiscus elegans,taxa
Gublerina rajagopalani,taxa
Gyroidinoides altiformis,taxa
Crucidenticula nicobarica,taxa
Trifarina bradyi,taxa
Cribronodosaria sp.,taxa
Coryphostoma spp.,taxa
Chiloguembelina crinita,taxa
Proboscia barboi,taxa
Siphonodosaria abyssorum,taxa
Nitzschia sp. 1,taxa
Distephanus boliviensis (binoculoid),taxa
Bradleya spp.,taxa
Didymocyrtis avita,taxa
Gephyrocapsa margerelii/muellerae,taxa
Globigerinoides elongatus,taxa
Globorotalia crassaformis _B,taxa
Circodiscus (Porodiscus) circularis,taxa
Broinsonia furtiva,taxa
Theocyrtis annosa,taxa
Forma T,taxa
Reticulofenestra spp. small,taxa
Bulimina subbortonica,taxa
Globoquadrina cf. binaiensis,taxa
Tranolithus phacelosus,taxa
Islandinium round brown/spiny,taxa
Globocassidulina pseudocrassa,taxa
XCorroded,taxa
Melonis sphaeroides,taxa
Cestodiscus pulchellus,taxa
Cibicides perforatus,taxa
Ceratolithus cristatus,taxa
Gephyrocapsa oceanica (4-5.5 microns),taxa
Umbellosphaera irregularis,taxa
Hyalodiscus scoticus,taxa
Stylatractus sp.,taxa
Triquetrorhabdulus milowii,taxa
Pseudoguembelina hariaensis,taxa
Phormocyrtis turgida,taxa
Additional zone name,taxa
Anomalina aotea,taxa
Stichocorys sp.,taxa
Helicosphaera obliqua,taxa
Reticulofenestra daviesii,taxa
Sigmoilopsis schlumbergeri >600 m,taxa
Spinidinium macmurdoense,taxa
Plectofrondicularia advena,taxa
Pterocanium prismatium,taxa
Eucecryphalus sp.,taxa
Globigerinoides ruber (white),taxa
Asteromphalus cleveanus,taxa
Ehrenbergina carinata,taxa
Thalassiothrix miocenica,taxa
Eucyrtidium acuminatum,taxa
Thalassiosira lentiginosa,taxa
Planularia spp.,taxa
Karrerulina sp.,taxa
Bortyostrobus auritus/australis,taxa
Triloculina sp.,taxa
Bottom Depth[m] [m],taxa
Thalassiothrix frauenfeldii,taxa
Cibicidoides cf. pachyderma,taxa
Globorotalia praeinflata,taxa
