Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thoracosphaera spp.	Sphenolithus moriformis	Reticulofenestra umbilica	Discoaster barbadiensis	Coccolithus pelagicus	Coccolithus formosus	Chiasmolithus titus	Chiasmolithus solitus	Zygrhablithus bijugatus	Helicosphaera compacta	Discoaster tanii	Discoaster saipanensis	Cyclicargolithus floridanus	Coccolithus eopelagicus	Chiasmolithus grandis	Braarudosphaera spp.	Sphenolithus pseudoradians	Sphenolithus predistentus	Reticulofenestra bisecta	Pontosphaera spp.	Helicosphaera reticulata	Campylosphaera dela	Cribrocentrum reticulatum	Coronocyclus nitescens	Discoaster deflandrei	Clausicoccus fenestratus	Cyclicargolithus abisectus	Sphenolithus distentus	Helicosphaera recta	Micrantholithus flos	Triquetrorhabdulus carinatus	Sphenolithus ciperoensis	Discoaster variabilis	Discoaster triradiatus	Discoaster pentaradiatus	Discoaster neohamatus	Discoaster hamatus	Discoaster brouweri	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster berggrenii	Triquetrorhabdulus rugosus	Discoaster surculus	Discoaster quinqueramus	Amaurolithus primus	Amaurolithus delicatus	Sphenolithus abies	Reticulofenestra pseudoumbilica	Discoaster asymmetricus	Scyphosphaera spp.	Rhabdosphaera clavigera	Crenalithus doronicoides	Ceratolithus acutus	Discoaster tamalis	Ceratolithus cristatus	Amaurolithus tricorniculatus	Helicosphaera carteri	Hayaster perplexus	Ceratolithus armatus	Pseudoemiliania lacunosa	Discoaster bollii	Ceratolithus rugosus	Helicosphaera sellii	Umbilicosphaera sibogae	Scapholithus fossilis	Pontosphaera japonica	Gephyrocapsa oceanica	Gephyrocapsids (small)	Gephyrocapsa caribbeanica	Comment

  SR	Early Pliocene   	                 	CN12d             	              	110	 672	A	  6	H	 3	  98.00	     45.2800	Clark    	Nannofossils                                 	A              	M                 	F                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	C                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	C                     	rR                      	                     	                  	A                  	C                     	A                     	                     	                          	                   	                       	                   	                      	                  	                               	rR                     	C                 	A                      	A                       	                   	                  	F                     	                            	A                    	                  	                    	A                       	                 	                    	F                   	A                      	R                    	R                    	F                    	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12c             	              	110	 672	A	  6	H	 4	  98.00	     46.7800	Clark    	Nannofossils                                 	A              	M                 	F                  	                       	                         	                       	C                    	                    	                   	                     	                       	                      	                	                      	rR                         	                       	                     	                    	                          	                         	                        	                 	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	rR                   	C                     	F                       	                     	                  	A                  	A                     	C                     	                     	                          	                   	                       	                   	                      	                  	                               	                       	C                 	A                      	A                       	                   	                  	C                     	                            	C                    	                  	                    	A                       	                 	                    	F                   	A                      	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12c             	              	110	 672	A	  6	H	 5	  98.00	     48.2800	Clark    	Nannofossils                                 	A              	G                 	C                  	                       	                         	                       	C                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	C                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	F                     	A                       	                     	                  	A                  	C                     	C                     	                     	                          	                   	                       	                   	                      	                  	                               	                       	A                 	A                      	A                       	                   	                  	C                     	                            	C                    	                  	                    	A                       	                 	                    	F                   	A                      	R                    	F                    	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12c             	              	110	 672	A	  6	H	 6	  98.00	     49.7800	Clark    	Nannofossils                                 	C              	M                 	F                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	rR                         	                       	                     	                    	                          	                         	                        	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	F                     	C                       	                     	                  	F                  	C                     	C                     	                     	                          	                   	                       	                   	                      	                  	                               	                       	A                 	A                      	A                       	                   	                  	F                     	                            	A                    	                  	                    	C                       	                 	                    	F                   	C                      	                     	R                    	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12b             	              	110	 672	A	  6	H	CC	  16.00	     51.0800	Clark    	Nannofossils                                 	C              	M                 	F                  	                       	                         	                       	R                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	R                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	rF                   	R                     	C                       	                     	                  	F                  	C                     	C                     	                     	                          	C                  	                       	                   	                      	                  	                               	                       	C                 	C                      	C                       	                   	                  	F                     	                            	C                    	                  	                    	C                       	                 	                    	F                   	F                      	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12b             	              	110	 672	A	  7	H	 1	  80.00	     51.6000	Clark    	Nannofossils                                 	A              	M                 	F                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	                 	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	C                     	A                       	                     	                  	C                  	A                     	C                     	                     	                          	A                  	                       	                   	                      	                  	                               	R                      	A                 	A                      	A                       	                   	                  	C                     	                            	C                    	                  	                    	C                       	                 	                    	F                   	C                      	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12b             	              	110	 672	A	  7	H	 2	  80.00	     53.1000	Clark    	Nannofossils                                 	A              	M                 	C                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	rR                   	F                     	A                       	                     	                  	C                  	C                     	C                     	                     	                          	C                  	                       	                   	                      	                  	                               	                       	A                 	A                      	V                       	                   	                  	C                     	                            	C                    	                  	                    	C                       	                 	                    	F                   	F                      	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12b             	              	110	 672	A	  7	H	 3	  80.00	     54.6000	Clark    	Nannofossils                                 	A              	M                 	C                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	F                     	A                       	                     	                  	C                  	C                     	A                     	                     	                          	C                  	                       	                   	                      	                  	                               	R                      	A                 	A                      	A                       	                   	                  	C                     	                            	A                    	                  	                    	A                       	                 	                    	F                   	F                      	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12a             	              	110	 672	A	  7	H	 4	  80.00	     56.1000	Clark    	Nannofossils                                 	A              	G                 	C                  	                       	                         	                       	C                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	F                    	                      	A                       	                     	                  	A                  	C                     	C                     	                     	                          	C                  	                       	                   	                      	                  	                               	R                      	A                 	A                      	V                       	                   	F                 	F                     	                            	A                    	                  	                    	A                       	                 	                    	F                   	F                      	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12a             	              	110	 672	A	  7	H	 5	  80.00	     57.6000	Clark    	Nannofossils                                 	C              	M                 	C                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	                 	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	C                       	                     	                  	C                  	C                     	C                     	                     	                          	C                  	                       	                   	                      	                  	                               	R                      	F                 	A                      	A                       	                   	F                 	F                     	                            	C                    	                  	                    	C                       	                 	                    	F                   	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12a             	              	110	 672	A	  7	H	 6	  80.00	     59.1000	Clark    	Nannofossils                                 	A              	G                 	C                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	R                    	                      	A                       	                     	                  	C                  	C                     	A                     	                     	                          	C                  	                       	                   	                      	                  	                               	F                      	A                 	A                      	A                       	                   	C                 	C                     	                            	A                    	                  	                    	A                       	                 	                    	F                   	                       	                     	R                    	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12a             	              	110	 672	A	  7	H	 7	  14.00	     59.9400	Clark    	Nannofossils                                 	A              	G                 	C                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	F                     	A                       	                     	                  	A                  	A                     	A                     	                     	                          	C                  	                       	                   	                      	                  	                               	C                      	A                 	A                      	A                       	                   	C                 	C                     	                            	A                    	                  	                    	A                       	                 	                    	F                   	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12a             	              	110	 672	A	  7	H	CC	  11.00	     60.4500	Clark    	Nannofossils                                 	A              	G                 	C                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	C                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	F                     	A                       	                     	                  	C                  	A                     	A                     	                     	                          	C                  	                       	                   	                      	                  	                               	C                      	A                 	A                      	A                       	                   	F                 	F                     	                            	A                    	                  	                    	C                       	                 	                    	F                   	                       	R                    	R                    	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12a             	              	110	 672	A	  8	H	 1	  79.00	     61.0900	Clark    	Nannofossils                                 	A              	G                 	C                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	C                     	A                       	                     	                  	C                  	C                     	C                     	                     	                          	C                  	                       	                   	                      	                  	                               	C                      	A                 	A                      	A                       	                   	C                 	F                     	                            	A                    	                  	                    	C                       	                 	                    	F                   	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12a             	              	110	 672	A	  8	H	 2	  79.00	     62.5900	Clark    	Nannofossils                                 	A              	G                 	F                  	                       	                         	                       	C                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	F                    	F                     	A                       	                     	                  	A                  	C                     	C                     	                     	                          	C                  	                       	                   	                      	                  	                               	C                      	A                 	A                      	A                       	                   	C                 	F                     	                            	C                    	                  	                    	C                       	                 	                    	F                   	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12a             	              	110	 672	A	  8	H	 3	  79.00	     64.0900	Clark    	Nannofossils                                 	A              	M                 	C                  	                       	                         	                       	C                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	F                    	F                     	A                       	                     	                  	A                  	C                     	C                     	                     	                          	C                  	                       	                   	                      	                  	                               	C                      	C                 	C                      	A                       	                   	C                 	C                     	                            	A                    	                  	                    	C                       	                 	                    	R                   	R                      	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12a             	              	110	 672	A	  8	H	 4	  79.00	     65.5900	Clark    	Nannofossils                                 	A              	G                 	C                  	                       	                         	                       	C                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	C                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	C                    	F                     	A                       	                     	                  	C                  	C                     	A                     	                     	                          	C                  	                       	                   	                      	                  	                               	C                      	A                 	A                      	A                       	                   	C                 	C                     	                            	C                    	                  	                    	A                       	                 	                    	F                   	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12a             	              	110	 672	A	  8	H	 5	  79.00	     67.0900	Clark    	Nannofossils                                 	A              	M                 	C                  	                       	                         	                       	C                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	C                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	C                    	F                     	A                       	                     	                  	C                  	C                     	A                     	                     	                          	C                  	                       	                   	                      	                  	                               	C                      	A                 	A                      	A                       	                   	C                 	F                     	                            	A                    	                  	                    	A                       	                 	                    	F                   	                       	                     	R                    	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12a             	              	110	 672	A	  8	H	 6	  79.00	     68.5900	Clark    	Nannofossils                                 	A              	G                 	C                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	C                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	C                    	F                     	A                       	                     	                  	A                  	C                     	C                     	                     	                          	A                  	                       	                   	                      	                  	                               	C                      	A                 	A                      	A                       	                   	C                 	C                     	                            	C                    	                  	                    	A                       	                 	                    	R                   	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12a             	              	110	 672	A	  8	H	CC	  19.00	     70.0800	Clark    	Nannofossils                                 	A              	M                 	F                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	                 	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	F                    	C                     	A                       	                     	                  	C                  	C                     	A                     	                     	                          	C                  	                       	                   	                      	                  	                               	A                      	C                 	A                      	A                       	                   	A                 	F                     	                            	F                    	                  	                    	C                       	                 	                    	R                   	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12a             	              	110	 672	A	  9	H	 1	  80.00	     70.6000	Clark    	Nannofossils                                 	A              	G                 	C                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	C                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	F                    	F                     	A                       	                     	                  	C                  	C                     	A                     	                     	                          	C                  	                       	                   	                      	                  	                               	C                      	A                 	A                      	A                       	                   	C                 	C                     	                            	C                    	                  	                    	C                       	                 	                    	R                   	                       	                     	R                    	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12a             	              	110	 672	A	  9	H	 2	  80.00	     72.1000	Clark    	Nannofossils                                 	A              	G                 	F                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	rR                         	                       	                     	                    	                          	                         	                        	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	F                    	F                     	A                       	                     	                  	C                  	C                     	A                     	                     	                          	C                  	                       	                   	                      	                  	                               	C                      	A                 	A                      	A                       	                   	C                 	F                     	                            	A                    	                  	                    	A                       	                 	                    	F                   	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12a             	              	110	 672	A	  9	H	 4	  80.00	     75.1000	Clark    	Nannofossils                                 	A              	G                 	C                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	rR                         	                       	                     	                    	                          	                         	                        	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	C                    	F                     	A                       	                     	                  	C                  	C                     	C                     	                     	                          	C                  	                       	                   	                      	                  	                               	A                      	A                 	A                      	A                       	                   	C                 	C                     	                            	A                    	                  	                    	A                       	                 	                    	F                   	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12a             	              	110	 672	A	  9	H	 5	  80.00	     76.6000	Clark    	Nannofossils                                 	A              	G                 	C                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	F                    	F                     	A                       	                     	                  	C                  	C                     	C                     	                     	                          	C                  	                       	                   	                      	                  	                               	C                      	C                 	A                      	A                       	                   	C                 	F                     	                            	C                    	                  	                    	A                       	                 	                    	R                   	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	CN12a             	              	110	 672	A	  9	H	 6	  80.00	     78.1000	Clark    	Nannofossils                                 	A              	M                 	F                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	C                    	F                     	A                       	                     	                  	C                  	C                     	A                     	                     	                          	C                  	                       	                   	                      	F                 	                               	C                      	C                 	A                      	A                       	                   	C                 	F                     	                            	C                    	R                 	                    	A                       	                 	                    	F                   	                       	R                    	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.
