Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus abies/neoabies,Rhabdosphaera clavigera,Reticulofenestra umbilica (>7 microns),Reticulofenestra sp. (5-7 microns),Pseudoemiliania lacunosa,Helicosphaera kamptneri,Gephyrocapsa spp. small (<3.5 microns),Gephyrocapsa oceanica (4-5.5 microns)  ,Discoaster variabilis,Discoaster sp.,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster brouweri,Dictyococcites sp.,Cyclicargolithus floridanus,Coccolithus pelagicus,Ceratolithus sp.,Umbilicosphaera mirabilis,Scapholithus fossilis,Pontosphaera sp.,Pontosphaera multipora,Pontosphaera japonica,Oolithotus fragilis,Hayaster perplexus,Discoaster barbadiensis,Calcidiscus leptoporus,Syracosphaera pulchra,Sphenolithus sp.,Pontosphaera discopora,Gephyrocapsa spp. (large >5.5 microns),Discoaster tamalis,Discoaster surculus,Calcidiscus macintyrei,Discoaster triradiatus,Discoaster sp. (5-rayed),Markalius inversus,Ericsonia formosa,Discoaster deflandrei,Ceratolithus cristatus,Scyphosphaera sp.,Reticulofenestra sp. (<5 microns),Holodiscolithus macroporus,Dictyococcites bisectus,Ceratolithus rugosus,Discoaster tuberi,Discoaster delicatus,Chiasmolithus sp.,Discoaster lodoensis,Discoaster septemradiatus,Discoaster saipanensis,Chiasmolithus grandis,Syracosphaera sp.,Triquetrorhabdulus rugosus,Discoaster challengeri,Helicosphaera sellii,Ceratolithus telesmus,Helicosphaera inversa,Discoaster bramlettei,Coronocyclus nitescens,Sphenolithus ciperoensis,Syracosphaera clava,Rhabdosphaera sp.,Umbellosphaera irregularis,Reticulofenestra sp.,Emiliania huxleyi,Clausicoccus fenestratus,Braarudosphaera bigelowii,Comment
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B,  6,R, 5,  40.00,    162.6000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                          ,rC                         ,C                      ,                                      ,S                                 ,A                       ,C                      ,V                                     ,S                                      ,rS                   ,rS            ,rS                     ,rS                      ,rS                 ,C                 ,                           ,S                    ,                ,A                        ,S                    ,S               ,                      ,S                    ,                   ,                  ,                       ,A                     ,C                    ,                ,                      ,                                      ,                  ,                   ,                      ,                      ,rS                      ,                  ,                 ,                     ,R                     ,                 ,                                 ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B,  7,R, 5,  24.00,    172.0400,Staerker ,Nannofossils                                 ,R              ,E                 ,rS                     ,                          ,rS                         ,                       ,                                      ,C                                 ,R                       ,C                      ,C                                     ,C                                      ,                     ,rS            ,                       ,rS                      ,                   ,S                 ,rS                         ,S                    ,                ,C                        ,                     ,R               ,                      ,                     ,                   ,                  ,                       ,C                     ,S                    ,                ,                      ,                                      ,                  ,                   ,rR                    ,                      ,                        ,                  ,                 ,                     ,                      ,                 ,                                 ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,R                    ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B,  8,R, 1,  43.00,    175.8300,Staerker ,Nannofossils                                 ,R              ,E                 ,rS                     ,                          ,                           ,                       ,                                      ,                                  ,C                       ,C                      ,A                                     ,A                                      ,rS                   ,rS            ,rS                     ,                        ,                   ,C                 ,rS                         ,                     ,                ,A                        ,C                    ,R               ,R                     ,R                    ,                   ,                  ,                       ,C                     ,C                    ,                ,                      ,S                                     ,                  ,                   ,rR                    ,                      ,                        ,                  ,                 ,                     ,R                     ,                 ,                                 ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,rR                      ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B,  8,R, 2,  12.00,    177.0200,Staerker ,Nannofossils                                 ,R              ,E                 ,rS                     ,rR                        ,rC                         ,                       ,rR                                    ,S                                 ,C                       ,C                      ,A                                     ,A                                      ,rS                   ,rS            ,rS                     ,                        ,rS                 ,                  ,rR                         ,S                    ,R               ,C                        ,C                    ,S               ,R                     ,S                    ,                   ,                  ,                       ,C                     ,C                    ,                ,                      ,                                      ,                  ,                   ,rR                    ,                      ,                        ,                  ,                 ,                     ,                      ,                 ,                                 ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,rR                    ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B,  8,R, 3,  17.00,    178.5700,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                          ,rC                         ,                       ,                                      ,S                                 ,S                       ,C                      ,A                                     ,A                                      ,rS                   ,rS            ,rS                     ,rS                      ,                   ,C                 ,                           ,S                    ,                ,C                        ,                     ,                ,                      ,                     ,                   ,                  ,                       ,C                     ,S                    ,                ,                      ,R                                     ,                  ,                   ,rR                    ,rR                    ,                        ,                  ,                 ,                     ,R                     ,                 ,                                 ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,R                    ,rR                   ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B,  8,R, 4,  18.00,    180.0800,Staerker ,Nannofossils                                 ,R              ,E                 ,rS                     ,rR                        ,rC                         ,                       ,                                      ,C                                 ,C                       ,C                      ,A                                     ,                                       ,rS                   ,rS            ,rS                     ,rS                      ,                   ,S                 ,                           ,S                    ,                ,C                        ,C                    ,R               ,S                     ,                     ,                   ,                  ,                       ,C                     ,S                    ,rR              ,                      ,                                      ,                  ,                   ,rR                    ,                      ,                        ,                  ,                 ,                     ,R                     ,                 ,                                 ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B,  8,R, 5,  15.00,    181.5500,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                          ,rC                         ,                       ,                                      ,                                  ,C                       ,C                      ,A                                     ,A                                      ,rS                   ,rR            ,rS                     ,rS                      ,rR                 ,                  ,rS                         ,S                    ,                ,C                        ,C                    ,                ,S                     ,R                    ,                   ,                  ,                       ,C                     ,S                    ,                ,                      ,R                                     ,                  ,                   ,rR                    ,                      ,                        ,                  ,                 ,                     ,                      ,                 ,                                 ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,R                    ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B,  8,R, 6,  34.00,    183.2400,Staerker ,Nannofossils                                 ,R              ,E                 ,rS                     ,                          ,rC                         ,S                      ,                                      ,                                  ,C                       ,C                      ,A                                     ,A                                      ,rR                   ,rR            ,                       ,                        ,rS                 ,C                 ,                           ,S                    ,                ,C                        ,C                    ,                ,S                     ,                     ,                   ,                  ,                       ,C                     ,S                    ,                ,                      ,                                      ,                  ,                   ,                      ,                      ,                        ,                  ,                 ,                     ,                      ,                 ,                                 ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,R                ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B,  8,R, 7,  31.00,    184.7100,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,rR                        ,rC                         ,S                      ,                                      ,                                  ,C                       ,C                      ,A                                     ,C                                      ,rR                   ,rS            ,rS                     ,rS                      ,rS                 ,                  ,                           ,S                    ,                ,                         ,C                    ,R               ,S                     ,R                    ,                   ,                  ,                       ,C                     ,S                    ,                ,                      ,                                      ,                  ,                   ,rR                    ,                      ,                        ,                  ,                 ,                     ,                      ,                 ,                                 ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B,  9,R, 1,  22.00,    185.3200,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                          ,rC                         ,C                      ,                                      ,                                  ,C                       ,C                      ,A                                     ,C                                      ,rS                   ,rS            ,rS                     ,rS                      ,rS                 ,C                 ,                           ,S                    ,                ,C                        ,                     ,R               ,                      ,                     ,                   ,                  ,                       ,C                     ,S                    ,                ,                      ,                                      ,                  ,                   ,                      ,                      ,                        ,                  ,                 ,                     ,R                     ,                 ,                                 ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,R                   ,R                    ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B,  9,R, 2,  18.00,    186.7800,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                          ,rC                         ,S                      ,                                      ,                                  ,C                       ,                       ,C                                     ,A                                      ,rS                   ,rS            ,rS                     ,rS                      ,rS                 ,                  ,                           ,S                    ,                ,C                        ,C                    ,R               ,S                     ,R                    ,                   ,                  ,                       ,C                     ,                     ,                ,                      ,                                      ,                  ,                   ,rR                    ,                      ,                        ,                  ,                 ,                     ,                      ,R                ,                                 ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,R                ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B,  9,R, 3,  13.00,    188.2300,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                          ,rC                         ,                       ,                                      ,                                  ,S                       ,C                      ,A                                     ,A                                      ,                     ,rS            ,rS                     ,rS                      ,rS                 ,C                 ,rS                         ,                     ,                ,C                        ,S                    ,R               ,S                     ,R                    ,                   ,                  ,                       ,C                     ,S                    ,                ,                      ,                                      ,                  ,                   ,rR                    ,rR                    ,                        ,                  ,                 ,                     ,                      ,                 ,                                 ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B,  9,R, 4,  64.00,    190.2400,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                          ,rC                         ,S                      ,                                      ,S                                 ,C                       ,C                      ,A                                     ,A                                      ,rS                   ,rS            ,rS                     ,rS                      ,rS                 ,C                 ,rS                         ,S                    ,                ,C                        ,                     ,R               ,S                     ,R                    ,                   ,                  ,                       ,C                     ,S                    ,                ,                      ,                                      ,                  ,rR                 ,                      ,                      ,                        ,                  ,                 ,                     ,                      ,                 ,                                 ,                          ,                       ,                    ,R                ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B,  9,R, 5,  13.00,    191.2300,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                          ,rC                         ,S                      ,                                      ,S                                 ,C                       ,C                      ,A                                     ,A                                      ,rS                   ,rS            ,rS                     ,rS                      ,rS                 ,                  ,rS                         ,                     ,                ,C                        ,S                    ,R               ,R                     ,R                    ,                   ,                  ,                       ,C                     ,S                    ,                ,                      ,                                      ,                  ,rR                 ,rR                    ,                      ,                        ,                  ,                 ,                     ,R                     ,                 ,                                 ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,rR                        ,rR                    ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B, 10,R, 1,  26.00,    194.9600,Staerker ,Nannofossils                                 ,R              ,E                 ,rR                     ,                          ,rC                         ,                       ,                                      ,C                                 ,C                       ,C                      ,A                                     ,C                                      ,rS                   ,rS            ,rS                     ,rS                      ,rS                 ,                  ,rS                         ,                     ,                ,C                        ,C                    ,R               ,R                     ,R                    ,                   ,                  ,                       ,C                     ,S                    ,                ,                      ,                                      ,                  ,rR                 ,                      ,                      ,                        ,                  ,                 ,                     ,                      ,                 ,                                 ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,S                ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B, 10,R, 3, 113.00,    198.8300,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                          ,rC                         ,C                      ,                                      ,C                                 ,A                       ,C                      ,A                                     ,                                       ,rS                   ,rC            ,rS                     ,rS                      ,rS                 ,                  ,rS                         ,S                    ,R               ,A                        ,                     ,R               ,S                     ,R                    ,R                  ,                  ,                       ,C                     ,C                    ,                ,                      ,                                      ,                  ,                   ,rR                    ,                      ,                        ,                  ,                 ,                     ,R                     ,                 ,                                 ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B, 10,R, 5,  48.00,    201.1800,Staerker ,Nannofossils                                 ,R              ,E                 ,rS                     ,                          ,rC                         ,C                      ,                                      ,                                  ,C                       ,C                      ,A                                     ,S                                      ,rS                   ,rC            ,rS                     ,rS                      ,rS                 ,C                 ,rS                         ,C                    ,                ,C                        ,                     ,                ,R                     ,S                    ,S                  ,S                 ,rR                     ,C                     ,C                    ,rR              ,                      ,                                      ,rR                ,                   ,S                     ,                      ,                        ,                  ,rR               ,                     ,                      ,                 ,                                 ,                          ,                       ,                    ,                 ,                    ,rR               ,rR                  ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B, 10,R, 6,  20.00,    202.4000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                          ,                           ,C                      ,                                      ,S                                 ,A                       ,C                      ,C                                     ,                                       ,rS                   ,rS            ,                       ,                        ,rS                 ,C                 ,rS                         ,S                    ,                ,C                        ,C                    ,R               ,                      ,S                    ,R                  ,                  ,rR                     ,C                     ,S                    ,rR              ,                      ,                                      ,                  ,                   ,S                     ,rR                    ,rS                      ,                  ,rS               ,                     ,                      ,                 ,                                 ,                          ,                       ,                    ,                 ,                    ,rR               ,                    ,rR                       ,rR                    ,rR                   ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN13              ,              ,134, 827,B, 11,R, 1, 120.00,    205.6000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                          ,                           ,C                      ,                                      ,C                                 ,C                       ,C                      ,V                                     ,R                                      ,rS                   ,rS            ,rR                     ,rS                      ,rR                 ,                  ,rS                         ,                     ,                ,C                        ,                     ,R               ,                      ,R                    ,C                  ,S                 ,rR                     ,C                     ,C                    ,                ,                      ,                                      ,                  ,                   ,S                     ,rR                    ,                        ,                  ,                 ,rR                   ,                      ,                 ,                                 ,R                         ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN13              ,              ,134, 827,B, 11,R, 2,  28.00,    206.1800,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                          ,rS                         ,C                      ,                                      ,S                                 ,C                       ,C                      ,C                                     ,                                       ,rS                   ,rS            ,                       ,rR                      ,rS                 ,C                 ,                           ,C                    ,R               ,C                        ,R                    ,R               ,                      ,                     ,R                  ,                  ,rR                     ,C                     ,                     ,rS              ,                      ,                                      ,                  ,                   ,R                     ,rR                    ,                        ,                  ,rR               ,                     ,                      ,                 ,                                 ,                          ,                       ,                    ,                 ,                    ,rR               ,rR                  ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN13              ,              ,134, 827,B, 11,R, 3,  30.00,    207.7000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                          ,                           ,C                      ,                                      ,S                                 ,A                       ,C                      ,C                                     ,                                       ,                     ,rS            ,rR                     ,rS                      ,rS                 ,C                 ,rS                         ,                     ,                ,                         ,S                    ,R               ,                      ,R                    ,C                  ,                  ,                       ,C                     ,C                    ,                ,                      ,                                      ,                  ,                   ,S                     ,rR                    ,                        ,                  ,                 ,                     ,                      ,                 ,                                 ,R                         ,                       ,                    ,                 ,                    ,rR               ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN13              ,              ,134, 827,B, 11,R,CC,   4.00,    208.3600,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                          ,rS                         ,C                      ,                                      ,S                                 ,A                       ,C                      ,C                                     ,                                       ,rR                   ,rR            ,rR                     ,rS                      ,rR                 ,C                 ,                           ,                     ,                ,                         ,S                    ,R               ,                      ,S                    ,C                  ,                  ,                       ,C                     ,S                    ,                ,                      ,                                      ,                  ,                   ,C                     ,                      ,                        ,                  ,                 ,                     ,                      ,S                ,                                 ,S                         ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN13              ,              ,134, 827,B, 12,R, 1,  66.00,    214.6600,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                          ,rS                         ,S                      ,                                      ,S                                 ,C                       ,C                      ,C                                     ,                                       ,                     ,              ,                       ,                        ,rS                 ,                  ,                           ,                     ,                ,                         ,S                    ,R               ,                      ,R                    ,C                  ,                  ,                       ,C                     ,S                    ,                ,                      ,                                      ,                  ,                   ,S                     ,                      ,                        ,                  ,                 ,                     ,                      ,                 ,                                 ,                          ,                       ,rR                  ,S                ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN13              ,              ,134, 827,B, 12,R, 2,  25.00,    215.7500,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                          ,                           ,C                      ,                                      ,                                  ,A                       ,C                      ,A                                     ,S                                      ,rR                   ,rS            ,rS                     ,rR                      ,rS                 ,                  ,                           ,S                    ,                ,S                        ,S                    ,                ,                      ,                     ,                   ,                  ,                       ,C                     ,C                    ,rS              ,                      ,S                                     ,                  ,                   ,R                     ,                      ,                        ,                  ,                 ,                     ,                      ,                 ,                                 ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN13              ,              ,134, 827,B, 12,R, 3,  29.00,    217.2900,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                          ,rR                         ,C                      ,                                      ,S                                 ,R                       ,                       ,C                                     ,S                                      ,rR                   ,rS            ,                       ,                        ,rR                 ,S                 ,rS                         ,S                    ,                ,S                        ,                     ,                ,                      ,S                    ,S                  ,                  ,rR                     ,C                     ,S                    ,rS              ,                      ,                                      ,                  ,                   ,S                     ,                      ,                        ,                  ,rR               ,                     ,                      ,                 ,                                 ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
