Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassionema nitzschioides	Denticulopsis praelauta	Coscinodiscus marginatus	Chaetoceros spp. (resting spores)	Cavitatus jouseanus	Aulacoseira spp.	Actinocyclus ingens	Stephanopyxis turris	Denticulopsis lauta	Thalassiothrix longissima	Paralia sulcata	Denticulopsis hyalina	Crucidenticula nicobarica	Actinoptychus senarius	Denticulopsis simonsenii	Thalassiosira yabei	Denticulopsis praedimorpha	Delphineis simonsenii	Proboscia barboi	Actinocyclus ellipticus	Azpeitia nodulifera	Rhizosolenia hebetata f. hiemalis	Ikebea tenuis	Denticulopsis dimorpha	Denticulopsis katayamae	Thalassionema schraderi	Rouxia californica	Koizumia tatsunokuchiensis	Nitzschia fossilis	Thalassiosira lineata	Odontella aurita	Hemidiscus cuneiformis	Actinocyclus curvatulus	Thalassiosira nidulus	Nitzschia rolandii	Neodenticula kamtschatica	Nitzschia reinholdii	Thalassiosira antiqua	Nitzschia marina	Pyxidicula zabelinae	Cocconeis costata	Coscinodiscus radiatus	Stephanopyxis horridus	Proboscia curvirostris	Thalassiosira eccentrica	Thalassiosira jouseae	Thalassiosira praeoestrupii	Thalassiosira jacksonii	Asteromphalus flabellatus	Thalassiosira oestrupii	Delphineis surirella	Actinocyclus oculatus	Thalassiosira latimarginata	Thalassiosira gravida	Actinocyclus ochotensis	Neodenticula koizumii	Neodenticula seminae	Rhizosolenia bergonii	Actinocyclus octonarius	Bacterosira fragilis	Nitzschia interruptestriata	Fragilariopsis doliolus	Comment

  IR	                 	                 	                  	              	186	1151	A	 30	R	CC	  10.00	    353.5600	Ikeda    	Diatoms                                      	A              	G                 	C                          	                       	F                       	F                                	                   	                	                   	F                   	                   	                         	               	                     	                         	                      	                        	                   	                          	                     	R               	                       	T                  	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	                       	                     	                  	C                        	                    	                     	                	                    	                 	                      	                      	                      	                        	                     	                           	R                      	                         	F                      	                    	R                    	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 31	R	CC	  14.00	    360.9900	Ikeda    	Diatoms                                      	C              	G                 	C                          	                       	F                       	F                                	                   	                	                   	R                   	                   	                         	               	                     	                         	                      	                        	                   	                          	                     	F               	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	R                    	                	                      	                       	                     	                  	C                        	                    	                     	                	                    	                 	                      	                      	                      	                        	T                    	                           	                       	                         	R                      	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 32	R	CC	  15.00	    367.0500	Ikeda    	Diatoms                                      	C              	M                 	F                          	                       	C                       	F                                	                   	                	                   	                    	                   	                         	               	                     	                         	R                     	                        	                   	                          	                     	F               	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	                       	                     	                  	C                        	                    	R                    	                	R                   	                 	                      	                      	                      	                        	                     	T                          	                       	R                        	R                      	R                   	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 33	R	CC	  19.00	    377.6100	Ikeda    	Diatoms                                      	A              	G                 	C                          	                       	R                       	R                                	                   	                	                   	F                   	                   	                         	               	                     	                         	R                     	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	R                    	                	                      	                       	R                    	                  	C                        	                    	R                    	                	                    	                 	                      	                      	                      	                        	                     	                           	                       	                         	R                      	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 34	R	CC	  13.00	    388.1100	Ikeda    	Diatoms                                      	C              	M                 	F                          	                       	R                       	R                                	                   	                	                   	                    	                   	                         	               	                     	                         	R                     	                        	                   	                          	R                    	                	                       	                   	                                 	             	                      	                       	                       	                  	R                         	                  	                     	                	                      	                       	R                    	                  	C                        	                    	                     	                	                    	R                	                      	                      	                      	                        	                     	                           	                       	                         	R                      	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 35	R	CC	  17.00	    396.0100	Ikeda    	Diatoms                                      	F              	M                 	F                          	                       	                        	R                                	                   	                	                   	                    	                   	                         	T              	                     	                         	R                     	                        	                   	                          	                     	                	                       	                   	R                                	             	                      	                       	                       	                  	                          	                  	                     	                	                      	                       	R                    	                  	F                        	                    	T                    	                	                    	                 	                      	                      	                      	                        	                     	                           	                       	                         	T                      	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 36	R	CC	  12.00	    406.4900	Ikeda    	Diatoms                                      	C              	G                 	F                          	                       	C                       	F                                	                   	                	                   	                    	                   	R                        	               	                     	                         	T                     	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	R                    	                	                      	R                      	                     	                  	C                        	                    	                     	                	C                   	R                	                      	                      	                      	                        	                     	R                          	                       	                         	R                      	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	r=T(D.sim)

  IR	                 	                 	                  	              	186	1151	A	 37	R	CC	  11.00	    415.4300	Ikeda    	Diatoms                                      	A              	G                 	C                          	                       	C                       	F                                	                   	                	                   	R                   	                   	                         	               	                     	                         	R                     	                        	                   	                          	                     	T               	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	                       	                     	                  	C                        	T                   	R                    	                	F                   	R                	                      	                      	                      	                        	                     	                           	R                      	                         	R                      	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 38	R	 1	  70.00	    421.3000	Ikeda    	Diatoms                                      	C              	G                 	F                          	                       	C                       	F                                	                   	                	                   	                    	                   	                         	               	                     	                         	R                     	                        	                   	                          	R                    	                	                       	                   	                                 	             	                      	                       	                       	                  	R                         	R                 	                     	                	                      	                       	                     	                  	C                        	                    	                     	                	F                   	                 	                      	                      	                      	                        	                     	                           	                       	                         	T                      	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	NPD 7Ba       	186	1151	A	 38	R	CC	   9.00	    426.2100	Ikeda    	Diatoms                                      	C              	M                 	                           	                       	C                       	F                                	                   	                	                   	R                   	                   	                         	               	                     	                         	                      	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	R                 	T                    	                	                      	                       	                     	                  	C                        	                    	R                    	                	F                   	                 	                      	                      	                      	                        	R                    	                           	T                      	                         	                       	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 39	R	CC	  12.00	    433.6400	Ikeda    	Diatoms                                      	C              	G                 	F                          	                       	F                       	F                                	                   	                	                   	R                   	                   	R                        	               	                     	                         	                      	                        	                   	                          	T                    	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	R                    	T               	                      	                       	R                    	                  	C                        	                    	                     	                	F                   	                 	                      	                      	                      	                        	                     	                           	                       	T                        	                       	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 40	R	CC	  17.00	    445.3600	Ikeda    	Diatoms                                      	F              	M                 	F                          	                       	F                       	R                                	                   	                	                   	                    	                   	                         	               	                     	                         	                      	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	                       	R                    	                  	C                        	                    	                     	                	F                   	                 	                      	                      	                      	                        	                     	                           	                       	                         	                       	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 41	R	CC	  12.00	    455.0100	Ikeda    	Diatoms                                      	C              	G                 	F                          	                       	                        	R                                	                   	                	                   	                    	                   	                         	               	                     	                         	R                     	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	                       	R                    	                  	C                        	                    	                     	                	F                   	                 	R                     	                      	                      	                        	                     	                           	F                      	                         	                       	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 42	R	CC	  11.00	    464.4600	Ikeda    	Diatoms                                      	A              	G                 	C                          	                       	                        	                                 	                   	                	                   	                    	                   	                         	               	                     	                         	                      	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	R                 	                     	                	                      	                       	T                    	                  	A                        	                    	R                    	                	F                   	                 	                      	                      	                      	                        	                     	T                          	                       	                         	                       	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	r=F(D.kat)

  IR	                 	                 	                  	              	186	1151	A	 43	R	CC	   9.00	    473.3000	Ikeda    	Diatoms                                      	A              	G                 	F                          	                       	F                       	F                                	                   	                	                   	                    	                   	                         	               	                     	                         	R                     	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	                       	                     	                  	C                        	                    	                     	                	R                   	                 	                      	                      	                      	                        	T                    	R                          	R                      	                         	                       	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 44	R	CC	   0.00	    487.2500	Ikeda    	Diatoms                                      	C              	G                 	F                          	                       	C                       	                                 	                   	                	                   	R                   	                   	                         	               	                     	                         	                      	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	                       	R                    	                  	C                        	                    	                     	                	C                   	                 	                      	                      	                      	                        	                     	                           	                       	                         	                       	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 45	R	CC	  15.00	    492.2100	Ikeda    	Diatoms                                      	A              	G                 	F                          	                       	                        	R                                	                   	                	                   	R                   	                   	T                        	               	                     	                         	R                     	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	                       	                     	                  	A                        	                    	                     	                	F                   	T                	                      	                      	                      	                        	                     	R                          	                       	                         	                       	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	r=T(D.dim)

  IR	                 	                 	                  	              	186	1151	A	 46	R	CC	  12.00	    505.7500	Ikeda    	Diatoms                                      	A              	G                 	F                          	                       	C                       	R                                	                   	                	                   	                    	                   	R                        	               	                     	                         	R                     	                        	                   	                          	                     	R               	                       	R                  	                                 	             	                      	                       	                       	                  	                          	                  	R                    	                	                      	R                      	                     	                  	C                        	                    	                     	                	F                   	                 	                      	                      	                      	                        	                     	                           	                       	                         	                       	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 47	R	CC	  13.00	    516.1300	Ikeda    	Diatoms                                      	A              	G                 	F                          	                       	                        	F                                	                   	                	                   	                    	                   	R                        	               	                     	                         	R                     	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	                       	                     	                  	A                        	                    	                     	                	R                   	F                	                      	                      	                      	                        	                     	                           	                       	                         	                       	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 48	R	CC	  11.00	    524.4900	Ikeda    	Diatoms                                      	A              	M                 	                           	                       	F                       	                                 	                   	                	                   	R                   	                   	                         	F              	                     	                         	R                     	                        	                   	                          	                     	R               	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	                       	                     	                  	C                        	                    	                     	                	C                   	T                	                      	                      	                      	                        	                     	                           	                       	                         	                       	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	r=T(C.nico)

  IR	                 	                 	                  	              	186	1151	A	 49	R	CC	  15.00	    533.5200	Ikeda    	Diatoms                                      	A              	G                 	F                          	                       	R                       	F                                	                   	                	                   	                    	                   	                         	               	                     	                         	R                     	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	R                         	                  	                     	                	                      	                       	T                    	                  	C                        	                    	                     	                	C                   	                 	                      	                      	                      	                        	                     	                           	                       	                         	                       	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	r=T(D.hya)

  IR	                 	                 	                  	              	186	1151	A	 50	R	CC	  15.00	    541.9400	Ikeda    	Diatoms                                      	A              	M                 	F                          	                       	F                       	F                                	                   	                	                   	                    	                   	                         	               	                     	                         	R                     	                        	                   	                          	                     	R               	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	T                     	                       	                     	                  	F                        	                    	                     	                	C                   	R                	F                     	                      	                      	                        	                     	                           	                       	                         	                       	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 51	R	CC	  14.00	    554.6300	Ikeda    	Diatoms                                      	A              	G                 	                           	                       	C                       	                                 	                   	                	                   	                    	                   	                         	R              	                     	                         	                      	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	                       	R                    	                  	A                        	R                   	R                    	                	F                   	R                	                      	                      	                      	                        	                     	                           	                       	                         	                       	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 52	R	CC	  18.00	    563.9900	Ikeda    	Diatoms                                      	A              	G                 	F                          	                       	C                       	F                                	                   	T               	                   	                    	                   	                         	               	                     	                         	R                     	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	                       	                     	                  	F                        	                    	                     	                	C                   	R                	                      	                      	                      	                        	                     	                           	                       	                         	                       	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 53	R	CC	  16.00	    573.2800	Ikeda    	Diatoms                                      	A              	G                 	F                          	                       	F                       	F                                	                   	                	                   	                    	                   	                         	               	                     	                         	F                     	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	R                 	                     	                	                      	                       	R                    	                  	C                        	                    	                     	R               	C                   	R                	                      	                      	                      	                        	                     	                           	                       	                         	                       	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 54	R	CC	  14.00	    582.7600	Ikeda    	Diatoms                                      	C              	M                 	R                          	                       	F                       	C                                	                   	                	                   	                    	                   	                         	               	                     	                         	R                     	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	R                    	                	                      	R                      	                     	                  	C                        	                    	                     	                	C                   	                 	                      	                      	                      	                        	                     	                           	                       	                         	                       	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 55	R	CC	   8.00	    584.3800	Ikeda    	Diatoms                                      	A              	G                 	A                          	                       	R                       	C                                	                   	                	                   	                    	                   	F                        	               	                     	                         	R                     	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	R                 	                     	                	                      	                       	R                    	                  	C                        	                    	                     	                	R                   	R                	                      	                      	                      	                        	                     	                           	                       	                         	                       	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 56	R	CC	  13.00	    596.4700	Ikeda    	Diatoms                                      	C              	M                 	R                          	                       	F                       	R                                	                   	                	                   	                    	                   	                         	               	                     	                         	R                     	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	R                      	                     	                  	C                        	                    	                     	                	F                   	                 	                      	                      	                      	                        	                     	                           	                       	                         	                       	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       
