Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus abies	Reticulofenestra pseudoumbilica	Helicosphaera carteri	Discoaster variabilis	Discoaster hamatus	Discoaster bellus	Coccolithus pelagicus	Catinaster coalitus	Calcidiscus leptoporus	Discoaster neorectus	Discoaster intercalaris	Discoaster asymmetricus (grainy)	Discoaster brouweri	Scyphosphaera pulcherrima	Reticulofenestra minuta	Discoaster prepentaradiatus	Discoaster bollii	Discoaster pentaradiatus	Discoaster neohamatus	Thoracosphaera sp.	Discoaster deflandrei	Discoaster surculus	Discoaster quinqueramus	Reticulofenestra minutula	Discoaster loeblichii	Discolithina sp.	Pontosphaera pachymorpha	Triquetrorhabdulus rugosus	Discoaster berggrenii	Calcidiscus tropicus	Amaurolithus amplificus	Amaurolithus primus	Amaurolithus delicatus	Helicosphaera sellii	Microrhabdulus attenuatus	Ceratolithus armatus	Ceratolithus sp.	Discoaster blackstockae	Discolithina japonica	Discoaster tristellifer	Pseudoemiliania lacunosa	Crenalithus sp.	Sphenolithus neoabies	Umbilicosphaera sibogae	Ceratolithus rugosus	Ceratolithus cristatus	Gephyrocapsa spp. (small)	Umbilicosphaera sp.	Helicosphaera neogranulata	Syracosphaera pulchra	Discoaster triradiatus	Discoaster sp.	Gephyrocapsa oceanica s.l.	Scapholithus fossilis	Helicosphaera wallichii	Discosphaera tubifera	Rhabdosphaera clavigera	Comment

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 24	X	 5	  20.00	    194.7000	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	                     	                  	                 	                     	                   	                      	                    	                       	                                	                   	R                        	A                      	                           	                 	                        	                     	                  	                     	                   	                       	A                        	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	R               	                       	                     	                       	A                       	               	                     	F                      	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 24	X	CC	  30.00	    198.0000	Gartner  	Nannofossils                                 	               	                  	                  	                               	R                    	                     	                  	                 	                     	                   	R                     	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	R                       	               	                     	T                      	                    	                      	C                        	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 25	X	 1	  65.00	    198.6500	Gartner  	Nannofossils                                 	               	                  	                  	                               	C                    	                     	                  	                 	                     	                   	C                     	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	A                       	               	                     	F                      	                    	T                     	                         	                   	                          	                     	                      	              	R                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 25	X	 3	  45.00	    201.4500	Gartner  	Nannofossils                                 	               	                  	                  	                               	F                    	                     	                  	                 	                     	                   	F                     	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	F                       	               	                     	                       	                    	                      	F                        	                   	                          	                     	                      	              	F                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 25	X	 4	  45.00	    202.9500	Gartner  	Nannofossils                                 	               	                  	                  	                               	T                    	                     	                  	                 	                     	                   	R                     	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	F                       	               	                     	R                      	                    	                      	R                        	                   	                          	                     	                      	              	R                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 25	X	 4	 112.00	    203.6200	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	                     	                  	                 	                     	                   	C                     	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	C                        	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	F               	                       	T                    	                       	C                       	               	                     	R                      	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 25	X	 5	 125.00	    205.2500	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	                     	                  	                 	                     	                   	F                     	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 26	X	 1	  10.00	    207.6000	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	                     	                  	                 	                     	                   	                      	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	R                       	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	F                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 26	X	 1	 100.00	    208.5000	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	                     	                  	                 	                     	                   	                      	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	T                        	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 26	X	 2	 130.00	    210.3000	Gartner  	Nannofossils                                 	               	                  	                  	                               	R                    	                     	                  	                 	                     	                   	                      	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	R                       	               	                     	                       	                    	                      	R                        	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 26	X	CC	  28.00	    217.0900	Gartner  	Nannofossils                                 	               	                  	                  	                               	F                    	                     	                  	                 	F                    	                   	F                     	                    	                       	T                               	F                  	                         	C                      	                           	                 	F                       	                     	                  	                     	                   	R                      	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	F                   	                         	                    	                	                       	T                    	                       	C                       	C              	                     	                       	R                   	                      	C                        	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 27	X	 1	  24.00	    217.2400	Gartner  	Nannofossils                                 	               	                  	T                 	T                              	F                    	                     	                  	                 	F                    	                   	F                     	                    	                       	                                	R                  	                         	F                      	                           	                 	                        	                     	                  	                     	                   	T                      	                         	                     	                	                        	                          	                     	T                   	                       	                   	                      	R                   	                         	                    	                	                       	                     	                       	C                       	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	C                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	                 	                 	CN12d             	              	116	 717	C	 27	X	 2	  58.00	    219.0800	Gartner  	Nannofossils                                 	               	                  	                  	                               	F                    	                     	                  	                 	F                    	                   	F                     	                    	                       	                                	C                  	                         	                       	                           	                 	F                       	                     	                  	                     	                   	                       	C                        	                     	                	                        	                          	                     	R                   	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	A                       	               	                     	                       	                    	C                     	                         	                   	R                         	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	                 	                 	CN12d             	              	116	 717	C	 27	X	 5	 100.00	    224.0000	Gartner  	Nannofossils                                 	               	                  	T                 	                               	F                    	                     	                  	                 	C                    	                   	T                     	                    	                       	                                	R                  	                         	A                      	                           	                 	T                       	                     	                  	                     	                   	                       	F                        	                     	                	                        	                          	                     	                    	                       	                   	                      	R                   	                         	                    	T               	                       	                     	                       	F                       	               	                     	                       	                    	                      	C                        	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	                 	                 	CN12d             	              	116	 717	C	 27	X	CC	  25.00	    226.2500	Gartner  	Nannofossils                                 	               	                  	T                 	                               	F                    	                     	                  	                 	R                    	                   	                      	                    	                       	                                	R                  	T                        	                       	                           	                 	                        	                     	                  	                     	                   	                       	R                        	                     	                	                        	                          	                     	                    	                       	                   	                      	T                   	                         	                    	                	                       	T                    	                       	F                       	               	                     	                       	                    	                      	F                        	                   	                          	T                    	T                     	T             	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	                 	                 	CN12c             	              	116	 717	C	 28	X	 5	 114.00	    233.6500	Gartner  	Nannofossils                                 	               	                  	R                 	                               	                     	T                    	                  	                 	F                    	                   	C                     	                    	                       	T                               	A                  	T                        	                       	                           	                 	A                       	                     	                  	                     	                   	                       	A                        	                     	                	                        	                          	                     	T                   	                       	                   	                      	T                   	                         	T                   	                	                       	                     	                       	A                       	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	                 	                 	CN12c             	              	116	 717	C	 28	X	 5	 141.00	    233.9200	Gartner  	Nannofossils                                 	               	                  	T                 	T                              	F                    	F                    	                  	                 	R                    	                   	                      	                    	                       	T                               	C                  	                         	                       	                           	                 	F                       	                     	                  	                     	                   	                       	A                        	                     	                	                        	                          	                     	C                   	                       	                   	                      	F                   	                         	                    	                	                       	                     	                       	A                       	               	                     	                       	                    	T                     	                         	                   	F                         	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	                 	                 	CN12c             	              	116	 717	C	 28	X	CC	  11.00	    234.5900	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	                     	                  	                 	                     	                   	                      	                    	                       	                                	T                  	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	T                       	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	                 	                 	CN12c             	              	116	 717	C	 29	X	 1	  15.00	    236.1500	Gartner  	Nannofossils                                 	               	                  	                  	                               	F                    	                     	                  	                 	T                    	                   	R                     	                    	                       	                                	C                  	                         	                       	                           	                 	F                       	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	R                   	                       	                   	                      	T                   	                         	                    	                	                       	                     	                       	C                       	               	                     	                       	                    	T                     	R                        	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	                 	                 	CN12a             	CN12b         	116	 717	C	 29	X	CC	  19.00	    245.5200	Gartner  	Nannofossils                                 	               	                  	                  	                               	C                    	                     	                  	                 	C                    	                   	F                     	                    	                       	                                	C                  	                         	A                      	                           	                 	F                       	                     	T                 	                     	R                  	                       	C                        	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	F                       	               	                     	                       	T                   	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	                 	                 	CN12a             	CN12b         	116	 717	C	 30	X	 1	  38.00	    245.8800	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	                     	                  	                 	                     	                   	R                     	                    	                       	                                	F                  	                         	                       	                           	                 	R                       	                     	                  	                     	T                  	                       	                         	                     	                	                        	                          	                     	T                   	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	R                       	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	                 	                 	CN12a             	CN12b         	116	 717	C	 30	X	CC	  28.00	    255.1000	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	                     	                  	                 	                     	                   	                      	                    	                       	                                	F                  	                         	                       	                           	                 	R                       	                     	                  	                     	                   	                       	R                        	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	R                       	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	                 	                 	CN12a             	CN12b         	116	 717	C	 31	X	 1	 129.00	    256.2900	Gartner  	Nannofossils                                 	               	                  	                  	                               	F                    	                     	                  	                 	F                    	                   	F                     	                    	                       	                                	A                  	                         	F                      	                           	                 	A                       	                     	                  	                     	R                  	                       	A                        	                     	                	                        	                          	                     	R                   	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	                 	                 	CN12a             	CN12b         	116	 717	C	 31	X	CC	  39.00	    258.8600	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	                     	                  	                 	                     	                   	R                     	                    	                       	                                	F                  	                         	F                      	                           	                 	R                       	                     	                  	                     	                   	                       	F                        	                     	                	                        	                          	                     	                    	                       	                   	                      	T                   	                         	                    	                	                       	                     	                       	                        	               	                     	                       	T                   	                      	                         	T                  	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	                 	                 	CN12a             	CN12b         	116	 717	C	 32	X	CC	  44.00	    272.1200	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	                     	                  	                 	                     	                   	                      	                    	                       	                                	                   	                         	T                      	                           	                 	                        	                     	                  	                     	                   	                       	T                        	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	T                       	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	                 	                 	CN12a             	CN12b         	116	 717	C	 33	X	 4	 125.00	    279.7500	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	T                    	                  	                 	                     	                   	R                     	                    	                       	T                               	R                  	                         	R                      	                           	                 	R                       	                     	                  	                     	T                  	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	F                       	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	                 	                 	CN12a             	CN12b         	116	 717	C	 35	X	CC	  36.00	    302.6900	Gartner  	Nannofossils                                 	               	                  	                  	T                              	T                    	T                    	                  	                 	                     	                   	R                     	                    	                       	                                	R                  	                         	                       	                           	                 	R                       	                     	                  	                     	T                  	                       	C                        	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	F                       	               	                     	                       	R                   	                      	R                        	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	                 	                 	CN12a             	CN12b         	116	 717	C	 36	X	 4	  94.00	    307.9400	Gartner  	Nannofossils                                 	               	                  	F                 	                               	                     	T                    	                  	                 	                     	                   	                      	                    	                       	                                	R                  	                         	                       	                           	                 	R                       	                     	                  	                     	                   	                       	R                        	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	R                       	               	                     	                       	C                   	T                     	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	                 	                 	CN12a             	CN12b         	116	 717	C	 36	X	CC	  36.00	    312.1900	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	                     	                  	                 	                     	                   	                      	                    	                       	                                	T                  	                         	R                      	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	T                       	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	                 	                 	CN12a             	CN12b         	116	 717	C	 37	X	 2	 140.00	    314.9000	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	                     	                  	                 	                     	                   	                      	                    	                       	                                	                   	                         	T                      	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	T                       	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175
