Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra bisecta,Coccolithus sp.,Sphenolithus heteromorphus,Helicosphaera intermedia,Coccolithus pelagicus,Sphenolithus moriformis,Helicosphaera kamptneri,Cyclococcolithus leptoporus,Cyclicargolithus floridanus,Reticulofenestra sp.,Discoaster variabilis,Cyclococcolithus macintyrei,Discoaster exilis,Scyphosphaera apsteinii,Discoaster quinqueramus,Discoaster brouweri,Discoaster berggrenii,Syracosphaera pulchra,Sphenolithus abies,Reticulofenestra pseudoumbilica,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster asymmetricus,Umbilicosphaera sibogae,Umbellosphaera irregularis,Scapholithus fossilis,Rhabdosphaera clavigera,Pseudoemiliania lacunosa,Neosphaera coccolithomorpha,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Gephyrocapsa (small),Discolithina caponica,Thoracosphaera sp.,Emiliania huxleyi,Hayaster perplexus,Comment
  SR,Middle Miocene   ,                 ,NN5               ,              ,101, 626,C, 14,H, 1,  80.00,    122.5000,Watkins  ,Nannofossils                                 ,               ,P                 ,                        ,R              ,R                         ,                        ,R                    ,R                      ,R                      ,                           ,                           ,R                   ,R                    ,R                          ,                 ,                       ,                       ,                   ,                     ,                     ,                  ,                               ,                  ,                   ,                        ,                       ,                       ,                          ,                     ,                       ,                        ,                           ,                     ,                         ,                    ,                     ,                  ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NN5               ,              ,101, 626,C, 15,H, 1,  40.00,    131.7000,Watkins  ,Nannofossils                                 ,               ,P                 ,                        ,R              ,                          ,                        ,                     ,                       ,                       ,                           ,                           ,                    ,                     ,                           ,                 ,                       ,                       ,                   ,                     ,                     ,                  ,                               ,                  ,                   ,                        ,                       ,                       ,                          ,                     ,                       ,                        ,                           ,                     ,                         ,                    ,                     ,                  ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NN5               ,              ,101, 626,C, 15,H, 7,  40.00,    140.7000,Watkins  ,Nannofossils                                 ,               ,P                 ,                        ,R              ,                          ,                        ,                     ,                       ,                       ,                           ,                           ,                    ,                     ,                           ,                 ,                       ,                       ,                   ,                     ,                     ,                  ,                               ,                  ,                   ,                        ,                       ,                       ,                          ,                     ,                       ,                        ,                           ,                     ,                         ,                    ,                     ,                  ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NN5               ,              ,101, 626,C, 16,H, 1,  43.00,    141.2300,Watkins  ,Nannofossils                                 ,               ,P                 ,                        ,R              ,R                         ,                        ,                     ,                       ,                       ,                           ,                           ,                    ,                     ,                           ,                 ,                       ,                       ,                   ,                     ,                     ,                  ,                               ,                  ,                   ,                        ,                       ,                       ,                          ,                     ,                       ,                        ,                           ,                     ,                         ,                    ,                     ,                  ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NN5               ,              ,101, 626,C, 16,H, 3,  43.00,    144.2300,Watkins  ,Nannofossils                                 ,               ,P                 ,                        ,R              ,                          ,                        ,                     ,                       ,                       ,                           ,                           ,                    ,                     ,                           ,                 ,                       ,                       ,                   ,                     ,                     ,                  ,                               ,                  ,                   ,                        ,                       ,                       ,                          ,                     ,                       ,                        ,                           ,                     ,                         ,                    ,                     ,                  ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
