Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Haplophragmoides sp.	Cyclammina spp.	Bathysiphon sp. 	Trochammina sp.	Spiroplectammina spectabilis	Ammodiscus sp.	Cyclammina amplectans	Cribrostomoides sp.	Tubes (unspecified)	Trochammina spp.	Haplophragmoides spp.	Spirolocammina sp.	Rhabdammina spp.	Recurvoides sp.	Spirosigmoilinella sp.	Melonis zaandamae	Epistominella exigua	Cibicidoides grimsdalei	Anomalinoides alazanensis	Spirosigmoilinella spp.	Cibicides spp.	Cassidulina subglobosa	Cassidulina laevigata	Oridorsalis umbonatus	Eponides umbonatus	Cibicides wuellerstorfi	Stainforthia loeblichi	Cassidulina reniforme	Pyrgo murrhina	Comment

  SR	                 	                 	C2                	              	104	 643	A	 14	H	 1	  74.00	    120.0400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	                 	                    	                       	                         	                       	+             	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 14	H	 2	  74.00	    121.5400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 14	H	 3	  74.00	    123.0400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 14	H	 5	  74.00	    126.0400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 14	H	CC	  20.00	    128.1200	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 15	H	 2	  75.00	    131.0500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 15	H	 4	  75.00	    134.0500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 15	H	 5	  75.00	    135.5500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 15	H	 6	  75.00	    137.0500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	+                     	+                	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 15	H	CC	  12.00	    137.9200	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  IR	                 	                 	C2                	              	104	 643	A	 15	H	CC	  39.00	    138.1900	Osterman 	Benthic Foraminifers                         	R              	P                 	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	T                      	              	                      	                     	                     	                  	                       	                      	                     	              	Other benthic species = T; Benthic forams = ~100%; from 104 IR Chapter 5 Table 7 p 477

  SR	                 	                 	C2                	              	104	 643	A	 16	H	 1	  73.00	    139.0300	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 16	H	 2	  73.00	    140.5300	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 16	H	 3	  73.00	    142.0300	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	8.5%              	                	               	5.6%                  	2.8%             	39.6%               	                       	                         	                       	              	15.0%                 	                     	                     	                  	                       	                      	                     	              	Other taxa = 28.3%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 16	H	 4	  73.00	    143.5300	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	+                     	                 	                    	                       	                         	                       	+             	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 16	H	CC	  38.00	            	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 17	X	 1	  60.00	    148.4000	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	                 	                    	                       	                         	                       	              	+                     	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  IR	                 	                 	C2                	              	104	 643	A	 17	X	 1	  64.00	    148.4400	Osterman 	Benthic Foraminifers                         	R              	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	T                      	              	                      	                     	                     	                  	                       	                      	                     	              	Other benthic species = T; Benthic forams = 100%; from 104 IR Chapter 5 Table 7 p 477

  SR	                 	                 	C2                	              	104	 643	A	 18	X	 1	  73.00	    158.0300	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 18	X	 2	  73.00	    159.5300	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 18	X	CC	  18.00	    160.8000	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 19	X	 1	  74.00	    167.5400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 19	X	 4	  74.00	    172.0400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 19	X	 6	  74.00	    175.0400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 20	X	 1	  74.00	    177.0400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 20	X	 2	  74.00	    178.5400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 20	X	 3	  74.00	    180.0400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 20	X	 5	  74.00	    183.0400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 20	X	 6	  74.00	    184.5400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 20	X	 7	   5.00	    185.3500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 20	X	CC	  15.00	    185.8300	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 21	X	CC	   0.00	    190.7200	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 22	X	 1	  74.00	    196.0400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 22	X	 2	  74.00	    197.5400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 22	X	 4	  74.00	    200.5400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 22	X	 6	  74.00	    203.5400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 23	X	 1	  78.00	    205.8800	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 23	X	 2	  78.00	    207.3800	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 23	X	 3	  78.00	    208.8800	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 23	X	 5	  78.00	    211.8800	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 23	X	 6	  78.00	    213.3800	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 23	X	CC	  18.00	    214.7500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  IR	                 	                 	C2                	              	104	 643	A	 23	X	CC	  32.00	    214.8900	Osterman 	Benthic Foraminifers                         	R              	M                 	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	T                      	              	                      	                     	                     	                  	                       	                      	                     	              	Benthic forams = 100; from 104 IR Chapter 5 Table 7 p 477

  SR	                 	                 	C2                	              	104	 643	A	 24	X	 2	  75.00	    217.1500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 24	X	 4	  75.00	    220.1500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 24	X	 6	  75.00	    223.1500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 25	X	 1	  75.00	    225.4500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 25	X	CC	  21.00	    234.4000	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  IR	                 	                 	C2                	              	104	 643	A	 25	X	CC	  33.00	    234.5200	Osterman 	Benthic Foraminifers                         	R              	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	T                      	              	                      	                     	                     	                  	                       	                      	                     	              	Benthic forams = 100; from 104 IR Chapter 5 Table 7 p 477

  SR	                 	                 	C2                	              	104	 643	A	 26	X	 2	  75.00	    236.7500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 26	X	 4	  75.00	    239.7500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 26	X	 6	  75.00	    242.7500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 27	X	 1	  75.00	    245.0500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762
