Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygodiscus sigmoides,Toweius pertusus,Prinsius martinii,Prinsius bisulcus,Neocrepidolithus sp.,Neochiastozygus concinnus,Neochiastozygus chiastus,Cruciplacolithus subrotundus,Cruciplacolithus primus (large),Coccolithus pelagicus,Ericsonia subpertusa,Cruciplacolithus tenuis,Cruciplacolithus primus (small),Chiasmolithus danicus,Fasciculithus tympaniformis,Ellipsolithus macellus,Zygodiscus herlynii,Toweius eminens,Sphenolithus orphanknollensis,Sphenolithus anarrhopus,Neococcolithes protenus,Neochiastozygus junctus,Markalius inversus,Ericsonia robusta,Discoaster nobilis,Chiasmolithus consuetus,Chiasmolithus bidens,Zygodiscus adamas,Transversopontis pulcher,Toweius tovae,Semihololithus kerabyi,Semihololithus biskayae,Scapholithus rhombiformis,Prinsius spp.,Neochiastozygus distentus,Lophodolithus nascens,Heliolithus riedelii,Fasciculithus schaubii,Fasciculithus richardii,Fasciculithus involutus,Fasciculithus hayi,Ericsonia formosa,Ellipsolithus distichus,Discoaster salisburgensis,Discoaster multiradiatus,Discoaster mohleri,Cruciplacolithus frequens,Cruciplacolithus cribellum,Coronocyclus prionion,Chiasmolithus californicus,Campylosphaera eodela,Biscutum sp.,Transversopontis pulcheroides,Rhomboaster cuspis,Pontosphaera rimosa,Discoaster limbatus,Transversopontis rectipons,Transversopontis pax,Rhomboaster bitrifida,Pontosphaera plana,Neochiastozygus rosenkrantzii,Fasciculithus clinatus,Discoaster megastypus,Discoaster falcatus,Discoaster delicatus,Scapholithus fossilis,Rhomboaster calcitrapa,Pontosphaera punctosa,Hornibrookina australis,Fasciculithus bobii,Discoaster mahmoudii,Transversopontis exilis,Sphenolithus moriformis,Cruciplacolithus spp.,Chiasmolithus eograndis,Campylosphaera dela,Toweius callosus,Tribrachiatus bramlettei,Toweius occultatus,Discoaster binodosus,Zygrhablithus bijugatus,Sphenolithus sp. 1,Discoaster diastypus,Discoaster barbadiensis,Chiasmolithus solitus,Tribrachiatus contortus,Sphenolithus editus,Sphenolithus radians,Pedinocyclus larvalis,Chiasmolithus grandis,Braarudosphaera bigelowii,Tribrachiatus orthostylus,Sphenolithus conspicuus,Discoaster elegans,Toweius gammation,Pontosphaera pectinata,Discoaster lodoensis,Discoaster kuepperi,Neococcolithes dubius,Ericsonia pacifica,Toweius crassus,Micrantholithus flos,Helicosphaera seminulum,Helicosphaera lophota,Cyclolithella kalianata,Sphenolithus spiniger,Sphenolithus furcatolithoides,Reticulofenestra samodurovii,Reticulofenestra dictyoda,Pseudotriquetrorhabdulus inversus,Nannotetrina sp. (small),Nannotetrina alata,Markalius sp. 2,Markalius sp. 1,Holococcolith type A,Discoaster saipanensis,Discoaster deflandrei,Cyclicargolithus floridanus,Cruciplacolithus vanheckae,Cruciplacolithus staurion,Coccolithus eopelagicus,Chiasmolithus titus,Chiasmolithus gigas,Calcidiscus protoannulus,Bramletteius serraculoides,Sphenolithus pseudoradians,Rhabdosphaera tenuis,Pontosphaera segmenta,Pontosphaera scissura,Pontosphaera formosa,Lanternithus minutus,Helicosphaera heezenii,Calcidiscus kingii,Toweius? sp. 1,Pontosphaera bicaveata,Micrantholithus altus,Discoaster bifax,Ericsonia obruta,Coccolithus sp.1,Chiasmolithus expansus,Lophodolithus acutus,Discoaster tanii,Reticulofenestra umbilica,Discoaster nodifer,Cribrocentrum reticulatum,Sphenolithus obtusus,Sphenolithus intercalaris,Helicosphaera reticulata,Helicosphaera compacta,Dictyococcites scrippsae,Dictyococcites bisectus,Hayella situliformis,Coronocyclus nitescens,Ericsonia subdisticha,Isthmolithus recurvus,Sphenolithus predistentus,Peritrachelina joidesa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP8b              ,              ,115, 707,C, 16,R, 1,   1.00,    318.2100,Okada    ,Nannofossils                                 ,A              ,M                 ,F                   ,36.0%           ,                 ,                 ,F                   ,                         ,                        ,                            ,                               ,19.0%                ,F                   ,R                      ,                               ,                     ,F                          ,F                     ,                   ,1.0%           ,3.0%                         ,1.0%                   ,1.0%                   ,3.0%                   ,F                 ,                 ,                  ,R                      ,                    ,1.0%             ,F                       ,             ,                      ,                       ,                         ,1.0%         ,1.0%                     ,R                    ,                    ,                      ,                       ,                       ,                  ,6.0%             ,R                      ,F                        ,F                       ,                  ,                         ,                          ,R                    ,F                         ,9.0%                 ,            ,                             ,                  ,                   ,                   ,                          ,                    ,F                    ,2.0%              ,F                            ,                      ,                     ,                   ,                    ,                     ,                      ,F                    ,                       ,                   ,                    ,                       ,F                      ,                     ,                       ,1.0%               ,F               ,F                       ,2.0%              ,R                   ,                       ,                  ,                    ,                       ,                     ,                       ,                   ,                    ,                     ,                     ,                         ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,                  ,               ,                    ,                       ,                     ,                       ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,               ,                    ,                      ,                     ,                           ,                          ,                         ,                       ,                   ,                   ,                        ,                          ,                          ,                    ,                     ,                     ,                    ,                    ,                      ,                  ,              ,                      ,                     ,                ,                ,                ,                      ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 6. pages 142-143.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP8b              ,              ,115, 707,C, 16,R, 1,  50.00,    318.7000,Okada    ,Nannofossils                                 ,A              ,M                 ,F                   ,31.0%           ,                 ,5.0%             ,F                   ,                         ,F                       ,                            ,                               ,22.0%                ,F                   ,R                      ,                               ,                     ,F                          ,R                     ,R                  ,2.0%           ,4.0%                         ,3.0%                   ,F                      ,F                      ,R                 ,                 ,R                 ,R                      ,R                   ,F                ,R                       ,             ,                      ,                       ,                         ,10.0%        ,F                        ,R                    ,                    ,                      ,                       ,                       ,                  ,9.0%             ,R                      ,1.0%                     ,1.0%                    ,R                 ,                         ,                          ,R                    ,F                         ,3.0%                 ,            ,                             ,                  ,                   ,                   ,                          ,                    ,R                    ,F                 ,F                            ,R                     ,                     ,R                  ,                    ,                     ,                      ,F                    ,                       ,                   ,                    ,                       ,F                      ,                     ,                       ,F                  ,F               ,                        ,                  ,                    ,                       ,                  ,                    ,                       ,                     ,                       ,                   ,                    ,                     ,                     ,                         ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,                  ,               ,                    ,                       ,                     ,                       ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,               ,                    ,                      ,                     ,                           ,                          ,                         ,                       ,                   ,                   ,                        ,                          ,                          ,                    ,                     ,                     ,                    ,                    ,                      ,                  ,              ,                      ,                     ,                ,                ,                ,                      ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 6. pages 142-143.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP8b              ,              ,115, 707,C, 16,R, 1, 100.00,    319.2000,Okada    ,Nannofossils                                 ,A              ,M                 ,F                   ,30.0%           ,                 ,5.0%             ,1.0%                ,                         ,2.0%                    ,                            ,                               ,16.0%                ,1.0%                ,                       ,R                              ,R                    ,1.0%                       ,R                     ,R                  ,F              ,1.0%                         ,F                      ,1.0%                   ,3.0%                   ,F                 ,R                ,F                 ,R                      ,                    ,F                ,F                       ,             ,                      ,                       ,                         ,11.0%        ,F                        ,R                    ,                    ,                      ,                       ,                       ,                  ,6.0%             ,F                      ,F                        ,F                       ,F                 ,                         ,R                         ,R                    ,F                         ,4.0%                 ,            ,                             ,R                 ,R                  ,                   ,                          ,                    ,R                    ,F                 ,1.0%                         ,                      ,                     ,                   ,                    ,R                    ,                      ,1.0%                 ,                       ,                   ,F                   ,R                      ,F                      ,R                    ,R                      ,F                  ,                ,                        ,                  ,                    ,                       ,                  ,                    ,                       ,                     ,                       ,                   ,                    ,                     ,                     ,                         ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,                  ,               ,                    ,                       ,                     ,                       ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,               ,                    ,                      ,                     ,                           ,                          ,                         ,                       ,                   ,                   ,                        ,                          ,                          ,                    ,                     ,                     ,                    ,                    ,                      ,                  ,              ,                      ,                     ,                ,                ,                ,                      ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 6. pages 142-143.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP8b              ,              ,115, 707,C, 16,R, 2,   1.00,    319.7100,Okada    ,Nannofossils                                 ,A              ,M                 ,F                   ,37.0%           ,                 ,2.0%             ,F                   ,                         ,1.0%                    ,                            ,                               ,17.0%                ,F                   ,                       ,                               ,R                    ,1.0%                       ,R                     ,F                  ,1.0%           ,3.0%                         ,                       ,F                      ,5.0%                   ,R                 ,                 ,F                 ,F                      ,R                   ,F                ,F                       ,R            ,R                     ,                       ,                         ,7.0%         ,F                        ,R                    ,                    ,                      ,                       ,                       ,                  ,4.0%             ,F                      ,F                        ,2.0%                    ,F                 ,                         ,                          ,R                    ,F                         ,3.0%                 ,            ,                             ,                  ,                   ,                   ,R                         ,R                   ,R                    ,F                 ,F                            ,                      ,                     ,R                  ,R                   ,R                    ,                      ,F                    ,6.0%                   ,                   ,F                   ,                       ,                       ,                     ,                       ,                   ,                ,                        ,                  ,                    ,                       ,                  ,                    ,                       ,                     ,                       ,                   ,                    ,                     ,                     ,                         ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,                  ,               ,                    ,                       ,                     ,                       ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,               ,                    ,                      ,                     ,                           ,                          ,                         ,                       ,                   ,                   ,                        ,                          ,                          ,                    ,                     ,                     ,                    ,                    ,                      ,                  ,              ,                      ,                     ,                ,                ,                ,                      ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 6. pages 142-143.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP8b              ,              ,115, 707,C, 16,R, 2,  50.00,    320.2000,Okada    ,Nannofossils                                 ,A              ,M                 ,F                   ,35.0%           ,                 ,3.0%             ,F                   ,                         ,F                       ,                            ,R                              ,22.0%                ,F                   ,                       ,R                              ,R                    ,1.0%                       ,F                     ,F                  ,1.0%           ,5.0%                         ,                       ,F                      ,1.0%                   ,R                 ,                 ,F                 ,R                      ,                    ,R                ,F                       ,R            ,F                     ,                       ,                         ,9.0%         ,R                        ,R                    ,                    ,                      ,                       ,                       ,                  ,1.0%             ,F                      ,R                        ,4.0%                    ,F                 ,                         ,R                         ,1.0%                 ,F                         ,6.0%                 ,            ,F                            ,R                 ,                   ,                   ,                          ,                    ,R                    ,F                 ,F                            ,                      ,                     ,R                  ,                    ,R                    ,R                     ,F                    ,F                      ,R                  ,F                   ,                       ,                       ,                     ,                       ,                   ,                ,                        ,                  ,                    ,                       ,                  ,                    ,                       ,                     ,                       ,                   ,                    ,                     ,                     ,                         ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,                  ,               ,                    ,                       ,                     ,                       ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,               ,                    ,                      ,                     ,                           ,                          ,                         ,                       ,                   ,                   ,                        ,                          ,                          ,                    ,                     ,                     ,                    ,                    ,                      ,                  ,              ,                      ,                     ,                ,                ,                ,                      ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 6. pages 142-143.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP8b              ,              ,115, 707,C, 16,R, 2, 100.00,    320.7000,Okada    ,Nannofossils                                 ,A              ,M                 ,1.0%                ,28.0%           ,                 ,1.0%             ,R                   ,                         ,F                       ,                            ,                               ,28.0%                ,1.0%                ,R                      ,                               ,R                    ,3.0%                       ,R                     ,F                  ,4.0%           ,1.0%                         ,                       ,F                      ,F                      ,R                 ,R                ,F                 ,F                      ,R                   ,R                ,F                       ,R            ,R                     ,R                      ,3.0%                     ,10.0%        ,F                        ,R                    ,                    ,R                     ,R                      ,F                      ,F                 ,1.0%             ,1.0%                   ,R                        ,4.0%                    ,F                 ,R                        ,R                         ,R                    ,R                         ,6.0%                 ,F           ,F                            ,                  ,R                  ,R                  ,R                         ,R                   ,R                    ,F                 ,F                            ,R                     ,R                    ,R                  ,R                   ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,                       ,                     ,                       ,                   ,                ,                        ,                  ,                    ,                       ,                  ,                    ,                       ,                     ,                       ,                   ,                    ,                     ,                     ,                         ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,                  ,               ,                    ,                       ,                     ,                       ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,               ,                    ,                      ,                     ,                           ,                          ,                         ,                       ,                   ,                   ,                        ,                          ,                          ,                    ,                     ,                     ,                    ,                    ,                      ,                  ,              ,                      ,                     ,                ,                ,                ,                      ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 6. pages 142-143.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP8b              ,              ,115, 707,C, 16,R, 2, 142.00,    321.1200,Okada    ,Nannofossils                                 ,A              ,M                 ,1.0%                ,42.0%           ,                 ,3.0%             ,R                   ,                         ,F                       ,                            ,                               ,20.0%                ,1.0%                ,R                      ,                               ,R                    ,5.0%                       ,R                     ,F                  ,3.0%           ,1.0%                         ,                       ,1.0%                   ,                       ,R                 ,                 ,R                 ,F                      ,F                   ,R                ,R                       ,F            ,R                     ,                       ,3.0%                     ,4.0%         ,F                        ,R                    ,                    ,F                     ,F                      ,F                      ,F                 ,2.0%             ,F                      ,F                        ,5.0%                    ,F                 ,F                        ,R                         ,F                    ,F                         ,4.0%                 ,R           ,R                            ,R                 ,R                  ,R                  ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,                       ,                     ,                       ,                   ,                ,                        ,                  ,                    ,                       ,                  ,                    ,                       ,                     ,                       ,                   ,                    ,                     ,                     ,                         ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,                  ,               ,                    ,                       ,                     ,                       ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,               ,                    ,                      ,                     ,                           ,                          ,                         ,                       ,                   ,                   ,                        ,                          ,                          ,                    ,                     ,                     ,                    ,                    ,                      ,                  ,              ,                      ,                     ,                ,                ,                ,                      ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 6. pages 142-143.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP8b              ,              ,115, 707,C, 16,R,CC,  18.00,    321.3000,Okada    ,Nannofossils                                 ,A              ,M                 ,1.0%                ,44.0%           ,                 ,4.0%             ,                    ,                         ,F                       ,                            ,R                              ,24.0%                ,F                   ,R                      ,                               ,R                    ,4.0%                       ,R                     ,1.0%               ,F              ,1.0%                         ,                       ,F                      ,R                      ,F                 ,                 ,R                 ,F                      ,F                   ,R                ,R                       ,F            ,R                     ,R                      ,F                        ,5.0%         ,R                        ,F                    ,R                   ,R                     ,R                      ,F                      ,1.0%              ,3.0%             ,F                      ,F                        ,1.0%                    ,F                 ,R                        ,R                         ,R                    ,1.0%                      ,2.0%                 ,F           ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,                       ,                     ,                       ,                   ,                ,                        ,                  ,                    ,                       ,                  ,                    ,                       ,                     ,                       ,                   ,                    ,                     ,                     ,                         ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,                  ,               ,                    ,                       ,                     ,                       ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,               ,                    ,                      ,                     ,                           ,                          ,                         ,                       ,                   ,                   ,                        ,                          ,                          ,                    ,                     ,                     ,                    ,                    ,                      ,                  ,              ,                      ,                     ,                ,                ,                ,                      ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 6. pages 142-143.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP7               ,              ,115, 707,C, 17,R,CC,  19.00,    328.0900,Okada    ,Nannofossils                                 ,F              ,M                 ,1.0%                ,2.0%            ,55.0%            ,7.0%             ,2.0%                ,                         ,F                       ,                            ,1.0%                           ,15.0%                ,1.0%                ,F                      ,1.0%                           ,F                    ,F                          ,F                     ,R                  ,F              ,1.0%                         ,F                      ,F                      ,F                      ,F                 ,R                ,F                 ,F                      ,F                   ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,                 ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,                       ,                     ,                       ,                   ,                ,                        ,                  ,                    ,                       ,                  ,                    ,                       ,                     ,                       ,                   ,                    ,                     ,                     ,                         ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,                  ,               ,                    ,                       ,                     ,                       ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,               ,                    ,                      ,                     ,                           ,                          ,                         ,                       ,                   ,                   ,                        ,                          ,                          ,                    ,                     ,                     ,                    ,                    ,                      ,                  ,              ,                      ,                     ,                ,                ,                ,                      ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 6. pages 142-143.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP3               ,CP4           ,115, 707,C, 19,R,CC,  17.00,    348.7500,Okada    ,Nannofossils                                 ,F              ,M                 ,F                   ,1.0%            ,65.0%            ,11.0%            ,3.0%                ,                         ,                        ,F                           ,F                              ,1.0%                 ,F                   ,F                      ,3.0%                           ,                     ,F                          ,F                     ,                   ,               ,                             ,                       ,                       ,                       ,                  ,                 ,                  ,                       ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,                 ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,                       ,                     ,                       ,                   ,                ,                        ,                  ,                    ,                       ,                  ,                    ,                       ,                     ,                       ,                   ,                    ,                     ,                     ,                         ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,                  ,               ,                    ,                       ,                     ,                       ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,               ,                    ,                      ,                     ,                           ,                          ,                         ,                       ,                   ,                   ,                        ,                          ,                          ,                    ,                     ,                     ,                    ,                    ,                      ,                  ,              ,                      ,                     ,                ,                ,                ,                      ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 6. pages 142-143.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP3               ,CP4           ,115, 707,C, 20,R,CC,  29.00,    358.4900,Okada    ,Nannofossils                                 ,F              ,M                 ,F                   ,3.0%            ,69.0%            ,12.0%            ,2.0%                ,                         ,                        ,F                           ,1.0%                           ,2.0%                 ,1.0%                ,F                      ,2.0%                           ,                     ,F                          ,F                     ,                   ,               ,                             ,                       ,                       ,                       ,                  ,                 ,                  ,                       ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,                 ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,                       ,                     ,                       ,                   ,                ,                        ,                  ,                    ,                       ,                  ,                    ,                       ,                     ,                       ,                   ,                    ,                     ,                     ,                         ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,                  ,               ,                    ,                       ,                     ,                       ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,               ,                    ,                      ,                     ,                           ,                          ,                         ,                       ,                   ,                   ,                        ,                          ,                          ,                    ,                     ,                     ,                    ,                    ,                      ,                  ,              ,                      ,                     ,                ,                ,                ,                      ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 6. pages 142-143.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP3               ,CP4           ,115, 707,C, 21,R, 2,  70.00,    368.2000,Okada    ,Nannofossils                                 ,F              ,M                 ,F                   ,3.0%            ,67.0%            ,6.0%             ,6.0%                ,F                        ,                        ,F                           ,1.0%                           ,3.0%                 ,2.0%                ,F                      ,1.0%                           ,F                    ,                           ,                      ,                   ,               ,                             ,                       ,                       ,                       ,                  ,                 ,                  ,                       ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,                 ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,                       ,                     ,                       ,                   ,                ,                        ,                  ,                    ,                       ,                  ,                    ,                       ,                     ,                       ,                   ,                    ,                     ,                     ,                         ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,                  ,               ,                    ,                       ,                     ,                       ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,               ,                    ,                      ,                     ,                           ,                          ,                         ,                       ,                   ,                   ,                        ,                          ,                          ,                    ,                     ,                     ,                    ,                    ,                      ,                  ,              ,                      ,                     ,                ,                ,                ,                      ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 6. pages 142-143.
