Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus speculum hemisphaericus	Dictyocha varia	Dictyocha fibula mutabilis	Dictyocha fibula ausonia	Dictyocha extensa extensa	Corbisema triacantha	Bachmannocena elliptica	Distephanus speculum giganteus	Distephanus crux crux	Dictyocha fibula fibula	Bachmannocena circulus	Distephanus speculum speculum	Dictyocha varia (deflandroid)	Dictyocha extnesa extensa (medusid)	Dictyocha extensa extensa (deflandroid)	Distephanus crux longispinus	Dictyocha varia (canted bridge)	Dictyocha subclinata	Distephanus quinquangellus	Distephanus boliviensis boliviensis	Bachmannocena apiculata curvata	Distephanus polyactis	Dictyocha calida calida	Distephanus speculum speculum f. pseudofibula	Distephanus speculum minutus	Dictyocha extensa extensa (canted bridge)	Distephanus stauracanthus f. stauracanthus	Distephanus speculum patulus	Distephanus stauracanthus f. octagonus	Dictyocha extensa longa	Distephanus speculum pentagonus	Bachmannocena diodon diodon	Bachmannocena quadrangula	Bachmannocena diodon triodon	Distephanus boliviensis boliviensis (multiwindowed)	Bachmannocena diodon nodosa	Distephanus speculum tenuis	Dictyocha perlaevis perlaevis	Dictyocha messanensis	Distephanus pulchra	Dictyocha aculeata aculeata	Comment
  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 24	X	 2	 120.00	    216.6000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	53             	10                        	18                      	89                       	4                   	                       	                              	                     	5                      	                      	                             	                             	4                                  	                                       	                            	                               	                    	                          	                                   	                               	1                    	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 1 ; Total silicoflagellates =  184; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 24	X	 4	 120.00	    219.6000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	1                                  	110            	3                         	5                       	121                      	43                  	                       	                              	                     	3                      	                      	2                            	                             	6                                  	                                       	                            	                               	5                   	                          	1                                  	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 0 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 25	X	 2	 120.00	    226.3000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	31             	18                        	26                      	3                        	47                  	                       	3                             	6                    	10                     	                      	3                            	                             	1                                  	                                       	                            	                               	                    	                          	                                   	1                              	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 0 ; Total silicoflagellates =  149; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 25	X	 4	 120.00	    229.3000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	39             	9                         	38                      	1                        	19                  	                       	                              	4                    	2                      	                      	                             	                             	                                   	                                       	                            	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 1 ; Total silicoflagellates =  112; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 26	X	 2	 118.00	    235.9800	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	40             	                          	29                      	3                        	177                 	                       	4                             	9                    	12                     	                      	                             	1                            	1                                  	1                                      	                            	5                              	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 2 ; Total silicoflagellates =  282; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 26	X	 4	 123.00	    239.0300	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	1                                  	106            	25                        	40                      	4                        	89                  	                       	5                             	11                   	12                     	                      	1                            	                             	                                   	                                       	                            	                               	                    	1                         	2                                  	3                              	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 1 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Early Miocene    	                 	C. triacantha     	              	138	 844	B	 27	X	CC	  11.00	    243.0100	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	70             	2                         	23                      	4                        	188                 	                       	2                             	4                    	                       	                      	4                            	1                            	2                                  	                                       	                            	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 4 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Early Miocene    	                 	C. triacantha     	              	138	 844	B	 28	X	 2	 122.00	    255.3200	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	41             	                          	5                       	                         	27                  	                       	                              	                     	                       	                      	                             	                             	                                   	                                       	                            	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 0 ; Total silicoflagellates =  73; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Early Miocene    	                 	C. triacantha     	              	138	 844	B	 28	X	 4	 121.00	    258.3100	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	2                                  	40             	1                         	3                       	2                        	116                 	                       	                              	4                    	1                      	                      	3                            	1                            	1                                  	1                                      	17                          	1                              	1                   	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 1 ; Total silicoflagellates =  194; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Early Miocene    	                 	C. triacantha     	              	138	 844	B	 29	X	 2	 120.00	    264.6000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	57             	                          	1                       	21                       	63                  	                       	1                             	6                    	1                      	                      	2                            	90                           	9                                  	49                                     	                            	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 1 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Early Miocene    	                 	C. triacantha     	              	138	 844	B	 29	X	 4	 122.00	    267.6200	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	76             	                          	1                       	13                       	53                  	                       	                              	3                    	                       	                      	2                            	5                            	1                                  	6                                      	                            	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 2 ; Total silicoflagellates =  160; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Early Miocene    	                 	C. triacantha     	              	138	 844	B	 30	X	 2	 120.00	    274.3000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	1                                  	37             	12                        	                        	4                        	34                  	4                      	                              	                     	2                      	1                     	                             	                             	                                   	                                       	                            	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 0 ; Total silicoflagellates =  95; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Early Miocene    	                 	C. triacantha     	              	138	 844	B	 30	X	 4	  67.00	    276.7700	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	5                                  	44             	73                        	3                       	7                        	94                  	25                     	5                             	8                    	2                      	                      	                             	                             	                                   	                                       	                            	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 5 ; Total silicoflagellates =  266; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Early Miocene    	                 	C. triacantha     	              	138	 844	B	 31	X	 2	 133.00	    284.0300	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	52             	4                         	43                      	                         	1                   	5                      	                              	                     	                       	                      	                             	                             	                                   	                                       	                            	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 1 ; Total silicoflagellates =  105; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Early Miocene    	                 	C. triacantha     	              	138	 844	B	 31	X	 5	  92.00	    288.1200	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	1                                  	27             	4                         	19                      	1                        	2                   	                       	                              	                     	                       	                      	                             	                             	                                   	                                       	                            	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 2 ; Total silicoflagellates =  54; from Leg 138 SR; Chapter 8 Table 3 p 132-133

