Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tenuitella reissi	Subbotinid gen. et sp. indet (with abortive chambers)	Subbotina utilisindex	Subbotina pseudoeocaena	Subbotina linaperta	Subbotina eocaenica irregularis	Subbotina eocaenica	Subbotina eocaena	Subbotina corpulenta	Subbotina angiporoides minima	Pseudohastigerina spp. <150 µm	Pseudohastigerina micra	Pseudohastigerina danvillensis	Planorotalites spp. <150 µm	Planorotalites pseudoscitulus	Planorotalites planoconicus	Planorotalites australiformis	Morozovella nicoli ex. group (biconvex)	Guembelitria spp. <150 µm	Globorotaloides sp. 1	Globorotaloides oregonensis	Globigerinatheka senni	Chiloguembelinid  gen. et sp. indet <150 µm	Cassigerinelloita amekiensis	Acarininid gen.et sp. indet (subangular)	Acarinina spinuloinflata	Acarinina sp. cf. A.quadratoseptata	Acarinina sp. aff. mattseensis alticonica	Acarinina rugosoaculeata	Acarinina rotundimarginata	Acarinina pseudotopilensis	Acarinina primitiva	Acarinina praetopilensis	Acarinina intermedia	Acarinina decepta	Acarinina collactea	Acarinina bullbrooki/matthewsae	Subbotina pseudoeocaena trilobata	Pseudohastigerina wilcoxensis	Turborotalia sp. cf. T. cerroazulensis frontosa	Subbotina inaequispira	Morozovella sp. cf. M. spinulosa	Globigerinatheka index	Catapsydrax spp.	Subbotinid gen. et sp. indet (with abortive chambers.>400µm)	Subbotina crociapertura	Acarinina topilensis	Subbotina linaperta s.l.	Subbotina hagni	Globorotaloides suteri	Subbotina yeguaensis	Subbotina angiporoides	Chiloguembelina cubensis	Globorotaloides spp. <150 µm	Acarinina echinata	Catapsydrax globiformis	Globigerinatheka subconglobata	Globigerinatheka rubriformis	Globigerina senilis	Catapsydrax unicavus	Pseudohastigerina barbadoensis	Praetenuitella insolita <150 µm	Globorotaloides sp. aff. carcosellensis	Globigerina officinalis	Chiloguembelina spp. >150 µm	Catapsydrax africanus	Acarinina medizzai	Tenuitella clemenciae <150 µm	Tenuitella gemma <150 µm	Praetenuitella patefacta <150 µm	Acarinina aculeata (<150 microns)	Subbotina gortanii	Subbotina brevis	Tenuitellid gen.et sp. indet.<150 µm	Paragloborotalia pseudocontinuosa	Paragloborotalia opima nana	Globigerinatheka luterbacheri	Globigerina ampliapertura	Tenuitellid gen.et sp. indet.>150 µm	Globigerina venezuelana	Catapsydrax sp. cf. C.dissimilis	Tenuitella sp. cf. T. pseudoedita <150 µm	Catapsydrax dissimilis	Tenuitella munda <150 µm	Globigerina labiacrassata	Globigerina praebulloides occlusa	Globigerina praebulloides leroyi	? Prosphaeroidinella sp.	Paragloborotalia opima opima	Tenuitella minutissima <150 µm	Guembelitria stavensis <150 µm	Cassigerinella chipolensis (<150 µm)	Catapsydrax dissimilis ciperoensis	Tenuitellinata angustiumbilicata	Globigerinita juvenilis	Globigerina praebulloides	Globigerina euapertura	Globigerina anguliofficinalis	Globigerina ouachitaensis	Dentoglobigerina pseudovenezuelana	Globigerina brazieri	Dentoglobigerina galavisi	Globorotaloides testarugosa	Globigerinoides sp.	Globigerina ciperoensis	Globorotaloides praestainforthi	Globorotalia obesa	Globoquadrina dehiscens praedehiscens	Globigerinita incrusta	Dentoglobigerina globularis	Globigerina woodi	Globorotaloides variabilis	Globorotalia zealandica	Globoquadrina dehiscens	Paragloborotalia semivera	Globigerina pseudodruryi	Globigerina woodi connecta	Globorotalia praescitula/G. scitula	Neogloboquadrina pachyderma	Globorotalia inflata	Globorotalia crassaformis l.c.	Neogloboquadrina pachyderma (sin.)	Neogloboquadrina pachyderma (dex.)	Globorotalia puncticulata	Globigerina quinqueloba	Globigerina bulloides	Globorotalia truncatulinoides	Comment

  SR	Early Oligocene  	                 	P18               	P20           	114	 703	A	 12	H	 7	  55.00	    109.4500	Nocchi   	Planktonic Foraminifers                      	C              	M                 	                 	C                                                    	C                    	                       	                   	                               	                   	                 	                    	C                            	                              	                       	                              	                           	                             	                           	                             	                                       	                         	F                    	                           	                      	C                                          	                            	                                        	                        	                                   	                                         	                        	                          	                          	                   	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	                      	F               	F                                                           	                       	                    	                        	               	F                     	                    	C                     	                        	                            	                  	                       	                              	                            	                   	                    	                              	                               	                                       	                       	R                           	                     	                  	C                            	C                       	R                               	                                 	                  	                	C                                   	                                 	                           	                             	                         	                                    	                       	F                               	                                         	                      	                        	                         	                                 	                                	                        	                            	                              	                              	                                    	                                  	                                	                       	                         	                      	                             	                         	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	most specimens broken; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Early Oligocene  	                 	P18               	P20           	114	 703	A	 12	H	CC	  12.00	    109.7700	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                 	                                                     	C                    	                       	                   	                               	                   	                 	                    	C                            	                              	                       	                              	                           	                             	                           	                             	                                       	                         	A                    	C                          	                      	C                                          	                            	                                        	                        	                                   	                                         	                        	                          	                          	                   	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	                      	F               	F                                                           	                       	                    	                        	               	F                     	                    	C                     	                        	                            	                  	                       	                              	                            	                   	                    	                              	                               	                                       	R                      	                            	                     	                  	F                            	C                       	R                               	                                 	                  	                	C                                   	                                 	                           	                             	                         	F                                   	                       	                                	R                                        	                      	                        	                         	                                 	                                	                        	                            	                              	                              	                                    	                                  	                                	                       	                         	                      	                             	                         	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	most specimens broken; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Early Oligocene  	                 	P18               	P20           	114	 703	A	 13	H	 1	 120.00	    110.6000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                 	C                                                    	C                    	                       	                   	                               	                   	                 	                    	C                            	                              	                       	                              	                           	                             	                           	                             	                                       	                         	                     	                           	                      	C                                          	                            	                                        	                        	                                   	                                         	                        	                          	                          	rP                 	                        	                    	                 	rP                 	                               	                                 	                             	                                               	                      	                                	                      	R               	                                                            	                       	                    	                        	               	F                     	                    	C                     	F                       	C                           	                  	                       	                              	                            	                   	                    	                              	R                              	                                       	                       	F                           	                     	                  	C                            	R                       	                                	                                 	                  	                	C                                   	                                 	                           	                             	R                        	                                    	                       	R                               	R                                        	                      	                        	                         	                                 	                                	                        	                            	                              	                              	                                    	                                  	                                	                       	                         	                      	                             	                         	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	slight to medium etching of chambers; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Early Oligocene  	                 	P18               	P20           	114	 703	A	 13	H	 2	 120.00	    112.1000	Nocchi   	Planktonic Foraminifers                      	C              	M                 	                 	                                                     	C                    	                       	                   	                               	                   	                 	                    	C                            	                              	                       	                              	                           	                             	                           	                             	                                       	                         	                     	                           	                      	C                                          	                            	                                        	                        	                                   	                                         	                        	                          	                          	                   	                        	                    	                 	rP                 	                               	                                 	                             	                                               	                      	                                	                      	F               	                                                            	                       	                    	                        	               	F                     	                    	F                     	                        	F                           	                  	                       	                              	                            	                   	                    	                              	R                              	                                       	                       	                            	                     	                  	C                            	R                       	                                	                                 	                  	                	C                                   	                                 	                           	                             	                         	                                    	                       	                                	                                         	                      	                        	                         	                                 	                                	                        	                            	                              	                              	                                    	                                  	                                	                       	                         	                      	                             	                         	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	most specimens broken; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Early Oligocene  	                 	P18               	P20           	114	 703	A	 13	H	 4	 120.00	    115.1000	Nocchi   	Planktonic Foraminifers                      	C              	M                 	                 	F                                                    	C                    	                       	                   	                               	                   	                 	                    	                             	                              	                       	                              	                           	                             	                           	                             	                                       	                         	                     	                           	                      	C                                          	                            	                                        	                        	                                   	                                         	                        	                          	                          	                   	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	                      	F               	R                                                           	                       	                    	                        	               	R                     	                    	C                     	F                       	C                           	                  	                       	                              	                            	                   	                    	                              	F                              	                                       	                       	F                           	                     	                  	C                            	F                       	F                               	                                 	                  	                	C                                   	                                 	                           	                             	                         	R                                   	                       	                                	R                                        	                      	                        	                         	                                 	                                	                        	                            	                              	                              	                                    	                                  	                                	                       	                         	                      	                             	                         	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	strong etching of chambers; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Early Oligocene  	                 	P18               	P20           	114	 703	A	 13	H	CC	  35.00	    115.7500	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                 	F                                                    	C                    	                       	                   	                               	                   	                 	R                   	C                            	                              	                       	                              	                           	                             	                           	                             	                                       	                         	                     	F                          	                      	C                                          	                            	                                        	                        	                                   	                                         	                        	                          	                          	rP                 	                        	                    	rP               	                   	                               	                                 	                             	                                               	                      	                                	                      	F               	                                                            	                       	                    	                        	               	F                     	                    	C                     	F                       	C                           	                  	                       	                              	                            	                   	F                   	                              	F                              	                                       	                       	C                           	                     	                  	F                            	R                       	R                               	                                 	R                 	                	C                                   	                                 	R                          	                             	R                        	F                                   	S                      	F                               	                                         	                      	                        	                         	                                 	                                	                        	                            	                              	                              	                                    	                                  	                                	                       	                         	                      	                             	                         	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	slight to medium etching of chambers; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Late Eocene      	                 	P16               	P17           	114	 703	A	 14	H	CC	  13.00	    127.6100	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                 	F                                                    	C                    	R                      	                   	                               	                   	F                	                    	C                            	rP                            	S                      	                              	                           	                             	                           	                             	                                       	                         	                     	R                          	                      	C                                          	                            	                                        	                        	                                   	                                         	rP                      	rP                        	                          	rP                 	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	F                     	F               	                                                            	                       	                    	                        	               	F                     	                    	C                     	                        	C                           	                  	R                      	                              	                            	                   	R                   	                              	R                              	                                       	                       	F                           	                     	                  	F                            	R                       	R                               	                                 	                  	                	C                                   	                                 	                           	                             	                         	                                    	                       	                                	                                         	                      	                        	                         	                                 	                                	                        	                            	                              	                              	                                    	                                  	                                	                       	                         	                      	                             	                         	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	Pseudohastigerina spp.<150 micron doubtful occurrence; slight to medium etching of chambers; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Late Eocene      	                 	P16               	P17           	114	 703	A	 15	H	 2	  25.00	    130.1500	Nocchi   	Planktonic Foraminifers                      	C              	M                 	                 	                                                     	C                    	                       	                   	                               	                   	                 	                    	                             	                              	                       	                              	                           	                             	                           	                             	                                       	                         	R                    	                           	                      	C                                          	                            	                                        	                        	                                   	                                         	                        	                          	                          	rP                 	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	A                     	                	                                                            	                       	                    	                        	               	R                     	                    	                      	                        	C                           	                  	                       	                              	                            	                   	                    	                              	R                              	                                       	                       	                            	                     	                  	                             	                        	R                               	                                 	                  	                	C                                   	                                 	                           	                             	                         	                                    	                       	                                	                                         	                      	                        	                         	                                 	                                	                        	                            	                              	                              	                                    	                                  	                                	                       	                         	                      	                             	                         	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	most specimens broken; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Late Eocene      	                 	P16               	P17           	114	 703	A	 15	H	 3	  25.00	    131.6500	Nocchi   	Planktonic Foraminifers                      	C              	P                 	                 	F                                                    	C                    	                       	                   	                               	                   	                 	                    	                             	rP                            	                       	                              	                           	                             	                           	                             	                                       	S                        	R                    	                           	rP                    	C                                          	                            	                                        	                        	                                   	                                         	                        	                          	                          	rP                 	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	C                     	                	                                                            	                       	                    	                        	               	R                     	                    	                      	                        	C                           	                  	                       	                              	                            	                   	                    	S                             	R                              	                                       	                       	                            	                     	                  	R                            	R                       	R                               	                                 	                  	                	C                                   	                                 	                           	                             	                         	                                    	                       	                                	                                         	                      	                        	                         	                                 	                                	                        	                            	                              	                              	                                    	                                  	                                	                       	                         	                      	                             	                         	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	Pseudohastigerina spp.<150 micron doubtful occurrence; most specimens broken; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Late Eocene      	                 	P16               	P17           	114	 703	A	 15	H	 4	  25.00	    133.1500	Nocchi   	Planktonic Foraminifers                      	C              	M                 	                 	                                                     	C                    	                       	                   	                               	                   	                 	                    	                             	                              	                       	                              	                           	                             	                           	                             	                                       	                         	                     	                           	                      	C                                          	                            	                                        	                        	                                   	                                         	                        	                          	                          	rP                 	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	C                     	                	                                                            	                       	                    	                        	               	                      	                    	                      	                        	C                           	                  	R                      	                              	R                           	                   	                    	                              	F                              	                                       	                       	                            	                     	                  	R                            	                        	R                               	                                 	                  	                	C                                   	                                 	                           	                             	                         	                                    	                       	                                	                                         	                      	                        	                         	                                 	                                	                        	                            	                              	                              	                                    	                                  	                                	                       	                         	                      	                             	                         	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	strong etching of chambers; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Late Eocene      	                 	P16               	P17           	114	 703	A	 15	H	 5	  25.00	    134.6500	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                 	                                                     	                     	                       	                   	                               	                   	                 	                    	F                            	                              	                       	                              	                           	                             	                           	                             	                                       	                         	F                    	R                          	                      	C                                          	                            	                                        	                        	                                   	                                         	                        	                          	                          	                   	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	C                     	F               	                                                            	                       	                    	                        	               	                      	                    	                      	                        	C                           	                  	                       	                              	                            	                   	R                   	                              	R                              	                                       	                       	                            	                     	                  	                             	                        	                                	                                 	                  	                	F                                   	                                 	R                          	                             	R                        	                                    	                       	                                	                                         	                      	                        	                         	                                 	                                	                        	                            	                              	                              	                                    	                                  	                                	                       	                         	                      	                             	                         	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	most specimens broken; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Late Eocene      	                 	P16               	P17           	114	 703	A	 15	H	 6	  25.00	    136.1500	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                 	F                                                    	C                    	                       	                   	                               	                   	                 	S                   	F                            	                              	                       	                              	                           	                             	                           	                             	                                       	                         	F                    	R                          	                      	C                                          	                            	                                        	                        	                                   	                                         	                        	                          	                          	                   	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	C                     	F               	                                                            	                       	                    	                        	               	F                     	                    	C                     	                        	C                           	                  	                       	                              	                            	                   	                    	                              	R                              	                                       	S                      	                            	                     	                  	                             	                        	                                	                                 	                  	                	R                                   	R                                	F                          	                             	                         	                                    	                       	                                	                                         	                      	                        	                         	                                 	                                	                        	                            	                              	                              	                                    	                                  	                                	                       	                         	                      	                             	                         	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	most specimens broken; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)
