Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Naviculopsis sp. 2	Naviculopsis pandalata	Naviculopsis foliacea	Naviculopsis eobiapiculata	Naviculopsis constricta (long form)	Distephanus speculum pentagonus	Distephanus crux var. 1	Distephanus crux s. ampl.	Distephanus crux loeblichii	Dictyocha sp. cf. D.hexacantha	Dictyocha sp. (asperoid)	Dictyocha quadria	Dictyocha bryonalis	Dictyocha aspera	Dictyocha acuta	Corbisema triacantha	Corbisema sp. 2	Corbisema regina	Corbisema jerseyensis (with equilateral basal ring)	Corbisema jerseyensis	Corbisema hastata miranda	Corbisema amicula	Bachmannocena   apiculata monolineata	Bachmannocena paulschulzii	Bachmannocena oamaruensis	Bachmannocena apiculata inflata	Bachmannocena apiculata glabra	Bachmannocena apiculata curvata	Bachmannocena apiculata apiculata	Naviculopsis constricta (short form)	Dictyocha torta	Dictyocha quadria (with cylindrical spines)	Corbisema triacantha mediana	Corbisema hastata incohata	Corbisema apiculata apiculata	Bachmannocena apiculata evexa	Naviculopsis trispinosa trispinosa	Dictyocha spinosa	Dictyocha deflandrei completa	Dictyocha aspera  martinii	Corbisema xenica	Corbisema toxeuma	Corbisema angularis	Dictyocha hexacantha	Dictyocha deflandrei deflandrei	Corbisema sp. cf. C.archangelskiana (with small basal spines)	Dictyocha elata var. media	Corbisema triacantha convexa	Corbisema katharinae	Bachmannocena paulschulzii (with cylindrical spines)	Distephanus sp. cf. D.boliviensis	Dictyocha fibula formicata	Naviculopsis sp. 3	Naviculopsis biapiculata biapiculata	Bachmannocena  concava	Bachmannocena sp. 1	Naviculopsis trispinosa eminula	Naviculopsis biapiculata var. 1	Naviculopsis biapiculata nodulifera	Distephanus speculum patulus	Distephanus quinquangellus	Naviculopsis danica	Distephanus boliviensis (hemisphaericoid)	Bachmannocena pappii	Dictyocha alta	Corbisema lamellifera	Caryocha depressa	Bachmannocena apiculata apiculata (aberrant form)	Dictyocha pentagona	Corbisema archangelskiana	Distephanus speculum hemisphaericus	Distephanus sp. cf. D.raupii	Distephanus raupii	Distephanus crux darwinii	Distephanus speculum triommata	Distephanus speculum binoculus	Distephanus speculum	Corbisema bimucronata rotatoria	Distephanus sp. aff. D.raupii (with 3 apical windows)	Distephanus stradneri	Distephanus hannai	Naviculopsis lata	Distephanus schauinslandii	Dictyocha deflandrei sp. 1	Distephanus crux var. 2	Distephanus crux scutulatus	Distephanus crux parvus	Dictyocha sp. aff. Dictyocha medusa	Caryocha ichikawai	Naviculopsis ponticula spinosa	Naviculopsis navicula	Distephanus speculum var. 1	Naviculopsis ponticula ponticula	Distephanus antarcticus	Comment
  SR	Late Eocene      	                 	N.constric./B.pauls.	              	114	 703	A	 15	H	 6	  40.00	    136.3000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	3                         	50                                 	1                              	                       	25                       	3                          	                              	1                       	2                	                   	                	2              	                    	               	                	                                                   	                     	1                        	                 	                                     	10                        	                         	                               	                              	                               	                                 	151                                 	1              	                                           	                            	                          	3                            	                             	22                                	                 	8                            	11                        	2               	                 	                   	                    	                               	                                                             	                          	                            	                    	                                                    	1                                	3                         	                  	                                    	                      	                   	                               	                               	                                   	                            	                          	                   	                                         	                    	              	                     	                 	                                                 	                   	                         	                                   	                            	                  	                         	                              	                              	                    	                               	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Late Eocene      	                 	N.constric./B.pauls.	              	114	 703	A	 16	X	 1	  44.00	    138.3400	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	1                    	3                         	196                                	                               	                       	13                       	5                          	                              	1                       	2                	                   	                	               	                    	               	                	                                                   	                     	7                        	                 	                                     	2                         	                         	                               	1                             	                               	3                                	                                    	               	                                           	                            	VR                        	2                            	                             	21                                	                 	14                           	5                         	                	                 	                   	                    	16                             	1                                                            	1                         	1                           	1                   	3                                                   	                                 	                          	                  	                                    	                      	                   	                               	                               	                                   	                            	                          	                   	                                         	                    	              	                     	                 	                                                 	                   	                         	                                   	                            	                  	                         	                              	                              	                    	                               	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Late Eocene      	                 	N. pandalata      	              	114	 703	A	 17	X	 1	 105.00	    144.4500	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	59                    	                     	13                        	33                                 	4                              	                       	72                       	1                          	                              	1                       	1                	                   	                	               	1                   	               	                	                                                   	                     	                         	                 	                                     	2                         	1                        	                               	                              	                               	1                                	65                                  	               	1                                          	                            	VR                        	                             	                             	6                                 	                 	30                           	                          	                	                 	2                  	P                   	4                              	2                                                            	                          	                            	                    	                                                    	                                 	                          	                  	                                    	                      	                   	                               	                               	                                   	                            	                          	                   	                                         	                    	              	                     	                 	                                                 	                   	                         	                                   	                            	                  	                         	                              	                              	                    	                               	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Late Eocene      	                 	N. pandalata      	              	114	 703	A	 17	X	 3	 103.00	    147.4300	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	P                     	2                    	33                        	128                                	1                              	5                      	20                       	18                         	                              	3                       	                 	                   	                	7              	3                   	4              	                	26                                                 	                     	1                        	4                	2                                    	7                         	                         	                               	                              	6                              	9                                	                                    	               	2                                          	1                           	VR                        	                             	                             	3                                 	1                	2                            	6                         	1               	1                	2                  	                    	                               	                                                             	                          	                            	                    	                                                    	                                 	                          	                  	                                    	                      	                   	                               	                               	                                   	                            	                          	                   	                                         	                    	              	                     	                 	                                                 	                   	                         	                                   	                            	                  	                         	                              	                              	                    	                               	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Late Eocene      	                 	N. pandalata      	              	114	 703	A	 18	X	 2	  94.00	    155.3400	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	33                    	2                    	30                        	36                                 	                               	                       	38                       	11                         	                              	7                       	2                	1                  	                	6              	                    	               	                	5                                                  	5                    	                         	6                	1                                    	16                        	                         	                               	                              	                               	5                                	82                                  	1              	4                                          	4                           	VR                        	2                            	2                            	                                  	                 	                             	                          	                	                 	                   	                    	                               	                                                             	                          	                            	                    	                                                    	                                 	                          	                  	                                    	                      	                   	                               	                               	                                   	                            	                          	                   	                                         	                    	              	                     	                 	                                                 	                   	                         	                                   	                            	                  	                         	                              	                              	                    	                               	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Late Eocene      	                 	N. pandalata      	              	114	 703	A	 18	X	 3	  94.00	    156.8400	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	P                 	P                     	P                    	51                        	151                                	2                              	24                     	2                        	4                          	1                             	2                       	2                	1                  	1               	1              	4                   	6              	2               	6                                                  	1                    	4                        	22               	1                                    	3                         	1                        	1                              	1                             	1                              	5                                	                                    	               	                                           	                            	                          	                             	                             	                                  	                 	                             	                          	                	                 	                   	                    	                               	                                                             	                          	                            	                    	                                                    	                                 	                          	                  	                                    	                      	                   	                               	                               	                                   	                            	                          	                   	                                         	                    	              	                     	                 	                                                 	                   	                         	                                   	                            	                  	                         	                              	                              	                    	                               	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

