Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina varianta	Subbotina patagonica	Subbotina hardingae	Subbotina cf. S. hornibrooki	Pseudohastigerina micra	Planorotalites reissi	Planorotalites chapmani	Planorotalites australiformis	Guembelitria triseriata	Cassigerinelloita amekiensis	Acarinina primitiva	Acarinina pentacamerata	Acarinina cuneicamerata	Acarinina cf. A. collactea	Subbotina velascoensis	Acarinina wilcoxensis	Acarinina soldadoensis	Acarinina broedermanni	Subbotina linaperta s.s.	Acarinina matthewsae	Acarinina coalingensis	Acarinina spinuloinflata	Acarinina bullbrooki	Subbotina linaperta s.l.	Pseudohastigerina sp.	Subbotina eocaena	Muricoglobigerina senni	Chiloguembelina cubensis	Praetenuitella sp. 1	Globigerinatheka index	Chiloguembelina crinita	Morozovella spinulosa	Globorotaloides suteri	Subbotina corpulenta	Globigerina leroyi	Acarinina collactea	Catapsydrax unicavus	Subbotina angiporoides	Morozovella cf. M.quetra	Globigerina cf. G. praebulloides	Praetenuitella sp. 2	Praetenuitella sp. 3	Subbotina spp.	Subbotina yeguaensis	Subbotina gortanii	Catapsydrax echinatus	Acarinina aculeata	Paragloborotalia nana	Paragloborotalia pseudocontinuosa	Globorotaloides aff. testarugosa	Praetenuitella insolita	Subbotina utilisindex	Globigerinatheka barri	Subbotina pseudovenezuelana	Tenuitella gemma	Neogloboquadrina pachyderma	Globigerina bulloides	Turborotalia quinqueloba	Globorotalia scitula	Comment
  SR	Middle Eocene    	                 	AP11              	              	119	 738	B	  9	H	 3	  90.00	     74.4000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	R                  	                       	                       	                          	                      	                     	                      	                      	C                       	                    	                      	R                       	                    	                        	                     	                 	                       	A                       	F                   	F                     	                       	                     	C                     	R                   	                  	C                  	R                   	                      	                        	                                	F                   	R                   	F             	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP11              	              	119	 738	B	  9	H	 4	  90.00	     75.9000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	R                  	                       	                       	                          	                      	                     	                      	                      	C                       	                    	                      	R                       	                    	                        	                     	R                	                       	A                       	R                   	F                     	                       	                     	C                     	                    	R                 	F                  	R                   	R                     	                        	                                	F                   	                    	R             	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	  9	H	CC	  12.00	     77.4500	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	                       	                     	                       	                             	                       	                            	R                  	                       	                       	                          	                      	                     	                      	                      	C                       	                    	                      	R                       	                    	                        	                     	F                	                       	A                       	F                   	C                     	                       	                     	F                     	R                   	R                 	F                  	                    	R                     	                        	R                               	C                   	R                   	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 10	H	 1	  90.00	     80.9000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	F                      	                     	                       	                             	                       	                            	R                  	                       	                       	                          	                      	                     	                      	                      	F                       	                    	                      	C                       	                    	                        	                     	R                	                       	A                       	F                   	F                     	                       	                     	R                     	                    	R                 	C                  	R                   	R                     	                        	                                	F                   	F                   	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 10	H	 2	  90.00	     82.4000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	                       	                     	                       	                             	                       	                            	R                  	                       	                       	                          	                      	                     	                      	                      	F                       	                    	                      	F                       	                    	                        	                     	R                	                       	A                       	C                   	R                     	                       	                     	                      	R                   	R                 	F                  	R                   	R                     	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 10	H	 3	  90.00	     83.9000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	F                  	                       	                       	                          	                      	                     	                      	                      	F                       	                    	                      	C                       	                    	                        	                     	                 	                       	A                       	R                   	F                     	                       	                     	                      	                    	R                 	C                  	R                   	                      	                        	                                	F                   	R                   	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 10	H	CC	  12.00	     84.5600	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	R                  	                       	                       	                          	                      	                     	                      	                      	F                       	                    	                      	R                       	                    	                        	                     	                 	                       	A                       	F                   	R                     	                       	                     	C                     	                    	                  	F                  	R                   	R                     	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 11	H	 1	  90.00	     85.9000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	                       	                     	                       	                             	                       	                            	R                  	                       	                       	                          	                      	                     	                      	                      	R                       	                    	                      	R                       	                    	                        	                     	                 	                       	A                       	F                   	R                     	                       	                     	R                     	                    	                  	F                  	R                   	                      	                        	                                	R                   	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 11	H	 2	  90.00	     87.4000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	                       	                     	                       	                             	                       	                            	R                  	                       	                       	                          	                      	                     	                      	                      	F                       	                    	                      	F                       	                    	                        	                     	R                	                       	C                       	                    	C                     	                       	                     	                      	R                   	                  	C                  	                    	R                     	                        	R                               	F                   	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 11	H	 3	  90.00	     88.9000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	R                  	                       	                       	                          	                      	                     	                      	                      	F                       	                    	                      	F                       	                    	                        	                     	R                	                       	A                       	R                   	F                     	                       	                     	R                     	                    	F                 	C                  	R                   	R                     	                        	                                	F                   	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 11	H	 4	  87.00	     90.3700	Huber    	Planktonic Foraminifers                      	A              	E                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	F                  	                       	                       	                          	                      	                     	                      	                      	R                       	                    	                      	F                       	                    	                        	                     	R                	                       	C                       	R                   	R                     	                       	                     	R                     	                    	R                 	C                  	F                   	R                     	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 11	H	 6	  90.00	     93.4000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	F                  	                       	                       	                          	                      	                     	                      	                      	C                       	                    	                      	C                       	                    	                        	                     	R                	                       	F                       	                    	C                     	                       	                     	F                     	                    	                  	C                  	F                   	F                     	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 11	H	CC	  12.00	     94.3700	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	F                  	                       	                       	                          	                      	                     	                      	                      	F                       	                    	                      	C                       	                    	                        	                     	R                	                       	F                       	                    	C                     	                       	                     	                      	                    	R                 	R                  	F                   	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 12	H	 1	  87.00	     95.3700	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	C                  	                       	                       	                          	                      	                     	                      	                      	C                       	                    	                      	F                       	                    	                        	                     	R                	                       	R                       	                    	R                     	                       	                     	R                     	                    	                  	C                  	                    	F                     	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 12	H	 3	  87.00	     98.3700	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	                       	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	F                       	                    	                      	F                       	                    	                        	                     	R                	                       	F                       	F                   	C                     	                       	                     	                      	                    	R                 	C                  	F                   	R                     	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 12	H	 5	  87.00	    101.3700	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	C                      	                     	                       	                             	                       	                            	F                  	                       	                       	                          	                      	                     	                      	                      	C                       	                    	                      	F                       	                    	                        	                     	R                	                       	R                       	R                   	C                     	                       	                     	F                     	R                   	                  	C                  	F                   	R                     	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 12	H	CC	  14.00	    103.9600	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	R                  	                       	                       	                          	                      	                     	                      	                      	C                       	                    	                      	C                       	                    	                        	                     	R                	                       	R                       	C                   	F                     	                       	                     	F                     	                    	                  	C                  	F                   	F                     	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 13	H	 1	  95.00	    104.9500	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	F                      	                     	                       	                             	                       	                            	R                  	                       	                       	R                         	                      	                     	                      	                      	C                       	                    	                      	F                       	                    	                        	                     	R                	                       	F                       	R                   	R                     	                       	                     	F                     	                    	R                 	F                  	C                   	R                     	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 13	H	 2	  95.00	    106.4500	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	F                      	                     	                       	                             	                       	                            	R                  	                       	                       	R                         	                      	                     	                      	                      	A                       	                    	                      	F                       	                    	                        	                     	R                	                       	R                       	C                   	R                     	                       	                     	F                     	                    	                  	R                  	F                   	F                     	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 13	H	 3	  30.00	    107.3000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	F                      	                     	                       	                             	                       	                            	F                  	                       	                       	F                         	                      	                     	                      	                      	C                       	                    	                      	F                       	                    	                        	                     	                 	                       	F                       	F                   	F                     	                       	                     	R                     	                    	R                 	                   	R                   	F                     	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 13	H	CC	  16.00	    108.2300	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	F                      	                     	                       	                             	                       	                            	R                  	                       	                       	F                         	                      	                     	                      	                      	C                       	                    	                      	C                       	                    	                        	                     	R                	                       	R                       	C                   	F                     	                       	                     	F                     	                    	                  	                   	F                   	F                     	                        	F                               	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 14	X	 1	  90.00	    109.1000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	F                      	                     	                       	                             	                       	                            	F                  	                       	                       	R                         	                      	                     	                      	                      	C                       	                    	                      	C                       	                    	                        	                     	R                	                       	F                       	C                   	F                     	                       	                     	C                     	                    	                  	R                  	F                   	C                     	                        	R                               	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 14	X	 3	  90.00	    112.1000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	F                      	                     	                       	                             	                       	                            	R                  	                       	                       	F                         	                      	                     	                      	                      	R                       	                    	                      	A                       	                    	                        	                     	R                	                       	F                       	C                   	R                     	                       	                     	F                     	                    	                  	                   	F                   	R                     	                        	R                               	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 14	X	 4	  30.00	    113.0000	Huber    	Planktonic Foraminifers                      	A              	M                 	                  	                    	                   	                            	C                      	                     	                       	                             	                       	                            	R                  	                       	                       	A                         	                      	                     	                      	                      	F                       	                    	                      	C                       	                    	                        	                     	                 	                       	F                       	F                   	R                     	                       	                     	R                     	                    	                  	                   	R                   	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 14	X	CC	  29.00	    113.5100	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	                       	                     	                       	                             	                       	                            	F                  	                       	                       	F                         	                      	                     	                      	                      	F                       	                    	                      	C                       	                    	                        	                     	R                	                       	C                       	R                   	R                     	                       	                     	F                     	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 15	X	 1	  90.00	    118.7000	Huber    	Planktonic Foraminifers                      	A              	G                 	C                 	                    	                   	                            	R                      	                     	                       	                             	                       	                            	F                  	                       	                       	R                         	                      	                     	                      	                      	F                       	                    	                      	C                       	                    	                        	                     	R                	                       	R                       	                    	F                     	                       	R                    	                      	R                   	R                 	F                  	                    	R                     	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 15	X	 3	  90.00	    121.7000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	F                      	                     	                       	                             	                       	                            	F                  	                       	                       	R                         	                      	                     	                      	                      	R                       	                    	                      	C                       	                    	                        	                     	R                	                       	C                       	F                   	R                     	                       	F                    	                      	                    	R                 	F                  	R                   	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 15	X	 5	  90.00	    124.7000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	F                           	C                      	                     	                       	                             	                       	                            	F                  	                       	                       	A                         	                      	                     	                      	                      	F                       	                    	                      	C                       	                    	                        	                     	F                	                       	R                       	                    	F                     	                       	F                    	                      	F                   	                  	                   	                    	R                     	R                       	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 15	X	CC	  20.00	    126.6500	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	F                      	                     	                       	                             	                       	                            	R                  	                       	                       	C                         	                      	                     	                      	                      	R                       	                    	                      	F                       	                    	                        	                     	                 	                       	R                       	                    	                      	                       	R                    	                      	                    	R                 	R                  	R                   	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 16	X	 2	  90.00	    128.8100	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	F                      	                     	                       	                             	                       	                            	R                  	                       	                       	F                         	                      	                     	                      	                      	R                       	                    	                      	F                       	                    	                        	                     	F                	                       	R                       	                    	F                     	                       	R                    	                      	R                   	R                 	C                  	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 16	X	CC	  37.00	    129.9200	Huber    	Planktonic Foraminifers                      	A              	M                 	F                 	                    	                   	F                           	C                      	                     	                       	                             	                       	                            	F                  	                       	                       	A                         	                      	                     	                      	                      	C                       	                    	                      	R                       	F                   	                        	                     	R                	                       	C                       	                    	R                     	                       	R                    	?                     	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 17	X	 2	  90.00	    139.6000	Huber    	Planktonic Foraminifers                      	F              	G                 	F                 	                    	                   	                            	F                      	                     	                       	                             	                       	                            	F                  	                       	                       	A                         	                      	                     	                      	                      	C                       	                    	                      	C                       	                    	                        	                     	R                	                       	R                       	                    	F                     	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 17	X	 4	  92.00	    142.6200	Huber    	Planktonic Foraminifers                      	C              	G                 	F                 	                    	                   	                            	F                      	                     	                       	                             	                       	                            	C                  	R                      	                       	A                         	                      	                     	                      	                      	C                       	                    	                      	C                       	F                   	                        	                     	                 	                       	F                       	                    	R                     	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP10              	              	119	 738	B	 17	X	 5	  30.00	    143.5000	Huber    	Planktonic Foraminifers                      	C              	G                 	F                 	R                   	R                  	R                           	F                      	                     	                       	                             	F                      	                            	C                  	                       	                       	F                         	                      	                     	                      	                      	C                       	                    	                      	                        	C                   	                        	                     	                 	                       	                        	F                   	F                     	R                      	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP9 (Huber 1991)  	              	119	 738	B	 17	X	CC	  22.00	    143.8400	Huber    	Planktonic Foraminifers                      	F              	M                 	C                 	                    	                   	                            	C                      	                     	                       	                             	R                      	                            	F                  	                       	                       	C                         	                      	                     	                      	                      	F                       	                    	                      	R                       	C                   	                        	                     	                 	                       	R                       	                    	                      	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP9 (Huber 1991)  	              	119	 738	B	 18	X	 1	  89.00	    147.6900	Huber    	Planktonic Foraminifers                      	A              	G                 	F                 	R                   	F                  	R                           	C                      	                     	                       	                             	R                      	                            	R                  	R                      	                       	                          	                      	                     	                      	                      	F                       	                    	                      	C                       	C                   	                        	                     	                 	                       	F                       	                    	                      	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP8 (Huber 1991)  	              	119	 738	B	 18	X	 2	  88.00	    149.1800	Huber    	Planktonic Foraminifers                      	A              	G                 	C                 	                    	F                  	R                           	F                      	                     	                       	                             	                       	                            	R                  	R                      	                       	C                         	                      	                     	                      	                      	F                       	F                   	                      	F                       	F                   	                        	                     	R                	F                      	F                       	                    	                      	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP8 (Huber 1991)  	              	119	 738	B	 18	X	 4	  90.00	    152.2000	Huber    	Planktonic Foraminifers                      	A              	G                 	C                 	                    	R                  	R                           	C                      	                     	                       	                             	R                      	                            	C                  	                       	                       	C                         	                      	                     	                      	                      	R                       	F                   	                      	R                       	F                   	                        	                     	R                	R                      	                        	                    	                      	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP8 (Huber 1991)  	              	119	 738	B	 18	X	CC	   0.00	    153.5100	Huber    	Planktonic Foraminifers                      	A              	M                 	                  	                    	F                  	                            	C                      	                     	                       	                             	R                      	                            	R                  	                       	                       	C                         	                      	                     	                      	                      	R                       	R                   	                      	C                       	F                   	                        	R                    	                 	                       	                        	                    	                      	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP8 (Huber 1991)  	              	119	 738	B	 19	X	 2	  90.00	    158.9000	Huber    	Planktonic Foraminifers                      	A              	G                 	R                 	                    	R                  	                            	F                      	                     	                       	                             	                       	                            	R                  	                       	                       	C                         	                      	                     	                      	                      	R                       	F                   	                      	F                       	C                   	                        	R                    	R                	                       	                        	                    	                      	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP8 (Huber 1991)  	              	119	 738	B	 19	X	 4	  90.00	    161.9000	Huber    	Planktonic Foraminifers                      	A              	G                 	C                 	                    	                   	                            	C                      	                     	                       	                             	                       	                            	R                  	R                      	                       	C                         	                      	                     	                      	                      	F                       	R                   	                      	C                       	F                   	                        	R                    	R                	                       	R                       	                    	                      	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP8 (Huber 1991)  	              	119	 738	B	 19	X	CC	  18.00	    165.4000	Huber    	Planktonic Foraminifers                      	A              	G                 	C                 	                    	F                  	                            	C                      	                     	                       	                             	                       	                            	R                  	R                      	                       	C                         	                      	                     	                      	                      	F                       	R                   	                      	R                       	F                   	                        	                     	                 	                       	F                       	                    	                      	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP8 (Huber 1991)  	              	119	 738	B	 20	X	 2	  90.00	    168.6000	Huber    	Planktonic Foraminifers                      	A              	G                 	C                 	F                   	                   	                            	F                      	F                    	                       	                             	                       	                            	R                  	C                      	                       	A                         	                      	                     	                      	                      	                        	                    	                      	C                       	C                   	R                       	                     	R                	R                      	F                       	                    	                      	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP8 (Huber 1991)  	              	119	 738	B	 20	X	 4	  90.00	    171.6000	Huber    	Planktonic Foraminifers                      	A              	G                 	F                 	                    	                   	                            	C                      	C                    	                       	                             	C                      	                            	F                  	F                      	                       	C                         	                      	                     	                      	                      	F                       	F                   	                      	C                       	                    	                        	R                    	R                	                       	                        	                    	                      	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP8 (Huber 1991)  	              	119	 738	B	 20	X	CC	  30.00	    175.1900	Huber    	Planktonic Foraminifers                      	A              	G                 	C                 	F                   	F                  	                            	C                      	C                    	                       	                             	C                      	                            	                   	F                      	                       	R                         	                      	                     	                      	                      	F                       	R                   	                      	                        	R                   	                        	R                    	                 	                       	                        	                    	                      	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

