Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus abies/neoabies	Helicosphaera carteri	Florisphaera profunda	Discoaster variabilis	Discoaster quinqueramus	Discoaster pentaradiatus	Discoaster loeblichii	Discoaster brouweri	Discoaster berggrenii	Calcidiscus leptoporus	Coccolithus pelagicus	Umbilicosphaera sibogae	Triquetrorhabdulus rugosus	Discoaster surculus	Discoaster neohamatus	Coronocyclus nitescens	Reticulofenestra pseudoumbilicus	Helicosphaera sellii	Amaurolithus primus	Calcidiscus macintyrei	Amaurolithus delicatus	Discoaster intercalaris	Discoaster challengeri	Amaurolithus ninae	Discoaster pansus	Discoaster blackstockae	Amaurolithus amplificus	Scapholithus fossilis	Rhabdosphaera clavigera	Discoaster asymmetricus	Ceratolithus cristatus	Ceratolithus armatus	Ceratolithus acutus	Amaurolithus tricorniculatus	Pseudoemiliania lacunosa	Ceratolithus rugosus	Discoaster triradiatus	Discoaster tamalis	Gephyrocapsa spp. (small)	Umbellosphaera tenuis	Gephyrocapsa margerelii	Gephyrocapsa oceanica	Gephyrocapsa lumina	Umbellosphaera irregularis	Pontosphaera japonica	Oolithotus antillarum	Gephyrocapsa caribbeanica	Reticulofenestra asanoi	Helicosphaera hyalina	Discosphaera tubifera	Thorosphaera flabellata	Helicosphaera neogranulata	Helicosphaera inversa	Emiliania huxleyi	Helicosphaera wallichii	Comment
  IR	Early Pliocene   	Early Pliocene   	NN12              	NN12          	184	1143	A	 23	X	CC	  22.00	    202.4200	nannos   	Nannofossils                                 	A              	G                 	A                          	R                    	A                    	R                    	                       	C                       	                     	C                  	                     	R                     	                     	R                      	                          	R                  	                     	R                     	R                               	R                   	                   	R                     	R                     	                       	                      	                  	                 	                       	                       	                     	                       	                       	R                     	R                   	R                  	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Miocene     	Late Miocene     	NN11              	NN11          	184	1143	A	 24	X	CC	  31.00	    211.6300	nannos   	Nannofossils                                 	               	                  	A                          	R                    	A                    	F                    	R                      	C                       	                     	C                  	                     	R                     	                     	R                      	                          	C                  	                     	                      	C                               	                    	                   	                      	                      	R                      	R                     	                  	                 	                       	                       	                     	R                      	                       	                      	                    	                   	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Miocene     	Late Miocene     	NN11              	NN11          	184	1143	A	 25	X	CC	  26.00	    215.3100	nannos   	Nannofossils                                 	A              	M                 	A                          	C                    	A                    	R                    	F                      	C                       	                     	F                  	                     	C                     	                     	F                      	                          	R                  	                     	                      	F                               	                    	                   	                      	                      	R                      	                      	                  	                 	                       	                       	                     	R                      	                       	                      	                    	                   	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Miocene     	Late Miocene     	NN11              	NN11          	184	1143	A	 26	X	CC	  41.00	    230.8500	nannos   	Nannofossils                                 	A              	M                 	A                          	C                    	A                    	F                    	C                      	F                       	                     	F                  	F                    	C                     	R                    	F                      	R                         	C                  	                     	                      	F                               	                    	                   	                      	R                     	R                      	R                     	                  	                 	                       	                       	                     	                       	R                      	                      	                    	                   	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Miocene     	Late Miocene     	NN11              	NN11          	184	1143	A	 27	X	CC	  22.00	    234.1700	nannos   	Nannofossils                                 	A              	M                 	A                          	C                    	A                    	                     	C                      	F                       	                     	R                  	                     	C                     	                     	R                      	R                         	F                  	                     	                      	F                               	                    	                   	R                     	R                     	R                      	                      	                  	                 	                       	R                      	                     	R                      	                       	                      	                    	                   	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Miocene     	Late Miocene     	NN11              	NN11          	184	1143	A	 28	X	CC	  28.00	    248.9400	nannos   	Nannofossils                                 	A              	M                 	A                          	C                    	A                    	R                    	C                      	F                       	                     	F                  	R                    	F                     	R                    	F                      	R                         	F                  	                     	                      	F                               	                    	R                  	F                     	R                     	                       	R                     	                  	R                	                       	R                      	R                    	                       	                       	                      	                    	                   	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Miocene     	Late Miocene     	NN11              	NN11          	184	1143	A	 29	X	CC	  19.00	    259.6000	nannos   	Nannofossils                                 	A              	M                 	A                          	C                    	A                    	C                    	C                      	C                       	                     	F                  	R                    	F                     	F                    	C                      	R                         	F                  	                     	                      	F                               	                    	                   	F                     	R                     	R                      	                      	                  	                 	                       	R                      	                     	                       	                       	                      	                    	                   	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Miocene     	Late Miocene     	NN11              	NN11          	184	1143	A	 30	X	CC	  25.00	    269.1900	nannos   	Nannofossils                                 	A              	M                 	A                          	C                    	A                    	                     	C                      	R                       	                     	F                  	F                    	F                     	F                    	R                      	R                         	F                  	                     	                      	C                               	                    	R                  	F                     	R                     	R                      	R                     	R                 	R                	R                      	                       	                     	                       	                       	                      	                    	                   	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Miocene     	Late Miocene     	NN11              	NN11          	184	1143	A	 31	X	CC	  40.00	    278.8900	nannos   	Nannofossils                                 	A              	M                 	A                          	C                    	A                    	R                    	C                      	F                       	                     	F                  	C                    	F                     	F                    	F                      	R                         	R                  	                     	                      	F                               	                    	R                  	R                     	R                     	                       	R                     	R                 	                 	                       	                       	                     	                       	                       	                      	                    	                   	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Miocene     	Late Miocene     	NN11              	NN11          	184	1143	A	 32	X	CC	  35.00	    288.6400	nannos   	Nannofossils                                 	A              	M                 	A                          	F                    	A                    	R                    	C                      	                        	                     	R                  	C                    	C                     	F                    	R                      	F                         	R                  	                     	                      	A                               	                    	                   	R                     	R                     	R                      	                      	                  	                 	                       	                       	                     	                       	                       	                      	                    	                   	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Miocene     	Late Miocene     	NN11              	NN11          	184	1143	A	 33	X	CC	  35.00	    298.0600	nannos   	Nannofossils                                 	A              	M                 	A                          	C                    	A                    	                     	C                      	                        	                     	R                  	C                    	                      	F                    	F                      	R                         	R                  	                     	                      	F                               	                    	R                  	                      	R                     	                       	                      	                  	                 	                       	                       	                     	                       	                       	                      	                    	                   	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Miocene     	Late Miocene     	CN9b              	CN9b          	184	1143	A	 34	X	CC	  38.00	    306.8400	nannos   	Nannofossils                                 	A              	G                 	A                          	R                    	A                    	R                    	C                      	C                       	                     	C                  	A                    	R                     	R                    	                       	                          	R                  	R                    	                      	                                	R                   	R                  	                      	R                     	                       	                      	                  	                 	                       	                       	                     	                       	                       	                      	                    	                   	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

