leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding,eodp_id
47,398,D,4,2,128.0,150.0,366.00,368.78,369.00,, NANNO (CALCAREOUS) CHALK," 5B9/1-BLUISH WHITE, 5B8 /1-LIGHT BLUISH GRAY"," BURROWS AT 128-133CM 135 CM, 5B8/1 NANNO (MARLY) CHALK AT 147-150CM",,,,,, FIRM*,,f0041afee1970dfef89c6874b9cd4a16
47,398,D,4,3,0.0,35.0,366.00,369.00,369.35,, NANNO (MARLY) CHALK," 5B8/1-LIGHT BLUISH GRAY, 5Y5 /2-LIGHT OLIVE GRAY, 5GY8/1-LIGHT GREENISH GRAY"," TH IN IRREGULAR 5Y5/2 AND 5GY8/1 LAMINATED MUD AT 2-5 C M, 5B8/1 WITH SOME 5B9/1 NANNO(CALCAREOUS) CHALK MIX ED IN, BURROWS AT 15CM 23CM 28CM, DISCONTINUITY AT L OWER BOUNDARY",,,,, NOT BIOTURBATED AT 0-8CM, FIRM*,,3ca044a694dbdc89136f67f07ca6dd5a
47,398,D,4,3,35.0,150.0,366.00,369.35,370.50,, NANNO (CALCAREOUS) CHALK," 5B9/1-BLUISH WHITE, 5B8 /1-LIGHT BLUISH GRAY"," 5B9/1 WITH 5B8/1 THIN IRREGUL ARLY LAMINATED AT 94-98CM, BURROWS AT 39CM 42CM 47CM 62CM 73CM 83CM 106CM 125CM",,,,,, FIRM*,,8e925e34ca4fe465822146522026645e
47,398,D,4,4,0.0,16.0,366.00,370.50,370.66,, NANNO (CALCAREOUS) CHALK," 5B9/1-BLUISH WHITE, 5B8 /1-LIGHT BLUISH GRAY"," 5B9/1 WITH 5B8/1 NANNO (MARLY ) CHALK BURROW FILLING AT 13-15CM, CHONDRITE AT 8 CM",,,,,, FIRM*,,73ac41aa39e95b7fe5b81333234fe68f
47,398,D,4,4,16.0,37.0,366.00,370.66,370.87,, NANNO (MARLY) CHALK," 5B8/1-LIGHT BLUISH GRAY, 5B9 /1-BLUISH WHITE, 5Y6/1-LIGHT OLIVE GRAY, -BLACK, 5Y5 /2-LIGHT OLIVE GRAY, 5GY8/1-LIGHT GREENISH GRAY"," 5B 8/1 WITH 5Y6/1 CHALK (PYRITE, ORGANIC RICH ?) AT 25- 30CM AND 5B9/1 NANNO (CALCAREOUS) CHALK AT 30-34CM, BLACK LAMINAE AT 34-37CM, BURROWS AT 25-30CM, SHARP DISCONTINUITY AT 25CM WITH BURROW CUTTING OFF",,,,,, FIRM,,34bdfa3ca7e0e875eb174d6e9d1d9ff7
47,398,D,4,4,37.0,50.0,366.00,370.87,371.00,, NANNO (CALCAREOUS) CHALK, 5B9/1-BLUISH WHITE, BU RROWS AT 37-45CM,,,,,, FIRM*,,ac340d674aae8d87ccee8e0caf9d7ac4
47,398,D,4,4,50.0,60.0,366.00,371.00,371.10,, NANNO (MARLY) CHALK, 5B8/1-LIGHT BLUISH GRAY," BU RROWS AT 53-56CM, DISCONTINUITY AT LOWER BOUNDARY",,,,,, FIRM*,,457c00e0fb29f93206a6b7d5a873aece
47,398,D,4,4,60.0,77.0,366.00,371.10,371.27,, NANNO (CALCAREOUS) CHALK, 5B9/1-BLUISH WHITE,,,,,,, FI RM*,,439fe3fa3d4b8ff307afa87b9015adf7
47,398,D,4,4,77.0,104.0,366.00,371.27,371.54,, NANNO (MARLY) CHALK," 5B8/1-LIGHT BLUISH GRAY, 5Y5 /2-LIGHT OLIVE GRAY, 5GY8/1-LIGHT GREENISH GRAY"," 5B 8/1 WITH 5Y5/2 AND 5GY8/1 LAMINATED MUD AT 86-93 CM, HOLLOW BURROW AT 100 CM",,,,, NO BIOTURBATION AT 86-93C M, FIRM*,,145e814a27467e408b72eea4be92f0f6
47,398,D,4,4,104.0,150.0,366.00,371.54,372.00,, NANNO (CALCAREOUS) CHALK," 5B9/1-BLUISH WHITE, 5B8 /1-LIGHT BLUISH GRAY, 5Y5/2-LIGHT OLIVE GRAY, 5GY8/1 -LIGHT GREENISH GRAY"," 5B9/1 WITH SOME 5B8/1 NANNO ( MARLY) CHALK MIXED IN AT 104-112CM, 5B8/1 NANNO (CAL CAREOUS) CHALK AT 139-142CM AND 146-150 CM, 5Y5/2 AN D 5GY8/1 LAMINATED MUD AT 142-146CM, BURROWS AT 135- 140CM 136-137CM, SLIGHT DISCONTINUITY AT 112CM",,,,, NO BIOTURBATION AT 142-146CM, FIRM*,,92f920bfea6e064b8089286400bda1f6
47,398,D,4,5,0.0,13.0,366.00,372.00,372.13,, NANNO (MARLY) CHALK, 5B8/1-LIGHT BLUISH GRAY," BU RROW AT 5CM, DISCONTINUITY AT LOWER BOUNDARY",,,,,, FIRM*,,d9e6db81da581680bd697d5a0812ae21
47,398,D,4,5,13.0,40.0,366.00,372.13,372.40,, NANNO (CALCAREOUS) CHALK, 5B9/1-BLUISH WHITE, BU RROWS AT 15-20CM 21-22CM 37-40CM,,,,,, FIRM*,,8182659bd45896b96073d4d1619f99cc
47,398,D,4,5,40.0,69.0,366.00,372.40,372.69,, NANNO (MARLY) CHALK, 5B8/1-LIGHT BLUISH GRAY 5Y6/1*," BU RROWS AT 40-45CM 56CM 58CM 60-61CM 66CM, FINELY LAMI NATED 5Y6/1 CHALK (PYRITE, ORGANIC RICH ?) AT 49-54C M, DISCONTINUITY AT LOWER BOUNDARY",,,,,, FIRM,,c190561485b47af070b55c84a2601d0f
47,398,D,4,5,69.0,97.0,366.00,372.69,372.97,, NANNO (CALCAREOUS) CHALK, 5B9/1-BLUISH WHITE, BU RROWS AT 72CM 73-76CM 78CM 89-90CM,,,,,, FIRM*,,76ac41993301bd9fe54df1c8277b992f
47,398,D,4,5,97.0,128.0,366.00,372.97,373.28,, NANNO (MARLY) CHALK, 5B8/1-LIGHT BLUISH GRAY," BU RROWS AT 107CM 116CM 118CM, LAMINATED AT 97-125 CM",,,,,, FIRM*,,7914f88830f37f879e42a243e336e909
47,398,D,4,5,128.0,141.0,366.00,373.28,373.41,, NANNO (CALCAREOUS) CHALK, 5B9/1-BLUISH WHITE," BU RROWS AT 128-131CM 134CM 137-141CM, SHARP BURROW CUT TING OFF DISCONTINUITY AT UPPER BOUNDARY",,,,,, FIRM*,,f35505ea9b779bbb7a7032c3b167c85a
47,398,D,4,6,1.0,15.0,366.00,373.51,373.65,, NANNO (CALCAREOUS) CHALK, 5B9/1-BLUISH WHITE,,,,,,, FI RM*,,18bf06431141f59246f37756d75b1eca
47,398,D,4,6,15.0,47.0,366.00,373.65,373.97,, NANNO (MARLY) CHALK, 5B8/1-LIGHT BLUISH GRAY," BU RROWS AT 27CM 32-36CM 36-37CM 38-41CM(HOLLOW), SLIGH T DISCONTINUITY AT LOWER BOUNDARY",,,,,, FIRM*,,52aba456409b97abb6826529677db744
47,398,D,4,6,47.0,62.0,366.00,373.97,374.12,, NANNO (CALCAREOUS) CHALK, 5B9/1-BLUISH WHITE, BU RROWS AT 49-57CM 64CM,,,,,, FIRM*,,bbc6bf3c9b6fde517d29178ad29197a6
47,398,D,4,6,62.0,90.0,366.00,374.12,374.40,, NANNO (MARLY) CHALK, 5B8/1-LIGHT BLUISH GRAY," BU RROWS AT 64CM 72-73CM 75-77CM 80-82CM 82-84CM, LAMIN ATED AT 70CM, DISCONTINUITY AT LOWER BOUNDARY",,,,,, FIRM,,f3416f2249f754a844b929b0fd343049
47,398,D,4,6,90.0,109.0,366.00,374.40,374.59,, NANNO (CALCAREOUS) CHALK, 5B9/1-BLUISH WHITE, BU RROWS AT 93-94CM 97-100CM 100-102CM 105CM,,,,,, FIRM*,,09c2fa5fc0d1ef76da66e9512e33e005
47,398,D,4,6,109.0,125.0,366.00,374.59,374.75,, NANNO (MARLY) CHALK, 5B8/1-LIGHT BLUISH GRAY," BU RROWS AT 110CM 117-118CM 122-123CM, CHONDRITE AT 114 -115CM, DISCONTINUITY AT LOWER BOUNDARY",,,,,, FIRM*,,9a39dd2906b99a167000e78b2a95c186
47,398,D,4,6,125.0,150.0,366.00,374.75,375.00,, NANNO (CALCAREOUS) CHALK," 5B9/1-BLUISH WHITE, 5B8 /1-LIGHT BLUISH GRAY"," 5B8/1 NANNO (MARLY) CHALK IS AT 145-150CM, BURROWS AT 127-132CM",,,,,, FIRM*,,74b64d8bc2b46cb0f2125a2140d23084
47,398,D,4,CC,0.0,15.0,366.00,375.10,375.15,, NANNO (CALCAREOUS) CHALK," 5B9/1-BLUISH WHITE, 5B8 /1-LIGHT BLUISH GRAY", 5B9/1 AT 0-6CM WITH 5B8/1 NAN NO (MARLY) CHALK AT 11-15CM, SLIGHTLY DISTURBED,,,," S AMPLED AT 5-11CM, IT SEEMS SOME OF THE NANNOS SHOW S OME SOLUTIONS", FIRM*,,621d11c57944c89ca896aeba8b73bafb
47,398,D,5,1,0.0,150.0,394.50,394.50,396.00,, MARLY NANNO CHALK," N9-WHITE, N8-VERY LIGHT GRAY, N7-LIGHT GRAY, -BLACK, -GREENISH GRAY, -DARK GRAY, - GRAY, -GREEN"," MOST OF (GREENISH GRAY, DARK GRAY) OO ZE MODERATELY BIOTURBATED, CHONDRITES AND HALO BURRO WS ESPECIALLY AT 15-20CM 118-125CM 137-140CM, BLACK LAMINATIONS AT 21-22CM PROBABLY DIAGENIC, GREEN DIAG ENIC LAMINAE AT 15-16CM CUTS THROUGH BURROW, NUMEROU S BLACK BLEBS AND VERTICLE FILLINGS (BURROW FILLINGS ?) OF SAME APPARENT COMPOSITION AS LAMINATIONS COMM ONLY WITH HALOS, N7 BIOTURBATED AT 120-126CM S BURROWED CONTACT AT 140CM WITH N9 BURROWED WITH AB OVE N8 UNIT",,,,, GOOD PRESERVATION THROUGHOUT, FIRM*,,cd68208849a6a135d1c4759293dbcb67
47,398,D,5,2,0.0,150.0,394.50,396.00,397.50,, MARLY NANNO CHALK," N8-VERY LIGHT GRAY, N7-LIGHT G RAY, -BLACK, -DARK GRAY, -WHITE, -OLIVE GRAY"," N8 WI TH SCATTERED OLIVE GRAY BURROWS USUALLY COMPOSITE (C HONDRITES INSIDE A LARGER OVAL) AND ZOOPHYCOS, VERY FAINT MOTTLING DISTINGUISHED BY SUBTLE COLORS OF WHI TE AND VERY PALE GRAY, RARE BLACK BLEBS, N7 AT 130-1 42CM EXTENSIVELY BURROWED DARK GRAY AND WHITE CHONDR ITES AND HALO ALSO COMMON VERY FINE BLACK BLEBS",,,,, HO MOGENOUS, FIRM*,,277b325b51c40ce3ef7133d19f3e44cd
