Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbellosphaera irregularis	Triquetrorhabdulus rugosus	Sphenolithus spp.	Scyphosphaera spp.	Reticulofenestra spp.	Pontosphaera spp.	Placolith (small)	Oolithotus fragilis	Helicosphaera spp.	Helicosphaera sp. aff. H. intermedia	Helicosphaera sellii	Helicosphaera carteri	Hayaster perplexus	Discoaster variabilis	Discoaster surculus	Discoaster spp.	Discoaster sp. aff. D. pentaradiatus	Discoaster quinqueramus	Discoaster challengeri	Discoaster brouweri	Coccolithus pelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster sp. aff. D. giganteus	Discoaster archipelagoensis	Discoaster andamanensis	Discoaster pentaradiatus	Amaurolithus amplificus	Amaurolithus primus	Reticulofenestra pseudoumbilica	Amaurolithus tricorniculatus	Amaurolithus delicatus	Discoaster intercalaris	Amaurolithus ninae	Discoaster quadramus	Calcidiscus sp. A	Discoaster calcaris	Discoaster toralis	Amaurolithus spp.	Discoaster challengeri var. nellensis	Amaurolithus delicatus/primus intergrade	Triquetrorhabdulus farnsworthii	Minylitha convallis	Discoaster blackstockae	Discoaster deflandrei	Dictyococcites spp.	Rhabdosphaera spp.	Discoaster sp. cf. D. loeblichii	Discoaster pansus	Discoaster bollii	Discoaster asymmetricus	Dictyococcites spp. (<4 microns)	Discoaster phyllodus	Discoaster mendomobensis	Discoaster extensus	Ceratolithus acutus	Amaurolithus bizarrus	Ceratolithus rugosus	Pseudoemiliania lacunosa	Emiliania ovata	Discoaster tamalis	Discoaster dilatus	Helicosphaera wallichii	Gephyrocapsids (small)	Gephyrocapsa caribbeanica	Gephyrocapsa oceanica	Helicosphaera inversa	Comment
  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 33	X	CC	   9.00	    309.5900	Quinterno	Nannofossils                                 	V              	M                 	                          	F                         	A                	C                 	A                    	R                	V                	                   	                  	                                    	C                   	C                    	                  	C                    	C                  	R              	R                                   	C                      	                      	F                  	A                    	F                     	A                     	                                	                           	                       	C                       	F                      	R                  	                               	                            	                      	F                      	R                 	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 34	X	 1	  90.00	    318.7000	Quinterno	Nannofossils                                 	V              	G                 	                          	F                         	A                	R                 	A                    	                 	V                	F                  	                  	                                    	F                   	A                    	                  	F                    	R                  	C              	C                                   	C                      	C                     	F                  	A                    	F                     	C                     	                                	                           	                       	C                       	                       	F                  	                               	                            	                      	                       	                  	                    	C                	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 34	X	CC	  31.00	    319.4100	Quinterno	Nannofossils                                 	V              	M                 	R                         	R                         	A                	                  	A                    	                 	V                	                   	                  	R                                   	C                   	C                    	                  	R                    	R                  	               	R                                   	F                      	                      	F                  	C                    	                      	C                     	                                	                           	                       	F                       	R                      	                   	                               	R                           	                      	                       	                  	                    	                 	rR                 	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 36	X	 1	  50.00	    332.9000	Quinterno	Nannofossils                                 	A              	M                 	                          	R                         	A                	R                 	A                    	R                	A                	R                  	R                 	C                                   	                    	C                    	                  	C                    	                   	C              	                                    	A                      	R                     	C                  	A                    	F                     	A                     	                                	F                          	                       	F                       	                       	F                  	                               	                            	                      	R                      	                  	R                   	C                	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 36	X	CC	  18.00	    333.7300	Quinterno	Nannofossils                                 	V              	M                 	                          	F                         	A                	                  	A                    	                 	V                	                   	                  	                                    	R                   	F                    	                  	C                    	F                  	F              	                                    	C                      	R                     	C                  	A                    	C                     	C                     	                                	                           	                       	F                       	                       	                   	                               	                            	R                     	R                      	R                 	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 37	X	CC	  17.00	    340.1800	Quinterno	Nannofossils                                 	V              	M                 	C                         	F                         	A                	C                 	V                    	F                	V                	                   	                  	                                    	F                   	A                    	                  	C                    	C                  	               	                                    	A                      	                      	F                  	A                    	A                     	A                     	                                	                           	                       	C                       	                       	F                  	                               	                            	                      	                       	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 38	X	 1	 128.00	    348.3800	Quinterno	Nannofossils                                 	V              	M                 	                          	R                         	A                	R                 	V                    	R                	V                	                   	                  	F                                   	C                   	C                    	                  	R                    	                   	C              	R                                   	C                      	                      	                   	A                    	F                     	C                     	                                	                           	                       	F                       	R                      	R                  	R                              	R                           	                      	                       	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	uncertain identity of Amaurolithus tricorniculatus; from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 40	X	CC	   8.00	    367.8600	Quinterno	Nannofossils                                 	V              	M                 	F                         	R                         	A                	R                 	A                    	R                	V                	C                  	                  	C                                   	F                   	C                    	                  	C                    	R                  	               	R                                   	F                      	                      	                   	C                    	F                     	C                     	                                	                           	                       	C                       	F                      	                   	                               	                            	                      	                       	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 42	X	CC	  28.00	    390.6700	Quinterno	Nannofossils                                 	A              	M                 	R                         	R                         	C                	R                 	A                    	R                	A                	                   	                  	F                                   	F                   	C                    	                  	F                    	R                  	               	R                                   	C                      	                      	R                  	C                    	F                     	C                     	                                	R                          	                       	R                       	                       	                   	                               	R                           	                      	                       	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 43	X	CC	   0.00	    399.2800	Quinterno	Nannofossils                                 	V              	M                 	R                         	R                         	C                	R                 	A                    	F                	V                	                   	                  	R                                   	F                   	C                    	                  	R                    	R                  	F              	F                                   	C                      	                      	R                  	C                    	F                     	C                     	                                	F                          	                       	F                       	                       	                   	R                              	                            	                      	                       	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 45	X	CC	  26.00	    417.2900	Quinterno	Nannofossils                                 	V              	M                 	                          	R                         	C                	R                 	A                    	F                	V                	                   	                  	C                                   	F                   	C                    	                  	C                    	F                  	F              	R                                   	F                      	                      	R                  	A                    	F                     	C                     	                                	                           	                       	                        	R                      	                   	F                              	R                           	R                     	                       	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 50	X	CC	   0.00	    468.1000	Quinterno	Nannofossils                                 	V              	P                 	F                         	R                         	A                	F                 	C                    	F                	V                	C                  	                  	                                    	F                   	C                    	                  	R                    	R                  	               	R                                   	F                      	                      	R                  	F                    	F                     	C                     	                                	                           	                       	R                       	                       	                   	                               	                            	                      	                       	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 51	X	CC	  17.00	    479.1600	Quinterno	Nannofossils                                 	C              	M                 	                          	R                         	F                	                  	F                    	                 	C                	                   	                  	                                    	                    	R                    	                  	R                    	R                  	R              	                                    	R                      	                      	                   	F                    	R                     	                      	                                	                           	                       	R                       	                       	R                  	                               	                            	                      	                       	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	uncertain identity of Amaurolithus primus; from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 52	X	CC	  31.00	    491.0500	Quinterno	Nannofossils                                 	V              	M                 	F                         	R                         	A                	R                 	A                    	F                	V                	F                  	C                 	F                                   	                    	C                    	                  	R                    	R                  	C              	                                    	C                      	                      	                   	A                    	C                     	C                     	                                	                           	                       	                        	R                      	                   	                               	                            	                      	                       	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9a              	              	135	 840	B	 55	X	CC	   0.00	    516.3000	Quinterno	Nannofossils                                 	A              	M                 	                          	R                         	A                	R                 	A                    	R                	A                	R                  	                  	F                                   	                    	C                    	                  	R                    	F                  	F              	                                    	F                      	                      	                   	C                    	C                     	F                     	                                	                           	                       	                        	                       	                   	                               	                            	                      	                       	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9a              	              	135	 840	B	 56	X	 5	  56.00	    526.6200	Quinterno	Nannofossils                                 	C              	M                 	                          	R                         	C                	                  	C                    	                 	C                	R                  	                  	                                    	                    	F                    	                  	                     	                   	               	                                    	F                      	                      	                   	F                    	R                     	                      	                                	                           	                       	R                       	                       	                   	                               	                            	                      	                       	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9a              	              	135	 840	B	 63	X	 1	 136.00	    589.0600	Quinterno	Nannofossils                                 	A              	P                 	                          	                          	A                	                  	                     	                 	A                	F                  	                  	R                                   	                    	C                    	                  	R                    	F                  	C              	                                    	R                      	                      	F                  	C                    	F                     	C                     	R                               	F                          	                       	                        	                       	                   	                               	                            	                      	                       	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9a              	              	135	 840	B	 63	X	 4	   2.00	    592.2200	Quinterno	Nannofossils                                 	V              	M                 	R                         	                          	A                	                  	                     	R                	A                	C                  	A                 	C                                   	                    	C                    	R                 	C                    	F                  	C              	R                                   	C                      	                      	                   	C                    	F                     	C                     	F                               	R                          	C                      	                        	                       	                   	                               	                            	                      	                       	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9a              	              	135	 840	B	 63	X	CC	  51.00	    593.4900	Quinterno	Nannofossils                                 	V              	M                 	F                         	R                         	A                	F                 	A                    	F                	V                	C                  	C                 	F                                   	R                   	C                    	R                 	C                    	F                  	C              	R                                   	F                      	R                     	R                  	C                    	C                     	F                     	                                	                           	                       	                        	                       	                   	                               	                            	                      	                       	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

