Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongotrochus glacialis,Pseudocubus vema,Phorticium clevei,Eucyrtidium calvertense,Desmospyris spongiosa,Cycladophora pliocenica,Antarctissa robusta,Antarctissa cylindrica,Botryopera triloba,Antarctissa denticulata,Saccospyris praeantarctica,Rhizosphaera antarctica,Ceratocyrtis histricosa,Triceraspyris antarctica,Saccospyris conithorax,Saccospyris antarctica,Cycladophora davisiana,Gondwanaria dogieli,Antarctissa strelkovi,Lithelius nautiloides,Pterocanium trilobum,Prunopyle antarctica,Phormostichoartus multiseriatus,Cycladophora bicornis,Phormostichoartus furcaspiculata,Spongodiscus osculosus,Plectacantha sp.,Botryostrobus tumidulus,Mitrocalpis araneafera,Eucyrtidium teuscheri teuscheri,Actinomma delicatulum,Theocorys redondoensis,Pterocorys clausus,Comment
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,A, 21,H, 6,  53.00,    163.9300,Caulet   ,Radiolarians                                 ,F              ,G                 ,                       ,                ,                 ,                       ,                     ,C                      ,                   ,A                     ,A                 ,A                      ,                          ,                       ,                       ,F                       ,R                     ,R                     ,T                     ,                   ,R                    ,                     ,                    ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,A, 22,X,CC,  22.00,    166.0200,Caulet   ,Radiolarians                                 ,C              ,G                 ,F                      ,                ,T                ,R                      ,                     ,C                      ,                   ,A                     ,A                 ,                       ,                          ,                       ,                       ,                        ,T                     ,F                     ,R                     ,T                  ,                     ,                     ,                    ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,A, 23,X,CC,  13.00,    178.3300,Caulet   ,Radiolarians                                 ,R              ,G                 ,                       ,                ,                 ,                       ,                     ,F                      ,                   ,A                     ,A                 ,                       ,                          ,                       ,T                      ,R                       ,R                     ,R                     ,R                     ,                   ,                     ,                     ,                    ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,A, 24,X,CC,  29.00,    186.7600,Caulet   ,Radiolarians                                 ,F              ,G                 ,R                      ,                ,                 ,R                      ,                     ,C                      ,                   ,F                     ,A                 ,                       ,T                         ,                       ,                       ,T                       ,                      ,                      ,                      ,                   ,                     ,                     ,                    ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,A, 25,X,CC,   0.00,    194.4000,Caulet   ,Radiolarians                                 ,F              ,G                 ,R                      ,                ,                 ,                       ,                     ,A                      ,                   ,A                     ,C                 ,                       ,T                         ,                       ,                       ,R                       ,                      ,                      ,                      ,                   ,                     ,                     ,                    ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,A, 26,X,CC,  20.00,    209.6000,Caulet   ,Radiolarians                                 ,R              ,G                 ,T                      ,                ,R                ,                       ,                     ,R                      ,                   ,R                     ,C                 ,                       ,T                         ,                       ,T                      ,                        ,                      ,                      ,                      ,                   ,                     ,                     ,                    ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,A, 27,X,CC,  25.00,    214.7300,Caulet   ,Radiolarians                                 ,C              ,G                 ,T                      ,T               ,C                ,C                      ,                     ,                       ,T                  ,R                     ,C                 ,T                      ,T                         ,T                      ,                       ,                        ,                      ,                      ,                      ,                   ,                     ,                     ,                    ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,A, 29,X, 1,  53.00,    233.4300,Caulet   ,Radiolarians                                 ,C              ,G                 ,                       ,F               ,R                ,T                      ,C                    ,F                      ,R                  ,A                     ,C                 ,T                      ,                          ,                       ,                       ,                        ,                      ,                      ,                      ,                   ,                     ,                     ,                    ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,A, 29,X, 2,  53.00,    234.9300,Caulet   ,Radiolarians                                 ,C              ,G                 ,T                      ,A               ,R                ,                       ,C                    ,C                      ,R                  ,A                     ,                  ,                       ,                          ,                       ,                       ,                        ,                      ,                      ,                      ,                   ,                     ,                     ,                    ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,A, 29,X,CC,  23.00,    236.0700,Caulet   ,Radiolarians                                 ,C              ,G                 ,R                      ,C               ,F                ,R                      ,C                    ,C                      ,                   ,                      ,                  ,                       ,                          ,                       ,                       ,                        ,                      ,                      ,                      ,                   ,                     ,                     ,                    ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
