Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stoverius achylosus,Rhagodiscus asper,Prediscosphaera columnata,Microstaurus chiastius,Gephyrorhabdus coronadventis,Flabellites oblongus,Eiffellithus turriseiffelii,Axopodorhabdus dietzmannii,Rucinolithus irregularis,Radiolithus planus,Gartnerago praeobliquum,Braarudosphaera stenorhetha,Tranolithus phacelosus,Eprolithus floralis,Watznaueria britannica,Parhabdolithus achylostaurion,Lithraphidites alatus,Braarudosphaera africana,Nannoconus truitti ssp rectangularis,Nannoconus truitti,Lithraphidites acutum spp. eccentricum,Corollithion kennedyi,Axopodorhabdus albianus,Rhagodiscus angustus,Quadrum intermedium,Quadrum gartneri,Lithastrinus moratus,Quadrum eneabrachium,Microrhabdulus decoratus,Eprolithus eptapetalus,Nannoconus elongatus,Micula decussata,Marthasterites furcatus,Lithastrinus septenarius,Eiffellithus eximius,Reinhardtites anthophorus,Lithastrinus grillii,Ceratolithoides verbeekii,Aspidolithus parcus parcus,Aspidolithus parcus constrictus,Quadrum sissinghii,Ceratolithoides aculeus,Rucinolithus magnus,Reinhardtites levis,Quadrum gothicum,Prediscosphaera grandis,Arkhangelskiella specillata,Micula murus,Lithraphidites quadratus,Arkhangelskiella cymbiformis,Lithraphidites praequadratus,Lithraphidites kennethii,Lithraphidites grossopectinatus,Lithraphidites carniolensis carniolensis,Prediscosphaera majungae,Micula prinsii,Pseudomicula quadrata,Ceratolithoides kamptneri,Nannoconus kamptneri,Thoracosphaera operculata,Cruciplacolithus primus,Braarudosphaera bigelowii,Thoracosphaera spp.,Octolithus multiplus,Neobiscutum romeinii,Neobiscutum parvulum,Neocrepidolithus neocrassus,Placozygus sigmoides,Markalius inversus,Biantholithus sparsus,Prinsius petalosus,Neochiastozygus primitivus,Cyclagelosphaera reinhardtii,Cruciplacolithus primus (small),Chiastozygus ultimus,Prinsius dimorphosus,Cruciplacolithus tenuis,Cruciplacolithus edwardsii,Neochiastozygus saepes,Ericsonia robusta,Chiasmolithus danicus,Ellipsolithus macellus,Prinsius bisulcus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,                  ,CC25,,171,1050,C,18,R,3,80.00,475.2000,Watkins  ,Nannofossils                                 ,A              ,G                 ,                   ,                 ,                         ,                      ,                            ,                    ,+                          ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,+                       ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,+                      ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,Subzone CC25a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Campanian        ,                  ,CC23,,171,1050,C,18,R,5,77.00,478.1700,Watkins  ,Nannofossils                                 ,A              ,G                 ,                   ,                 ,                         ,                      ,                            ,                    ,+                          ,                          ,                        ,                  ,                       ,                           ,+                     ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,+                              ,                  ,+                      ,                   ,+                  ,+               ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Campanian        ,                  ,CC23,,171,1050,C,18,R,CC,0.00,478.8600,Watkins  ,Nannofossils                                 ,A              ,G                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,+                     ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,+                         ,+                              ,                  ,+                      ,                   ,+                  ,                ,+                      ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,"Possible reworking? Not very many R. levis, but a lot of T. phacelosus"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Campanian        ,                  ,CC22(Perch-Nielsen),,171,1050,C,19,R,1,126.00,482.2600,Watkins  ,Nannofossils                                 ,A              ,G                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,+                     ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,+                       ,                      ,                    ,                ,                       ,                        ,+                   ,+                        ,                    ,                         ,                          ,+                              ,+                 ,+                      ,+                  ,+                  ,+               ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,Subzone CC22c
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Campanian        ,                  ,CC22(Perch-Nielsen),,171,1050,C,19,R,2,141.00,483.9100,Watkins  ,Nannofossils                                 ,A              ,G                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,+                     ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,+                   ,                         ,                    ,                         ,                          ,+                              ,                  ,+                      ,+                  ,+                  ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,CC22c
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Campanian        ,                  ,CC22(Perch-Nielsen),,171,1050,C,19,R,CC,15.00,484.5600,Watkins  ,Nannofossils                                 ,A              ,G                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,+                     ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,+                   ,+                        ,                    ,                         ,+                         ,+                              ,                  ,                       ,+                  ,+                  ,+               ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,Subzone CC22c
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Campanian        ,                  ,CC21(Perch-Nielsen),,171,1050,C,20,R,1,70.00,491.3000,Watkins  ,Nannofossils                                 ,A              ,G                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,+                     ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,+                       ,                      ,                    ,+               ,                       ,                        ,+                   ,+                        ,                    ,                         ,                          ,+                              ,+                 ,+                      ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Campanian        ,                  ,CC19,,171,1050,C,20,R,1,84.00,491.4400,Watkins  ,Nannofossils                                 ,A              ,G                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,+               ,                       ,                        ,+                   ,+                        ,+                   ,+                        ,+                         ,+                              ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,CC14(Perch-Nielsen),,171,1050,C,20,R,2,103.00,493.1300,Watkins  ,Nannofossils                                 ,               ,                  ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,+                     ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,+               ,                       ,+                       ,+                   ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,CC14(Perch-Nielsen),,171,1050,C,20,R,3,13.00,493.6800,Watkins  ,Nannofossils                                 ,C              ,M                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,+               ,+                      ,+                       ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Turonian         ,                  ,CC11,,171,1050,C,20,R,4,32.00,495.3700,Watkins  ,Nannofossils                                 ,A              ,G                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,+                  ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,+               ,+                   ,                    ,                        ,                      ,+                   ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Turonian         ,                  ,CC11,,171,1050,C,20,R,5,41.00,496.9600,Watkins  ,Nannofossils                                 ,A              ,G                 ,                   ,                 ,                         ,                      ,                            ,                    ,+                          ,                          ,                        ,                  ,                       ,                           ,+                     ,+                  ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,+               ,                    ,+                   ,+                       ,+                     ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Turonian         ,                  ,CC11,,171,1050,C,21,R,1,30.00,500.5000,Watkins  ,Nannofossils                                 ,C              ,M                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,+                  ,+               ,+                   ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,common gartneri and 5-rayed intermedium
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Cenomanian       ,                  ,              ,,171,1050,C,21,R,1,51.00,500.7100,Self-Trail,Nannofossils                                 ,               ,                  ,                   ,+                ,                         ,+                     ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,+                      ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,Subzone CC9c
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Cenomanian       ,                  ,              ,,171,1050,C,21,R,CC,0.00,509.8300,Self-Trail,Nannofossils                                 ,A              ,G                 ,                   ,+                ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,+                    ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,Zone CC9-10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,,171,1050,C,21,R,CC,30.00,510.1300,Watkins  ,Nannofossils                                 ,A              ,G                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,+                      ,+                   ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,Cenomanian-Turonian; David finds reworking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Cenomanian       ,                  ,CC9,,171,1050,C,22,R,1,50.00,510.3000,Watkins  ,Nannofossils                                 ,A              ,G                 ,                   ,+                ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,+                            ,                     ,                        ,                                    ,                  ,+                                     ,+                    ,+                      ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Cenomanian       ,                  ,CC9,,171,1050,C,23,R,CC,18.00,529.2500,Watkins  ,Nannofossils                                 ,A              ,G                 ,                   ,+                ,                         ,+                     ,                            ,                    ,                           ,                          ,                        ,                  ,+                      ,                           ,                      ,+                  ,                      ,                             ,                     ,                        ,                                    ,                  ,+                                     ,+                    ,+                      ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Cenomanian       ,                  ,CC9,,171,1050,C,25,R,CC,21.00,544.0800,Watkins  ,Nannofossils                                 ,A              ,M                 ,                   ,+                ,                         ,                      ,                            ,+                   ,+                          ,                          ,                        ,                  ,+                      ,                           ,                      ,+                  ,                      ,                             ,                     ,+                       ,+                                   ,+                 ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Cenomanian       ,                  ,CC26,,171,1050,C,26,R,CC,12.00,555.6000,Watkins  ,Nannofossils                                 ,A              ,VG                ,                   ,+                ,                         ,+                     ,+                           ,+                   ,+                          ,                          ,                        ,                  ,                       ,                           ,+                     ,                   ,                      ,+                            ,+                    ,+                       ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Albian           ,                  ,              ,,171,1050,C,27,R,CC,23.00,567.6500,Watkins  ,Nannofossils                                 ,A              ,M                 ,                   ,+                ,+                        ,+                     ,+                           ,+                   ,+                          ,                          ,                        ,                  ,                       ,+                          ,                      ,                   ,+                     ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,No marker species found; Forams say Albian
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Albian           ,                  ,CC9,,171,1050,C,28,R,CC,15.00,577.3600,Watkins  ,Nannofossils                                 ,A              ,G                 ,                   ,+                ,+                        ,                      ,+                           ,                    ,+                          ,                          ,                        ,                  ,                       ,+                          ,+                     ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,CC9a-9b; no R. irregular or H. albiensis but forams got Albian age
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Albian           ,                  ,CC9,,171,1050,C,29,R,CC,6.00,586.6900,Watkins  ,Nannofossils                                 ,A              ,M                 ,                   ,+                ,                         ,+                     ,                            ,+                   ,+                          ,                          ,+                       ,                  ,                       ,+                          ,+                     ,+                  ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,Subzone CC9a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Albian           ,                  ,CC9,,171,1050,C,30,R,CC,20.00,595.8100,Watkins  ,Nannofossils                                 ,C              ,G                 ,+                  ,+                ,+                        ,                      ,+                           ,+                   ,+                          ,                          ,+                       ,+                 ,+                      ,+                          ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,CC9a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
