Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Unnamed: 14,Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp.,Guttulina sp.,Gyroidina sp.,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?),Karreriella sp.,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp.,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp.,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp.,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp.,Uvigerina elongata,Valvulina spinosa?,Others,Comments,File Data,Unnamed: 122,eodp_id
342-U1405A-16H-4-W 100/102-FORAM,342,U1405,A,16,16-4,H,4,W,100/102-FORAM,0,2,144.74,144.76,144.8,VG [P21],P,,,,,,P,,,,,,,,,F,,,F,,,,,,,,,,,,,,,A,,,,,,,,,,,A,,,,,,,,F,,,,,,P,,,,,,,,,F,,,,,,,P,,P,,,A,,,P,,,,P,,,,,,F,,P,A,,,,,,,,P,,,,1c3d89867188b872093aab8bc0549b32
342-U1405A-16H-6-W 100/102-FORAM,342,U1405,A,16,16-6,H,6,W,100/102-FORAM,0,2,147.77,147.79,147.8,G [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,c1fe0b8b514fa8a12e58739488355e00
342-U1405A-16H-CC-PAL,342,U1405,A,16,16-CC,H,CC,PAL,,0,5,149.2,149.25,149.2,VG [P21],P,,,,,,F,,P,,,P,,,,,,,,P,,,,,P,,,,,,,,,D,P,,,,,,F,,,,P,,,,,,,,A,,F,,,,,,,,,,,,,,P,,,,,,,,F,,,D,,,A,,P,,,,,F,,,P,,F,P,,,,,,,,F,,,,6d47738cf3ab5ad93e861818a8c63e0b
342-U1405A-17H-2-W 100/102-FORAM,342,U1405,A,17,17-2,H,2,W,100/102-FORAM,0,2,151.2,151.22,151.2,G [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,F,,,,,,,,P,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33639d2c89ceb0cac7ed8eac23f8803f
342-U1405A-17H-4-W 100/102-FORAM,342,U1405,A,17,17-4,H,4,W,100/102-FORAM,0,2,154.2,154.22,154.2,VG [P21],P,,,,,,F,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,P,,,,,,,,,,,,,F,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,P,,,,c74bf05dce744d5cfd03731f10c16d1c
342-U1405A-17H-6-W 100/102-FORAM,342,U1405,A,17,17-6,H,6,W,100/102-FORAM,0,2,157.2,157.22,157.2,G [P21],P,,,,,,F,,,,,,,,,,,,,,,F,,,,,,,,,,,,P,,,,,F,,,P,,P,F,,,,,,,,,,P,,,,P,,,,,,,,,P,,,,F,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,70db4238c3d06f2c9b78783df6e0644a
342-U1405A-17H-CC-PAL,342,U1405,A,17,17-CC,H,CC,PAL,,0,6,158.45,158.51,158.5,VG [P21],P,,,,,,F,,P,,,,,,P,,,,P,F,,,,,,,,,,,,,,A,,,,,F,,,,,,,,,,,,F,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,P,F,,,,,,,,,,,,cb0879fd24ec19d544893c53e4723851
342-U1405A-18H-2-W 110/112-FORAM,342,U1405,A,18,18-2,H,2,W,110/112-FORAM,0,2,160.8,160.82,160.8,G [P21],P,,,,,,F,,F,,,,,,,,,,A,,,,,,,,,,,,P,,,A,P,F,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,F,,,,,,,,,,,,P,P,,P,A,,,,P,,,,P,,,,c8fc379e3ee7d8f9d92a03d39ab4df89
342-U1405A-18H-4-W 110/112-FORAM,342,U1405,A,18,18-4,H,4,W,110/112-FORAM,0,2,163.83,163.85,163.8,G [P21],R,,,,,,A,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,A,,,,,,,,,F,,,,,P,,,,,,,,,,,,,,,,P,,,P,,,,,F,,,,,,,P,,,,,,,,,A,,,,,,,,,,,,3b61169b328c4e6cc17ff9edf1fb4099
342-U1405A-18H-6-W 86/88-FORAM,342,U1405,A,18,18-6,H,6,W,86/88-FORAM,0,2,166.61,166.63,166.6,G [P21],P,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,P,,,P,,,,,,,,,F,,,,,,,,,,,,F,,,F,,,,,,,,,,,,,D,,,,F,,,,,,,,fac3154948fd8e3769a848f482188440
342-U1405A-18H-CC-PAL,342,U1405,A,18,18-CC,H,CC,PAL,,0,6,167.7,167.76,167.7,G [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,P,only few specimens so all rated present,,,b85a6e175abdb4936270df6d440ec5a5
342-U1405A-19H-2-W 110/112-FORAM,342,U1405,A,19,19-2,H,2,W,110/112-FORAM,0,2,170.3,170.32,170.3,G [P21],P,,,,,,F,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,F,,,,,,,,bd1c5b26a9020109176bfeef897cee13
342-U1405A-19H-4-W 110/112-FORAM,342,U1405,A,19,19-4,H,4,W,110/112-FORAM,0,2,173.3,173.32,173.3,G [P21],P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,611eb1ae4a49870de512aa7ae8f5f22c
342-U1405A-19H-6-W 100/102-FORAM,342,U1405,A,19,19-6,H,6,W,100/102-FORAM,0,2,176.2,176.22,176.2,G [P21],P,,,,,,P,,F,,,,,,,,,,A,P,,,,,,,,,,,P,,,F,,P,,,P,,,,,,P,,,,,,P,,P,,F,,,,F,,,,,,,,,P,,,P,P,,,,,,,P,P,,,,,,,,,,,,,,,A,A,P,,,F,,,,F,,,,adf7d828a589a49c0fc7f518f8ac8aa7
342-U1405A-19H-6-W 20/22-FORAM,342,U1405,A,19,19-6,H,6,W,20/22-FORAM,0,2,175.4,175.42,175.4,G [P21],P,,,,P,,,,P,,,,,,,,,,F,,,A,,,,,,,,,,,,A,P,F,,,,,,A,,,F,,,,,,,,P,,P,,,,P,,,,,,,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,,,,D,,,,,,,,F,,,,c16bab7d697985f62aff4f2720292875
342-U1405A-19H-CC-PAL,342,U1405,A,19,19-CC,H,CC,PAL,,0,5,177.02,177.07,177.0,G [P21],P,,,,,,,,,,,P,,,,,,,F,,,,,,,,,,,,P,,,F,P,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,P,,,P,,P,,,,A,,,,,,,,P,,,,74eb3c4351b8e2640113aacc2d163079
342-U1405A-20H-2-W 110/112-FORAM,342,U1405,A,20,20-2,H,2,W,110/112-FORAM,0,2,179.8,179.82,179.8,M [P21],P,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,"few specimens, so all rated present",,,718856697f6365d2f249a6d111bff363
342-U1405A-20H-4-W 110/112-FORAM,342,U1405,A,20,20-4,H,4,W,110/112-FORAM,0,2,182.8,182.82,182.8,G [P21],P,,,,,,F,,,,,,,,,,,,P,P,,,,,,,,,,,,,,P,,P,,,,,P,,,,P,,,,,,,,,,P,,,,,P,,,,,,,,P,,,P,P,,,P,,,,,,,,,,,,P,,,,,,P,,,D,,,,,,,,,,,,c87e4e32450b2b4b07af6ecf05c36289
342-U1405A-20H-4-W 15/17-FORAM,342,U1405,A,20,20-4,H,4,W,15/17-FORAM,0,2,181.85,181.87,181.9,G [P21],P,,,,,,F,,,,,,,,,,,,A,,,F,,,,,,,,,,,,,,,,,,,,P,,,F,,,,,,,,P,,F,P,,P,,,,,,,,,,F,,,P,,,,P,,P,,,,,,,,P,,F,,,,,,P,,,D,,,,,,,,P,,,,72aec914f3ff29466545f5065efb0f00
342-U1405A-20H-6-W 80/82-FORAM,342,U1405,A,20,20-6,H,6,W,80/82-FORAM,0,2,185.5,185.52,185.5,VG [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,P,,P,,,,,,,,,P,,,,,,,,,"few specimens, so all rated present",,,bb31ae736b72d42b61759cb5aac859e5
342-U1405A-20H-CC-PAL,342,U1405,A,20,20-CC,H,CC,PAL,,0,8,186.57,186.65,186.6,G [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,203c28ab7fff9998459211f835c65914
342-U1405A-21H-2-W 110/112-FORAM,342,U1405,A,21,21-2,H,2,W,110/112-FORAM,0,2,188.87,188.89,188.9,G [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,P,,P,,,"few specimens, so all rated present",,,05e2d1fee56a3da2dee8642929081062
342-U1405A-21H-4-W 110/112-FORAM,342,U1405,A,21,21-4,H,4,W,110/112-FORAM,0,2,191.9,191.92,191.9,G [P21],P,,,,,,,,F,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,A,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,A,,,,,,,,,,,,e5fede36fa50f5d22c8d37c04fa49b2d
342-U1405A-21H-6-W 62/64-FORAM,342,U1405,A,21,21-6,H,6,W,62/64-FORAM,0,2,194.14,194.16,194.2,G [P21],P,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,P,,,,,,,,,,P,,,,,"few specimens, so all rated present",,,adddea1422574f902096d9058f84ba80
342-U1405A-21H-CC-PAL,342,U1405,A,21,21-CC,H,CC,PAL,,0,6,194.89,194.95,194.9,VG [P21],P,,,,,,P,,P,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,F,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,F,,,,,,,,,,,,97e7c106c40f754fb7754ce4fb158a4e
342-U1405A-22H-2-W 110/112-FORAM,342,U1405,A,22,22-2,H,2,W,110/112-FORAM,0,2,198.8,198.82,198.8,G [P21],P,,,,,,P,,,,,,,,,,,,A,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,P,,,,,,A,,,,F,,,,,,,,P,,,,,,,,,,,,,ecff0f9eedfd19d0df777a5d8205c3f8
342-U1405A-22H-4-W 110/112-FORAM,342,U1405,A,22,22-4,H,4,W,110/112-FORAM,0,2,201.8,201.82,201.8,VG [P21],P,,,,,,,,,,,,,,,,,,D,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,P,,,,,,P,,,F,,,,,,,,P,,,,8b02c620bba70a204a602f320e8941c4
342-U1405A-22H-6-W 110/112-FORAM,342,U1405,A,22,22-6,H,6,W,110/112-FORAM,0,2,204.8,204.82,204.8,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,only one specimen!,,,74d2e0e52f4c6f1aeb1f9c644243af4c
342-U1405A-22H-CC-PAL,342,U1405,A,22,22-CC,H,CC,PAL,,0,7,206.07,206.14,206.1,VG [P21],P,,,,,,P,,,,,,,,,,,,F,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,F,,P,,,,,P,,,,,,P,,,,,,,,P,,,,3858b567b6fe8060f7eb18ed297a2309
342-U1405A-23H-2-W 110/112-FORAM,342,U1405,A,23,23-2,H,2,W,110/112-FORAM,0,2,208.3,208.32,208.3,M [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,"few specimens, so all rated present",,,3100432aefd0cf148778e558e5d082b5
342-U1405A-23H-4-W 110/112-FORAM,342,U1405,A,23,23-4,H,4,W,110/112-FORAM,0,2,211.3,211.32,211.3,M [P21],P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,P,,,,,"few specimens, so all rated present",,,c1be10df82146bfdd3bed8ecbda68794
342-U1405A-23H-6-W 110/112-FORAM,342,U1405,A,23,23-6,H,6,W,110/112-FORAM,0,2,214.3,214.32,214.3,M [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,93b4c738d80da9751782a449a882ad20
342-U1405A-23H-CC-PAL,342,U1405,A,23,23-CC,H,CC,PAL,,0,23,214.62,214.85,214.7,G [P21],P,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,439eeb2b8d7c22c3ace8016eed81d15d
342-U1405A-24H-2-W 100/102-FORAM,342,U1405,A,24,24-2,H,2,W,100/102-FORAM,0,2,217.7,217.72,217.7,G [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,1a906d81c8a2f026d9c13aa57c462d73
342-U1405A-24H-4-W 100/102-FORAM,342,U1405,A,24,24-4,H,4,W,100/102-FORAM,0,2,220.7,220.72,220.7,G [P21],P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,P,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,"few specimens, so all rated present",,,2eaaac3f2238b8a0974c8129cfcfd822
342-U1405A-24H-6-W 100/102-FORAM,342,U1405,A,24,24-6,H,6,W,100/102-FORAM,0,2,222.91,222.93,222.9,G [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,"few specimens, so all rated present",,,fd06c3b059ee2dd95ed06789dc57171e
342-U1405A-24H-CC-PAL,342,U1405,A,24,24-CC,H,CC,PAL,,0,5,224.56,224.61,224.6,VG [P21],P,,,,,,,,F,,,,,,,,,,F,P,,,,,,P,,,,,P,,,F,,,,,,,,,,,,,,,,,P,,P,,F,,,,P,,P,,,,P,,,,,,,P,,,,,,,,,,,P,,P,,F,,,,,,,,,F,,,,,,,,,,,,79a21ceaf1fe6352369dc8ea778b10d6
342-U1405A-25H-3-W 100/102-FORAM,342,U1405,A,25,25-3,H,3,W,100/102-FORAM,0,2,228.7,228.72,228.7,M [P21],P,,,,,,P,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,"few specimens, so all rated present",,,bc4a594cdae997f464997f5e795e0754
342-U1405A-25H-7-PAL,342,U1405,A,25,25-7,H,7,PAL,,0,5,234.02,234.07,234.0,VG [P21],P,,,,,,,,F,,,,,,,,,,P,,,,,,,,,,,,P,,,D,F,P,,,,,,,,,,,,,,,F,,P,,F,,,,,,,,,,,,,,P,,,P,,,,,P,,,P,,,P,,,,,,,,,,,,P,A,,,,,,,,F,,,,9ec172aa5d02b88cb55710c8590c2dcf
342-U1405A-26H-4-W 5/7-FORAM,342,U1405,A,26,26-4,H,4,W,5/7-FORAM,0,2,237.09,237.11,237.1,G [P21],P,,,,,,,,,,,,,,,,,,P,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,,,fdc2dddf956c7a94192ab33d642d84ca
342-U1405A-26H-CC-PAL,342,U1405,A,26,26-CC,H,CC,PAL,,0,5,241.89,241.94,241.9,VG [P21],P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,efb4c8e2687b1e121ddb7ddec772925f
342-U1405A-27X-CC-PAL,342,U1405,A,27,27-CC,X,CC,PAL,,0,1,247.16,247.17,247.2,VG [P21],P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,F,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,F,,,,,,,,P,,,,e16a0d24dc8370fa3da0cd4902113f7b
342-U1405A-28X-CC-PAL,342,U1405,A,28,28-CC,X,CC,PAL,,0,5,253.38,253.43,253.4,VG [P21],R,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,2b2420b07996f301b29b527b7d0781bc
342-U1405A-29X-2-W 110/112-FORAM,342,U1405,A,29,29-2,X,2,W,110/112-FORAM,0,2,263.7,263.72,263.7,G [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,"few specimens, so all rated present",,,3a652580c808116ad55d2c2d9383bf32
342-U1405A-29X-CC-PAL,342,U1405,A,29,29-CC,X,CC,PAL,,0,5,265.54,265.59,265.6,VG [P21],P,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,8a18ab7601a5623c584aeb579e1c6042
342-U1405A-30X-CC-PAL,342,U1405,A,30,30-CC,X,CC,PAL,,0,7,272.69,272.76,272.7,G [P21],P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,P,,F,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,,,,,,b427fecf4827a59fcf25b6c1b75d0bd8
342-U1405A-31X-1-W 55/55-FORAM,342,U1405,A,31,31-1,X,1,W,55/55-FORAM,0,0,280.85,280.85,280.9,VG [P21],P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,67e5694b6cf0768a3ad7d332d3fc56e5
342-U1405A-31X-CC-PAL,342,U1405,A,31,31-CC,X,CC,PAL,,0,9,281.36,281.45,281.4,M [P21],D,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,P,P,,,P,,,F,,,,,,,,,,,P,,A,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,F,,A,,,,,,,,,,,,,bb57ecdc407821735fa4d5aadee0e90d
342-U1405A-32X-1-W 61/62-FORAM,342,U1405,A,32,32-1,X,1,W,61/62-FORAM,0,1,290.41,290.42,290.4,G [P21],P,,,,,,P,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,a7fc234b8d02885c52b02fa3fae40bd4
342-U1405A-32X-CC-PAL,342,U1405,A,32,32-CC,X,CC,PAL,,0,5,291.14,291.19,291.2,G [P21],P,,,,,,,,F,,,,,,,,,,F,,,,,,,P,,,,,F,,,,F,,,,,,,D,,,,,,,,,P,,A,,F,,,,,,,,,,,,,,,,,P,,,,,,,,,,,F,,,,,P,,,,,P,,,P,,,,,,,,F,,,,89fd538910dcd8a80faead8ae7489240
342-U1405A-33X-2-W 84/86-FORAM,342,U1405,A,33,33-2,X,2,W,84/86-FORAM,0,2,301.54,301.56,301.6,G [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,"few specimens, so all rated present",,,4fd2dd36bb65f9bdd621d9bd0be7d09e
342-U1405A-33X-4-W 92/94-FORAM,342,U1405,A,33,33-4,X,4,W,92/94-FORAM,0,2,304.62,304.64,304.6,G [P21],P,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,"few specimens, so all rated present",,,5bb9569730310e1b677d884c6085f86d
342-U1405A-33X-5-W 86/88-FORAM,342,U1405,A,33,33-5,X,5,W,86/88-FORAM,0,2,306.06,306.08,306.1,VG [P21],P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very small sample!,,,d7bb2d8d972d2a08cc73bef12c258a83
342-U1405A-33X-CC-PAL,342,U1405,A,33,33-CC,X,CC,PAL,,0,5,306.98,307.03,307.0,VG [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,P,,,P,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97b72783982afc85ddaea91d0a08c9de
