Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Collosphaera tuberosa,Lamaprocyrtis nigriniae,Theocorythium trachelium,Cycladophora davisiana,Amphirhopalum ypsilon,Spongaster tetras tetras,Nephrospyris renila,Acrobotrys disolenia,Stylatractus universus,Lamaprocyrtis neoheteroporos,Anthocyrtidium angulare,Theocorythium vetulum,Lamaprocyrtis heteroporos,Pterocorys minythorax,Pterocanium prismatium,Didymocyrtis avita,Stichocorys pergrina,Anthocyrtidum pliocenica,Phormostichoartus fistula,Lychnodictyum audax,Phormostichoartus doliolum,Spongaster pentas,Didymocyrtis penultima,Solenosphaera omnitubus,Spongaster berminghami,Didymocyrtis antipenultima,Stichocorys johnsoni,Calocycletta caepa,Didymocyrtis tetratharamus,Stichocorys delmontensis,Acrobotrys tritubus,Diartus hughesi,Diartus petterssoni,Didymocyrtis laticonus,Botryostrobus miralestensis,Stichocorys wolffii,Cladococcus abietinus,Stauroxiphos commuinis,Cyrtocapsella japonica,Carpocanopsis cristata,Lithopera neotera,Cyrtocapsella cornuta,Dorcadospyris alata,Cyrtocapsella tetrapera,Lithopera renzae,Calocycletta robusta,Stichocorys armata,Acrocubus octopylus,Didymocyrtis mammifera,Liriospyris parkerae,Eucyrtidium diaphanes,Didymocyrtis violina,Calocycletta costata,Calocycletta virginis,Carpocanopsis bramlettei,Didymocyrtis tubaria,Dorcadospyris forcipata,Dorcadospyris dentata,Liriospyris stauropora,Carpocanopsis cingulata,Lychnocanoma elongata,Didymocyrtis prismatica,Dorcadospyris scambos,Dorcadospyris ateuchus,Dorcadospyris simplex,Dorcadospyris praeforcipata,Calocycletta serrata,Lophocyrtis pegetrum,Theocyrtis annosa,Lophocyrtis leptetrum,Eucyrtidium mitodes,Artophormis gracilis,Didymocyrtis bassanii,Dorcadospyris cyclacantha,Dorcadospyris riedeli,Dorcadospyris papilio,Dorcadospyris circulus,Liriospyris longicornuta,Lychnocanoma apodora,Theocorys puriri,Eucyrtidium plesiodiaphanes,Lithocyclia angusata,Theocyrtis setanios,Theocyrtis perysinos,Tristylospyris triceros,Lophocyrtis milowi,Lophocyrtis oberhaensliae,Lythocyclia crux,Theocyrtis tuberosa,Dorcadospyris quadripes,Dorcadospyris spinosa,Spirocyrtis subtilis,Dorcadospyris pseodopapilio,Centrobotrys gravida,Centrobotris petrushevskayae,Theocyrtis careotuberosa,Dictyoprora  mongolfieri,Thyrsocyrtis triacantha,Lithocyclia ocellus group,Lithocyclia aristotelis group,Calocyclas hispida,Cryptocarpium ornatum,Calocycletta anekathen,Dictyoprora armadillo,Dictyoprora pirum,Lophocyrtis jacchia,Lophocyrtis exitelus,Lophocyrtis hadra,Lychnocanoma amhitrite,Lychnocanoma babylonis,Thyrsocyrtis bromia,Dorcadospyris copelata,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Thyrsocyrtis tetracantha,Rhopalocanium aff. contiguum,Dorcadospyris omboros,Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cyrtocarpium azyx,Thyrsocyrtis rhizodon,Thysocyrtis krooni,Artophormis dominasinensis,Lychnocanoma turgidum,Thysocyrtis perpumila,Thyrsocyrtis orthotenes,Podocyrtis papalis,Thysocyrtis lochites,Spongastractus pachystylus,Anthocyrtoma spp.,Calocycletta ampulla,Zygocircus cimelium,Rhopalocanium ornatum,Dorcadospyris anastasis,Theocotylissa ficus,Dictyophimus craticula,Podocyrtis goetheana,Podocyrtis chalara,Botryocella sp. group,Podocyrtis apeza,Lithochytris vespertilio,Sethochyrtis triconiscus,Podocyrtis mitra,Lophocyrtis biaurita,Podocyrtis trachodes,Pterocodon ampla,Buryella clinata,Zealithapium anoectum,Eusyringium lagena,Podocyrtis fasciolata,Zealithapium plegmacantha,Podocyrtis sinuosa,Podocyrtis helenae,Podocyrtis diamesa,Podocyrtis phyxis,Podocyrtis ampla,Spongastractus balbis,Thyrsocyrtis tensa,Theocotyle venezuelensis,Theocotyle conica,Lamptonium fabaeforme fabaeforme,Theocotyle cryptocephala,Periphaena tripyramis triangula,Theocyrtis orthotenes,Thyrsocyris robusta,Thysocyrtis hirsuta,Lamptonium fabaeforme chaunothorax,Lamptonium fabaeforme constrictum,Theocorys anaclasta,Calocycloma castum,Phormocyrtis stnata striata,Theocotylissa fimbria,Amphicraspedum murrayanum,Dendospyris fragoides,Diploplegma somophum,Giraffospyris lata,Lamptonium pennatum,Lamptonium sanfilippoae,Lithochytris archaea,Lithocyrtis vespertilio,Lychnocanoma auxilla,Phormocyrtis cubensis,Phormocyrtis stnata exquisita,Pterocodon tenellus,Theocotylissa alpha,Thysocyrtis rhizodon,Lychnocanoma pileus,Periphaena delta,Pterocodon anteclinata,Phormocyrtis turgida,eodp_id
321-U1338A-11H-CC-PAL,321,U1338,A,11,11-CC,H,CC,PAL,,0,0,97.05,97.05,M,A,,,,,,,,,,,,R,,,,,C,E,R,,R,,R,R,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fd9ffae27803c7c06d09d2dd1da4879b
321-U1338A-12H-2-W 65/67-RADS16,321,U1338,A,12,12-2,H,2,W,65/67-RADS16,0,0,99.85,99.85,M,A,,,,,,,,,,,,R,,,,,C,,,,R,,R,R,R,R,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24698adb5bd71a5cf8ea71d66b80cb9a
321-U1338A-12H-4-W 54/56-RADS19,321,U1338,A,12,12-4,H,4,W,54/56-RADS19,0,0,102.74,102.74,M,A,,,,,,,,,,,,R,,,,,C,R,R,,R,,R,R,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0dd36ce897a1c36919c01b23b44c4160
321-U1338A-12H-CC-PAL,321,U1338,A,12,12-CC,H,CC,PAL,,0,0,107.64,107.64,M,A,,,,,,,,,,,,R,,,,,C,R,R,R,R,,R,R,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a8308f774828165377ad8eab3911e881
321-U1338A-13H-2-W 115/117-RADS68,321,U1338,A,13,13-2,H,2,W,115/117-RADS68,0,0,109.85,109.85,M,A,,,,,,,,,,,,,,,,,C,R,,R,R,,R,R,R,R,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e920780883b1c7b0166a15504f5bb58f
321-U1338A-13H-5-W 24/26-RADS69,321,U1338,A,13,13-5,H,5,W,24/26-RADS69,0,0,113.44,113.44,M,A,,,,,,,,,,,,R,,,,,C,R,R,R,R,,R,,R,R,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471601f7dc48461f01ebd9c69741d7e2
321-U1338A-13H-CC-PAL,321,U1338,A,13,13-CC,H,CC,PAL,,0,0,117.09,117.09,M,A,,,,,,,,,,,,R,,,,,C,R,R,,,,R,,R,R,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c98b5978abc1a1b927ae616d8c9c053c
321-U1338A-14H-2-W 60/62-RADS25,321,U1338,A,14,14-2,H,2,W,60/62-RADS25,0,0,118.8,118.8,M,A,,,,,,,,,,,,R,,,,,C,R,R,R,R,,R,,R,R,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4a54025a465c3dd199fa80a22c536008
321-U1338A-14H-4-W 59/61-RADS26,321,U1338,A,14,14-4,H,4,W,59/61-RADS26,0,0,121.79,121.79,M,A,,,,,,,,,,,,R,,,,,C,R,R,,,,R,,R,R,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000697fd0606ceac29ba9453ce161af
321-U1338A-14H-CC-PAL,321,U1338,A,14,14-CC,H,CC,PAL,,0,0,126.8,126.8,M,A,,,,,,,,,,,,R,,,,,C,R,,,,,R,,,R,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba355a5cdfafb96ae2241fe9092fb87e
321-U1338A-15H-2-W 48/50-RADS58,321,U1338,A,15,15-2,H,2,W,48/50-RADS58,0,0,128.18,128.18,M,A,,,,,,,,,,,,R,,,,,,,,,,,R,,R,R,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71dadf36402ceb0a2a2de579b5e08b01
321-U1338A-15H-4-W 129/131-RADS62,321,U1338,A,15,15-4,H,4,W,129/131-RADS62,0,0,131.99,131.99,M,A,,,,,,,,,,,,,,,,,,R,R,,R,,R,R,R,R,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021bcd84a18103d0419ce3ec2aeca8f1
321-U1338A-15H-CC-PAL,321,U1338,A,15,15-CC,H,CC,PAL,,0,0,135.68,135.68,M,A,,,,,,,,,,,,,,,,,,R,,,R,,R,,R,R,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cb9c1fa87614d2edfe2aac04dd1d9b4e
321-U1338A-16H-2-W 29/31-RADS65,321,U1338,A,16,16-2,H,2,W,29/31-RADS65,0,0,137.49,137.49,M,A,,,,,,,,,,,,,,,,,,R,,R,R,,R,,R,R,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faa0b154794916fda55e45400b8050a0
321-U1338A-16H-4-W 30/32-RADS71,321,U1338,A,16,16-4,H,4,W,30/32-RADS71,0,0,140.5,140.5,M,A,,,,,,,,,,,,,,,,,,R,,,R,,R,,R,R,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635b1c5090a5ee8fbf2c5213d4d33552
321-U1338A-16H-CC-PAL,321,U1338,A,16,16-CC,H,CC,PAL,,0,0,145.69,145.69,M,A,,,,,,,,,,,,,,,,,,,,,R,,R,R,R,R,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f4ee313eaffb7b43fbcf92044b18f35f
321-U1338A-17H-2-W 77/79-RADS66,321,U1338,A,17,17-2,H,2,W,77/79-RADS66,0,0,147.47,147.47,M,A,,,,,,,,,,,,,,,,,,,R,R,R,,R,,R,R,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c6a4b8eb5d2267130809300e329102f9
321-U1338A-17H-4-W 28/30-RADS80,321,U1338,A,17,17-4,H,4,W,28/30-RADS80,0,0,149.98,149.98,M,A,,,,,,,,,,,,,,,,,,,,R,R,,R,,R,R,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73647de4943f72401a3a3d4e8f3a36b0
321-U1338A-17H-CC-PAL,321,U1338,A,17,17-CC,H,CC,PAL,,0,0,155.26,155.26,M,A,,,,,,,,,,,,,,,,,,,,,R,,R,,R,R,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eb8a03146313efbd3e7b667469791ef2
321-U1338A-18H-2-W 68/70-RADS22,321,U1338,A,18,18-2,H,2,W,68/70-RADS22,0,0,156.88,156.88,M,A,,,,,,,,,,,,,,,,,,,R,,,,R,,R,R,,R,,C,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9073983e3f7840628e66670c0b430263
321-U1338A-18H-4-W 69/71-RADS25,321,U1338,A,18,18-4,H,4,W,69/71-RADS25,0,0,159.89,159.89,M,A,,,,,,,,,,,,,,,,,,,,R,R,,R,,,R,,R,,C,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8e1ab3f542c093853ff2d543f8054a94
321-U1338A-18H-CC-PAL,321,U1338,A,18,18-CC,H,CC,PAL,,0,0,164.6,164.6,M,A,,,,,,,,,,,,,,,,,,R,R,,R,,R,,R,R,,R,,C,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36abc43098a1e26a14e2ac08f3b05585
321-U1338A-19H-2-W 59/61-RADS83,321,U1338,A,19,19-2,H,2,W,59/61-RADS83,0,0,166.29,166.29,M,A,,,,,,,,,,,,,,,,,,,R,,,,F,,R,R,,R,,C,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832b4699b79b32cadd83de44c754b2a7
321-U1338A-19H-4-W 63/64-RADS98,321,U1338,A,19,19-4,H,4,W,63/64-RADS98,0,0,169.33,169.33,M,A,,,,,,,,,,,,,,,,,,,,,R,,R,,R,R,,R,,C,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37a01dc3cf56e9f45243887cd4241560
321-U1338A-19H-CC-PAL,321,U1338,A,19,19-CC,H,CC,PAL,,0,0,173.79,173.79,M,A,,,,,,,,,,,,,,,,,,,R,R,R,,R,,R,R,,R,,C,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8a79309bfe69203a8776e6029350e82d
321-U1338A-20H-3-W 13/15-RADS84,321,U1338,A,20,20-3,H,3,W,13/15-RADS84,0,0,176.83,176.83,M,A,,,,,,,,,,,,,,,,,,,,,R,,R,,R,R,,R,,C,,F,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0f67050a3620d92a84577f67897641ba
321-U1338A-20H-5-W 11/13-RADS85,321,U1338,A,20,20-5,H,5,W,11/13-RADS85,0,0,179.81,179.81,M,A,,,,,,,,,,,,,,,,,,R,R,,R,,,,R,R,,R,,C,,F,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e5ffa393a8a393369eb6e9068c5ba9d0
321-U1338A-20H-CC-PAL,321,U1338,A,20,20-CC,H,CC,PAL,,0,0,183.71,183.71,G,A,,,,,,,,,,,,,,,,,,R,R,R,R,,,,,R,,R,,C,,R,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e73cda918d425d3ff37dbdc853cab15f
321-U1338A-21H-2-W 42/44-RADS30,321,U1338,A,21,21-2,H,2,W,42/44-RADS30,0,0,185.12,185.12,G,A,,,,,,,,,,,,,,,,,,R,R,R,R,,,,,R,,R,,C,,,F,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7e7aaf8eb6ee738d44db2f671383010e
321-U1338A-21H-5-W 52/54-RADS33,321,U1338,A,21,21-5,H,5,W,52/54-RADS33,0,0,189.72,189.72,M,A,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,R,,C,,,F,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ec1c6f524a7bc2d68a0052d8fd5afa0d
321-U1338A-21H-CC-PAL,321,U1338,A,21,21-CC,H,CC,PAL,,0,0,192.95,192.95,M,A,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,R,,C,,,F,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998a16e568808f34ec337e62406077ef
321-U1338A-22H-2-W 61/63-RADS30,321,U1338,A,22,22-2,H,2,W,61/63-RADS30,0,0,194.81,194.81,M,A,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,R,,C,,,F,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5338225973efda28fd39cc586cfcf4d8
321-U1338A-22H-5-W 53/55-FORAM33,321,U1338,A,22,22-5,H,5,W,53/55-FORAM33,0,0,199.23,199.23,M,A,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,R,,C,,,F,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000b6efca6eeaf484a35b8e32675d569
321-U1338A-22H-CC-PAL,321,U1338,A,22,22-CC,H,CC,PAL,,0,0,202.58,202.58,M,A,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,R,,C,,,F,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c75fed34e83eef7422c28638251dc55b
321-U1338A-23H-2-W 22/24-RADS90,321,U1338,A,23,23-2,H,2,W,22/24-RADS90,0,0,203.92,203.92,M,A,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,C,,,F,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7496f352997d1a29c82353906be4ad87
321-U1338A-23H-5-W 108/110-RADS91,321,U1338,A,23,23-5,H,5,W,108/110-RADS91,0,0,209.28,209.28,M,A,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,R,,C,,,F,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9fd13903d041946cf34457522503778a
321-U1338A-23H-CC-PAL,321,U1338,A,23,23-CC,H,CC,PAL,,0,0,212.16,212.16,M,A,,,,,,,,,,,,,,,,,,,R,R,R,,,,,,,R,,C,,,F,R,R,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160dc11bf3f80d7d731687db32403d5a
321-U1338A-24H-2-W 42/44-RADS45,321,U1338,A,24,24-2,H,2,W,42/44-RADS45,0,0,213.62,213.62,M,A,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,F,,,F,R,R,R,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3861651270617a9619ca96adc73d1ab0
321-U1338A-24H-5-W 133/135-RADS44,321,U1338,A,24,24-5,H,5,W,133/135-RADS44,0,0,219.03,219.03,M,A,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,R,,F,,,F,R,R,R,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148cb83229aae6d3e7fe218d1e46042e
321-U1338A-24H-CC-PAL,321,U1338,A,24,24-CC,H,CC,PAL,,0,0,221.64,221.64,M,A,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,R,,F,,,F,R,R,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6dd61273889dabab44646f6e7ef55bdf
