Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Sphenolithus moriformis	Reticulofenestra umbilica	Reticulofenestra samodurovii	Reticulofenestra onusta	Neococcolithes dubius	Markalius inversus	Discoaster bifax	Discoaster barbadiensis	Coccolithus pelagicus	Coccolithus formosus	Chiasmolithus solitus	Chiasmolithus expansus	Chiasmolithus altus	Discoaster spp.	Discoaster saipanensis	Cyclicargolithus floridanus	Blackites spinosus	Reticulofenestra daviesii	Reticulofenestra reticulata	Chiasmolithus grandis	Lanternithus minutus	Helicosphaera spp.	Clausicoccus fenestratus	Thoracosphaera spp.	Discoaster tanii	Discoaster deflandrei	Sphenolithus radians	Reticulofenestra bisecta	Chiasmolithus oamaruensis	Isthmolithus recurvus	Pyrocyclus orangensis	Reticulofenestra bisecta filewiczii	Pontosphaera sp.	Reticulofenestra oamaruensis	Bicolumnus ovatus	Pontosphaera multipora	Sphenolithus ciperoensis	Helicosphaera recta	Cyclicargolithus abisectus	Helicosphaera euphratis	Braarudosphaera bigelowii	Helicosphaera compacta	Discoaster variabilis	Calcidiscus macintyrei	Reticulofenestra producta	Calcidiscus leptoporus	Reticulofenestra hesslandii	Reticulofenestra gelida	Reticulofenestra perplexa	Comment

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 12	R	 6	  52.00	    329.1200	Wei      	Nannofossils                                 	V              	M                 	R                      	R                      	                         	                            	                       	                     	                  	                	                       	C                    	                    	                     	                      	A                  	R              	                      	A                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	C                       	                         	                     	                     	C                                  	                	                            	                 	                      	                        	                   	F                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 12	R	CC	  10.00	    329.9700	Wei      	Nannofossils                                 	A              	G                 	                       	R                      	                         	                            	                       	                     	                  	                	                       	C                    	                    	                     	                      	C                  	               	                      	A                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	C                       	                         	                     	                     	F                                  	                	                            	                 	                      	                        	                   	C                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 13	R	 1	  43.00	    331.2300	Wei      	Nannofossils                                 	V              	G                 	R                      	R                      	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	A                  	               	                      	A                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	A                       	                         	                     	                     	A                                  	                	                            	R                	                      	                        	                   	F                         	                       	                         	                      	R                    	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 13	R	 2	  44.00	    332.7400	Wei      	Nannofossils                                 	V              	G                 	                       	R                      	                         	                            	                       	                     	                  	                	                       	C                    	                    	                     	                      	A                  	R              	                      	A                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	C                       	                         	                     	                     	C                                  	                	                            	R                	                      	                        	                   	C                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 13	R	 4	  45.00	    335.7500	Wei      	Nannofossils                                 	V              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	A                  	R              	                      	A                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	F                       	                         	                     	                     	C                                  	                	                            	                 	                      	                        	                   	R                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 13	R	CC	  10.00	    336.1600	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	C                    	                    	                     	                      	A                  	               	                      	A                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	R                    	                    	F                       	                         	                     	                     	C                                  	                	                            	                 	                      	                        	                   	C                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 14	R	 1	  45.00	    340.8500	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	A                  	               	                      	A                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	C                       	                         	                     	                     	C                                  	                	                            	                 	                      	                        	                   	R                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 14	R	 3	  45.00	    343.8500	Wei      	Nannofossils                                 	V              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	C                    	                    	                     	                      	C                  	               	                      	A                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	R                       	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	F                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 14	R	 4	  45.00	    345.3500	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	C                    	                    	                     	                      	C                  	               	                      	A                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	F                       	                         	                     	                     	R                                  	                	                            	                 	                      	                        	                   	F                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 14	R	 5	  45.00	    346.8500	Wei      	Nannofossils                                 	A              	M                 	F                      	R                      	                         	                            	                       	                     	                  	                	                       	C                    	                    	                     	                      	C                  	               	                      	A                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	F                       	                         	                     	                     	C                                  	                	                            	                 	                      	                        	                   	C                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 14	R	CC	  10.00	    348.1300	Wei      	Nannofossils                                 	A              	G                 	                       	R                      	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	C                  	               	                      	F                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	F                       	                         	                     	                     	F                                  	                	                            	                 	                      	                        	                   	F                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 15	R	 1	  45.00	    350.5500	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	A                  	               	                      	A                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	C                       	                         	                     	                     	C                                  	                	                            	                 	                      	                        	                   	C                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 15	R	 2	  45.00	    352.0500	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	A                  	               	                      	A                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	C                       	                         	                     	                     	F                                  	                	                            	                 	                      	                        	                   	F                         	R                      	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 15	R	 3	  45.00	    353.5500	Wei      	Nannofossils                                 	A              	G                 	R                      	                       	                         	                            	                       	                     	                  	                	                       	C                    	                    	                     	                      	A                  	               	                      	A                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	C                       	                         	                     	                     	C                                  	                	                            	                 	                      	                        	                   	C                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 15	R	 4	  45.00	    355.0500	Wei      	Nannofossils                                 	A              	G                 	                       	R                      	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	A                  	               	                      	A                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	C                       	                         	                     	                     	C                                  	                	                            	                 	                      	                        	                   	F                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 15	R	 5	  45.00	    356.5500	Wei      	Nannofossils                                 	A              	G                 	                       	R                      	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	A                  	               	                      	R                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	C                       	                         	                     	                     	F                                  	                	                            	                 	                      	                        	                   	F                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 15	R	CC	  13.00	    356.9100	Wei      	Nannofossils                                 	A              	G                 	                       	R                      	                         	                            	                       	                     	                  	                	                       	C                    	                    	                     	                      	C                  	               	                      	F                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	C                       	                         	                     	                     	C                                  	                	                            	                 	R                     	R                       	                   	F                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 16	R	 1	  44.00	    360.2400	Wei      	Nannofossils                                 	A              	G                 	                       	R                      	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	A                  	R              	                      	C                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	R                       	                         	                     	                     	C                                  	                	                            	                 	                      	                        	                   	F                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 16	R	 2	  44.00	    361.7400	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	C                    	                    	                     	                      	C                  	               	                      	F                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	C                       	                         	                     	                     	C                                  	                	                            	                 	                      	                        	                   	F                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 16	R	 3	  44.00	    363.2400	Wei      	Nannofossils                                 	A              	G                 	R                      	                       	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	A                  	               	                      	A                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	A                       	                         	                     	                     	C                                  	                	                            	R                	                      	                        	                   	A                         	R                      	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 16	R	 4	  44.00	    364.7400	Wei      	Nannofossils                                 	A              	G                 	                       	R                      	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	A                  	               	                      	A                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	C                       	                         	                     	                     	C                                  	                	                            	                 	                      	                        	                   	C                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 16	R	CC	  10.00	    365.0100	Wei      	Nannofossils                                 	A              	G                 	                       	R                      	                         	                            	                       	                     	                  	                	                       	C                    	                    	                     	                      	C                  	               	                      	C                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	C                       	                         	                     	                     	C                                  	                	                            	                 	                      	                        	                   	A                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 17	R	 1	 120.00	    370.6000	Wei      	Nannofossils                                 	A              	G                 	                       	R                      	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	A                  	R              	                      	F                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	A                       	                         	                     	                     	F                                  	                	                            	                 	                      	                        	                   	F                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 17	R	 2	  63.00	    371.5300	Wei      	Nannofossils                                 	A              	G                 	                       	R                      	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	A                  	               	                      	A                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	A                       	                         	                     	                     	C                                  	                	                            	                 	                      	                        	                   	C                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 17	R	 3	  22.00	    372.6200	Wei      	Nannofossils                                 	A              	G                 	R                      	R                      	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	A                  	               	                      	C                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	A                       	                         	                     	                     	F                                  	                	                            	                 	                      	                        	                   	A                         	R                      	                         	                      	R                    	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 17	R	 4	  36.00	    374.2600	Wei      	Nannofossils                                 	A              	G                 	R                      	                       	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	C                  	               	                      	A                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	C                       	                         	                     	                     	F                                  	                	                            	                 	R                     	                        	                   	C                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 17	R	CC	   5.00	    374.7400	Wei      	Nannofossils                                 	A              	G                 	                       	R                      	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	C                  	               	                      	A                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	C                       	                         	                     	R                    	A                                  	                	                            	                 	                      	                        	                   	A                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 18	R	 1	   8.00	    379.1800	Wei      	Nannofossils                                 	A              	G                 	R                      	R                      	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	C                  	R              	                      	C                          	                  	C                        	                           	                     	                    	                  	                        	                   	                	                     	                    	C                       	                         	                     	                     	F                                  	                	                            	                 	                      	                        	                   	C                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 18	R	CC	  18.00	    382.8000	Wei      	Nannofossils                                 	A              	G                 	                       	R                      	                         	                            	                       	                     	                  	                	                       	C                    	                    	                     	                      	C                  	               	                      	F                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	C                       	                         	                     	                     	C                                  	                	                            	                 	R                     	                        	                   	F                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 19	R	 1	 101.00	    389.7100	Wei      	Nannofossils                                 	A              	G                 	                       	R                      	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	A                  	R              	                      	F                          	                  	C                        	                           	                     	                    	                  	                        	                   	                	                     	                    	C                       	                         	                     	                     	F                                  	                	                            	                 	                      	                        	                   	F                         	R                      	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 19	R	 2	  23.00	    390.4300	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	A                  	R              	                      	F                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	C                       	                         	                     	                     	F                                  	                	                            	                 	                      	                        	                   	F                         	R                      	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 19	R	 3	  34.00	    392.0400	Wei      	Nannofossils                                 	A              	G                 	R                      	                       	                         	                            	                       	                     	                  	                	                       	C                    	                    	                     	                      	A                  	               	                      	F                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	A                       	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	C                         	R                      	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.
