Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Sphenolithus moriformis	Sphenolithus intercalaris	Rhabdosphaera tenuis	Reticulofenestra umbilica	Reticulofenestra samodurovii	Reticulofenestra minutula	Pedinocyclus larvalis	Helicosphaera wilcoxonii	Helicosphaera euphratis	Helicosphaera compacta	Discoaster saipanensis	Discoaster barbadiensis	Dictyococcites bisectus	Cyclicargolithus floridanus	Cribrocentrum reticulatum	Coronocyclus nitescens	Coccolithus pelagicus	Coccolithus miopelagicus	Coccolithus formosus	Clausicoccus fenestratus	Chiasmolithus titus	Calcidiscus protoannulus	Bramletteius serraculoides	Braarudosphaera bigelowii	Bicolumnus ovatus	Sphenolithus radians	Rhabdosphaera crebra	Pontosphaera scissura	Pontosphaera ovata	Helicosphaera bramlettei	Discoaster tanii ssp. indet.	Discoaster nodifer	Discoaster deflandrei	Dictyococcites daviesii	Cyclicargolithus luminis	Pyrocyclus hermosus	Isthmolithus recurvus	Helicosphaera reticulata	Chiasmolithus oamaruensis	Braarudosphaera discula	Chiasmolithus grandis	Sphenolithus pseudoradians	Discoaster tanii ornatus	Sphenolithus predistentus	Pemma papillatum	Micrantholithus flos	Micrantholithus aequalis	Sphenolithus predistentus/distentus intergrade	Micrantholithus truncus	Cyclicargolithus abisectus	Chiasmolithus altus	Sphenolithus distentus	Sphenolithus dissimilis	Triquetrorhabdulus carinatus	Sphenolithus ciperoensis	Peritrachelina joidesa	Helicosphaera recta	Pyrocyclus orangensis	Triquetrorhabdulus milowii	Syracosphaera sp.	Sphenolithus sp. cf. S. capricornutus	Helicosphaera perch-nielseniae	Hayaster perplexus	Scyphosphaera spp.	Ilselithina fusa	Sphenolithus belemnos	Helicosphaera carteri	Cryptococcolithus takayamae	Calcidiscus tropicus	Sphenolithus heteromorphus	Reticulofenestra minuta	Discoaster druggii	Umbilicosphaera sibogae	Calcidiscus leptoporus	Discoaster variabilis	Pontosphaera spp.	Calcidiscus premacintyrei	Pontosphaera multipora	Helicosphaera ampliaperta	Geminilithella rotula	Discoaster signus	Solidopons petrae	Rhabdosphaera procera	Pontosphaera discopora	Discoaster musicus	Triquetrorhabdulus rugosus	Reticulofenestra pseudoumbilicus	Helicosphaera walbersdorfensis	Hayella aperta	Discoaster brouweri	Triquetrorhabdulus auritus	Syracosphaera spp.	Holodiscolithus macroporus	Discoaster bollii	Catinaster coalitus	Discoaster pseudovariabilis	Discoaster kugleri	Holodiscolithus solidus	Calcidiscus macintyrei	Sphenolithus abies	Lithostromation perdurum	Discoaster hamatus	Catinaster calyculus	Helicosphaera stalis	Helicosphaera orientalis	Discoaster bellus	Minylitha convallis	Discoaster prepentaradiatus	Discoaster neohamatus	Triquetrorhabdulus extensus	Discoaster pentaradiatus	Discoaster loeblichii	Discoaster quinqueramus	Discoaster bergenii	Discoaster surculus	Scapholithus fossilis	Amaurolithus primus	Reticulofenestra rotaria	Amaurolithus delicatus	Amaurolithus amplificus	Discoaster asymmetricus	Amaurolithus tricorniculatus	Amaurolithus ninae	Comment

  SR	Late Miocene     	                 	CN9b              	              	157	 950	A	 25	X	 1	  41.50	    217.6150	Howe     	Nannofossils                                 	H              	M-G               	                       	                       	                         	                    	                         	                            	A                        	                     	                        	                       	                      	                      	                       	                       	                           	                         	                      	C                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	F                    	                           	                    	                          	A                      	                  	                       	R                     	C                    	                 	                         	                      	                         	F                    	                 	                 	R                    	S                     	                  	R                         	C                               	                              	              	F                  	                          	                  	                          	                 	                   	                           	                  	                       	F                     	F                 	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	R                       	                     	C                      	                   	R                  	                     	                   	F                       	R                     	R                      	                       	                            	                  	From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN9b              	              	157	 950	A	 25	X	 2	 114.00	    219.8400	Howe     	Nannofossils                                 	H              	M-G               	                       	                       	                         	                    	                         	                            	A                        	                     	                        	                       	                      	                      	                       	                       	R                          	                         	                      	C                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	F                    	                           	F                   	                          	C                      	                  	                       	F                     	C                    	                 	                         	S                     	                         	F                    	                 	                 	F                    	R                     	                  	R                         	A                               	                              	              	C                  	                          	                  	                          	                 	                   	                           	                  	                       	R                     	F                 	                        	                  	                    	                    	                        	                 	S                  	                           	                     	                           	R                       	                     	F                      	R                  	R                  	                     	                   	R                       	                      	                       	                       	                            	                  	Single Paleogene reworking.From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN9b              	              	157	 950	A	 25	X	 3	  49.00	    220.6900	Howe     	Nannofossils                                 	M-H            	M                 	                       	                       	                         	                    	                         	                            	A                        	                     	                        	                       	                      	                      	                       	                       	R                          	                         	                      	C                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	R                 	                	                     	F                    	                           	F                   	                          	C                      	                  	                       	F                     	C                    	                 	                         	R                     	                         	F                    	                 	                 	F                    	R                     	                  	R                         	C                               	                              	              	F                  	                          	                  	                          	                 	                   	                           	                  	                       	F                     	F                 	                        	                  	                    	                    	                        	                 	S                  	                           	                     	                           	R                       	                     	R                      	                   	S                  	S                    	                   	                        	                      	                       	                       	                            	                  	Rare Paleogene reworking.From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN9b              	              	157	 950	A	 25	X	 6	  97.00	    225.6700	Howe     	Nannofossils                                 	L-M            	P-M               	                       	                       	                         	                    	                         	                            	C                        	                     	                        	                       	                      	                      	                       	                       	                           	                         	                      	F                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	R                  	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	R                    	R                          	R                   	                          	C                      	                  	                       	F                     	F                    	                 	                         	S                     	                         	F                    	                 	                 	R                    	S                     	                  	                          	F                               	                              	              	R                  	                          	                  	                          	                 	                   	                           	                  	                       	R                     	R                 	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	R                       	S                    	R                      	                   	                   	                     	S                  	F                       	S                     	                       	                       	                            	                  	From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN9b              	              	157	 950	A	 26	X	 2	  80.00	    229.1000	Howe     	Nannofossils                                 	H              	M-G               	                       	                       	                         	                    	                         	                            	A                        	                     	                        	                       	                      	                      	                       	                       	R                          	                         	                      	C                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	F                    	                           	R                   	                          	A                      	                  	                       	F                     	C                    	                 	                         	R                     	                         	C                    	                 	                 	F                    	                      	                  	                          	F                               	                              	              	F                  	                          	                  	                          	                 	                   	                           	                  	                       	F                     	F                 	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	R                       	                     	F                      	C                  	R                  	                     	                   	F                       	S                     	                       	                       	                            	                  	Single Paleogene reworking.From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN9b              	              	157	 950	A	 26	X	 3	 107.00	    230.8700	Howe     	Nannofossils                                 	M-H            	M-G               	                       	                       	                         	                    	                         	                            	C                        	                     	                        	R                      	                      	                      	                       	                       	R                          	                         	                      	C                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	F                    	                           	F                   	                          	C                      	                  	                       	R                     	F                    	                 	                         	R                     	                         	C                    	                 	                 	F                    	                      	                  	                          	F                               	                              	              	F                  	                          	                  	                          	                 	                   	                           	                  	                       	R                     	F                 	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	R                       	                     	R                      	F                  	R                  	                     	                   	R                       	S                     	                       	                       	                            	                  	Rare Cretaceous &  single Paleogene reworking.From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN9b              	              	157	 950	A	 26	X	 4	  14.00	    231.4400	Howe     	Nannofossils                                 	H              	M-G               	                       	                       	                         	                    	                         	                            	C                        	                     	                        	R                      	                      	                      	                       	                       	                           	                         	                      	C                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	F                    	R                          	F                   	                          	C                      	                  	                       	F                     	C                    	                 	S                        	R                     	                         	C                    	                 	                 	F                    	                      	                  	S                         	F                               	                              	              	F                  	                          	                  	                          	                 	                   	                           	                  	                       	F                     	F                 	                        	                  	                    	                    	                        	S                	                   	S                          	                     	                           	R                       	                     	F                      	F                  	S                  	                     	                   	R                       	                      	                       	                       	                            	                  	Single Creatceous & Paleogene reworking.From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN9b              	              	157	 950	A	 26	X	 4	  92.00	    232.2200	Howe     	Nannofossils                                 	M-H            	P-M               	                       	                       	                         	                    	                         	                            	C                        	                     	                        	                       	                      	                      	                       	                       	R                          	                         	                      	C                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	F                    	R                          	F                   	                          	C                      	                  	                       	F                     	F                    	                 	                         	R                     	                         	R                    	                 	                 	R                    	                      	                  	R                         	F                               	                              	              	F                  	                          	                  	                          	                 	                   	                           	                  	                       	                      	F                 	                        	                  	                    	                    	                        	                 	S                  	                           	                     	                           	R                       	S                    	R                      	                   	                   	                     	S                  	                        	                      	                       	                       	                            	                  	Rare Paleogene reworking.From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN9a              	              	157	 950	A	 26	X	 5	  95.50	    233.7550	Howe     	Nannofossils                                 	H              	M-G               	                       	                       	                         	                    	                         	                            	A                        	                     	                        	                       	                      	                      	                       	                       	                           	                         	                      	C                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	F                    	                           	F                   	S                         	C                      	                  	                       	C                     	C                    	                 	                         	                      	                         	F                    	                 	                 	R                    	S                     	                  	R                         	F                               	                              	              	C                  	                          	                  	                          	                 	                   	                           	                  	                       	F                     	F                 	                        	                  	                    	                    	                        	                 	R                  	                           	                     	                           	F                       	                     	F                      	R                  	                   	S                    	                   	                        	                      	                       	                       	                            	                  	Rare Paleogene reworking.From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN9a              	              	157	 950	A	 26	X	 6	  64.50	    234.9450	Howe     	Nannofossils                                 	M              	M                 	                       	                       	                         	                    	                         	                            	C                        	                     	                        	R                      	                      	                      	                       	                       	                           	                         	                      	C                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	S                 	                	                     	F                    	R                          	F                   	                          	C                      	                  	R                      	F                     	C                    	                 	                         	R                     	                         	F                    	                 	                 	R                    	S                     	                  	S                         	R                               	                              	              	F                  	                          	                  	                          	                 	                   	                           	                  	                       	                      	F                 	                        	                  	                    	                    	                        	                 	S                  	                           	                     	                           	F                       	                     	F                      	F                  	?R                 	                     	                   	                        	                      	                       	                       	                            	                  	Single Cretaceous & rare Paleogene reworking.From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN9a              	              	157	 950	A	 27	X	 3	  23.00	    239.7300	Howe     	Nannofossils                                 	M-H            	M                 	                       	                       	                         	                    	                         	                            	C                        	                     	                        	                       	                      	                      	                       	                       	                           	                         	                      	C                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	F                    	                           	F                   	                          	A                      	                  	                       	F                     	C                    	                 	                         	R                     	                         	F                    	                 	                 	                     	                      	                  	S                         	R                               	                              	              	C                  	                          	                  	                          	                 	                   	R                          	                  	                       	R                     	F                 	                        	                  	                    	                    	                        	                 	F                  	                           	                     	                           	R                       	                     	R                      	R                  	                   	                     	                   	                        	                      	                       	                       	                            	                  	Rare Cretaceous & single Paleogene reworking.From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN8b              	              	157	 950	A	 27	X	 4	  70.00	    241.7000	Howe     	Nannofossils                                 	M-H            	M-G               	                       	                       	                         	                    	                         	                            	A                        	                     	                        	R                      	                      	                      	                       	                       	                           	                         	                      	C                    	R                       	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	R                  	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	C                    	F                          	F                   	                          	A                      	                  	                       	F                     	C                    	                 	                         	                      	                         	C                    	                 	                 	F                    	                      	                  	R                         	F                               	                              	              	C                  	                          	                  	                          	                 	                   	                           	                  	                       	R                     	F                 	                        	                  	                    	                    	                        	                 	C                  	                           	S                    	                           	R                       	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN8b              	              	157	 950	A	 27	X	 6	  17.50	    244.1750	Howe     	Nannofossils                                 	M-H            	M-G               	                       	                       	                         	                    	                         	                            	C                        	                     	                        	R                      	                      	                      	                       	                       	                           	                         	                      	C                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	F                    	                           	F                   	                          	A                      	                  	R                      	R                     	C                    	                 	                         	                      	                         	C                    	                 	                 	R                    	R                     	                  	R                         	F                               	                              	              	C                  	                          	                  	                          	R                	                   	                           	                  	                       	                      	F                 	                        	                  	                    	                    	                        	                 	C                  	                           	F                    	                           	F                       	R                    	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN8b              	              	157	 950	A	 27	X	 6	  47.00	    244.4700	Howe     	Nannofossils                                 	M-H            	M                 	                       	                       	                         	                    	                         	                            	A                        	                     	                        	R                      	                      	                      	                       	                       	                           	                         	                      	C                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	R                  	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	F                    	R                          	F                   	                          	A                      	                  	                       	F                     	C                    	                 	                         	F                     	                         	C                    	                 	                 	F                    	R                     	                  	R                         	C                               	                              	              	C                  	                          	S                 	                          	                 	                   	                           	                  	                       	                      	F                 	                        	R                 	                    	                    	                        	F                	C                  	F                          	F                    	                           	F                       	F                    	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	Few Cretaceous & rare Paleogene reworking.From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN8b              	              	157	 950	A	 27	X	CC	  32.00	    246.2800	Howe     	Nannofossils                                 	M-H            	M                 	                       	                       	                         	                    	                         	                            	C                        	                     	                        	                       	                      	                      	                       	                       	                           	                         	                      	F                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	R                    	S                          	R                   	                          	C                      	                  	                       	R                     	C                    	R                	                         	R                     	                         	                     	                 	                 	F                    	                      	                  	                          	F                               	                              	              	F                  	                          	                  	                          	                 	                   	                           	                  	                       	                      	F                 	                        	                  	                    	S                   	                        	                 	F                  	                           	                     	                           	R                       	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	From SR. Ch 29. Table 1.
