Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina ecuadorensis,Triloculina sp.,Stichocassidulina thalmanni,Oridorsalis umbonatus,Haplophragmoides sp.,Hansenisca multilocula,Globocassidulina sublaevigata,Globocassidulina subglobosa,Globocassidulina globosa,Globobulimina diversa,Fursenkoina nuda,Eponides sp. (small),Dorothia asiphonia,Cyclammina simiensis,Cibicides sp.,Buliminella mirifica,Bulimina peruviana,Bulimina chirana,Buccella sp.,Brizalina sp.,Bolivinellina basisenta,Bolivina maculata,Bathysiphon eocenica,Amphimorphina stainforthi,Alabamina atlantisae,Unilocular species,Spirolocammina tenuis,Quinqueloculina sp.,Plectofrondicularia vaughni,Nodosaria longiscata,Gyroidina sp.,Asterigerina crassaformis,Anomalinoides alazanensis,Valvulineria peruviana,Uvigerina peruviana,Stilostomella sp.,Plectofrondicularia spp.,Nodogenerina sp.,Gyroidina perampla,Cibicidoides spp.,Cibicidoides perlucidus,Cibicidoides martinezensis,Bulimina stalacta,Bulimina alazanensis,Anomalinoides pompiloides,Nonionella sp. cf. N.ecuadorana,Buliminella peruviana,Buliminella chirana,Vaginulina elegans mexicana,Uvigerina mexicana,Uvigerina gallowayi basicordata,Uvigerina auberiana,Sphaeroidina chilostoma,Sigmomorphina trinitatensis,Robulus spp.,Robulus cristobalensis,Robulus americanus,Pullenia bulloides,Pseudoclavulina bullbrooki,Plectofrondicularia sp.,Osangularia interrupta,Melonis sp. cf. N.pompilioides,Lenticulina subpapillosa,Heterolepa(?) crebbsi,Hansenisca altiformis,Guttulina irregularis,Buliminella cf. curta,Bulimina bleeckeri,Brizalina pisciformis,Brizalina mantaensis,Bathysiphon sp. ,Amphicoryina sp. A,Alabamina polita,Uvigerina rustica,Uvigerina mantaensis,Uvigerina gallowayi,Siphonodosaria paucistriata,Robulus sp.,Plectofrondicularia californica,Plectofrondicularia advena,Planulina renzi,Cibicidoides compressus,Buliminella curta,Bulimina alligata,Amphimorphina sp.,Uvigerina hispidocostata,Rotorbinella garveyensis,Pseudoparrella subperuviana,Hansenisca zealandica,Gyroidina lamarckiana,Epistominella smithi,Eilohedra levicula,Cassidulina cushmani,Buliminella elegantissima limbosa,Bulimina elongata,Bolivinellina seminuda var.,Valvulineria compressa,Bolivinita minuta,Bolivinellina ecuadorana,Bolivina vaughani,Ambitropus thalmanni,Fontbotia wuellerstorfi,Buliminella subfusiformis,Bolivina sinuata,Uvigerina peregrina dirupta,Uvigerina marksi,Bulimina hebespinata,Bolivinellina sp.,Buccella oregonensis,Brizalina imbricata,Planulina ornata,Nonionella ecuadorana,Lagenoglandulina sp.,Galliherina uvigerinaformis charapotoensis,Holmanella sp. cf. D.valmonteensis Kleinpell,Bolivina decussata,Bolivina costata,Bolivinellina foraminata,Nodosaria consobrina,Fursenkoina restinensis,Bolivina sinuata alisoensis,Bolivina granti,Stilostomella fistuca,Sphaeroidina bulloides,Pleurostomella alternans,Melonis pompilioides,Melonis affinis,Cassidulinoides bradyi,Bulimina exilis tenuata,Bolivinellina goudkoffi,Bolivinellina girardensis,Bolivinellina californica,Anomalinoides sp.,Triloculina trigonula,Pullenia quinqueloba,Martinottiella communis,Globocassidulina depressa,Eggerella bradyi,Cassidelina complanata,Uvigerina senticosa,Globobulimina pacifica,Bulimina striata mexicana,Pyrgo murrhyna,Pseudoparrella  exigua,Nonionella auris,Hoeglundina elegans,Fursenkoina glabra,Eponides tumidulus,Ehrenbergina trigona,Bolivinellina pacifica,Astrononion schwageri,Parrelloides bradyi,Globobulimina affinis,Bolivinellina humilis,Nodosaria calomorpha,Gyroidina turgida,Comment
  SR,Late Miocene     ,                 ,                  ,              ,112, 682,A, 16,X,CC,  23.00,    143.3400,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,                           ,                     ,                    ,3                     ,                             ,                           ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,                         ,                    ,                  ,                     ,                   ,                           ,                    ,             ,                         ,                         ,                      ,                   ,                 ,                        ,                ,                  ,                 ,                       ,                          ,                 ,                    ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,                   ,                       ,                           ,            ,                      ,                  ,                  ,                          ,                       ,                      ,                              ,                        ,                     ,                     ,                     ,                     ,                  ,                     ,                    ,                ,                  ,                ,                 ,                    ,                   ,                           ,T          ,                               ,                          ,               ,                       ,                 ,                 ,                 ,                        ,                        ,4                          ,                     ,                     ,19                  ,1                 ,                    ,                                 ,                 ,15                         ,                      ,                 ,                        ,12               ,22                  ,                       ,34                       ,                ,                           ,3               ,                    ,                 ,                    ,                   ,                ,                     ,                    ,                                          ,                                            ,T                 ,                ,5                       ,                    ,                       ,                           ,               ,                     ,                      ,                        ,                    ,               ,                      ,                       ,                       ,                         ,                         ,                 ,                     ,                    ,                       ,                         ,                ,                      ,                   ,                      ,                         ,              ,                      ,                ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,count=318 from ODP Leg 112 SR Chapter 16 Table 8 p 287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,112, 682,A, 17,X,CC,  27.00,    154.0700,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,                           ,                     ,                    ,T                     ,                             ,1                          ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,1                        ,                    ,1                 ,                     ,                   ,                           ,                    ,             ,                         ,                         ,                      ,                   ,                 ,T                       ,1               ,                  ,                 ,                       ,                          ,                 ,                    ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,2                  ,                       ,                           ,            ,                      ,                  ,                  ,                          ,                       ,                      ,                              ,                        ,                     ,                     ,                     ,                     ,                  ,                     ,                    ,                ,                  ,                ,                 ,24                  ,                   ,                           ,           ,1                              ,                          ,               ,                       ,                 ,                 ,                 ,                        ,4                       ,9                          ,                     ,                     ,25                  ,2                 ,5                   ,4                                ,                 ,T                          ,1                     ,                 ,T                       ,1                ,T                   ,                       ,14                       ,5               ,3                          ,                ,                    ,                 ,T                   ,                   ,1               ,                     ,T                   ,                                          ,                                            ,T                 ,1               ,                        ,                    ,                       ,                           ,               ,                     ,                      ,                        ,                    ,               ,                      ,                       ,                       ,                         ,                         ,                 ,                     ,                    ,                       ,                         ,                ,                      ,                   ,                      ,                         ,              ,                      ,                ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,count=211 from ODP Leg 112 SR Chapter 16 Table 8 p 287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,112, 682,A, 18,X,CC,  25.00,    164.5700,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,                           ,                     ,                    ,                      ,                             ,                           ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,10                       ,                    ,2                 ,                     ,                   ,                           ,                    ,             ,                         ,                         ,                      ,                   ,                 ,                        ,T               ,                  ,                 ,                       ,                          ,                 ,                    ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,                   ,                       ,                           ,            ,                      ,                  ,                  ,                          ,                       ,                      ,                              ,                        ,                     ,T                    ,                     ,                     ,                  ,                     ,                    ,                ,                  ,                ,                 ,4                   ,                   ,                           ,           ,T                              ,                          ,               ,                       ,                 ,                 ,5                ,                        ,2                       ,6                          ,                     ,                     ,5                   ,                  ,2                   ,12                               ,                 ,                           ,4                     ,                 ,6                       ,1                ,4                   ,                       ,12                       ,2               ,3                          ,                ,                    ,                 ,T                   ,                   ,T               ,                     ,                    ,                                          ,T                                           ,                  ,                ,                        ,                    ,                       ,                           ,               ,                     ,                      ,                        ,                    ,               ,                      ,                       ,                       ,                         ,                         ,                 ,                     ,                    ,                       ,                         ,                ,                      ,                   ,                      ,                         ,              ,                      ,                ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,count=192 from ODP Leg 112 SR Chapter 16 Table 8 p 287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,112, 682,A, 19,X,CC,  13.00,    172.0500,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,                           ,                     ,                    ,                      ,                             ,                           ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,                         ,                    ,                  ,                     ,                   ,                           ,                    ,             ,                         ,                         ,                      ,                   ,                 ,                        ,T               ,                  ,                 ,                       ,                          ,                 ,                    ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,                   ,                       ,                           ,            ,                      ,                  ,                  ,                          ,                       ,                      ,                              ,                        ,                     ,                     ,                     ,                     ,                  ,                     ,                    ,                ,                  ,                ,                 ,1                   ,                   ,                           ,           ,T                              ,                          ,               ,                       ,                 ,                 ,T                ,                        ,1                       ,5                          ,                     ,                     ,1                   ,                  ,3                   ,21                               ,                 ,                           ,9                     ,                 ,11                      ,26               ,1                   ,                       ,8                        ,1               ,T                          ,1               ,T                   ,                 ,T                   ,3                  ,T               ,1                    ,T                   ,3                                         ,                                            ,                  ,                ,                        ,                    ,                       ,                           ,               ,                     ,                      ,                        ,                    ,               ,                      ,                       ,                       ,                         ,                         ,                 ,                     ,                    ,                       ,                         ,                ,                      ,                   ,                      ,                         ,              ,                      ,                ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,count=163 from ODP Leg 112 SR Chapter 16 Table 8 p 287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,112, 682,A, 20,X,CC,  22.00,    183.5400,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,                           ,                     ,                    ,                      ,                             ,                           ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,                         ,                    ,                  ,                     ,                   ,                           ,                    ,             ,                         ,                         ,                      ,                   ,                 ,                        ,1               ,                  ,                 ,                       ,                          ,                 ,                    ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,1                  ,                       ,                           ,            ,                      ,                  ,                  ,                          ,                       ,                      ,                              ,                        ,                     ,1                    ,                     ,                     ,                  ,                     ,                    ,                ,                  ,                ,                 ,1                   ,                   ,                           ,           ,                               ,T                         ,               ,                       ,                 ,                 ,38               ,4                       ,2                       ,5                          ,                     ,                     ,3                   ,                  ,3                   ,14                               ,                 ,3                          ,1                     ,T                ,1                       ,7                ,T                   ,                       ,12                       ,                ,                           ,                ,                    ,                 ,                    ,                   ,4               ,                     ,                    ,                                          ,                                            ,                  ,                ,                        ,                    ,                       ,                           ,               ,                     ,                      ,                        ,                    ,               ,                      ,                       ,                       ,                         ,                         ,                 ,                     ,                    ,                       ,                         ,                ,                      ,                   ,                      ,                         ,              ,                      ,                ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,count=160 from ODP Leg 112 SR Chapter 16 Table 8 p 287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,112, 682,A, 22,X,CC,  19.00,    202.2800,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,                           ,                     ,                    ,                      ,                             ,                           ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,T                        ,                    ,T                 ,                     ,                   ,                           ,                    ,             ,                         ,                         ,                      ,                   ,                 ,                        ,                ,                  ,                 ,                       ,                          ,                 ,                    ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,                   ,                       ,                           ,            ,                      ,                  ,                  ,                          ,                       ,                      ,                              ,                        ,                     ,1                    ,                     ,                     ,                  ,                     ,                    ,                ,                  ,                ,                 ,1                   ,                   ,                           ,           ,                               ,T                         ,               ,                       ,                 ,                 ,                 ,                        ,1                       ,1                          ,                     ,                     ,9                   ,                  ,T                   ,63                               ,                 ,                           ,                      ,                 ,1                       ,4                ,                    ,                       ,                         ,                ,                           ,T               ,                    ,3                ,T                   ,T                  ,                ,                     ,                    ,                                          ,                                            ,                  ,                ,                        ,                    ,                       ,                           ,               ,                     ,                      ,                        ,                    ,               ,                      ,                       ,                       ,                         ,                         ,                 ,                     ,                    ,                       ,                         ,                ,                      ,                   ,                      ,                         ,              ,                      ,                ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,count=433 from ODP Leg 112 SR Chapter 16 Table 8 p 287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,112, 682,A, 23,X, 1, 107.00,    210.3700,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,                           ,                     ,                    ,                      ,                             ,                           ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,                         ,                    ,                  ,                     ,                   ,                           ,                    ,             ,                         ,                         ,                      ,                   ,                 ,                        ,                ,                  ,                 ,                       ,                          ,                 ,1                   ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,                   ,                       ,                           ,            ,                      ,                  ,                  ,                          ,                       ,                      ,                              ,                        ,                     ,1                    ,                     ,                     ,                  ,                     ,                    ,                ,                  ,                ,                 ,1                   ,                   ,                           ,           ,                               ,T                         ,               ,                       ,21               ,                 ,1                ,1                       ,2                       ,3                          ,                     ,                     ,1                   ,                  ,1                   ,45                               ,                 ,                           ,2                     ,                 ,1                       ,1                ,1                   ,                       ,27                       ,1               ,                           ,                ,T                   ,2                ,                    ,                   ,                ,                     ,                    ,                                          ,                                            ,                  ,                ,                        ,                    ,                       ,                           ,               ,                     ,                      ,                        ,                    ,               ,                      ,                       ,                       ,                         ,                         ,                 ,                     ,                    ,                       ,                         ,                ,                      ,                   ,                      ,                         ,              ,                      ,                ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,count=213 from ODP Leg 112 SR Chapter 16 Table 8 p 287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,112, 682,A, 24,X,CC,  15.00,    220.3300,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,                           ,                     ,                    ,                      ,                             ,                           ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,                         ,                    ,1                 ,                     ,                   ,                           ,                    ,             ,                         ,                         ,                      ,                   ,                 ,                        ,                ,                  ,                 ,                       ,                          ,                 ,                    ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,                   ,                       ,                           ,            ,                      ,                  ,                  ,                          ,                       ,                      ,                              ,                        ,                     ,                     ,                     ,                     ,                  ,                     ,                    ,                ,                  ,                ,                 ,1                   ,                   ,                           ,           ,                               ,                          ,               ,                       ,                 ,                 ,                 ,                        ,                        ,                           ,                     ,                     ,6                   ,                  ,4                   ,77                               ,                 ,                           ,1                     ,                 ,                        ,1                ,                    ,                       ,                         ,2               ,                           ,                ,1                   ,                 ,                    ,                   ,                ,                     ,                    ,                                          ,                                            ,                  ,                ,                        ,                    ,                       ,                           ,               ,                     ,                      ,                        ,                    ,               ,                      ,                       ,                       ,                         ,                         ,                 ,                     ,                    ,                       ,                         ,                ,                      ,                   ,                      ,                         ,              ,                      ,                ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,count=148 from ODP Leg 112 SR Chapter 16 Table 8 p 287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,112, 682,A, 25,X,CC,  22.00,    229.2100,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,                           ,2                    ,                    ,                      ,                             ,                           ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,                         ,                    ,T                 ,                     ,                   ,                           ,T                   ,             ,                         ,                         ,                      ,                   ,                 ,                        ,                ,                  ,                 ,                       ,                          ,                 ,2                   ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,2                  ,                       ,                           ,            ,                      ,                  ,                  ,                          ,                       ,                      ,                              ,                        ,                     ,4                    ,                     ,                     ,                  ,5                    ,                    ,                ,                  ,                ,                 ,                    ,                   ,                           ,           ,                               ,                          ,               ,                       ,12               ,                 ,1                ,7                       ,9                       ,T                          ,                     ,                     ,9                   ,                  ,                    ,25                               ,                 ,1                          ,                      ,                 ,                        ,                 ,2                   ,                       ,14                       ,5               ,4                          ,T               ,4                   ,                 ,                    ,                   ,                ,                     ,                    ,                                          ,                                            ,                  ,                ,                        ,                    ,                       ,                           ,               ,                     ,                      ,                        ,                    ,               ,                      ,                       ,                       ,                         ,                         ,                 ,                     ,                    ,                       ,                         ,                ,                      ,                   ,                      ,                         ,              ,                      ,                ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,count=125 from ODP Leg 112 SR Chapter 16 Table 8 p 287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,112, 682,A, 26,X,CC,  17.00,    238.8600,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,                           ,T                    ,                    ,                      ,                             ,                           ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,2                        ,                    ,                  ,                     ,                   ,                           ,                    ,             ,                         ,                         ,                      ,                   ,                 ,3                       ,2               ,                  ,                 ,                       ,                          ,                 ,1                   ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,2                  ,                       ,                           ,            ,                      ,                  ,                  ,                          ,                       ,                      ,                              ,                        ,                     ,2                    ,                     ,                     ,                  ,1                    ,                    ,                ,                  ,                ,                 ,                    ,                   ,                           ,           ,                               ,2                         ,               ,                       ,5                ,3                ,T                ,4                       ,5                       ,2                          ,                     ,                     ,10                  ,                  ,2                   ,45                               ,1                ,                           ,1                     ,T                ,                        ,T                ,2                   ,T                      ,7                        ,1               ,                           ,                ,                    ,                 ,                    ,                   ,                ,                     ,                    ,                                          ,                                            ,                  ,                ,                        ,                    ,                       ,                           ,               ,                     ,                      ,                        ,                    ,               ,                      ,                       ,                       ,                         ,                         ,                 ,                     ,                    ,                       ,                         ,                ,                      ,                   ,                      ,                         ,              ,                      ,                ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,count=257 from ODP Leg 112 SR Chapter 16 Table 8 p 287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,112, 682,A, 28,X,CC,  18.00,    257.3300,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,                           ,                     ,                    ,                      ,                             ,                           ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,T                        ,                    ,T                 ,                     ,                   ,                           ,                    ,             ,                         ,                         ,                      ,                   ,                 ,                        ,                ,                  ,                 ,                       ,                          ,                 ,                    ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,T                  ,                       ,                           ,            ,                      ,                  ,                  ,                          ,                       ,                      ,                              ,                        ,                     ,                     ,                     ,                     ,                  ,T                    ,                    ,                ,                  ,                ,                 ,                    ,                   ,                           ,           ,                               ,                          ,               ,                       ,4                ,T                ,                 ,                        ,                        ,4                          ,                     ,                     ,3                   ,                  ,2                   ,69                               ,                 ,T                          ,1                     ,3                ,T                       ,8                ,T                   ,                       ,                         ,                ,                           ,                ,                    ,                 ,                    ,                   ,                ,                     ,                    ,                                          ,                                            ,                  ,                ,                        ,                    ,                       ,                           ,               ,                     ,                      ,                        ,                    ,               ,                      ,                       ,                       ,                         ,                         ,                 ,                     ,                    ,                       ,                         ,                ,                      ,                   ,                      ,                         ,              ,                      ,                ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,count=525 from ODP Leg 112 SR Chapter 16 Table 8 p 287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,112, 682,A, 29,X,CC,  21.00,    267.1100,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,                           ,                     ,                    ,                      ,                             ,1                          ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,9                        ,                    ,1                 ,                     ,                   ,                           ,                    ,             ,                         ,                         ,                      ,                   ,                 ,                        ,1               ,                  ,                 ,                       ,                          ,                 ,2                   ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,6                  ,                       ,                           ,            ,                      ,                  ,                  ,                          ,                       ,                      ,                              ,                        ,                     ,                     ,                     ,                     ,                  ,3                    ,                    ,                ,                  ,                ,                 ,5                   ,                   ,                           ,           ,                               ,                          ,               ,                       ,4                ,1                ,                 ,8                       ,5                       ,24                         ,1                    ,1                    ,1                   ,5                 ,1                   ,4                                ,9                ,T                          ,                      ,                 ,                        ,                 ,                    ,                       ,                         ,                ,                           ,                ,                    ,                 ,                    ,                   ,                ,                     ,                    ,                                          ,                                            ,                  ,                ,                        ,                    ,                       ,                           ,               ,                     ,                      ,                        ,                    ,               ,                      ,                       ,                       ,                         ,                         ,                 ,                     ,                    ,                       ,                         ,                ,                      ,                   ,                      ,                         ,              ,                      ,                ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,count=150 from ODP Leg 112 SR Chapter 16 Table 8 p 287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,112, 682,A, 33,X,CC,   3.00,    295.2800,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,                           ,1                    ,                    ,                      ,                             ,                           ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,3                        ,                    ,1                 ,                     ,                   ,                           ,10                  ,             ,                         ,                         ,                      ,                   ,                 ,                        ,                ,                  ,                 ,                       ,                          ,                 ,                    ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,                   ,                       ,                           ,            ,                      ,                  ,                  ,                          ,                       ,                      ,                              ,                        ,                     ,                     ,                     ,                     ,                  ,4                    ,                    ,                ,                  ,                ,4                ,51                  ,5                  ,8                          ,1          ,2                              ,2                         ,1              ,6                      ,3                ,1                ,1                ,                        ,                        ,                           ,                     ,                     ,                    ,                  ,                    ,                                 ,                 ,                           ,                      ,                 ,                        ,                 ,                    ,                       ,                         ,                ,                           ,                ,                    ,                 ,                    ,                   ,                ,                     ,                    ,                                          ,                                            ,                  ,                ,                        ,                    ,                       ,                           ,               ,                     ,                      ,                        ,                    ,               ,                      ,                       ,                       ,                         ,                         ,                 ,                     ,                    ,                       ,                         ,                ,                      ,                   ,                      ,                         ,              ,                      ,                ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,count=100 from ODP Leg 112 SR Chapter 16 Table 8 p 287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
