Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina senticosa,Pullenia bulloides,Melonis pompilioides,Gyroidina soldanii altiformis,Globobulimina affinis,Elphidium excavatum f. clavatum,Cibicidoides wuellerstorfi,Cibicides spp.,Globobulimina pacifica,Cibicidoides mckannai,Agglutinated spp. (indeterminate),Valvulineria araucana,Lagena sp.,Karreriella sp.,Eponides healdi,Cassidulina limbata,Bulimina subcalva,Epistominella pacifica,Eponides spp.,Nonionella miocenica,Hoeglundina elegans,Gyroidina spp.,Gyroidina soldanii rotundimargo,Quinqueloculina sp.,Cassidulinoides bradyi,Melonis barleeanus,Lenticulina sp.,Cassidulina minuta,Calcareous sp. indeterminate,Bulimina barbata,Bulimina striata mexicana,Globocassidulina subglobosa,Fissurina spp.,Dentalina sp.,Uvigerina peregrina,Oridorsalis umbonatus,Cassidulina sp.,Bulimina aculeata,Uvigerina sp.,Uvigerina hispida,Elphidium sp.,Chilostomella ovoidea,Sphaeroidina bulloides,Eggerella bradyi,Martinottiella communis,Epistominella sp.,Fursenkoina bradyi,Bulimina exilis,Triloculina sp.,Pyrgo sp.,Cibicidoides sp.,Cassidulina carinata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 47,X,CC,   0.00,    368.5200,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,R                  ,                  ,                    ,                             ,                     ,                               ,                          ,              ,                      ,                     ,                                 ,                     ,          ,               ,               ,                   ,                 ,                      ,             ,                    ,                   ,              ,S                              ,R                  ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 48,X,CC,  28.00,    375.8000,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,F                  ,R                 ,                    ,                             ,                     ,                               ,R                         ,              ,R                     ,                     ,                                 ,                     ,          ,               ,R              ,                   ,                 ,                      ,             ,S                   ,R                  ,R             ,R                              ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 49,X, 1,  33.00,    384.2300,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                   ,                  ,                    ,                             ,                     ,R                              ,                          ,              ,                      ,                     ,                                 ,                     ,          ,               ,               ,                   ,                 ,                      ,S            ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 50,X, 1,  44.00,    393.2400,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                   ,                  ,                    ,                             ,                     ,                               ,                          ,              ,                      ,                     ,                                 ,                     ,          ,               ,               ,                   ,                 ,S                     ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 55,X,CC,  14.00,    440.0900,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,F                  ,R                 ,R                   ,                             ,                     ,                               ,R                         ,              ,                      ,                     ,                                 ,R                    ,S         ,S              ,S              ,S                  ,R                ,                      ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 56,X,CC,  34.00,    447.9100,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,R                  ,                  ,S                   ,S                            ,                     ,                               ,                          ,              ,S                     ,S                    ,S                                ,                     ,          ,               ,               ,                   ,                 ,                      ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 57,X,CC,   0.00,    455.2300,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,R                  ,R                 ,R                   ,S                            ,S                    ,S                              ,R                         ,S             ,                      ,                     ,                                 ,                     ,          ,               ,               ,                   ,                 ,                      ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
