Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Toweius eminens	Sphenolithus primus	Prediscosphaera cretacea	Placozygus sigmoides	Neochiastozygus junctus	Fasciculithus tympaniformis	Fasciculithus involutus	Fasciculithus clinatus	Ericsonia robusta	Ellipsolithus macellus	Discoaster mohleri	Cruciplacolithus tenuis	Cruciplacolithus frequens	Zygodiscus herlynii	Toweius pertusus	Heliolithus kleinpellii	Chiasmolithus consuetus	Chiasmolithus californicus	Heliolithus megastypus	Heliolithus cantabriae	Discoaster nobilis	Chiasmolithus bidens	Bomolithus conicus	Heliolithus riedelii	Ellipsolithus distichus	Discoaster splendidus	Discoaster lenticularis	Fasciculithus richardii	Discoaster multiradiatus	Tribrachiatus orthostylus	Neococcolithes dubius	Ellipsolithus lajollaensis	Discoaster salisburgensis	Discoaster lodoensis	Discoaster kuepperi	Discoaster elegans	Discoaster diastypus	Discoaster binodosus	Discoaster barbadiensis	Chiasmolithus solitus	Chiasmolithus eograndis	Toweius magnicrassus	Sphenolithus radians	Cyclicargolithus gammation	Chiphragmalithus calathus	Chiphragmalithus acanthodes	Chiasmolithus grandis	Sphenolithus moriformis	Sphenolithus dissimilis	Sphenolithus compactus	Reticulofenestra minutula	Reticulofenestra minuta	Reticulofenestra lockerii	Reticulofenestra haqii	Reticulofenestra gartneri	Orthorhabdus serratus	Helicosphaera rhomba	Helicosphaera obliqua	Helicosphaera mediterranea	Helicosphaera kamptneri/carteri	Helicosphaera granulata	Helicosphaera euphratis	Helicosphaera ampliaperta	Geminilithella rotula	Discoaster saundersi	Discoaster lidzi	Discoaster druggii (small)	Discoaster deflandrei	Discoaster adamanteus	Cyclicargolithus floridanus	Cyclicargolithus abisectus	Coronocyclus nitescens	Coccolithus pelagicus	Coccolithus miopelagicus	Triquetrorhabdulus carinatus	Triquetrorhabdulus auritus	Sphenolithus heteromorphus	Sphenolithus conicus	Helicosphaera scissura	Helicosphaera acuta	Discoaster sp. cf. D. variabilis	Coccolithus eopelagicus	Triquetrorhabdulus milowii	Reticulofenestra pseudoumbilicus	Pontosphaera multipora	Discoaster sp. cf. D. exilis	Discoaster sanmiguelensis	Discoaster petaliformis	Discoaster bollii	Sphenolithus abies	Discoaster variabilis	Discoaster moorei	Discoaster hamatus	Discoaster exilis	Discoaster calcaris	Discoaster brouweri	Catinaster mexicanus	Catinaster coalitus	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster neohamatus	Catinaster calyculus	Triquetrorhabdulus rugosus	Rhabdosphaera clavigera	Pontosphaera indooceanica	Discoaster signus	Sphenolithus neoabies	Minylitha convallis	Discoaster triradiatus	Discoaster prepentaradiatus	Discoaster pentaradiatus	Discoaster neorectus	Discoaster asymmetricus	Discoaster challengeri	Discoaster quinqueramus	Discoaster pansus	Discoaster berggrenii	Triquetrorhabdulus farnsworthii	Pontosphaera japonica	Florisphaera profunda	Amaurolithus primus	Discoaster surculus	Amaurolithus delicatus	Amaurolithus tricorniculatus	Amaurolithus amplificus	Discoaster decorus	Ceratolithus rugosus	Ceratolithus acutus	Helicosphaera sellii	Syracosphaera pulchra	Pseudoemiliania lacunosa	Gephyrocapsa aperta	Discoaster tamalis	Ceratolithus cristatus	Discoaster blackstockae	Scapholithus fossilis	Ceratolithus separatus	Umbilicosphaera sibogae	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Comment
  SR	Late Miocene     	                 	CN7b              	              	159	 961	A	  9	R	CC	   0.00	     73.6100	Shafik   	Nannofossils                                 	C              	M                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	                         	                       	                         	                      	                         	                     	                    	                     	                          	+                              	                       	                       	                         	                     	                    	                	                          	                     	                     	                           	                          	                      	                     	                        	                            	                          	                          	                    	                      	                   	                                	+                      	                          	+                               	                      	+                           	                         	                       	+                	+                 	+                    	R                	+                 	+                	+                  	+                  	+                   	+                  	+                     	+                     	                     	                    	                          	                       	                         	                 	                     	                   	                      	                           	                        	                    	                       	                      	                       	                 	                     	                               	                     	                     	                   	                   	                      	                            	                       	                  	                    	                   	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 37 Table 5

  SR	Middle Miocene   	                 	CN4               	              	159	 961	A	 12	R	 1	  39.00	    100.2900	Shafik   	Nannofossils                                 	A              	M                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	                         	                       	                         	                      	                         	                     	+                   	                     	+                         	+                              	+                      	                       	+                        	                     	                    	                	                          	                     	                     	+                          	                          	+                     	                     	+                       	                            	+                         	+                         	                    	+                     	+                  	+                               	                       	                          	                                	+                     	+                           	+                        	+                      	+                	                  	                     	                 	                  	                 	                   	                   	                    	                   	                      	                      	                     	                    	                          	                       	                         	                 	                     	                   	                      	                           	                        	                    	                       	                      	                       	                 	                     	                               	                     	                     	                   	                   	                      	                            	                       	                  	                    	                   	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 37 Table 5

  SR	Early Miocene    	                 	CN3               	              	159	 961	A	 12	R	CC	   0.00	    102.1300	Shafik   	Nannofossils                                 	C              	M                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	                         	                       	                         	                      	                         	                     	                    	                     	                          	+                              	+                      	                       	C                        	                     	                    	                	                          	                     	                     	+                          	                          	                      	                     	+                       	                            	                          	C                         	                    	                      	                   	                                	                       	                          	                                	                      	                            	                         	                       	                 	                  	                     	                 	                  	                 	                   	                   	                    	                   	                      	                      	                     	                    	                          	                       	                         	                 	                     	                   	                      	                           	                        	                    	                       	                      	                       	                 	                     	                               	                     	                     	                   	                   	                      	                            	                       	                  	                    	                   	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 37 Table 5

  SR	Early Miocene    	                 	CN3               	              	159	 961	A	 14	R	CC	  10.00	    121.4800	Shafik   	Nannofossils                                 	C              	M                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	+                      	                       	                      	                         	                       	                         	+                     	                         	                     	                    	                     	                          	                               	                       	                       	F                        	                     	                    	                	                          	+                    	                     	+                          	                          	+                     	                     	+                       	                            	                          	R                         	                    	                      	                   	                                	                       	+                         	+                               	                      	                            	                         	                       	                 	                  	                     	                 	                  	                 	                   	                   	                    	                   	                      	                      	                     	                    	                          	                       	                         	                 	                     	                   	                      	                           	                        	                    	                       	                      	                       	                 	                     	                               	                     	                     	                   	                   	                      	                            	                       	                  	                    	                   	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 37 Table 5

  SR	Early Miocene    	                 	CN3               	              	159	 961	A	 15	R	 1	  36.00	    129.2600	Shafik   	Nannofossils                                 	A              	M                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	+                      	                       	                      	+                        	                       	+                        	                      	                         	+                    	+                   	+                    	                          	                               	                       	                       	+                        	+                    	+                   	                	+                         	+                    	                     	+                          	                          	+                     	                     	                        	+                           	+                         	+                         	+                   	+                     	+                  	+                               	+                      	                          	                                	                      	                            	                         	                       	                 	                  	                     	                 	                  	                 	                   	                   	                    	                   	                      	                      	                     	                    	                          	                       	                         	                 	                     	                   	                      	                           	                        	                    	                       	                      	                       	                 	                     	                               	                     	                     	                   	                   	                      	                            	                       	                  	                    	                   	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 37 Table 5

  SR	Early Miocene    	                 	CN1c              	              	159	 961	A	 15	R	CC	  16.00	    129.6500	Shafik   	Nannofossils                                 	C              	G                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	F                      	F                      	C                     	C                        	A                      	+                        	C                     	+                        	C                    	F                   	F                    	R                         	+                              	R                      	+                      	F                        	+                    	+                   	+               	F                         	C                    	R                    	+                          	+                         	C                     	+                    	+                       	                            	                          	                          	                    	                      	                   	                                	                       	                          	                                	                      	                            	                         	                       	                 	                  	                     	                 	                  	                 	                   	                   	                    	                   	                      	                      	                     	                    	                          	                       	                         	                 	                     	                   	                      	                           	                        	                    	                       	                      	                       	                 	                     	                               	                     	                     	                   	                   	                      	                            	                       	                  	                    	                   	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 37 Table 5

  SR	Early Eocene     	                 	CP10              	              	159	 961	A	 17	R	CC	  21.00	    148.6000	Shafik   	Nannofossils                                 	C              	P                 	               	F                  	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	R                      	                          	                      	                      	                  	                    	                  	                    	R                      	                     	                       	                       	                        	C                        	                     	R                         	                         	                    	R                  	                  	R                   	R                   	C                      	F                    	R                      	F                   	C                   	F                         	R                        	R                          	R                    	                       	                       	                      	                         	                       	                         	                      	                         	                     	                    	                     	                          	                               	                       	                       	                         	                     	                    	                	                          	                     	                     	                           	                          	                      	                     	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	                                	                      	                            	                         	                       	                 	                  	                     	                 	                  	                 	                   	                   	                    	                   	                      	                      	                     	                    	                          	                       	                         	                 	                     	                   	                      	                           	                        	                    	                       	                      	                       	                 	                     	                               	                     	                     	                   	                   	                      	                            	                       	                  	                    	                   	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 32 Table 5

  SR	Early Eocene     	                 	CP10              	              	159	 961	A	 18	R	CC	  10.00	    157.9000	Shafik   	Nannofossils                                 	C              	M                 	               	C                  	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	R                      	                     	                       	                       	                        	A                        	R                    	F                         	R                        	F                   	F                  	VR                	F                   	A                   	F                      	F                    	R                      	                    	                    	                          	                         	                           	                     	                       	                       	                      	                         	                       	                         	                      	                         	                     	                    	                     	                          	                               	                       	                       	                         	                     	                    	                	                          	                     	                     	                           	                          	                      	                     	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	                                	                      	                            	                         	                       	                 	                  	                     	                 	                  	                 	                   	                   	                    	                   	                      	                      	                     	                    	                          	                       	                         	                 	                     	                   	                      	                           	                        	                    	                       	                      	                       	                 	                     	                               	                     	                     	                   	                   	                      	                            	                       	                  	                    	                   	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 32 Table 5

  SR	Late Paleocene   	                 	CP8a              	              	159	 961	A	 19	R	 1	  33.00	    167.7300	Shafik   	Nannofossils                                 	F              	M                 	               	                   	                        	                    	                       	                           	F                      	F                     	F                	                      	                  	                       	F                        	                   	                	                       	                       	                          	F                     	                      	R                 	                    	                  	F                   	                       	                     	                       	F                      	C                       	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	                         	                       	                         	                      	                         	                     	                    	                     	                          	                               	                       	                       	                         	                     	                    	                	                          	                     	                     	                           	                          	                      	                     	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	                                	                      	                            	                         	                       	                 	                  	                     	                 	                  	                 	                   	                   	                    	                   	                      	                      	                     	                    	                          	                       	                         	                 	                     	                   	                      	                           	                        	                    	                       	                      	                       	                 	                     	                               	                     	                     	                   	                   	                      	                            	                       	                  	                    	                   	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 32 Table 5

  SR	Late Paleocene   	                 	CP8a              	              	159	 961	A	 19	R	 1	  57.00	    167.9700	Shafik   	Nannofossils                                 	F              	M                 	F              	                   	                        	                    	                       	                           	F                      	F                     	R                	                      	R                 	                       	F                        	                   	                	                       	                       	                          	F                     	                      	                  	                    	                  	                    	                       	                     	                       	F                      	C                       	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	                         	                       	                         	                      	                         	                     	                    	                     	                          	                               	                       	                       	                         	                     	                    	                	                          	                     	                     	                           	                          	                      	                     	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	                                	                      	                            	                         	                       	                 	                  	                     	                 	                  	                 	                   	                   	                    	                   	                      	                      	                     	                    	                          	                       	                         	                 	                     	                   	                      	                           	                        	                    	                       	                      	                       	                 	                     	                               	                     	                     	                   	                   	                      	                            	                       	                  	                    	                   	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 32 Table 5

  SR	Late Paleocene   	                 	CP7               	              	159	 961	A	 19	R	CC	  10.00	    168.1700	Shafik   	Nannofossils                                 	C              	M                 	F              	VR                 	                        	R                   	VR                     	                           	F                      	F                     	F                	R                     	R                 	                       	F                        	                   	F               	                       	R                      	VR                        	C                     	                      	                  	VR                  	F                 	F                   	R                      	F                    	R                      	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	                         	                       	                         	                      	                         	                     	                    	                     	                          	                               	                       	                       	                         	                     	                    	                	                          	                     	                     	                           	                          	                      	                     	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	                                	                      	                            	                         	                       	                 	                  	                     	                 	                  	                 	                   	                   	                    	                   	                      	                      	                     	                    	                          	                       	                         	                 	                     	                   	                      	                           	                        	                    	                       	                      	                       	                 	                     	                               	                     	                     	                   	                   	                      	                            	                       	                  	                    	                   	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 32 Table 5

  SR	Late Paleocene   	                 	CP7               	              	159	 961	A	 20	R	 1	  15.00	    177.1500	Shafik   	Nannofossils                                 	C              	M                 	C              	R                  	                        	                    	F                      	                           	F                      	                      	F                	                      	R                 	                       	F                        	                   	                	                       	                       	                          	C                     	F                     	F                 	R                   	R                 	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	                         	                       	                         	                      	                         	                     	                    	                     	                          	                               	                       	                       	                         	                     	                    	                	                          	                     	                     	                           	                          	                      	                     	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	                                	                      	                            	                         	                       	                 	                  	                     	                 	                  	                 	                   	                   	                    	                   	                      	                      	                     	                    	                          	                       	                         	                 	                     	                   	                      	                           	                        	                    	                       	                      	                       	                 	                     	                               	                     	                     	                   	                   	                      	                            	                       	                  	                    	                   	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 32 Table 5

  SR	Late Paleocene   	                 	CP6               	              	159	 961	A	 20	R	 1	 111.00	    178.1100	Shafik   	Nannofossils                                 	C              	M                 	C              	                   	R                       	                    	F                      	                           	F                      	F                     	C                	F                     	C                 	                       	C                        	R                  	F               	VR                     	F                      	VR                        	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	                         	                       	                         	                      	                         	                     	                    	                     	                          	                               	                       	                       	                         	                     	                    	                	                          	                     	                     	                           	                          	                      	                     	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	                                	                      	                            	                         	                       	                 	                  	                     	                 	                  	                 	                   	                   	                    	                   	                      	                      	                     	                    	                          	                       	                         	                 	                     	                   	                      	                           	                        	                    	                       	                      	                       	                 	                     	                               	                     	                     	                   	                   	                      	                            	                       	                  	                    	                   	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 32 Table 5

  SR	Late Paleocene   	                 	CP6               	              	159	 961	A	 20	R	CC	  12.00	    179.8600	Shafik   	Nannofossils                                 	C              	M                 	C              	C                  	R                       	F                   	F                      	C                          	F                      	F                     	C                	F                     	F                 	VR                     	F                        	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	                         	                       	                         	                      	                         	                     	                    	                     	                          	                               	                       	                       	                         	                     	                    	                	                          	                     	                     	                           	                          	                      	                     	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	                                	                      	                            	                         	                       	                 	                  	                     	                 	                  	                 	                   	                   	                    	                   	                      	                      	                     	                    	                          	                       	                         	                 	                     	                   	                      	                           	                        	                    	                       	                      	                       	                 	                     	                               	                     	                     	                   	                   	                      	                            	                       	                  	                    	                   	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 32 Table 5

