Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Praehedbergella ruka papillata,Praehedbergella pseudosigali,Hedbergella sigali,Hedbergella occulta,Blefuscuiana daminiae,Schackoina cenomana,Lilliputianella globulifera,Leupoldina cabri,Hedbergella infracretacea,Hedbergella aptiana,Globigerinelloides duboisi,Globigerinelloides blowi,Claviblowiella sigali,Blefuscuiana speetonensis s.s.,Praehedbergella tuschepsensis grigelisi,Globigerinelloides aptiense,Blefuscuiana hispaniae,Globigerinelloides maridalensis,Globigerinelloides ferreolensis,Claviblowiella minai,Blowiella solida,Blowiella moulladei,Blowiella gottisi,Blefuscuiana hexacamerata,Praehedbergella ruka contritus,Lilliputianella longorii,Hedbergella gorbachikae,Hedbergella delrioensis,Globigerinelloides barri,Globigerinelloides algerianus,Blefuscuiana infracretacea occidentalis,Blefuscuiana excelsa cumulus,Hedbergella praetrocoidea,Hedbergella excelsa,Hedbergella trocoidea,Ticinella bejaouaensis,Hedbergella rischi,Whiteinella baltica,Globigerinelloides messinae,Hastigerinoides subdigitata,Hedbergella holmdelensis,Globigerinelloides alvarezi,Heterohelix striata,Biglobigerinella multispina,Radotruncana calcarata,Globotruncanita subspinosa,Globotruncanita stuartiformis,Globotruncanita elevata,Globotruncana ventricosa,Globotruncana linneiana,Globotruncana lapparenti,Globotruncana bulloides,Contusotruncana fornicata,Pseudoguembelina costulata,Globotruncanella havanensis,Archaeoglobigerina cretacea,Rugoglobigerina hexacamerata,Pseudoguembelina excolata,Globotruncana aegyptiaca,Globotruncana nothi,Globotruncana arca,Globotruncana falsostuarti,Rugoglobigerina rugosa,Racemiguembelina fructicosa,Pseudotextularia elegans,Pseudoguembelina palpebra,Planoglobulina carseyae,Heterohelix globulosa,Globotruncanita stuarti,Globotruncanita conica,Gansserina gansseri,Contusotruncana contusa,Rugotruncana subpennyi,Gansserina wiedenmayeri,Rugoglobigerina rotundata,Abathomphalus mayaroensis,Woodringina hornerstownensis,Woodringina claytonensis,Praemurica taurica,Praemurica pseudoinconstans,Parasubbotina varianta,Parasubbotina pseudobulloides,Chiloguembelina morsei,Morozovella conicotruncata,Morozovella angulata,Morozovella acuta,Igorina albeari,Globanomalina chapmani,Acarinina nitida,Subbotina velascoensis,Subbotina triangularis,Parasubbotina variospira,Morozovella velascoensis,Morozovella occlusa,Subbotina triloculinoides,Subbotina cancellata,Morozovella subbotinae,Morozovella pasionensis,Morozovella apanthesma,Morozovella aequa,Igorina tadjikistanensis,Acarinina soldadoensis,Acarinina subsphaerica,Morozovella marginodentata,Morozovella gracilis,Subbotina linaperta,Morozovella aragonensis,Igorina broedermanni,Globigerinatheka senni,Acarinina spinuloinflata,Truncorotaloides rohri,Subbotina frontosa,Morozovella spinulosa,Morozovella lehneri,Hastigerina bolivariana,Acarinina primitiva,Subbotina lozanoi,Globigerinatheka subconglobata,Globigerinatheka kugleri,Acarinina topilensis,Acarinina matthewsae,Acarinina bullbrooki,Turborotalia possagnoensis,Turborotalia pomeroli,Subbotina eocaena,Globigerinatheka index,Catapsydrax dissimilis,Comment
  IR,                 ,                 ,                  ,              ,192,1186,A, 15,R,CC,  11.00,    822.4100,Sikora   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,                        ,                           ,                   ,                           ,                      ,                          ,A                            ,                       ,A                       ,                       ,                        ,                       ,                         ,                          ,                           ,                           ,                            ,R                        ,                        ,                   ,                  ,                          ,                      ,R                          ,F                       ,F                        ,                       ,                     ,F                      ,                      ,R                  ,F                      ,                      ,F                      ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,                 ,               ,                      ,                ,                      ,                      ,                        ,                        ,                   ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,late Maastrichtian - mayaroensis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 16,R,CC,   7.00,    833.1600,Sikora   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,                        ,                           ,                   ,                           ,                      ,R                         ,A                            ,R                      ,F                       ,                       ,                        ,                       ,                         ,                          ,                           ,                           ,                            ,                         ,                        ,                   ,                  ,                          ,F                     ,                           ,                        ,                         ,                       ,R                    ,                       ,                      ,                   ,                       ,P                     ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,                 ,               ,                      ,                ,                      ,                      ,                        ,                        ,                   ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,late Maastrichtian - mayaroensis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 17,R, 1,  45.00,    842.1500,Sikora   ,Planktonic Foraminifers                      ,A              ,M                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,                        ,                           ,                   ,                           ,                      ,                          ,A                            ,P                      ,R                       ,P                      ,                        ,                       ,                         ,A                         ,                           ,                           ,                            ,A                        ,                        ,                   ,                  ,                          ,F                     ,P                          ,F                       ,R                        ,R                      ,F                    ,A                      ,P                     ,P                  ,R                      ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,                 ,               ,                      ,                ,                      ,                      ,                        ,                        ,                   ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,late Maastrichtian - mayaroensis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 17,R,CC,  17.00,    844.3400,Sikora   ,Planktonic Foraminifers                      ,A              ,VG                ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,                        ,                           ,                   ,                           ,                      ,R                         ,A                            ,                       ,F                       ,                       ,                        ,                       ,                         ,                          ,                           ,                           ,                            ,                         ,                        ,                   ,F                 ,F                         ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,                 ,               ,                      ,                ,                      ,                      ,                        ,                        ,                   ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,late Maastrichtian - mayaroensis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 18,R,CC,  10.00,    851.1000,Sikora   ,Planktonic Foraminifers                      ,R              ,P                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,                        ,                           ,                   ,                           ,                      ,                          ,                             ,                       ,                        ,                       ,                        ,                       ,P                        ,                          ,                           ,                           ,                            ,                         ,                        ,                   ,                  ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,                 ,               ,                      ,                ,                      ,                      ,                        ,                        ,                   ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,early Maastrichtian??
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 19,R,CC,   6.00,    861.4100,Sikora   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,                        ,                           ,                   ,                           ,                      ,                          ,F                            ,                       ,F                       ,                       ,                        ,R                      ,D                        ,                          ,                           ,                           ,                            ,                         ,                        ,R                  ,F                 ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,                 ,               ,                      ,                ,                      ,                      ,                        ,                        ,                   ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,"early Maastrichtian - no fructicosa, gansseri; LAD of bulloides; no lapparenti; contusa still present"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 20,R,CC,   0.00,    870.7800,Sikora   ,Planktonic Foraminifers                      ,T              ,P                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,F                       ,                           ,                   ,                           ,                      ,                          ,                             ,                       ,                        ,                       ,                        ,                       ,                         ,                          ,                           ,                           ,                            ,                         ,                        ,                   ,                  ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,                 ,               ,                      ,                ,                      ,                      ,                        ,                        ,                   ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,Undiff. Campanian
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 21,R, 5,  37.00,    886.2700,Sikora   ,Planktonic Foraminifers                      ,R              ,P                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,R                          ,                           ,P                       ,                           ,                   ,                           ,                      ,                          ,P                            ,                       ,                        ,                       ,                        ,                       ,                         ,                          ,                           ,                           ,P                           ,P                        ,P                       ,                   ,                  ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,                 ,               ,                      ,                ,                      ,                      ,                        ,                        ,                   ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,Thin-section #165; latest Campanian - aegyptiaca zone; FAD of aegyptiaca and excolata
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 21,R, 5, 111.00,    887.0100,Sikora   ,Planktonic Foraminifers                      ,T              ,P                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,R                          ,                           ,P                       ,                           ,                   ,                           ,                      ,                          ,                             ,                       ,                        ,                       ,                        ,                       ,                         ,                          ,P                          ,                           ,                            ,                         ,                        ,                   ,                  ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,                 ,               ,                      ,                ,                      ,                      ,                        ,                        ,                   ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,Thin-section #166; Undiff. Camp/Maastrich.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 21,R,CC,   8.00,    888.0300,Sikora   ,Planktonic Foraminifers                      ,T              ,P                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,R                       ,                           ,                   ,                           ,                      ,                          ,                             ,                       ,                        ,                       ,                        ,                       ,                         ,                          ,                           ,                           ,                            ,                         ,                        ,                   ,                  ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,                 ,               ,                      ,                ,                      ,                      ,                        ,                        ,                   ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,Undiff. Campanian
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 22,R, 1,  55.00,    890.0500,Sikora   ,Planktonic Foraminifers                      ,R              ,P                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,R                          ,                           ,R                       ,P                          ,                   ,                           ,                      ,                          ,                             ,                       ,                        ,                       ,                        ,                       ,                         ,                          ,                           ,P                          ,                            ,                         ,                        ,                   ,                  ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,                 ,               ,                      ,                ,                      ,                      ,                        ,                        ,                   ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,Thin-section #167; Undiff. Campanian
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 22,R,CC,   0.00,    890.1900,Sikora   ,Planktonic Foraminifers                      ,T              ,P                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,P                       ,                           ,P                  ,                           ,                      ,                          ,                             ,                       ,                        ,                       ,                        ,                       ,                         ,                          ,                           ,                           ,                            ,                         ,                        ,                   ,                  ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,                 ,               ,                      ,                ,                      ,                      ,                        ,                        ,                   ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,Undiff. Campanian
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 23,R, 2,  47.00,    901.0700,Sikora   ,Planktonic Foraminifers                      ,C              ,M                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,F                       ,                           ,P                  ,                           ,                      ,                          ,                             ,                       ,                        ,P                      ,                        ,                       ,                         ,F                         ,R                          ,                           ,                            ,                         ,                        ,                   ,                  ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,                 ,               ,                      ,                ,                      ,                      ,                        ,                        ,                   ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,Thin-section #168 - late Campanian - FAD of havanensis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 23,R,CC,  10.00,    902.0800,Sikora   ,Planktonic Foraminifers                      ,A              ,M                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,                        ,                           ,                   ,                           ,R                     ,F                         ,A                            ,F                      ,R                       ,R                      ,R                       ,R                      ,A                        ,                          ,                           ,                           ,                            ,                         ,                        ,                   ,                  ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,                 ,               ,                      ,                ,                      ,                      ,                        ,                        ,                   ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,upper middle Campanian - calcarata
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 24,R, 2,  72.00,    910.9200,Sikora   ,Planktonic Foraminifers                      ,R              ,P                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,R                          ,                           ,R                       ,R                          ,                   ,                           ,                      ,                          ,                             ,                       ,                        ,                       ,                        ,                       ,                         ,                          ,                           ,                           ,                            ,                         ,                        ,                   ,                  ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,                 ,               ,                      ,                ,                      ,                      ,                        ,                        ,                   ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,Thin-section #169
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 25,R, 5,  50.00,    924.8000,Sikora   ,Planktonic Foraminifers                      ,R              ,M                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,F                          ,                           ,R                       ,P                          ,P                  ,P                          ,                      ,                          ,                             ,                       ,                        ,                       ,                        ,                       ,                         ,                          ,                           ,                           ,                            ,                         ,                        ,                   ,                  ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,                 ,               ,                      ,                ,                      ,                      ,                        ,                        ,                   ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,Thin-section #170
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
