Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerina triloculinoides,Globigerina linaperta,Acarinina mckannai,Planorotalites pseudomenardii,Morozovella aequa,Acarinina primitiva,Planktonic spp. indeterminate,Morozovella spp.,Globigerina spp.,Acarinina spp.,Morozovella spinulosa,Globigerina senni,Acarinina pentacamerata,Acarinina bullbrooki,Acarinina broedermanni,Morozovella aragonensis,Globigerinatheka index,Globorotalia cerroazulensis frontosa,Globigerinatheka subconglobata,Globigerinatheka spp.,Globigerinatheka subconglobata subconglobata,Globigerina eocaena,Truncorotaloides rohri,Truncorotaloides spp.,Catapsydrax spp.,Globigerina cryptomphala,Catapsydrax dissimilis,Morozovella lehneri,Globorotaloides spp.,Globigerinoides higginsi,Acarinina pseudotopilensis,Truncorotaloides topilensis,Pseudohastigerina micra,Globorotaloides suteri,Globorotalia cerroazulensis,Catapsydrax unicavus,Globigerinatheka kugleri,Globigerinatheka barri,Truncorotaloides rohri/topilensis transition,Hantkenina spp.,Globorotalia opima nana,Globorotalia cerroazulensis pomeroli,Globorotalia cerroazulensis cerroazulensis,Globigerina yeguaensis,Globorotalia cerroazulensis/pomeroli transition,Globoquadrina venezuelana,Globorotalia cerroazulensis/cocoaensis transition,Globigerina corpulenta,Globorotalia cerroazulensis cocoaensis,Globigerina sellii,Globigerina praebulloides,Globigerina ouachitaensis,Globigerina euapertura,Globigerina tripartita,Hantkenina alabamensis/primitiva,Planorotalites palmerae,Globigerina ampliapertura,Globoquadrina spp.,Pseudohastigerina naguewichiensis,Globorotalia increbescens,Globigerina woodi woodi,Globigerina ciperoensis angustiumbilicata,Globigerina ciperoensis,Globigerinelloides spp.,Globorotalia opima opima,Globigerina tapuriensis,Globigerina ciperoensis ciperoensis,Globigerina ciperoensis angulisuturalis,Globorotalia opima nana/opima opima transition,Globigerina gortanii,Hedbergella spp.,Globorotalia nana/continuosa transition,Globorotalia siakensis,Globorotalia mayeri,Globoquadrina globularis,Globorotalia obesa,Globigerinita naparimaensis,Globigerina praeturritilina,Cassigerinella chipolensis,Globigerinoides primordius,Globigerinoides spp.,Globoquadrina dehiscens,Globorotalia fohsi peripheroronda,Globoquadrina dehiscens praedehiscens,Globigerina falconensis,Globoquadrina altispira,Globorotalia kugleri,Globorotalia continuosa,Globigerinoides altiaperturus,Globigerina venezuelana,Globoquadrina baroemoenensis,Globoquadrina dehiscens dehiscens,Globigerinoides trilobus/immaturus,Globorotalia praescitula,Globoquadrina altispira globosa,Globigerinoides sacculifer,Catapsydrax stainforthi,Globorotalia acrostoma,Globigerinoides subquadratus,Globoquadrina altispira altispira,Globoquadrina altispira conica,Globorotalia archeomenardii,Globorotalia miozea,Globigerina druryi,Praeorbulina transitoria,Hastigerina praesiphonifera,Praeorbulina sicana,Sphaeroidinellopsis disjuncta,Globorotalia scitula s.l.,Globigerina bulloides,Sphaeroidinellopsis seminulina,Praeorbulina glomerosa glomerosa,Praeorbulina glomerosa curva,Praeorbulina glomerosa,Globorotalia conoidea,Orbulina universa,Orbulina suturalis,Globorotalia scitula,Globorotalia fohsi peripheroacuta,Globorotalia fohsi fohsi,Globigerina decoraperta,Globorotalia praemenardii,Globorotalia cibaoensis,Globorotalia menardii,Globigerina nepenthes,Globigerina apertura,Sphaeroidinellopsis paenedehiscens,Neogloboquadrina pachyderma,Neogloboquadrina atlantica,Globorotalia merotumida,Neogloboquadrina acostaensis,Beella praedigitata,Neogloboquadrina humerosa,Globigerinoides trilobus/sacculifer transition,Globigerinoides ruber (white),Sphaeroidinellopsis subdehiscens,Globigerinatella insueta,Pseudotextularia elegans,Marginotruncana spp.,Hedbergella holmdelensis,Globotruncanita stuartiformis,Globigerinoides obliquus obliquus,Globigerinoides conglobatus,Hastigerina siphonifera,Globorotalia puncticulata,Globorotalia crassaformis ronda,Globorotalia crassaformis crassaformis,Globorotalia crassaformis,Globotruncana marginata,Hastigerina aequilateralis,Globorotalia margaritae margaritae,Globigerina megastoma cariacoensis,Neogloboquadrina dutertrei,Orbulina bilobata,Globigerinoides elongatus/obliquus extremus,Sphaeroidinella dehiscens,Globorotalia truncatulinoides,Globorotalia inflata,Globorotalia triangula,Pulleniatina primalis,Globorotalia tosaensis,Globorotalia crassaformis hessi,Pulleniatina obliquiloculata,Globigerina bermudezi,Globorotalia hirsuta,Globigerinoides ruber (pink),Beella digitata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,Late Pliocene    ,N19               ,N20           ,149, 900,A, 10,R, 2,  91.00,     76.5100,Gervais  ,Planktonic Foraminifers                      ,A              ,M                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,                      ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,                         ,                                                 ,                      ,                                      ,                  ,                         ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,F                                        ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,                      ,                   ,                        ,                  ,R                          ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,                       ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,F                                 ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,F                    ,                              ,                                ,                            ,                      ,                     ,C                ,C                 ,F                   ,                                 ,                        ,R                      ,                         ,                       ,                     ,                     ,                    ,                                  ,                           ,                          ,                       ,                            ,F                  ,                         ,C                                             ,C                            ,                                ,                        ,                        ,                    ,                        ,                             ,R                                ,                           ,                       ,A                        ,                               ,F                                     ,C                        ,                       ,                          ,                                  ,                                  ,                          ,                 ,                                           ,                         ,                             ,                    ,                      ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 9. page 179.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N19               ,              ,149, 900,A, 10,R, 4,  22.00,     78.8200,Gervais  ,Planktonic Foraminifers                      ,A              ,M                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,                      ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,R                        ,                                                 ,                      ,                                      ,                  ,                         ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,R                                        ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,                      ,                   ,                        ,R                 ,R                          ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,R                      ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,F                                 ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,F                    ,                              ,                                ,                            ,                      ,                     ,F                ,F                 ,R                   ,                                 ,                        ,R                      ,                         ,                       ,                     ,                     ,                    ,                                  ,C                          ,                          ,                       ,                            ,R                  ,                         ,F                                             ,F                            ,                                ,                        ,                        ,                    ,                        ,                             ,R                                ,R                          ,R                      ,                         ,                               ,                                      ,F                        ,                       ,R                         ,R                                 ,R                                 ,                          ,                 ,                                           ,                         ,                             ,                    ,                      ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 9. page 179.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N19               ,              ,149, 900,A, 11,R, 1,  78.00,     84.4800,Gervais  ,Planktonic Foraminifers                      ,A              ,M                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,                      ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,                         ,                                                 ,                      ,                                      ,                  ,                         ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,R                                        ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,                      ,                   ,                        ,                  ,                           ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,R                      ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,C                                 ,                        ,                               ,F                         ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,F                    ,R                             ,                                ,                            ,                      ,                     ,F                ,F                 ,R                   ,                                 ,                        ,R                      ,                         ,                       ,                     ,                     ,                    ,R                                 ,F                          ,                          ,                       ,                            ,R                  ,                         ,                                              ,F                            ,                                ,                        ,                        ,                    ,                        ,                             ,R                                ,                           ,R                      ,F                        ,R                              ,C                                     ,F                        ,                       ,R                         ,R                                 ,                                  ,                          ,                 ,                                           ,                         ,                             ,                    ,                      ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 9. page 179.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N19               ,              ,149, 900,A, 11,R, 2, 118.00,     86.3800,Gervais  ,Planktonic Foraminifers                      ,A              ,M                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,                      ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,                         ,                                                 ,                      ,                                      ,                  ,                         ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,                                         ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,                      ,                   ,                        ,                  ,                           ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,R                      ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,R                                 ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,F                    ,                              ,                                ,                            ,                      ,                     ,F                ,R                 ,R                   ,                                 ,                        ,R                      ,                         ,                       ,                     ,                     ,                    ,                                  ,R                          ,                          ,                       ,                            ,R                  ,                         ,                                              ,F                            ,                                ,                        ,                        ,                    ,                        ,                             ,R                                ,                           ,R                      ,F                        ,F                              ,R                                     ,                         ,                       ,                          ,                                  ,                                  ,                          ,                 ,                                           ,                         ,                             ,                    ,                      ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 9. page 179.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N19               ,              ,149, 900,A, 11,R, 3, 133.00,     88.0300,Gervais  ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,                      ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,                         ,                                                 ,                      ,                                      ,                  ,                         ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,                                         ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,                      ,                   ,                        ,                  ,                           ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,                       ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,F                                 ,                        ,                               ,R                         ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,F                    ,R                             ,                                ,                            ,                      ,                     ,F                ,R                 ,                    ,                                 ,                        ,R                      ,                         ,                       ,                     ,                     ,R                   ,                                  ,                           ,                          ,                       ,R                           ,                   ,R                        ,                                              ,F                            ,                                ,                        ,                        ,                    ,                        ,                             ,R                                ,                           ,R                      ,F                        ,F                              ,R                                     ,                         ,r                      ,                          ,                                  ,                                  ,                          ,                 ,                                           ,                         ,                             ,                    ,                      ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 9. page 179.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N19               ,              ,149, 900,A, 11,R, 4,  90.00,     89.1000,Gervais  ,Planktonic Foraminifers                      ,A              ,M                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,                      ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,                         ,                                                 ,                      ,                                      ,                  ,                         ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,R                                        ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,                      ,                   ,                        ,                  ,                           ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,R                      ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,F                                 ,                        ,                               ,R                         ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,R                    ,                              ,                                ,                            ,                      ,                     ,F                ,R                 ,                    ,                                 ,                        ,R                      ,                         ,                       ,                     ,                     ,                    ,                                  ,                           ,                          ,                       ,R                           ,R                  ,                         ,                                              ,F                            ,                                ,                        ,                        ,                    ,                        ,                             ,F                                ,R                          ,R                      ,F                        ,F                              ,R                                     ,F                        ,                       ,                          ,                                  ,                                  ,                          ,                 ,                                           ,                         ,                             ,                    ,                      ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 9. page 179.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N19               ,              ,149, 900,A, 11,R, 5,  11.00,     89.8100,Gervais  ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,                      ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,                         ,                                                 ,                      ,                                      ,                  ,                         ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,R                                        ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,                      ,                   ,                        ,R                 ,                           ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,R                      ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,                                  ,                        ,                               ,R                         ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,F                    ,                              ,                                ,                            ,                      ,                     ,F                ,R                 ,R                   ,                                 ,                        ,                       ,                         ,                       ,                     ,                     ,R                   ,R                                 ,R                          ,                          ,                       ,F                           ,R                  ,R                        ,                                              ,F                            ,                                ,                        ,                        ,                    ,                        ,                             ,F                                ,R                          ,R                      ,F                        ,F                              ,F                                     ,                         ,                       ,                          ,                                  ,                                  ,                          ,                 ,                                           ,                         ,                             ,                    ,                      ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 9. page 179.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N16               ,N17           ,149, 900,A, 11,R,CC,   7.00,     90.2500,Gervais  ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,                      ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,                         ,                                                 ,                      ,                                      ,                  ,                         ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,                                         ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,                      ,                   ,                        ,                  ,                           ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,                       ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,                                  ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,                     ,                              ,                                ,                            ,                      ,                     ,                 ,R                 ,                    ,                                 ,                        ,                       ,                         ,                       ,                     ,R                    ,                    ,                                  ,R                          ,                          ,                       ,                            ,                   ,                         ,                                              ,                             ,                                ,                        ,                        ,                    ,                        ,                             ,                                 ,                           ,                       ,                         ,                               ,                                      ,                         ,                       ,                          ,                                  ,                                  ,                          ,                 ,                                           ,                         ,                             ,                    ,                      ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 10. page 180.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N16               ,N17           ,149, 900,A, 12,R, 1,  54.00,     93.9400,Gervais  ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,                      ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,                         ,                                                 ,                      ,                                      ,                  ,                         ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,                                         ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,                      ,                   ,                        ,                  ,                           ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,                       ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,                                  ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,R                            ,                         ,R                    ,                              ,                                ,                            ,                      ,                     ,F                ,R                 ,R                   ,                                 ,                        ,R                      ,                         ,                       ,                     ,                     ,                    ,F                                 ,F                          ,                          ,                       ,F                           ,R                  ,                         ,                                              ,F                            ,                                ,                        ,                        ,                    ,                        ,                             ,                                 ,R                          ,                       ,                         ,                               ,                                      ,                         ,                       ,                          ,                                  ,                                  ,                          ,                 ,                                           ,                         ,                             ,                    ,                      ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 10. page 180.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N16               ,N17           ,149, 900,A, 12,R, 2, 102.00,     95.9200,Gervais  ,Planktonic Foraminifers                      ,F              ,M                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,                      ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,R                        ,                                                 ,                      ,                                      ,                  ,                         ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,R                                        ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,                      ,                   ,                        ,                  ,                           ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,                       ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,R                                 ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,                     ,                              ,                                ,                            ,                      ,                     ,R                ,R                 ,                    ,                                 ,                        ,                       ,                         ,                       ,                     ,                     ,                    ,                                  ,R                          ,R                         ,                       ,R                           ,R                  ,                         ,                                              ,                             ,                                ,                        ,                        ,                    ,                        ,                             ,                                 ,                           ,                       ,                         ,                               ,                                      ,                         ,                       ,                          ,                                  ,                                  ,                          ,                 ,                                           ,                         ,                             ,                    ,                      ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 10. page 180.
