Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,reticulofenstrids small,Syracosphaera spp.,Sphenolithus gr. moriformis/abies,Rhabdosphaera spp.,Reticulofenestra pseudoumbilicus,Helicosphaera intermedia,Helicosphaera carteri,Discoaster surculus,Discoaster spp.,Discoaster pentaradiatus,Discoaster gr. variabilis,Discoaster brouweri,Dictyococcites spp.,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Scyphosphaera spp.,Pontosphaera spp.,Scapholithus fossilis,Discoaster intercalaris,Helicosphaera stalis,Umbilicosphaera spp.,Reticulofenestra pseudoumbilicus (circular outline),Florisphaera profunda,Amaurolithus primus/tricorniculatus,Amaurolithus delicatus,Thoracosphaera spp.,Ceratolithus acutus,Triquetrorhabdulus rugosus,Comment
  SR,                 ,                 ,                  ,              ,160, 969,B, 11,H, 6, 124.00,     97.1400,Castradori,Nannofossils                                 ,A              ,M/G               ,A                      ,F                 ,A                                ,C                 ,A                               ,R/F                     ,C                    ,10                 ,10             ,10                      ,510                      ,140                ,F                  ,R                    ,F                     ,C                     ,C                 ,C                ,F                    ,                       ,                    ,C                   ,A                                                  ,200                  ,20                                 ,40                    ,                   ,                   ,                          ,from Leg 160Sr Ch. 9. Table 1. Base of primary marine assemblage. Total Discoaster Abundance = 680. Base of primary marine assemblage. Common foraminifers. Common dolomite. Rare crystals. Abundant organic matter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 969,B, 11,H, 6, 128.00,     97.1800,Castradori,Nannofossils                                 ,A              ,M                 ,A                      ,                  ,C/A                              ,                  ,A                               ,R                       ,C                    ,R                  ,F              ,R                       ,R                        ,                   ,C                  ,A                    ,R                     ,C                     ,                  ,F                ,                     ,R                      ,R                   ,                    ,                                                   ,                     ,                                   ,                      ,                   ,                   ,                          ,from Leg 160Sr Ch. 9. Table 1. Abundant reworked Cretaceous taxa. Abundant reworked Cenozoic taxa. Common gypsum crystals. Abundant dolomite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 969,B, 11,H, 6, 139.00,     97.2900,Castradori,Nannofossils                                 ,A              ,M                 ,A                      ,                  ,C                                ,F                 ,A                               ,F                       ,C                    ,                   ,F              ,                        ,                         ,                   ,C                  ,C                    ,F                     ,F/C                   ,                  ,F                ,R                    ,R                      ,                    ,                    ,                                                   ,                     ,                                   ,                      ,                   ,                   ,                          ,from Leg 160Sr Ch. 9. Table 1. Common/Abundant reworked Cretaceous taxa. Abundant reworked Cenozoic taxa. Common gypsum crystals. Abundant dolomite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 969,B, 11,H, 7,   8.00,     97.4800,Castradori,Nannofossils                                 ,C              ,P/M               ,C                      ,R                 ,C                                ,                  ,C                               ,R                       ,F/C                  ,                   ,F              ,                        ,R                        ,R                  ,C                  ,C                    ,R                     ,F/C                   ,RR                ,F                ,                     ,                       ,                    ,                    ,                                                   ,                     ,                                   ,                      ,                   ,                   ,                          ,from Leg 160Sr Ch. 9. Table 1.  Abundant reworked Cretaceous taxa. Common reworked Cenozoic taxa. Common gypsum crystals. Common dolomite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 969,B, 11,H, 7,  40.00,     97.8000,Castradori,Nannofossils                                 ,C/A            ,P/M               ,A                      ,R                 ,C                                ,R                 ,A                               ,R                       ,C                    ,R                  ,F              ,R                       ,R/F                      ,R/F                ,C                  ,C                    ,R                     ,C                     ,                  ,                 ,                     ,                       ,                    ,                    ,                                                   ,                     ,                                   ,                      ,                   ,                   ,                          ,from Leg 160Sr Ch. 9. Table 1.  Common/Abundant reworked Cretaceous taxa. Sparce/Commont reworked Cenozoic taxa. Common gypsum crystals. Abundant dolomite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
