Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Sphenolithus predistentus,Sphenolithus moriformis,Reticulofenestra spp. (small - medium),Helicosphaera recta,Helicosphaera euphratis,Helicosphaera carteri,Discoaster tanii,Discoaster deflandrei,Dictyococcites bisectus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Sphenolithus pseudoradians,Sphenolithus distentus,Thorosphaera flabellata,Sphenolithus ciperoensis,Coronocyclus nitescens,Triquetrorhabdulus carinatus,Chiasmolithus altus,Sphenolithus dissimilis,Sphenolithus conicus,Discoaster druggii,Discoaster adamanteus,Discoaster variabilis,Reticulofenestra pseudoumbilicus,Florisphaera profunda,Sphenolithus compactus,Helicosphaera ampliaperta,Calcidiscus premacintyrei,Sphenolithus belemnos,Discoaster bollii,Umbilicosphaera sibogae,Discoaster moorei,Calcidiscus leptoporus,Sphenolithus heteromorphus,Discoaster petaliformis,Discoaster exilis,Discoaster calcaris,Helicosphaera granulata,Pontosphaera spp.,Calcidiscus macintyrei,Triquetrorhabdulus rugosus,Sphenolithus abies/neoabies,Discoaster kugleri,Discoaster prepentaradiatus,Discoaster surculus,Discoaster hamatus,Discoaster brouweri,Catinaster coalitus,Catinaster calyculus,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Amaurolithus primus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus amplificus,Pseudoemiliania lacunosa,Ceratolithus rugosus,Ceratolithus acutus,Rhabdosphaera clavigera,Discoaster tamalis,Ceratolithus cristatus,Syracosphaera pulchra,Syracosphaera spp.,Scapholithus fossilis,Gephyrocapsa spp. (small),Helicosphaera sellii,Gephyrocapsa oceanica,Oolithotus antillarum,Gephyrocapsa margerelii,Gephyrocapsa caribbeanica,Umbellosphaera irregularis,Helicosphaera hyalina,Reticulofenestra asanoi,Umbellosphaera tenuis,Emiliania huxleyi,Comment
  IR,Late Miocene     ,Late Miocene     ,NN11              ,NN11          ,184,1148,A, 23,X,CC,  13.00,    210.6800,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,                     ,                ,                     ,                       ,                           ,C                    ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,F                    ,C                               ,C                    ,                      ,                         ,                         ,                     ,                 ,                       ,                 ,C                     ,                          ,                       ,                 ,                   ,                       ,                 ,C                     ,F                         ,A                          ,                  ,                           ,F                  ,                  ,C                  ,                   ,                    ,C                       ,F                      ,A                    ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,NN11              ,NN11          ,184,1148,A, 24,X,CC,  41.00,    219.5800,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,C                    ,                ,                     ,                       ,                           ,C                    ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,F                    ,C                               ,A                    ,                      ,                         ,                         ,                     ,                 ,                       ,                 ,C                     ,                          ,                       ,                 ,                   ,                       ,                 ,C                     ,F                         ,A                          ,                  ,                           ,F                  ,                  ,C                  ,                   ,                    ,C                       ,F                      ,A                    ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,NN10              ,NN10          ,184,1148,A, 25,X,CC,  32.00,    230.1500,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,C                    ,                ,                     ,                       ,                           ,C                    ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,F                    ,C                               ,A                    ,                      ,                         ,                         ,                     ,                 ,                       ,                 ,F                     ,                          ,                       ,                 ,                   ,                       ,                 ,C                     ,F                         ,A                          ,                  ,                           ,F                  ,                  ,C                  ,                   ,                    ,C                       ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,NN10              ,NN10          ,184,1148,A, 26,X,CC,  40.00,    238.8500,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,F                    ,                ,                     ,                       ,                           ,F                    ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,C                    ,C                               ,C                    ,                      ,                         ,                         ,                     ,                 ,                       ,                 ,F                     ,                          ,                       ,                 ,                   ,                       ,                 ,C                     ,F                         ,A                          ,                  ,                           ,F                  ,                  ,C                  ,                   ,                    ,F                       ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,NN10              ,NN10          ,184,1148,A, 27,X,CC,  45.00,    249.4000,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,                     ,                ,                     ,                       ,                           ,F                    ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,C                    ,A                               ,C                    ,                      ,                         ,                         ,                     ,                 ,                       ,                 ,F                     ,                          ,                       ,                 ,                   ,                       ,                 ,C                     ,R                         ,A                          ,                  ,                           ,R                  ,R                 ,F                  ,R                  ,                    ,R                       ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,NN9               ,NN9           ,184,1148,A, 28,X,CC,  23.00,    259.0000,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,F                    ,                ,                     ,                       ,                           ,F                    ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,C                    ,A                               ,C                    ,                      ,                         ,                         ,                     ,                 ,                       ,                 ,F                     ,                          ,                       ,                 ,                   ,                       ,                 ,C                     ,R                         ,A                          ,                  ,                           ,R                  ,F                 ,F                  ,C                  ,F                   ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,NN8               ,NN8           ,184,1148,A, 29,X,CC,  26.00,    267.2000,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,F                      ,C                                     ,                   ,                       ,F                    ,                ,F                    ,                       ,                           ,A                    ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,F                 ,                     ,C                    ,A                               ,D                    ,                      ,                         ,                         ,                     ,                 ,                       ,R                ,F                     ,                          ,                       ,                 ,R                  ,R                      ,                 ,C                     ,F                         ,C                          ,R                 ,R                          ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Late Miocene     ,NN7               ,NN7           ,184,1148,A, 30,X,CC,  29.00,    278.1700,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,                     ,                ,F                    ,                       ,F                          ,C                    ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,A                    ,C                               ,C                    ,                      ,                         ,                         ,                     ,F                ,F                      ,R                ,                      ,                          ,                       ,                 ,                   ,                       ,                 ,C                     ,F                         ,C                          ,F                 ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Middle Miocene   ,NN6               ,NN6           ,184,1148,A, 31,X,CC,  40.00,    287.7800,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,R                      ,A                                     ,                   ,                       ,F                    ,                ,C                    ,                       ,                           ,C                    ,R                       ,                          ,                      ,                       ,                        ,R                     ,                            ,                   ,                       ,                    ,R                 ,                     ,C                    ,C                               ,A                    ,                      ,                         ,                         ,                     ,                 ,C                      ,R                ,F                     ,                          ,                       ,                 ,C                  ,                       ,                 ,R                     ,F                         ,C                          ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Middle Miocene   ,NN5               ,NN5           ,184,1148,A, 32,X,CC,  16.00,    297.2100,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,C                    ,                ,R                    ,                       ,C                          ,C                    ,R                       ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,C                    ,                                ,A                    ,                      ,                         ,F                        ,                     ,                 ,C                      ,                 ,F                     ,A                         ,F                      ,R                ,F                  ,R                      ,                 ,F                     ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Middle Miocene   ,NN5               ,NN5           ,184,1148,A, 33,X,CC,  21.00,    306.9500,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,C                    ,                ,F                    ,                       ,A                          ,C                    ,R                       ,                          ,                      ,                       ,                        ,F                     ,                            ,                   ,                       ,                    ,F                 ,                     ,C                    ,                                ,A                    ,                      ,                         ,F                        ,                     ,                 ,C                      ,F                ,                      ,A                         ,                       ,                 ,                   ,F                      ,                 ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Middle Miocene   ,NN5               ,NN5           ,184,1148,A, 34,X,CC,  30.00,    316.7000,nannos   ,Nannofossils                                 ,A              ,P                 ,                       ,                         ,C                      ,A                                     ,                   ,                       ,F                    ,                ,C                    ,                       ,C                          ,C                    ,R                       ,                          ,                      ,                       ,                        ,R                     ,                            ,                   ,                       ,                    ,                  ,                     ,F                    ,                                ,A                    ,                      ,R                        ,F                        ,                     ,                 ,C                      ,R                ,F                     ,A                         ,C                      ,                 ,R                  ,F                      ,R                ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Middle Miocene   ,NN5               ,NN5           ,184,1148,A, 35,X,CC,  14.00,    326.2100,nannos   ,Nannofossils                                 ,A              ,P                 ,                       ,                         ,F                      ,A                                     ,                   ,                       ,C                    ,                ,C                    ,                       ,C                          ,C                    ,R                       ,                          ,                      ,                       ,                        ,R                     ,                            ,                   ,                       ,                    ,                  ,                     ,C                    ,                                ,C                    ,F                     ,R                        ,F                        ,                     ,                 ,C                      ,R                ,F                     ,A                         ,C                      ,                 ,                   ,F                      ,                 ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Middle Miocene   ,NN4               ,NN4           ,184,1148,A, 36,X,CC,  35.00,    336.0200,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,F                    ,                ,C                    ,                       ,A                          ,F                    ,F                       ,                          ,                      ,                       ,                        ,F                     ,                            ,                   ,                       ,                    ,R                 ,                     ,C                    ,F                               ,C                    ,C                     ,R                        ,R                        ,                     ,F                ,C                      ,R                ,R                     ,A                         ,C                      ,F                ,F                  ,                       ,                 ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Middle Miocene   ,NN4               ,NN4           ,184,1148,A, 37,X,CC,  19.00,    345.4800,nannos   ,Nannofossils                                 ,C              ,P                 ,                       ,                         ,                       ,C                                     ,                   ,                       ,                     ,                ,C                    ,                       ,A                          ,F                    ,R                       ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,F                 ,                     ,R                    ,C                               ,F                    ,C                     ,R                        ,R                        ,                     ,                 ,C                      ,R                ,R                     ,C                         ,                       ,                 ,                   ,                       ,                 ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Middle Miocene   ,NN4               ,NN4           ,184,1148,A, 38,X,CC,  32.00,    355.0900,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,                     ,                ,C                    ,                       ,A                          ,C                    ,F                       ,                          ,                      ,                       ,                        ,F                     ,                            ,                   ,                       ,                    ,F                 ,                     ,F                    ,                                ,F                    ,F                     ,R                        ,R                        ,                     ,                 ,C                      ,F                ,F                     ,A                         ,                       ,                 ,                   ,                       ,                 ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,NN3               ,NN3           ,184,1148,A, 39,X,CC,  26.00,    364.6400,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,F                                     ,                   ,                       ,                     ,                ,C                    ,                       ,F                          ,C                    ,                        ,                          ,                      ,                       ,                        ,F                     ,                            ,                   ,                       ,                    ,F                 ,R                    ,R                    ,C                               ,                     ,C                     ,R                        ,R                        ,C                    ,                 ,F                      ,F                ,F                     ,                          ,                       ,                 ,                   ,                       ,                 ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,NN3               ,NN3           ,184,1148,A, 40,X,CC,  26.00,    374.2100,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,F                    ,                ,C                    ,                       ,A                          ,C                    ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,F                 ,                     ,C                    ,R                               ,F                    ,F                     ,F                        ,R                        ,C                    ,F                ,                       ,                 ,                      ,                          ,                       ,                 ,                   ,                       ,                 ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,NN2               ,NN2           ,184,1148,A, 41,X,CC,  40.00,    384.1200,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,                     ,                ,C                    ,                       ,A                          ,C                    ,                        ,                          ,                      ,                       ,                        ,                      ,R                           ,                   ,C                      ,C                   ,F                 ,                     ,C                    ,R                               ,F                    ,C                     ,                         ,R                        ,                     ,                 ,                       ,                 ,                      ,                          ,                       ,                 ,                   ,                       ,                 ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,NN2               ,NN2           ,184,1148,A, 42,X,CC,  24.00,    393.4500,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,                     ,                ,C                    ,                       ,A                          ,C                    ,                        ,                          ,                      ,                       ,                        ,                      ,F                           ,                   ,C                      ,C                   ,F                 ,                     ,C                    ,R                               ,R                    ,C                     ,                         ,R                        ,                     ,                 ,                       ,                 ,                      ,                          ,                       ,                 ,                   ,                       ,                 ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,NN2               ,NN2           ,184,1148,A, 43,X,CC,  36.00,    403.1100,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,F                    ,                ,C                    ,                       ,A                          ,C                    ,                        ,                          ,                      ,                       ,                        ,                      ,R                           ,                   ,C                      ,C                   ,F                 ,                     ,C                    ,R                               ,F                    ,                      ,                         ,F                        ,                     ,                 ,                       ,                 ,                      ,                          ,                       ,                 ,                   ,                       ,                 ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,NN2               ,NN2           ,184,1148,A, 44,X,CC,  38.00,    413.0300,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,F                    ,                ,C                    ,                       ,A                          ,C                    ,                        ,                          ,                      ,                       ,                        ,                      ,R                           ,                   ,C                      ,C                   ,R                 ,                     ,C                    ,                                ,                     ,C                     ,R                        ,F                        ,                     ,                 ,                       ,                 ,                      ,                          ,                       ,                 ,                   ,                       ,                 ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,NN2               ,NN2           ,184,1148,A, 45,X,CC,  41.00,    422.7700,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,F                    ,                ,C                    ,                       ,A                          ,C                    ,                        ,                          ,                      ,                       ,                        ,                      ,R                           ,                   ,C                      ,C                   ,R                 ,                     ,C                    ,                                ,R                    ,                      ,                         ,                         ,                     ,                 ,                       ,                 ,                      ,                          ,                       ,                 ,                   ,                       ,                 ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,NN2               ,NN2           ,184,1148,A, 46,X,CC,  42.00,    431.8400,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,                     ,                ,C                    ,                       ,A                          ,C                    ,                        ,                          ,                      ,                       ,                        ,                      ,R                           ,                   ,C                      ,C                   ,R                 ,                     ,C                    ,R                               ,F                    ,                      ,                         ,                         ,                     ,                 ,                       ,                 ,                      ,                          ,                       ,                 ,                   ,                       ,                 ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,NN2               ,NN2           ,184,1148,A, 47,X,CC,  41.00,    442.0900,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,                     ,                ,C                    ,                       ,A                          ,C                    ,                        ,                          ,                      ,                       ,                        ,                      ,R                           ,                   ,C                      ,C                   ,R                 ,                     ,C                    ,                                ,                     ,                      ,                         ,                         ,                     ,                 ,                       ,                 ,                      ,                          ,                       ,                 ,                   ,                       ,                 ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
