Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Orbulina universa,Orbulina suturalis,Neogloboquadrina incompta (sinsitral),Neogloboquadrina incompta (dextral),Neogloboquadrina cf. pachyderma,Neogloboquadrina acostaensis (sinistral),Neogloboquadrina acostaensis (dextral),Globorotaloides spp.,Globorotalia scitula (dextral),Globorotalia margaritae,Globigerinoides trilobus s.l.,Globigerinoides obliquus obliquus,Globigerinita glutinata,Globigerinids sp.,Globigerina quinqueloba,Globigerina nepenthes,Globigerina foliata,Globigerina falconensis,Globigerina decoraperta,Globigerina bulloides,Neogloboquadrina praehumerosa,Hastigerina siphonifera,Globorotalia scitula (sinistral),Globigerinoides trilobus,Globigerinella praecalida,Globigerina cf. woodi,Globoquadrina spp.,Globigerinoides ruber,Globigerinella pseudobesa,Globigerinella obesa,Globigerina apertura,Beella praedigitata,Orbulina bilobata,Globorotalia menardii group,Globigerinoides quadrilobatus,Globigerinoides obliquus extremus,Globigerinoides bulloideus,Globigerinoides sacculifer,Neogloboquadrina humerosa,Globigerinita uvula,Turborotalita sp.,Comment
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,  50.00,    304.4000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                              ,F                ,F                 ,F                                    ,R                                  ,                               ,C14.3%                                  ,F3.7%                                 ,                    ,F2.2%                         ,                       ,                             ,C                                ,C                      ,C                ,F                      ,C6.8%                ,                   ,                       ,C                      ,C                    ,                             ,R                      ,                                ,                        ,                         ,                     ,                  ,                     ,R                        ,F                   ,                    ,R                  ,                 ,                           ,R                            ,R                                ,                          ,                          ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,  62.00,    304.5200,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R.5%                          ,C                ,R                 ,R                                    ,F                                  ,R                              ,                                        ,A26.1%                                ,R                   ,R.3%                          ,                       ,R                            ,C                                ,C                      ,F                ,F                      ,F4.0%                ,R                  ,F                      ,C                      ,C                    ,R                            ,R                      ,R.3%                            ,                        ,                         ,                     ,R                 ,                     ,R                        ,                    ,                    ,                   ,R                ,                           ,F                            ,                                 ,R                         ,R                         ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,  70.00,    304.6000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                              ,F                ,F                 ,                                     ,F                                  ,R                              ,R.3%                                    ,A20.5%                                ,R                   ,R1.0%                         ,                       ,R                            ,C                                ,A                      ,F                ,F                      ,F2.9%                ,                   ,R                      ,C                      ,F                    ,                             ,R                      ,                                ,                        ,                         ,                     ,                  ,                     ,R                        ,                    ,                    ,                   ,                 ,                           ,                             ,                                 ,                          ,R                         ,R                        ,R                  ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,  80.00,    304.7000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                              ,F                ,                  ,R                                    ,F                                  ,                               ,F1.3%                                   ,A15.8%                                ,F                   ,F2.3%                         ,                       ,                             ,C                                ,A                      ,F                ,F                      ,F3.9%                ,R                  ,                       ,C                      ,F                    ,R                            ,                       ,                                ,                        ,                         ,                     ,                  ,                     ,R                        ,                    ,                    ,                   ,R                ,                           ,                             ,                                 ,                          ,                          ,R                        ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,  85.00,    304.7500,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                              ,F                ,F                 ,                                     ,F                                  ,                               ,                                        ,F13.9%                                ,R                   ,                              ,                       ,                             ,A                                ,A                      ,C                ,F                      ,F2.2%                ,                   ,                       ,C                      ,F                    ,                             ,                       ,R.3%                            ,                        ,                         ,                     ,                  ,                     ,                         ,                    ,                    ,                   ,                 ,                           ,                             ,F                                ,                          ,                          ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,  90.00,    304.8000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                              ,F                ,R                 ,                                     ,F                                  ,R                              ,F1.2%                                   ,A16.4%                                ,R                   ,                              ,                       ,                             ,A                                ,A                      ,F                ,F                      ,C6.1%                ,R                  ,R                      ,C                      ,F                    ,                             ,F                      ,                                ,                        ,                         ,                     ,                  ,                     ,R                        ,                    ,                    ,                   ,                 ,                           ,                             ,F                                ,R                         ,                          ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,  98.00,    304.8800,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                              ,F                ,F                 ,                                     ,R                                  ,                               ,R.6%                                    ,A17.0%                                ,R                   ,                              ,                       ,                             ,A                                ,A                      ,F                ,F                      ,F5.0%                ,                   ,R                      ,F                      ,F                    ,                             ,R                      ,                                ,                        ,                         ,                     ,                  ,                     ,                         ,                    ,                    ,R                  ,                 ,                           ,                             ,F                                ,                          ,                          ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2, 100.00,    304.9000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                              ,F                ,F                 ,R                                    ,R                                  ,                               ,F1.3%                                   ,F6.9%                                 ,R                   ,R.3%                          ,                       ,F                            ,A                                ,A                      ,C                ,                       ,F1.6%                ,R                  ,                       ,C                      ,R                    ,                             ,R                      ,                                ,                        ,                         ,                     ,                  ,                     ,                         ,                    ,                    ,                   ,                 ,                           ,R                            ,                                 ,                          ,R                         ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2, 105.00,    304.9500,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                              ,F                ,F                 ,                                     ,R                                  ,R                              ,                                        ,A16.8%                                ,R                   ,                              ,                       ,                             ,C                                ,A                      ,F                ,F                      ,F1.6%                ,R                  ,R                      ,C                      ,F                    ,                             ,R                      ,R.3%                            ,                        ,                         ,R                    ,                  ,                     ,R                        ,                    ,                    ,R                  ,                 ,                           ,F                            ,R                                ,                          ,R                         ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2, 114.00,    305.0400,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                              ,F                ,R                 ,                                     ,F                                  ,                               ,R.6%                                    ,C7.1%                                 ,R                   ,                              ,                       ,C                            ,A                                ,A                      ,F                ,F                      ,C7.3%                ,F                  ,                       ,C                      ,F                    ,R                            ,R                      ,                                ,                        ,                         ,                     ,                  ,                     ,                         ,                    ,R                   ,R                  ,                 ,                           ,F                            ,                                 ,                          ,F                         ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2, 116.00,    305.0600,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                              ,F                ,F                 ,                                     ,R                                  ,                               ,                                        ,C6.8%                                 ,F                   ,                              ,                       ,F                            ,A                                ,A                      ,R                ,F                      ,C5.6%                ,R                  ,                       ,C                      ,F                    ,                             ,                       ,                                ,                        ,                         ,                     ,                  ,                     ,R                        ,                    ,                    ,R                  ,                 ,                           ,C                            ,R                                ,                          ,F                         ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2, 120.00,    305.1000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R.5%                          ,F                ,F                 ,                                     ,                                   ,                               ,R.3%                                    ,F2.9%                                 ,R                   ,                              ,                       ,F                            ,A                                ,A                      ,F                ,F                      ,C5.5%                ,R                  ,R                      ,A                      ,F                    ,                             ,R                      ,R.3%                            ,R                       ,                         ,R                    ,                  ,R                    ,                         ,                    ,                    ,R                  ,                 ,                           ,C                            ,R                                ,                          ,F                         ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2, 129.00,    305.1900,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                              ,C                ,F                 ,                                     ,F                                  ,R                              ,R.3%                                    ,C11.0%                                ,F                   ,R.3%                          ,                       ,R                            ,A                                ,C                      ,F                ,F                      ,R.9%                 ,                   ,R                      ,A                      ,C                    ,R                            ,R                      ,R.3%                            ,                        ,                         ,                     ,                  ,                     ,R                        ,                    ,                    ,R                  ,R                ,                           ,R                            ,F                                ,                          ,R                         ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2, 130.00,    305.2000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                              ,A                ,C                 ,R                                    ,                                   ,                               ,R.8%                                    ,F4.8%                                 ,                    ,F.8%                          ,                       ,F                            ,A                                ,C                      ,F                ,F                      ,F2.7%                ,R                  ,R                      ,C                      ,C                    ,R                            ,R                      ,R.8%                            ,                        ,                         ,                     ,                  ,                     ,                         ,                    ,                    ,F                  ,F                ,F                          ,F                            ,R                                ,R                         ,                          ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2, 132.00,    305.2200,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R.6%                          ,A                ,F                 ,F                                    ,                                   ,                               ,R.6%                                    ,C7.0%                                 ,                    ,                              ,                       ,F                            ,A                                ,C                      ,F                ,C                      ,F1.3%                ,R                  ,F                      ,A                      ,F                    ,                             ,                       ,R.6%                            ,F                       ,                         ,                     ,                  ,                     ,                         ,                    ,                    ,R                  ,                 ,                           ,                             ,                                 ,                          ,                          ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 3,   6.00,    305.4600,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R.3%                          ,R                ,                  ,R                                    ,F                                  ,                               ,F1.2%                                   ,A18.1%                                ,F                   ,F2.3%                         ,c                      ,                             ,C                                ,A                      ,C                ,F                      ,F2.9%                ,R                  ,F                      ,C                      ,C                    ,                             ,                       ,                                ,                        ,                         ,                     ,R                 ,R                    ,F                        ,R                   ,R                   ,F                  ,                 ,                           ,                             ,                                 ,                          ,                          ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 3,  33.00,    305.7300,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                              ,R                ,R                 ,F                                    ,C                                  ,                               ,R.8%                                    ,C12.8%                                ,R                   ,F1.0%                         ,c                      ,                             ,F                                ,A                      ,F                ,A                      ,F4.8%                ,F                  ,F                      ,C                      ,F                    ,R                            ,R                      ,R.5%                            ,R                       ,R                        ,R                    ,                  ,                     ,                         ,                    ,                    ,                   ,                 ,                           ,                             ,                                 ,                          ,                          ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 3,  35.00,    305.7500,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R.2%                          ,R                ,R                 ,R                                    ,F                                  ,R                              ,R1.3%                                   ,C13.2%                                ,F                   ,R.6%                          ,c                      ,R                            ,F                                ,A                      ,F                ,A                      ,F5.0%                ,R                  ,F                      ,C                      ,F                    ,                             ,                       ,                                ,                        ,                         ,                     ,                  ,                     ,                         ,                    ,                    ,                   ,                 ,                           ,                             ,                                 ,                          ,                          ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
