Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygabikodinium lenticulatum	Xandarodinium xanthum	Tuberculodinium vancampoae	Trinovantedinium capitatum	Tectatodinium sp. II	Tectatodinium sp. I	Tectatodinium pellitum	Stelladinium reidii	Spiniferites spp.	Spiniferites scabratus	Spiniferites elongatus	Spiniferites bentorii	Selenopemphix quanta	Selenopemphix nephroides	Quinquecuspis spp.	Polysphaeridium zoharyi	Peridinium faeroense	Pediastrum sp.	Operculodinium israelianum	Operculodinium centrocarpum	Nematosphaeropsis lemniscata	Nematosphaeropsis labyrinthea	Multispinula minuta	Lingulodinium machaerophorum	Impagidinium spp.	Impagidinium sphaericum	Impagidinium multiplexum	Filisphaera filifera	Cordosphaeridium sp. 1	Brigantedinium sp. group. H	Brigantedinium sp. group B	Brigantedinium simplex	Bitectatodinium tepikiense	Ataxiodinium choanum	Achomosphaera ramulifera	Achomosphaera andalousiensis	Comment
  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  6	H	 5	  86.00	     49.4600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	-                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	R                   	-             	-                         	A                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	R                          	-                         	-                     	C                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  6	H	CC	  14.00	     50.1600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	R                   	-                  	-                     	-                  	R                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	A                          	-                           	R                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	R                          	-                         	-                     	C                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  7	H	 1	  86.00	     52.9600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	R                    	-                         	-                         	R                   	-                  	-                     	-                  	C                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	C                          	-                           	R                            	R                  	-                           	-                	-                      	-                       	-                   	-                     	R                          	-                         	R                     	C                         	-                   	-                       	R                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  7	H	 2	  86.00	     54.4600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	-                	C                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	A                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	-                          	-                         	-                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	                 	                 	                  	              	104	 644	B	  7	H	 3	  86.00	     55.9600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	B              	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	-                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	-                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	-                          	-                         	-                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

