Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira zabellinae	Thalassiosira marujamica	Thalassionema nitzschioides	Stephanopyxis turris	Stephanopyxis spp.	Rouxia californica	Rhizosolenia styliformis	Rhizosolenia hebetata	Rhizosolenia barboi	Paralia sulcata	Nitzschia sp. 1	Neodenticula kamtschatica	Grammatophora spp.	Denticulopsis hustedtii	Denticulopsis dimorpha	Delphineis simonsenii	Coscinodiscus oculus-iridis	Coscinodiscus marginatus	Cocconeis scutellum	Cocconeis pseudomarginatus	Cocconeis disculus	Cocconeis costata	Cocconeis californica	Chaetoceros spp.	Amphora ovalis	Actinoptychus senarius	Actinocyclus octonarius	Thalassiosira sp. 1	Thalassiosira jacksonii	Thalassiosira eccentrica	Thalassiosira antiqua	Roperia tesselata	Rhabdonema japonicum	Plagiogramma staurophorum	Odontella aurita	Navicula pygmaea	Mediaria splendida	Goniothecium tenue	Denticulopsis hyalina	Delphineis surirella	Cymatosira debyi	Coscinodiscus symbolophorus	Coscinodiscus obscurus	Coscinodiscus elegans	Rhizosolenia alata	Diploneis smithii	Diploneis bombus	Charcotia actinochilus	Azpeitia endoi	Aulacoseira granulata	Actinocyclus ingens	Trachyneis aspera	Thalassiosira trifulta	Thalassiosira hyalina	Rhizosolenia setigera	Nitzschia rolandii	Delphineis angustata	Thalassiosira sp. g	Thalassiosira oestrupii	Thalassiosira leptopus	Thalassiosira gravida	Thalassionema bacillaris	Melosira albicans	Coscinodiscus stellaris	Cocconeis placentula var. euglypta	Thalassiothrix frauenfeldii	Thalassiosira nidulus	Thalassiosira lineata	Delphineis ischaboensis	Stephanodiscus astraea	Cocconeis decipiens	Actinocyclus curvatulus	Cocconeis vitrea	Azpeitia nodulifer	Achnanthes groenlandica	Thalassionema hirosakiensis	Campyloneis grevillei	Asteromphalus flabellatus	Rossiella tatsunokuchiensis	Cyclotella kutzingiana	Coscinodiscus radiatus	Actinocyclus oculatus	Thalassiosira nordenskioeldii	Rhaphoneis amphiceros	Opephora martyi	Nitzschia reinholdii	Actinocyclus ochotensis	Nitzschia cylindrica	Hemidiscus cuneiformis	Bacterosira fragilis	Delphineis margalitalimbata	Thalassiosira pacifica	Thalassiosira burckliana	Nitzschia fossilis	Bacillaria paradoxa	Thalassiosira convexa	Synedra jouseana	Neodenticula koizumii	Nitzschia grunowii	Neodenticula seminae	Thalassiosira temperei	Pseudopodosira elegans	Porosira glacialis	Nitzschia granulata	Navicula mutica	Cyclotella comta	Cyclotella chaetoceras	Tetracyclus lacustris	Rhizosolenia curvirostris	Pseudosolenia calcar-avis	Pseudoeunotia doliolus	Nitzschia sicula	Nitzschia marina	Fragilaria construens	Cyclotella striata	Coscinodiscus subtilis	Pinnularia borealis	Diploneis ovalis	Diploneis oculata	Delphineis kippae	Pinnularia molaris	Denticulopsis lauta	Rhopalodia gibberula	Gomphonema spp.	Gomphonema angustatum	Fragilaria pinnata	Diploneis suborbicularis	Comment
  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 796	A	 17	X	 1	  27.00	    136.7700	Koizumi  	Diatoms                                      	               	                  	                         	3                       	                        	10                         	45                  	2                 	                  	7                       	                     	                   	1              	1              	91                       	                  	                       	                      	                     	                           	15                      	2                  	                          	1                 	5                	                     	21              	              	1                     	                       	                   	                       	                        	                     	                 	                    	                         	                	                	                  	                  	                     	1                   	                	                           	                      	                     	                  	                 	                	                      	              	                     	                   	                 	4                     	                     	                     	                  	                    	1                  	1                      	                      	1                    	                        	2                	                       	                                  	                           	                     	                     	1                      	                      	                   	                       	                	                  	                       	                           	                     	                         	                           	                      	                      	1                    	1                            	1                    	1              	1                   	1                      	                    	                      	                    	                           	                      	                        	                  	                   	                     	                	                     	                  	                    	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 796	A	 17	X	 5	  25.00	    142.7500	Koizumi  	Diatoms                                      	               	                  	1                        	                        	                        	16                         	29                  	3                 	                  	                        	                     	                   	4              	1              	4                        	                  	                       	                      	                     	1                          	6                       	                   	                          	                  	                 	                     	47              	              	2                     	1                      	                   	1                      	1                       	                     	                 	1                   	                         	                	                	                  	r1                	                     	                    	                	                           	                      	                     	                  	                 	5               	                      	              	4                    	                   	                 	2                     	1                    	1                    	                  	                    	                   	7                      	                      	2                    	1                       	                 	2                      	                                  	                           	                     	                     	                       	                      	1                  	2                      	                	1                 	                       	                           	                     	                         	                           	1                     	3                     	9                    	                             	                     	               	                    	                       	                    	                      	                    	                           	                      	                        	                  	                   	                     	                	                     	                  	                    	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 796	A	 18	X	 3	  25.00	    149.4500	Koizumi  	Diatoms                                      	               	                  	1                        	1                       	                        	26                         	10                  	1                 	                  	8                       	                     	                   	               	1              	108                      	                  	                       	                      	                     	                           	10                      	                   	                          	                  	2                	1                    	23              	              	5                     	                       	                   	                       	                        	6                    	                 	                    	1                        	2               	                	                  	r1                	                     	                    	                	                           	                      	                     	                  	                 	                	                      	              	                     	                   	                 	8                     	                     	                     	                  	                    	1                  	2                      	                      	1                    	                        	                 	                       	                                  	                           	                     	                     	                       	                      	                   	                       	                	                  	                       	                           	                     	                         	4                          	                      	                      	                     	                             	                     	               	                    	                       	                    	                      	                    	                           	                      	                        	                  	                   	                     	                	                     	                  	                    	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 796	A	 19	X	 1	  25.00	    156.0500	Koizumi  	Diatoms                                      	               	                  	3                        	4                       	3                       	11                         	6                   	2                 	                  	9                       	5                    	1                  	2              	1              	90                       	1                 	r2                     	                      	                     	                           	14                      	1                  	                          	                  	7                	1                    	29              	              	6                     	                       	                   	4                      	                        	5                    	                 	                    	                         	                	                	                  	                  	r1                   	                    	                	                           	                      	                     	                  	                 	                	                      	              	                     	r1                 	                 	1                     	3                    	                     	                  	                    	1                  	4                      	                      	6                    	1                       	                 	                       	                                  	                           	                     	                     	                       	                      	                   	                       	1               	                  	                       	r1                         	1                    	1                        	                           	                      	                      	                     	                             	                     	               	                    	                       	                    	                      	                    	                           	                      	                        	                  	                   	                     	                	                     	                  	                    	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 796	A	 19	X	 4	  25.00	    160.5500	Koizumi  	Diatoms                                      	               	                  	4                        	                        	                        	36                         	4                   	1                 	r1                	10                      	1                    	1                  	               	1              	89                       	1                 	r1                     	                      	                     	                           	11                      	1                  	                          	                  	2                	1                    	33              	              	2                     	                       	1                  	5                      	                        	5                    	1                	                    	                         	1               	                	                  	                  	                     	2                   	                	1                          	                      	                     	                  	                 	                	                      	              	                     	r1                 	                 	5                     	                     	                     	                  	                    	                   	2                      	                      	3                    	                        	2                	1                      	                                  	                           	1                    	                     	                       	                      	                   	                       	1               	1                 	1                      	                           	                     	                         	                           	                      	                      	                     	                             	                     	               	                    	                       	                    	                      	                    	                           	                      	                        	                  	                   	                     	                	                     	                  	                    	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 796	A	 20	X	 2	  25.00	    167.0500	Koizumi  	Diatoms                                      	               	                  	8                        	                        	                        	24                         	5                   	1                 	                  	5                       	                     	16                 	1              	               	75                       	                  	                       	                      	                     	1                          	25                      	                   	                          	                  	2                	1                    	17              	              	19                    	                       	                   	2                      	                        	                     	                 	                    	                         	                	                	                  	                  	                     	                    	1               	                           	                      	                     	                  	                 	                	                      	              	                     	                   	                 	5                     	                     	                     	                  	                    	3                  	                       	                      	1                    	                        	1                	1                      	                                  	                           	                     	                     	                       	1                     	1                  	1                      	                	                  	                       	                           	                     	                         	                           	                      	                      	                     	                             	                     	               	                    	                       	                    	                      	                    	                           	                      	                        	                  	                   	                     	                	                     	                  	                    	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 796	A	 21	X	 1	  24.00	    175.2400	Koizumi  	Diatoms                                      	               	                  	5                        	                        	                        	35                         	2                   	4                 	                  	7                       	1                    	                   	1              	               	94                       	                  	                       	                      	                     	                           	7                       	                   	                          	                  	6                	1                    	55              	              	7                     	                       	                   	3                      	                        	1                    	                 	                    	                         	1               	                	                  	                  	                     	1                   	4               	                           	                      	                     	                  	                 	                	                      	              	                     	                   	                 	1                     	                     	                     	                  	                    	2                  	5                      	                      	2                    	                        	4                	1                      	                                  	1                          	1                    	2                    	1                      	                      	                   	                       	                	                  	                       	                           	                     	                         	                           	                      	                      	                     	                             	                     	               	                    	                       	                    	                      	                    	                           	                      	                        	                  	                   	                     	                	                     	                  	                    	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 796	A	 21	X	 5	  24.00	    181.2400	Koizumi  	Diatoms                                      	               	                  	1                        	                        	                        	67                         	1                   	4                 	                  	4                       	                     	1                  	               	               	73                       	                  	                       	                      	2                    	                           	11                      	1                  	                          	                  	2                	                     	51              	              	7                     	                       	                   	1                      	                        	                     	                 	                    	                         	2               	                	                  	                  	                     	                    	1               	2                          	                      	                     	1                 	                 	                	                      	              	                     	                   	                 	4                     	                     	                     	                  	                    	1                  	2                      	2                     	1                    	1                       	6                	1                      	1                                 	                           	                     	                     	                       	                      	                   	                       	                	                  	                       	                           	                     	                         	                           	                      	                      	                     	                             	                     	               	                    	                       	                    	                      	                    	                           	                      	                        	                  	                   	                     	                	                     	                  	                    	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 796	A	 22	X	 3	  23.00	    187.9300	Koizumi  	Diatoms                                      	               	                  	9                        	2                       	3                       	23                         	11                  	1                 	                  	16                      	2                    	                   	1              	               	43                       	4                 	r2                     	                      	                     	                           	43                      	                   	                          	                  	10               	1                    	25              	              	3                     	                       	4                  	6                      	                        	3                    	                 	                    	1                        	                	                	                  	                  	r3                   	1                   	2               	                           	                      	                     	1                 	                 	                	                      	              	                     	r1                 	1                	2                     	1                    	1                    	1                 	1                   	                   	                       	                      	                     	                        	                 	                       	                                  	                           	                     	                     	                       	                      	                   	                       	                	                  	                       	                           	                     	                         	                           	                      	                      	                     	                             	                     	               	                    	                       	                    	                      	                    	                           	                      	                        	                  	                   	                     	                	                     	                  	                    	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Middle Miocene   	                 	N. kamtschatica   	              	127	 796	A	 23	X	 1	  24.00	    194.6400	Koizumi  	Diatoms                                      	               	                  	4                        	1                       	4                       	34                         	15                  	9                 	r1                	16                      	2                    	3                  	2              	1              	43                       	                  	r1                     	                      	                     	                           	29                      	                   	                          	                  	2                	                     	31              	              	2                     	                       	                   	6                      	                        	2                    	                 	                    	                         	2               	                	                  	r3                	r3                   	3                   	                	                           	1                     	2                    	1                 	1                	1               	1                     	1             	1                    	r3                 	                 	                      	                     	                     	                  	                    	                   	                       	                      	                     	                        	                 	                       	                                  	                           	                     	                     	                       	                      	                   	                       	                	                  	                       	                           	                     	                         	                           	                      	                      	                     	                             	                     	               	                    	                       	                    	                      	                    	                           	                      	                        	                  	                   	                     	                	                     	                  	                    	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Middle Miocene   	                 	N. kamtschatica   	              	127	 796	A	 23	X	 5	  24.00	    200.6400	Koizumi  	Diatoms                                      	               	                  	                         	                        	                        	1                          	                    	1                 	                  	                        	                     	                   	               	               	1                        	                  	                       	                      	                     	                           	1                       	1                  	                          	                  	                 	                     	                	              	                      	                       	                   	                       	                        	                     	                 	                    	                         	                	                	                  	                  	                     	                    	                	                           	                      	                     	                  	                 	                	                      	              	                     	                   	                 	                      	                     	                     	                  	                    	                   	                       	                      	                     	                        	                 	                       	                                  	                           	                     	                     	                       	                      	                   	                       	                	                  	                       	                           	                     	                         	                           	                      	                      	                     	                             	                     	               	                    	                       	                    	                      	                    	                           	                      	                        	                  	                   	                     	                	                     	                  	                    	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Middle Miocene   	                 	N. kamtschatica   	              	127	 796	A	 24	X	 2	  23.00	    205.8300	Koizumi  	Diatoms                                      	               	                  	4                        	                        	                        	11                         	10                  	12                	                  	9                       	3                    	10                 	1              	               	68                       	1                 	r2                     	                      	                     	1                          	17                      	2                  	                          	                  	7                	                     	31              	              	9                     	2                      	7                  	4                      	3                       	1                    	1                	1                   	1                        	1               	1               	1                 	r1                	r3                   	1                   	1               	2                          	1                     	1                    	                  	                 	                	                      	              	                     	                   	                 	                      	                     	                     	                  	                    	                   	                       	                      	                     	                        	                 	                       	                                  	                           	                     	                     	                       	                      	                   	                       	                	                  	                       	                           	                     	                         	                           	                      	                      	                     	                             	                     	               	                    	                       	                    	                      	                    	                           	                      	                        	                  	                   	                     	                	                     	                  	                    	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Middle Miocene   	                 	N. kamtschatica   	              	127	 796	A	 25	X	 1	  24.00	    214.0400	Koizumi  	Diatoms                                      	               	                  	1                        	1                       	1                       	7                          	6                   	7                 	r2                	2                       	1                    	6                  	2              	1              	15                       	1                 	r3                     	r1                    	2                    	1                          	120                     	4                  	1                         	1                 	3                	1                    	33              	1             	8                     	1                      	                   	                       	                        	                     	                 	                    	                         	                	                	                  	                  	                     	                    	                	                           	                      	                     	                  	                 	                	                      	              	                     	                   	                 	                      	                     	                     	                  	                    	                   	                       	                      	                     	                        	                 	                       	                                  	                           	                     	                     	                       	                      	                   	                       	                	                  	                       	                           	                     	                         	                           	                      	                      	                     	                             	                     	               	                    	                       	                    	                      	                    	                           	                      	                        	                  	                   	                     	                	                     	                  	                    	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

