Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Neogloboquadrina pachyderma,Neogloboquadrina cf. continuosa,Globorotalia cibaoensis,Globigerinita glutinata,Globigerina woodi,Globigerina quinqueloba,Globigerina decoraperta,Globigerina cf. woodi,Globigerina bulloides,Globigerina cf. bulloides,Neogloboquadrina pachyderma (sin.),Globorotalia sp. aff. G.sphericonomiozea,Globorotalia sp. aff. G. juanai,Globorotalia scitula,Globigerinella obesa,Globigerina clarkei,Globigerina aff. bulloides,Globorotalia sphericomiozea,Globorotalia juanai,Globorotalia sp. aff. G. puncticulata,Globorotalia sp. cf. G.pliozea,Globigerinita uvula,Neogloboquadrina pachyderma (dex.),Neogloboquadrina sp. A,Globorotalia theyeri,Globorotalia crassaformis,Globigerinella calida,Globorotalia cf. Gr. margaritae,Globorotalia puncticulata var. A,Globorotalia puncticulata puncticulata,Globorotalia puncticulata,Globigerina falconensis,Globigerina cariacoensis,Globigerinita cf. uvula,Globigerinita iota,Globigerina eamesi,Globorotalia inflata,Globigerina rubescens,Globorotalia tosaensis,Globigerina sp. A,Beella praedigitata,Neogloboquadrina pachyderma sp. 1 left-coiling,Globorotalia crassula,Globorotalia sp. A,Globigerina bulloides umbilicata,Globorotalia cf. Gr. tosaensis,Globorotalia blowi,Globorotaloides hexagona,Beella digitata,Sphaeroidinellopsis sp. cf. S. seminulina,Globigerinella pseudobesa,Globorotalia truncatulinoides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A, 12,H, 6,  70.00,    110.4000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,+                      ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,+                   ,                         ,+                    ,                               ,                                ,+                                     ,                         ,                       ,+                       ,                       ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,114, 704,A, 12,H, 6, 130.00,    111.0000,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,                       ,                 ,                       ,                       ,                     ,18.5%                ,                         ,43.5%                             ,                                        ,                               ,.2%                 ,                    ,                   ,1.3%                      ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,36.0%                    ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,285000 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A, 13,H, 1,  70.00,    112.4000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,                       ,                       ,                     ,                     ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,                    ,                         ,                     ,                               ,                                ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 704,A, 13,H, 1,  90.00,    112.6000,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,                       ,                 ,                       ,                       ,                     ,                     ,                         ,93.0%                             ,                                        ,                               ,                    ,                    ,                   ,6.0%                      ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,.8%                      ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,96000 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A, 13,H, 2,  70.00,    113.9000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,                       ,                       ,                     ,                     ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,                    ,                         ,+                    ,                               ,                                ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A, 13,H, 3,  72.00,    115.4200,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,+                      ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,                    ,                         ,                     ,                               ,                                ,+                                     ,                         ,                       ,+                       ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 704,A, 13,H, 3,  90.00,    115.6000,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,.5%                    ,                 ,                       ,                       ,                     ,.5%                  ,                         ,90.8%                             ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,8.3%                     ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,74000 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A, 13,H, 4,  70.00,    116.9000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,+                      ,                 ,                       ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,+                   ,                         ,+                    ,                               ,                                ,                                      ,                         ,                       ,+                       ,                       ,                  ,+                 ,+                   ,                     ,+                     ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A, 13,H, 5,  70.00,    118.4000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,+                      ,                 ,+                      ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,                    ,                         ,                     ,                               ,                                ,+                                     ,                         ,                       ,+                       ,                       ,                  ,+                 ,+                   ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 704,A, 13,H, 5,  90.00,    118.6000,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,                       ,                 ,                       ,                       ,                     ,3.0%                 ,                         ,92.8%                             ,                                        ,                               ,.2%                 ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,3.8%                     ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,271000 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A, 13,H, 6,  70.00,    119.9000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,+                      ,                 ,+                      ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,                    ,                         ,                     ,                               ,+                               ,+                                     ,                         ,                       ,+                       ,                       ,                  ,+                 ,+                   ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A, 13,H, 7,  10.00,    120.8000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,+                      ,                 ,+                      ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,                    ,                         ,+                    ,                               ,                                ,+                                     ,                         ,                       ,+                       ,                       ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A, 14,H, 1,  70.00,    121.9000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,                       ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,                    ,                         ,+                    ,                               ,                                ,+                                     ,                         ,                       ,+                       ,                       ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 704,A, 14,H, 1,  90.00,    122.1000,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,                       ,                 ,                       ,                       ,                     ,5.6%                 ,                         ,78.6%                             ,                                        ,                               ,.7%                 ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,14.8%                    ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,623000 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A, 14,H, 2,  70.00,    123.4000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,+                      ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,+                   ,                         ,+                    ,                               ,+                               ,+                                     ,                         ,+                      ,+                       ,                       ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A, 14,H, 3,  70.00,    124.9000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,+                      ,                 ,+                      ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,+                   ,                         ,+                    ,                               ,                                ,+                                     ,                         ,+                      ,+                       ,                       ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 704,A, 14,H, 3,  90.00,    125.1000,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,.8%                    ,                 ,1.1%                   ,                       ,                     ,5.3%                 ,                         ,74.6%                             ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,18.0%                    ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,82000 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A, 14,H, 4,  70.00,    126.4000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,+                      ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,+                  ,                                  ,+                     ,+                   ,                         ,+                    ,                               ,                                ,+                                     ,                         ,                       ,+                       ,                       ,                  ,+                 ,+                   ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A, 14,H, 5,  70.00,    127.9000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,+                      ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,+                  ,                                  ,+                     ,+                   ,                         ,                     ,                               ,+                               ,                                      ,                         ,                       ,+                       ,                       ,                  ,+                 ,+                   ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 704,A, 14,H, 5,  90.00,    128.1000,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,1.0%                   ,                 ,                       ,                       ,                     ,8.6%                 ,                         ,74.0%                             ,                                        ,                               ,1.6%                ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,14.5%                    ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,111000 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A, 14,H, 6,  70.00,    129.4000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,                       ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,+                                     ,                         ,                       ,+                       ,+                      ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A, 15,H, 1,  70.00,    131.4000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,+                      ,                 ,+                      ,                       ,                     ,                     ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,+                  ,                                  ,+                     ,+                   ,                         ,                     ,                               ,                                ,+                                     ,                         ,+                      ,+                       ,+                      ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A, 15,H, 2,  70.00,    132.9000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,                       ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,+                   ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,+                  ,                                  ,+                     ,+                   ,                         ,                     ,                               ,                                ,+                                     ,                         ,                       ,+                       ,                       ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 704,A, 15,H, 2,  90.00,    133.1000,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,                       ,                 ,1.5%                   ,                       ,                     ,10.0%                ,                         ,84.2%                             ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,4.1%                     ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,49200 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A, 15,H, 3,  70.00,    134.4000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,+                      ,                 ,                       ,                       ,                     ,                     ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,+                  ,                                  ,+                     ,+                   ,                         ,                     ,                               ,+                               ,                                      ,                         ,                       ,+                       ,                       ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A, 15,H, 4,  70.00,    135.9000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,+                      ,                 ,+                      ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,+                  ,                                  ,+                     ,+                   ,                         ,                     ,                               ,+                               ,+                                     ,                         ,                       ,+                       ,+                      ,                  ,                  ,+                   ,+                    ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 704,A, 15,H, 4,  90.00,    136.1000,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,.2%                    ,                 ,.3%                    ,                       ,                     ,30.0%                ,                         ,54.7%                             ,                                        ,                               ,.2%                 ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,14.3%                    ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,82900 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
