Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiosira praefraga	Thalassiosira nansenii	Stephanopyxis turris	Coscinodiscus spp.	Trinacria excavata	Tigeria spp.	Stephanopyxis spp.	Stellarima microtrias	Rhizosolenia hebetata	Nitzschia maleinterpretaria	Liradiscus sp.	Grammatophora spp.	Eucampia antarctica	Dactyliosolen antarcticus	Cocconeis spp.	Chaetoceros spp.	Cavitatus miocenicus	Trichotoxon reinboldii	Paralia sulcata	Nitzschia pusilla	Isthmia spp.	Eucampia antactica var. twista	Diploneis spp.	Entopyla spp.	Coscinodiscus marginatus	Actinoptychus senarius	Arachnoidiscus spp.	Thalassionema nitzschioides	Stellarima stellaris	Asteromphalus symmetricus	Thalassiosira praeconvexa	Rouxia spp.	Actinocyclus ingens	Rhizosolenia styliformis	Denticulopsis maccollumii	Pyxilla reticulata	Nitzschia sp. 17	Lisitzinia ornata	Crucidenticula kanayae	Neobrunia mirabilis	Nitzschia denticuloides var. M	Cavitatus jouseanus	Nitzschia grossepunctata	Azpeitia tabularis	Rhabdonema spp.	Nitzschia denticuloides	Proboscia barboi	Denticulopsis simonsenii	Denticulopsis simonsenii var. A	Tigeria sp B	Rhizosolenia hebetata f. hiemalis	Actinocyclus aff. ingens	Nitzschia efferans	Nitzschia donahuensis	Actinocyclus actinochilus	Denticulopsis praedimorpha	Denticulopsis hustedtii	Denticulopsis delicata	Denticulopsis dimorpha	Actinocyclus karstenii	Denticulopsis meridionalis	Corethron criophilum	Hemidiscus ovalis	Asteromphalus kennettii	Rouxia antarctica	Rhizosolenia oligocaenica	Hemidiscus karstenii	Hemidiscus cuneiformis	Fragilariopsis aurica	Thalassiosira torokina	Thalassiosira oliverana	Thalassiosira oestrupii	Thalassiosira mahoodii	Fragilariopsis praecurta	Rouxia isopolica	Thalassiothrix spp.	Thalassiosira maculeata	Thalassiosira insigna	Rouxia leventerae	Hemidiscus triangularus	Fragilariopsis sublinearis	Tigeria sp A	Thalassiosira complicata	Fragilariopsis praeinterfrigidaria	Thalassiosira inura	Rouxia naviculoides	Rouxia heteropolara	Thalassiosira tumida	Thalassiosira lentiginosa	Rhizosolenia costata	Nitzschia reinholdii	Fragilariopsis ritscheri	Fragilariopsis lacrima	Rouxia diploneides	Fragilariopsis obliquecostata	Fragilariopsis interfrigidaria	Fragilariopsis barronii	Thalassiosira vulnifica	Thalassiosira insigna/inura trans	Rhizosolenia sp. D	Fragilariopsis weaveri	Fragilariopsis kerguelensis	Thalassiosira tetraoestrupii var. reimeri	Thalassiosira elliptipora	Comment
  IR	                 	                 	                  	              	188	1165	B	 34	X	CC	  25.00	    290.8900	paleo    	Diatoms                                      	               	                  	                       	                      	                    	R                 	F                 	            	                  	R                    	C                    	                           	              	                  	                   	F                        	              	F               	                    	                      	               	F                	            	F                             	              	             	F                       	                      	                   	F                          	                    	                         	                         	R          	F                  	                        	                         	                  	                	                 	                      	                   	                              	                   	F                       	                  	               	R                      	                	F                       	F                              	            	                                 	                        	R                 	R                    	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	N.denticuloides Zone (13.5-12.8 Ma)

  IR	                 	                 	                  	              	188	1165	B	 35	X	CC	  16.00	    298.3800	paleo    	Diatoms                                      	               	MP                	                       	                      	                    	F                 	R                 	            	                  	                     	F                    	                           	              	                  	F                  	R                        	              	C               	                    	                      	R              	R                	R           	F                             	              	             	                        	                      	                   	F                          	                    	                         	                         	+          	F                  	                        	                         	R                 	                	                 	                      	                   	                              	                   	R                       	                  	               	R                      	R               	F                       	F                              	            	R                                	F                       	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	N.denticuloides Zone (13.5-12.8 Ma)

  IR	                 	                 	                  	              	188	1165	B	 36	X	 1	   1.00	    299.8100	paleo    	Diatoms                                      	               	                  	                       	                      	                    	                  	                  	            	                  	                     	F                    	                           	R             	                  	                   	                         	              	                	                    	                      	               	R                	            	F                             	              	             	                        	                      	                   	                           	                    	                         	                         	           	                   	R                       	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	       

  IR	                 	                 	                  	              	188	1165	B	 36	X	CC	  24.00	    309.5200	paleo    	Diatoms                                      	A              	MP                	                       	                      	                    	                  	F                 	            	                  	R                    	                     	                           	              	                  	                   	F                        	              	                	                    	                      	               	                 	            	                              	              	             	R                       	                      	                   	F                          	                    	                         	                         	           	C                  	                        	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	R                      	R               	F                       	                               	R           	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	N.denticuloides Zone (13.5-12.8 Ma)

  IR	                 	                 	                  	              	188	1165	B	 37	X	CC	  33.00	    318.8700	paleo    	Diatoms                                      	T              	P                 	                       	                      	                    	F                 	F                 	            	F                 	F                    	F                    	                           	C             	                  	                   	                         	              	F               	                    	                      	R              	R                	            	                              	              	             	F                       	                      	                   	F                          	                    	                         	                         	           	R                  	R                       	                         	                  	                	                 	                      	                   	                              	                   	F                       	                  	               	                       	                	F                       	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	       

  IR	                 	                 	                  	              	188	1165	B	 38	X	CC	  24.00	    327.7800	paleo    	Diatoms                                      	A              	M                 	                       	                      	                    	F                 	F                 	            	R                 	                     	                     	                           	C             	                  	R                  	R                        	R             	C               	                    	                      	R              	                 	            	F                             	              	             	F                       	                      	R                  	R                          	                    	                         	                         	           	A                  	                        	                         	                  	                	                 	                      	                   	R                             	                   	R                       	                  	R              	                       	                	F                       	F                              	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	N. denticuloides Zone (13.5-12.8 Ma)

  IR	                 	                 	                  	              	188	1165	B	 39	X	CC	  21.00	    336.8900	paleo    	Diatoms                                      	A              	G                 	                       	                      	                    	F                 	F                 	            	R                 	R                    	                     	                           	F             	                  	R                  	R                        	              	F               	F                   	                      	               	                 	            	R                             	              	             	F                       	                      	                   	F                          	                    	                         	                         	           	F                  	                        	F                        	                  	                	                 	                      	                   	R                             	                   	R                       	                  	R              	R                      	                	R                       	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	N. denticuloides Zone (13.5-12.8 Ma)

  IR	                 	                 	                  	              	188	1165	B	 40	X	CC	  26.00	    347.0400	paleo    	Diatoms                                      	C              	M                 	                       	                      	                    	R                 	F                 	            	                  	R                    	F                    	                           	F             	                  	                   	                         	              	F               	                    	                      	               	                 	            	                              	              	             	F                       	                      	                   	F                          	                    	                         	                         	           	F                  	                        	                         	                  	                	                 	                      	R                  	F                             	                   	                        	                  	R              	                       	R               	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	       

  IR	                 	                 	                  	              	188	1165	B	 41	X	CC	  20.00	    353.0100	paleo    	Diatoms                                      	C              	M                 	                       	                      	                    	                  	F                 	            	R                 	                     	F                    	                           	F             	                  	                   	R                        	R             	F               	R                   	                      	R              	                 	            	R                             	              	R            	                        	                      	                   	                           	                    	                         	                         	           	F                  	R                       	                         	                  	                	                 	                      	                   	F                             	                   	R                       	                  	F              	R                      	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	       

  IR	                 	                 	                  	              	188	1165	B	 42	X	CC	  11.00	    364.8400	paleo    	Diatoms                                      	T              	P                 	                       	                      	                    	R                 	R                 	            	R                 	                     	R                    	                           	R             	R                 	R                  	                         	R             	R               	                    	                      	R              	                 	            	                              	              	             	                        	                      	                   	R                          	                    	                         	                         	           	                   	                        	R                        	                  	                	                 	                      	                   	R                             	                   	R                       	                  	               	                       	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	N.grosse. thru A. ingens-D. mac. Zones (16.2-14.5 Ma)

  IR	                 	                 	                  	              	188	1165	B	 43	X	CC	  25.00	    373.7000	paleo    	Diatoms                                      	A              	G                 	                       	                      	                    	                  	R                 	            	                  	                     	R                    	                           	              	R                 	R                  	R                        	              	R               	R                   	                      	               	R                	            	                              	              	             	                        	                      	                   	R                          	R                   	                         	                         	R          	R                  	R                       	F                        	                  	                	                 	                      	                   	F                             	                   	R                       	R                 	               	                       	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	N.grosse. thru A. ingens-D. mac. Zones (16.2-14.5 Ma)

  IR	                 	                 	                  	              	188	1165	B	 44	X	CC	   0.00	    382.7500	paleo    	Diatoms                                      	R              	P                 	                       	                      	                    	                  	R                 	R           	                  	R                    	                     	                           	F             	R                 	                   	                         	R             	R               	                    	                      	               	                 	            	                              	              	             	                        	                      	                   	                           	                    	                         	                         	           	                   	                        	R                        	                  	                	                 	                      	                   	R                             	                   	                        	                  	               	                       	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	       

  IR	                 	                 	                  	              	188	1165	B	 45	X	CC	   0.00	    392.8800	paleo    	Diatoms                                      	F              	MG                	                       	                      	                    	                  	R                 	            	                  	R                    	                     	                           	C             	                  	F                  	                         	              	                	                    	                      	R              	R                	            	                              	              	             	R                       	                      	                   	                           	                    	                         	                         	           	R                  	R                       	F                        	                  	                	                 	                      	                   	F                             	                   	F                       	                  	               	                       	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	N.grosse. thru A. ingens-D. mac. Zones (16.2-14.5 Ma)

  IR	                 	                 	                  	              	188	1165	B	 46	X	CC	   0.00	    404.4900	paleo    	Diatoms                                      	F              	P                 	                       	                      	R                   	                  	R                 	            	                  	+                    	                     	                           	R             	R                 	                   	R                        	R             	                	                    	                      	R              	                 	R           	                              	              	             	                        	                      	                   	                           	                    	                         	                         	           	                   	R                       	                         	                  	                	                 	                      	                   	R                             	                   	+                       	                  	               	                       	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	N. grosse. thru A. ingens-D.macc. zones (16.2-14.5 Ma)

  IR	                 	                 	                  	              	188	1165	B	 48	X	CC	  27.00	    424.6800	paleo    	Diatoms                                      	F              	MP                	                       	                      	                    	R                 	R                 	R           	                  	                     	R                    	                           	R             	                  	R                  	R                        	R             	R               	                    	                      	R              	                 	            	                              	              	             	                        	                      	                   	                           	                    	                         	                         	           	                   	R                       	R                        	                  	                	                 	                      	                   	R                             	                   	                        	                  	               	                       	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	N. grosse. thru A.ingens-D.macc. zones (16.2-14.5 Ma)

  IR	                 	                 	                  	              	188	1165	B	 49	X	CC	  27.00	    434.3700	paleo    	Diatoms                                      	C              	MP                	                       	                      	                    	                  	R                 	            	                  	R                    	                     	                           	              	                  	                   	                         	              	R               	                    	                      	               	R                	            	                              	              	             	                        	                      	                   	                           	                    	                         	                         	           	                   	R                       	R                        	                  	                	                 	                      	                   	R                             	R                  	                        	                  	               	                       	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	N. grosse. thru A.ingens-D.macc. Zones (16.2-14.5 Ma)

  IR	                 	                 	                  	              	188	1165	B	 50	X	CC	  29.00	    443.9900	paleo    	Diatoms                                      	F              	MP                	                       	                      	                    	R                 	F                 	            	R                 	R                    	F                    	R                          	C             	                  	R                  	R                        	R             	F               	                    	                      	F              	R                	R           	                              	              	             	                        	R                     	R                  	F                          	                    	                         	                         	           	R                  	R                       	F                        	                  	R               	                 	                      	R                  	                              	                   	                        	                  	               	                       	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	N. grosse. thru A. ingens-D.macc. Zones (16.2-14.5 Ma)

  IR	                 	                 	                  	              	188	1165	B	 51	X	CC	   0.00	    449.8000	paleo    	Diatoms                                      	F              	P                 	                       	                      	                    	R                 	F                 	            	R                 	R                    	F                    	                           	F             	                  	                   	R                        	              	R               	                    	                      	F              	                 	R           	                              	              	R            	                        	                      	                   	F                          	                    	                         	                         	           	R                  	                        	F                        	                  	R               	                 	                      	R                  	                              	                   	                        	                  	               	                       	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	? D.maccollumii Zone (16.7-16.2 Ma)

  IR	                 	                 	                  	              	188	1165	B	 52	X	CC	   7.00	    458.1700	paleo    	Diatoms                                      	C              	MG                	                       	                      	                    	F                 	F                 	            	F                 	F                    	F                    	                           	F             	                  	R                  	R                        	R             	F               	R                   	                      	F              	                 	R           	F                             	R             	R            	F                       	F                     	R                  	F                          	                    	                         	                         	           	R                  	R                       	F                        	                  	F               	                 	                      	                   	                              	                   	                        	                  	               	                       	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	D.maccollumii Zone (16.7-16.2 Ma)

  IR	                 	                 	                  	              	188	1165	B	 53	X	CC	  12.00	    471.4300	paleo    	Diatoms                                      	               	M                 	R                      	                      	                    	F                 	F                 	            	F                 	R                    	F                    	                           	F             	                  	R                  	F                        	              	F               	R                   	                      	F              	                 	R           	                              	              	R            	F                       	R                     	                   	F                          	R                   	                         	                         	           	R                  	                        	F                        	                  	R               	                 	R                     	                   	                              	                   	                        	                  	               	                       	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	D.maccollumii Zone (16.7-16.2 Ma)

  IR	                 	                 	                  	              	188	1165	B	 54	X	CC	  12.00	    479.5000	paleo    	Diatoms                                      	               	P                 	+                      	                      	                    	+                 	+                 	            	+                 	+                    	+                    	                           	+             	                  	+                  	+                        	              	+               	+                   	                      	+              	                 	+           	                              	              	+            	+                       	+                     	                   	+                          	+                   	                         	                         	           	+                  	                        	+                        	                  	+               	                 	+                     	                   	                              	                   	                        	                  	               	                       	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	       

  IR	                 	                 	                  	              	188	1165	B	 55	X	CC	  32.00	    487.4200	paleo    	Diatoms                                      	               	G                 	                       	                      	F                   	C                 	F                 	            	F                 	R                    	F                    	R                          	F             	                  	R                  	R                        	R             	F               	R                   	                      	F              	R                	R           	R                             	              	R            	F                       	                      	R                  	                           	                    	                         	                         	           	                   	R                       	R                        	R                 	R               	R                	R                     	                   	                              	                   	                        	                  	               	                       	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	D. maccollumii Zone (16.7-16.2 Ma)

  IR	                 	                 	                  	              	188	1165	B	 56	X	CC	  23.00	    495.8100	paleo    	Diatoms                                      	R              	P                 	                       	                      	                    	R                 	R                 	            	R                 	R                    	                     	R                          	R             	R                 	R                  	R                        	R             	R               	R                   	                      	               	                 	            	                              	              	R            	                        	                      	                   	                           	                    	                         	                         	           	                   	                        	R                        	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	D. maccollumii Zone (16.7-16.2 Ma)

  IR	                 	                 	                  	              	188	1165	B	 57	X	CC	  21.00	    504.6100	paleo    	Diatoms                                      	F              	P                 	                       	                      	                    	                  	F                 	R           	                  	R                    	F                    	F                          	F             	R                 	                   	F                        	R             	R               	R                   	                      	               	                 	            	                              	              	             	                        	                      	                   	                           	                    	                         	                         	R          	                   	F                       	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	       

  IR	                 	                 	                  	              	188	1165	B	 58	X	 2	  34.50	    512.8450	paleo    	Diatoms                                      	               	                  	                       	                      	+                   	+                 	+                 	            	+                 	                     	+                    	+                          	+             	                  	                   	+                        	+             	+               	+                   	                      	               	                 	            	                              	              	             	                        	                      	                   	                           	                    	                         	                         	+          	+                  	                        	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	       

  IR	                 	                 	                  	              	188	1165	B	 58	X	CC	   7.00	    516.0300	paleo    	Diatoms                                      	F              	P                 	                       	                      	R                   	R                 	F                 	            	F                 	                     	R                    	F                          	F             	                  	                   	F                        	R             	F               	R                   	                      	               	                 	            	                              	              	             	                        	                      	                   	                           	                    	                         	                         	R          	R                  	                        	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	T. praefraga "c" Zone (18.3-16.7 Ma)

  IR	                 	                 	                  	              	188	1165	B	 59	X	CC	   0.00	    527.9200	paleo    	Diatoms                                      	C              	P                 	                       	                      	R                   	                  	R                 	            	R                 	R                    	R                    	                           	              	R                 	R                  	R                        	              	R               	R                   	                      	               	                 	            	                              	              	             	                        	                      	                   	                           	                    	                         	                         	           	                   	                        	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	       

  IR	                 	                 	                  	              	188	1165	B	 60	X	CC	  18.00	    534.6000	paleo    	Diatoms                                      	C              	M                 	                       	                      	                    	R                 	C                 	            	F                 	F                    	                     	                           	R             	R                 	F                  	                         	R             	                	                    	                      	C              	                 	            	                              	              	             	                        	                      	                   	                           	                    	                         	F                        	           	                   	                        	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	T. praefraga "a" thru "b" Zone (20.8-18.3 Ma)

  IR	                 	                 	                  	              	188	1165	B	 61	X	CC	  15.00	    541.6500	paleo    	Diatoms                                      	C              	M                 	                       	                      	                    	                  	                  	R           	                  	                     	R                    	R                          	R             	                  	R                  	R                        	R             	R               	R                   	                      	               	                 	R           	                              	              	             	                        	                      	                   	                           	                    	                         	                         	           	                   	                        	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	       

  IR	                 	                 	                  	              	188	1165	B	 62	X	CC	   0.00	    553.8000	paleo    	Diatoms                                      	F              	M                 	R                      	R                     	F                   	F                 	F                 	            	                  	R                    	F                    	                           	F             	                  	R                  	                         	R             	F               	R                   	R                     	F              	R                	R           	R                             	              	R            	R                       	                      	                   	R                          	R                   	R                        	                         	           	                   	                        	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	T.praefraga "a" thru "b" Zone (20.8-18.3 Ma)

  IR	                 	                 	                  	              	188	1165	B	 63	X	CC	  27.00	    559.4700	paleo    	Diatoms                                      	T              	P                 	                       	                      	                    	                  	                  	            	                  	                     	                     	                           	              	                  	                   	                         	              	R               	                    	                      	R              	                 	R           	                              	              	             	                        	                      	R                  	                           	                    	                         	                         	           	                   	                        	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	nearly barren -  no age-diagnostic taxa present

