Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Victoriellidae (unspecified taxon or taxa),Rotaliid taxa,Orbitolites sp.,Orbitolites cf. douvellei,Miliolid taxa,Foraminifers (small),Alveolina sp.,Alveolina fornasinii,Alveolina aragonensis group,Rotalia sp.,Nummulites sp.,Nummulites burdigalensis group,Alveolina dainellii/palermitana,Alveolina cf. dainellii,Alveolina aff. palermitana,Discocyclina sp.,Somalina sp.,Operculina sp.,Nummulites burdigalensis cantabricus/campesinus,Alveolina canavarii group,Asterocyclina sp.,Linderina? sp.,Nummulites partchi group,Gypsina sp.,Discocyclina sella,Discocyclina douvillei,Assilina sp.,Nummulites pratti,Nummulites cf. caupennensis,Uvigerina pigmea (spinose),Stilostomella lepidula,Osangularia bengalensis,Orthomorphina perversa,Oridorsalis umbonatus,Melonis pacificus,Gyroidinoides altispirus,Globocassidulina subglobosa (small form),Globocassidulina subglobosa (medium size),Globocassidulina subglobosa (large form),Cibicidoides kullenbergi,Cassidulina crassa,Bulimina semicostata,Bolivinopsis gryzbowski,Bolivinita quadrilatera,Bolivinid (crenulate),Bolivina striatocola,Bolivina pulchra,Pullenia bulloides,Planulina renzi,Lenticulina vortex,Cibicidoides havanensis,Bulimina striata,Bulimina macilenta,Anomalinoides semicribratus,Stilostomella subspinosa,Pleurostomella subcylindrica,Martinottiella variabilis,Karreriella bradyi,Eggerella propinqua,Chrysalogonium equisetiformis,Bulimina alazanensis,Siphonodosaria modesta,Rectuvigerina spinea,Bolivina pseudoplicata,Uvigerina auberiana,Melonis affinis,Loxostomum sp.,Hanzawaia cushmani,Bolivina subreticulata,Bolivina peregrina,Bolivina arta,Sphaeroidina bulloides,Bolivina sp.,Pullenia sp.,Cassidulina laevigata,Nuttallides umbonifera,Cibicidoides cf. C. perlucidus,Lenticulina cf. L. calcar,Heterolepa dohmi,Pullenia quadriloba,Eggerella bradyi,Cibicidoides bradyi,Bulimina tuxpamensis,Bolivina tongi,Planulina cf. C. wuellerstorfi,Gyroidinoides planulatus,Stilostomella insecta,Trifarina pigmea,Planulina marialanna,Karreriella subrotundata,Gyroidinoides soldanii,Cibicidoides haitensis,Gaudryina sp.,Cassidulinoides bradyi,Bolivina tortuosa,Laticarinina pauperata,Heterolepa rugosa,Bulava sp.,Siphonina tenuicarinata,Ehrenbergina hystrix,Cibicides wuellerstorfi,Pullenia quinqueloba,Bolivina sp. (inflated),Bolivina cf. B. pulchra,Martinottiella petrosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A,  9,R, 3, 120.00,     79.9000,Boersma  ,Benthic Foraminifers                         ,               ,VG                ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,+                     ,                       ,                      ,                     ,                 ,                        ,F/C                                     ,                                         ,                                        ,                        ,                  ,                    ,+                      ,F/C                    ,R                    ,+                   ,F               ,                  ,               ,                  ,                       ,                ,+                 ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,+                    ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,+                             ,+                       ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A,  9,R, 4, 120.00,     81.4000,Boersma  ,Benthic Foraminifers                         ,               ,G                 ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,R                     ,                       ,                      ,+                    ,                 ,+                       ,+                                       ,                                         ,                                        ,+                       ,                  ,                    ,                       ,F                      ,F                    ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,+                 ,             ,                      ,            ,            ,+                    ,                      ,                              ,                         ,                ,+                  ,+               ,+                  ,+                   ,+             ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A,  9,R, 5, 120.00,     82.9000,Boersma  ,Benthic Foraminifers                         ,               ,G                 ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,+                         ,R                     ,                       ,                      ,                     ,                 ,+                       ,T                                       ,+                                        ,                                        ,                        ,                  ,                    ,+                      ,F                      ,R                    ,R                   ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,+                 ,             ,                      ,            ,            ,+                    ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A,  9,R, 6, 120.00,     84.4000,Boersma  ,Benthic Foraminifers                         ,               ,G                 ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,T                     ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,F                    ,+                   ,                ,                  ,               ,                  ,+                      ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,+                    ,                      ,                              ,+                        ,+               ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A, 10,R, 1, 120.00,     86.5000,Boersma  ,Benthic Foraminifers                         ,               ,G                 ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,F                     ,+                      ,                      ,VA                   ,                 ,                        ,+                                       ,                                         ,                                        ,                        ,                  ,                    ,                       ,C                      ,F/C                  ,F                   ,F               ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,+                     ,                    ,F                     ,                   ,+              ,              ,                  ,+                     ,                  ,             ,                      ,F           ,            ,                     ,+                     ,+                             ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A, 10,R, 2, 120.00,     88.0000,Boersma  ,Benthic Foraminifers                         ,               ,G                 ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,+                     ,                       ,+                     ,+                    ,                 ,                        ,                                        ,                                         ,                                        ,T                       ,                  ,                    ,                       ,F                      ,F                    ,T                   ,F               ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,T                   ,                      ,                    ,+                     ,                   ,               ,+             ,                  ,                      ,+                 ,             ,                      ,            ,+           ,+                    ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A, 10,R, 3, 120.00,     89.5000,Boersma  ,Benthic Foraminifers                         ,               ,M                 ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,T                     ,                       ,                      ,                     ,+                ,                        ,+                                       ,                                         ,                                        ,+                       ,                  ,                    ,                       ,R                      ,R                    ,                    ,R               ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,+                  ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A, 10,R, 4, 120.00,     91.0000,Boersma  ,Benthic Foraminifers                         ,               ,G                 ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,F                     ,                       ,                      ,                     ,                 ,+                       ,R                                       ,                                         ,                                        ,                        ,                  ,                    ,+                      ,F                      ,F                    ,                    ,F/C             ,+                 ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,+                     ,                    ,T                     ,                   ,               ,              ,                  ,                      ,+                 ,             ,                      ,F           ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A, 10,R, 6, 120.00,     94.0000,Boersma  ,Benthic Foraminifers                         ,               ,VG                ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,F/C                   ,                       ,                      ,                     ,+                ,                        ,F                                       ,                                         ,                                        ,                        ,                  ,                    ,                       ,F/C                    ,F/C                  ,                    ,C               ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,+                   ,                      ,                    ,                      ,+                  ,R              ,              ,                  ,                      ,                  ,             ,+                     ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A, 11,R, 1, 120.00,     96.1000,Boersma  ,Benthic Foraminifers                         ,               ,VG                ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,T                         ,F/C                   ,+                      ,                      ,                     ,                 ,                        ,+                                       ,                                         ,                                        ,+                       ,                  ,                    ,                       ,VA                     ,VA                   ,R                   ,VA              ,                  ,               ,                  ,                       ,                ,                  ,                           ,R                       ,                            ,+                        ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,T                  ,+              ,+             ,+                 ,R                     ,F                 ,VA           ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A, 11,R, 2, 120.00,     97.6000,Boersma  ,Benthic Foraminifers                         ,               ,G                 ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,T                         ,                      ,                       ,                      ,                     ,                 ,                        ,F                                       ,                                         ,                                        ,+                       ,                  ,                    ,                       ,F                      ,A                    ,                    ,R               ,                  ,               ,T                 ,                       ,                ,                  ,                           ,                        ,                            ,+                        ,                  ,                   ,+                            ,                    ,+                     ,T                   ,R                     ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A, 11,R, 3, 120.00,     99.1000,Boersma  ,Benthic Foraminifers                         ,               ,VG                ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,R                         ,F                     ,T                      ,                      ,F                    ,+                ,+                       ,                                        ,                                         ,                                        ,                        ,                  ,R                   ,+                      ,R                      ,C                    ,                    ,F               ,                  ,+              ,                  ,                       ,                ,                  ,                           ,R                       ,+                           ,+                        ,+                 ,+                  ,+                            ,+                   ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A, 11,R, 4, 120.00,    100.6000,Boersma  ,Benthic Foraminifers                         ,               ,VG                ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,+                         ,R                     ,                       ,                      ,+                    ,+                ,                        ,T                                       ,+                                        ,+                                       ,T                       ,                  ,                    ,                       ,F/C                    ,A                    ,                    ,F               ,+                 ,+              ,+                 ,+                      ,+               ,+                 ,+                          ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A, 11,R, 5, 120.00,    102.1000,Boersma  ,Benthic Foraminifers                         ,               ,VG                ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,+                         ,+                     ,+                      ,+                     ,R                    ,+                ,+                       ,+                                       ,+                                        ,T                                       ,+                       ,+                 ,T                   ,+                      ,F/C                    ,A                    ,+                   ,F               ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 12,R, 1,  14.00,    104.7400,Nicora   ,Benthic Foraminifers                         ,               ,                  ,                                          ,             ,               ,                         ,             ,+                   ,             ,                    ,                           ,           ,A             ,                              ,                               ,                       ,                          ,C               ,            ,              ,                                               ,                         ,C                ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 12,R, 1,  16.00,    104.7600,Nicora   ,Benthic Foraminifers                         ,               ,                  ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,+             ,                              ,                               ,                       ,                          ,C               ,            ,+             ,                                               ,                         ,C                ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 12,R, 1,  44.00,    105.0400,Nicora   ,Benthic Foraminifers                         ,               ,                  ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,+             ,                              ,                               ,                       ,                          ,A               ,            ,              ,                                               ,                         ,A                ,              ,                        ,           ,C                 ,+                     ,            ,A                ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
