Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Acarinina sp.	Subbotina sp.	Planorotalites pseudoscitulus	Acarinina rohri	Morozovella sp.	Morozovella aragonensis	Turborotalia cf. praecentralis	Pseudohastigerina wilcoxensis	Globigerinatheka senni	Planorotalites palmerae	Morozovella crassata	Acarinina pseudotopilensis	Subbotina pseudoeocaena	Chiloguembelina sp.	Acarinina pentacamerata	Acarinina gravelli	Subbotina inaequispira	Acarinina aquiensis	Globorotaloides suteri	Globorotalia opima nana	Globorotalia kugleri	Globoquadrina venezuelana	Globoquadrina praedehiscens	Globoquadrina dehiscens	Globoquadrina binaiensis	Globoquadrina baroemoenensis	Globigerinoides quadrilobatus s.l.	Globigerinoides primordius	Globigerinoides altiaperturus	Dentoglobigerina globularis	Catapsydrax stainforthi	Catapsydrax dissimilis	Globorotalia mayeri/siakensis	Dentoglobigerina altispira altispira	Globigerinoides ruber s.l.	Globigerinoides obliquus obliquus	Dentoglobigerina altispira globosa	Globigerinatella insueta	Globigerinoides diminutus	Globigerinoides bisphericus	Globigerinella praesiphonifera	Globorotalia praescitula	Globorotalia peripheroronda	Praeorbulina sicana	Praeorbulina transitoria	Praeorbulina glomerosa curva	Globorotalia praemenardii	Praeorbulina glomerosa glomerosa	Praeorbulina glomerosa circularis	Clavatorella bermudezi	Orbulina suturalis	Orbulina universa	Globorotalia scitula	Globorotalia praefohsi	Globorotalia peripheroacuta	Sphaeroidinellopsis disjuncta	Globorotalia fohsi fohsi	Globorotalia fohsi lobata	Sphaeroidinellopsis seminulina	Pulleniatina obliquiloculata	Neogloboquadrina humerosa	Neogloboquadrina dutertrei	Globorotalia truncatulinoides	Globorotalia menardii s.l.	Globorotalia crassaformis	Globigerinoides conglobatus	Globigerinella siphonifera	Globigerinella calida	Candeina nitida	Sphaeroidinella dehiscens	Globorotaloides hexagona	Globorotalia tumida tumida	Globoquadrina conglomerata	Globigerinoides elongatus	Globigerinita glutinata	Neogloboquadrina acostaensis	Globorotalia ungulata	Globorotalia theyeri	Beella digitata	Globigerina quinqueloba	Comment
  SR	Early Miocene    	                 	N7                	              	115	 715	A	  9	R	 4	 105.00	     81.2500	Vincent  	Planktonic Foraminifers                      	               	P/M               	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	+                     	+                      	                    	+                        	                           	+                      	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	+                         	                                 	                                  	+                       	+?                       	+                          	                              	+?                      	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. calcareous aggregates few. foraminifers embedded common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Early Miocene    	                 	N7                	              	115	 715	A	  9	R	 5	 105.00	     82.7500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	+                      	                    	+                        	                           	+?                     	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	+                         	+?                               	                                  	+                       	                         	+                          	+?                            	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers rare. ostracodes rare. sponge spicules rare. calcareous aggregates few. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Early Miocene    	                 	N6                	              	115	 715	A	  9	R	 6	 105.00	     84.2500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	+                     	                       	                    	+                        	                           	+                      	                        	+                           	+                                 	                          	                             	                           	                       	+                     	+                            	+                                   	+                         	                                 	                                  	+                       	+?                       	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Early Miocene    	                 	N6                	              	115	 715	A	  9	R	CC	   8.00	     85.2300	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	+                      	                    	+                        	                           	+                      	                        	+                           	+                                 	                          	                             	                           	                       	+                     	+                            	+                                   	+                         	+                                	                                  	+                       	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. calcareous aggregates few. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Early Miocene    	                 	N5                	              	115	 715	A	 10	R	 2	 105.00	     87.8500	Vincent  	Planktonic Foraminifers                      	               	P                 	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	+                     	                       	                    	+                        	                           	+?                     	                        	+                           	+                                 	+                         	                             	                           	                       	+                     	+                            	+                                   	+?                        	                                 	+                                 	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	calcareous aggregates few. foraminifers embedded common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Early Miocene    	                 	N5                	              	115	 715	A	 10	R	 3	 105.00	     89.3500	Vincent  	Planktonic Foraminifers                      	               	P                 	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	+                     	+                      	                    	+                        	                           	+?                     	                        	+                           	+                                 	                          	                             	+?                         	                       	+                     	+                            	+                                   	+?                        	+                                	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers rare. calcareous aggregates cpmmon. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Early Miocene    	                 	N5                	              	115	 715	A	 10	R	 4	 105.00	     90.8500	Vincent  	Planktonic Foraminifers                      	               	P/M               	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	+                     	+                      	                    	+                        	                           	+?                     	                        	+                           	+                                 	+                         	+                            	                           	+                      	+                     	+                            	+                                   	                          	+                                	                                  	+?                      	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. calcareous aggregates cpmmon. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Early Miocene    	                 	N5                	              	115	 715	A	 10	R	 5	 105.00	     92.3500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	+                      	                    	+                        	                           	+?                     	                        	+                           	+                                 	                          	                             	+                          	                       	+                     	+                            	+                                   	+                         	+                                	+?                                	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers rare. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Early Miocene    	                 	N5                	              	115	 715	A	 10	R	 6	 105.00	     93.8500	Vincent  	Planktonic Foraminifers                      	               	P/M               	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	+                     	+                      	                    	+                        	                           	+?                     	                        	+                           	+                                 	                          	+?                           	+                          	                       	+                     	+                            	+                                   	+?                        	+?                               	+?                                	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. ostracodes rare. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Early Miocene    	                 	N5                	              	115	 715	A	 10	R	CC	   0.00	     94.7300	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	+                        	                           	                       	                        	+                           	+                                 	+                         	+                            	                           	+                      	+                     	+                            	+                                   	+?                        	+                                	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers rare. calcareous aggregates rare. foraminifers embedded common. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Early Miocene    	                 	N5                	              	115	 715	A	 11	R	 1	 105.00	     95.9500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	+                     	+                      	                    	+                        	+?                         	+?                     	                        	+                           	+                                 	+                         	+                            	                           	+                      	+                     	+                            	+                                   	+                         	+                                	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. ostracodes rare. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Early Miocene    	                 	N5                	              	115	 715	A	 11	R	 2	 105.00	     97.4500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	+                     	+                      	                    	+                        	+                          	                       	                        	+                           	+                                 	+                         	+                            	                           	+                      	+                     	+                            	+                                   	+                         	+                                	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers rare. ostracodes rare. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Early Miocene    	                 	N5                	              	115	 715	A	 11	R	 3	 105.00	     98.9500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	+                     	+                      	                    	+                        	+                          	+                      	+                       	+                           	+                                 	+                         	+                            	+                          	+                      	+                     	+                            	+                                   	+                         	+                                	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. ostracodes rare. fish remains rare. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Early Miocene    	                 	N5                	              	115	 715	A	 11	R	 4	 105.00	    100.4500	Vincent  	Planktonic Foraminifers                      	               	P                 	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	+                     	+                      	                    	+                        	+                          	+                      	+                       	+                           	+                                 	+?                        	+                            	                           	+                      	+                     	+                            	+                                   	                          	                                 	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. fish remains rare. calcareous aggregates common. foraminifers embedded common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Early Miocene    	                 	N4b               	              	115	 715	A	 11	R	 5	 105.00	    101.9500	Vincent  	Planktonic Foraminifers                      	               	P                 	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	+                     	+                      	+?                  	+                        	+?                         	+?                     	+                       	+                           	+                                 	+?                        	+                            	+?                         	+                      	+                     	+                            	+?                                  	                          	                                 	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. ostracodes rare. calcareous aggregates few. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Early Miocene    	                 	N4b               	              	115	 715	A	 11	R	 6	 105.00	    103.4500	Vincent  	Planktonic Foraminifers                      	               	P                 	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	+                     	+                      	+                   	+                        	+?                         	                       	                        	+                           	+                                 	+                         	+                            	+?                         	+                      	+                     	+                            	+                                   	                          	                                 	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. ostracodes rare. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Early Miocene    	                 	N4b               	              	115	 715	A	 11	R	CC	   5.00	    104.2800	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	+                     	+                      	+                   	+                        	+                          	+?                     	+                       	+                           	+                                 	+                         	+                            	+                          	+                      	+                     	                             	                                    	                          	                                 	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. ostracodes rare. fish remains rare. calcareous aggregates few. foraminifers embedded few. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	                 	                 	                  	              	115	 715	A	 12	R	 1	  14.00	    104.7400	Nicora   	Planktonic Foraminifers                      	               	                  	             	             	                             	               	               	                       	                              	                             	                      	+                      	                    	                          	+                      	                   	                       	                  	+                     	+                  	                      	                       	                    	                         	                           	                       	                        	                            	                                  	                          	                             	                           	                       	                      	                             	                                    	                          	                                 	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	from 115 SR. Chapter 21. Table 1. page 383.

  SR	                 	                 	                  	              	115	 715	A	 12	R	 1	  16.00	    104.7600	Nicora   	Planktonic Foraminifers                      	               	                  	             	+            	+                            	               	               	+                      	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	                         	                           	                       	                        	                            	                                  	                          	                             	                           	                       	                      	                             	                                    	                          	                                 	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	from 115 SR. Chapter 21. Table 1. page 383.

  SR	                 	                 	                  	              	115	 715	A	 12	R	 1	  44.00	    105.0400	Nicora   	Planktonic Foraminifers                      	               	                  	+            	             	+                            	               	               	                       	                              	+                            	A                     	+                      	+                   	                          	+                      	+                  	                       	+                 	                      	                   	                      	                       	                    	                         	                           	                       	                        	                            	                                  	                          	                             	                           	                       	                      	                             	                                    	                          	                                 	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	from 115 SR. Chapter 21. Table 1. page 383.

  SR	                 	                 	                  	              	115	 715	A	 12	R	 1	  74.00	    105.3400	Nicora   	Planktonic Foraminifers                      	               	                  	+            	             	+                            	               	               	+                      	                              	                             	                      	                       	                    	+                         	                       	                   	+                      	                  	                      	                   	                      	                       	                    	                         	                           	                       	                        	                            	                                  	                          	                             	                           	                       	                      	                             	                                    	                          	                                 	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	from 115 SR. Chapter 21. Table 1. page 383.

  SR	                 	                 	                  	              	115	 715	A	 12	R	 1	 102.00	    105.6200	Nicora   	Planktonic Foraminifers                      	               	                  	+            	             	                             	               	               	                       	                              	                             	+                     	+                      	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	                         	                           	                       	                        	                            	                                  	                          	                             	                           	                       	                      	                             	                                    	                          	                                 	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	from 115 SR. Chapter 21. Table 1. page 383.

  SR	                 	                 	                  	              	115	 715	A	 12	R	 1	 117.00	    105.7700	Nicora   	Planktonic Foraminifers                      	               	                  	+            	+            	+                            	               	+              	                       	                              	                             	                      	                       	                    	                          	+                      	+                  	                       	                  	                      	                   	                      	                       	                    	                         	                           	                       	                        	                            	                                  	                          	                             	                           	                       	                      	                             	                                    	                          	                                 	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	from 115 SR. Chapter 21. Table 1. page 383.

  SR	                 	                 	                  	              	115	 715	A	 12	R	CC	  18.00	    105.9900	Nicora   	Planktonic Foraminifers                      	               	                  	+            	             	+                            	+              	               	+                      	+                             	+                            	+                     	+                      	+                   	+                         	                       	                   	                       	                  	                      	                   	                      	                       	                    	                         	                           	                       	                        	                            	                                  	                          	                             	                           	                       	                      	                             	                                    	                          	                                 	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	from 115 SR. Chapter 21. Table 1. page 383.

  SR	                 	                 	                  	              	115	 715	A	 12	R	CC	  24.00	    106.0500	Nicora   	Planktonic Foraminifers                      	               	                  	+            	             	                             	               	+              	                       	+                             	+                            	+                     	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	                         	                           	                       	                        	                            	                                  	                          	                             	                           	                       	                      	                             	                                    	                          	                                 	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	from 115 SR. Chapter 21. Table 1. page 383.

  SR	                 	                 	                  	              	115	 715	A	 13	R	 1	   1.00	    114.3100	Nicora   	Planktonic Foraminifers                      	               	                  	+            	+            	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	                         	                           	                       	                        	                            	                                  	                          	                             	                           	                       	                      	                             	                                    	                          	                                 	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	from 115 SR. Chapter 21. Table 1. page 383.

  SR	                 	                 	                  	              	115	 715	A	 13	R	 1	   8.00	    114.3800	Nicora   	Planktonic Foraminifers                      	               	                  	+            	+            	                             	+              	+              	+                      	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	                         	                           	                       	                        	                            	                                  	                          	                             	                           	                       	                      	                             	                                    	                          	                                 	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	from 115 SR. Chapter 21. Table 1. page 383.

  SR	                 	                 	                  	              	115	 715	A	 13	R	 1	  15.00	    114.4500	Nicora   	Planktonic Foraminifers                      	               	                  	+            	             	                             	+              	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	                         	                           	                       	                        	                            	                                  	                          	                             	                           	                       	                      	                             	                                    	                          	                                 	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	from 115 SR. Chapter 21. Table 1. page 383.

  SR	                 	                 	                  	              	115	 715	A	 14	R	 1	  12.00	    124.0200	Nicora   	Planktonic Foraminifers                      	               	                  	+            	+            	+                            	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	                         	                           	                       	                        	                            	                                  	                          	                             	                           	                       	                      	                             	                                    	                          	                                 	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	from 115 SR. Chapter 21. Table 1. page 383.

  SR	                 	                 	                  	              	115	 715	A	 14	R	 1	  33.00	    124.2300	Nicora   	Planktonic Foraminifers                      	               	                  	+            	+            	+                            	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	                         	                           	                       	                        	                            	                                  	                          	                             	                           	                       	                      	                             	                                    	                          	                                 	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	from 115 SR. Chapter 21. Table 1. page 383.

  SR	                 	                 	                  	              	115	 715	A	 17	R	CC	  25.00	    153.1500	Nicora   	Planktonic Foraminifers                      	               	                  	+            	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	                         	                           	                       	                        	                            	                                  	                          	                             	                           	                       	                      	                             	                                    	                          	                                 	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	from 115 SR. Chapter 21. Table 1. page 383.

