leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding
15,149,,9,5,84.0,150.0,65.00,71.84,72.50,, NANNO MARL, 5Y5/1-MEDIUM OLIVE GRAY, EXTENSIVE B URROWS,,,,," LIGHTER SHADE IN BOTTOM,LESS CALCEROUS-LOWE R FORAM THAN ABOVE 84 CM"," FIRM,PLASTIC", 12221221
15,149,,9,6,0.0,77.0,65.00,72.50,73.27,, NANNO MARL," 10YR5/4-LIGHT YELLOWISH BROWN,5Y5/1-M EDIUM OLIVE GRAY,10YR7/2", BURROWS,,,,," 10YR5/4- 0-10CM ,5Y5/1-10-30CM,10YR7/2 30-47 CM,5Y5/1-47-77 CM,DIFFE RENT ZONES PRESENT SLIGHT COLOR CHANGES GRADATIONALY TOWARD THE TOP",, 33211000
15,149,,10,1,87.0,150.0,75.00,75.87,76.50,, CLAY, -MODERATE YELLOWISH BROWN,,,,,," HOMOGENOUS,CARB ONATE CONTENT IS LOW"," FIRM,PLASTIC", 33211000
15,149,,10,2,0.0,105.0,75.00,76.50,77.55,, CLAY, 10YR5/4-MODERATE YELLOWISH BROWN,, DISTURBE D LOWER 40 CM,,,," HOMOGENOUS,GEOCHEM SAMPLE BELOW 105 CM"," FIRM,PLASTIC", 33211000
15,149,,10,3,0.0,49.0,75.00,78.00,78.49,, CLAY, 10YR5/4-MODERATE YELLOWISH BROWN,, DISTURBE D THROUGHOUT,,,, CONTAMINATED ZONES CONTAIN FORAM RICH POCKETS," FIRM,PLASTIC", 33211000
15,149,,10,4,0.0,138.0,75.00,79.50,80.88,, CLAY," 10YR5/4-MODERATE YELLOWISH BROWN,5B6/1-BLUI SH GRAY",, DISTURBED THROUGHOUT,,,, BLUISH GRAY DISTORT ED ZONES HIGHLY CALCEROUS OCCUR IN LENSES BETWEEN 30 AND 80 CM," SOFT,PLASTIC", 33211000
15,149,,10,5,0.0,150.0,75.00,81.00,82.50,, CLAY, 10YR5/4-MODERATE YELLOW BROWN, DISTORTED Z ONE 82-105 CM,,,,, 82-105 CM HAS DISTURBED CALCEROUS ZO NE OF SLIGHTLY OLIVE GRAY SHADE," FIRM,PLASTIC", 33211000
15,149,,11,1,99.0,150.0,84.00,84.99,85.50,, CLAY," 10YR5/4-MODERATE YELLOWISH BROWN,5Y5/2-LIGH T OLIVE GRAY",,,,,, COLOR DUE TO EXTRUSIVE MIXING DURING FLOW IN," FIRM,PLASTIC", 33211000
15,149,,11,2,0.0,150.0,84.00,85.50,87.00,, CLAY," 10YR5/4-MODERATE YELLOWISH BROWN,5Y5/2-LIGH T OLIVE GRAY,5YR5/4-ORANGE PINK", ORANGE PINK STRIKI NG ZONES 50-65 85-93 AND 127-135 CM,,,,, INTERBEDS ARE VERY DISTURBED AND MORE CALCEROUS," FIRM,PLASTIC", 33211000
15,149,,11,3,0.0,150.0,84.00,87.00,88.50,, CLAY," 10YR5/4-MODERATE YELLOWISH BROWN,5GY6/1-GRE ENISH GRAY,10YR5/2-MODERATE YELLOWISH BROWN",,,,,, VARI-C OLORED PATCHES GREENISH GRAY,, 33211000
15,149,,11,4,0.0,105.0,84.00,88.50,89.55,, CLAY, 10YR6/4-PALE YELLOWISH BROWN,,,,,, VARICOLORED DISTURBED ZONES AS IN PREVIOUS SECTION,, 33211000
15,149,,11,5,0.0,150.0,84.00,90.00,91.50,, CLAY,,,,,,, TEXTURE AND COLOR AS IN PREVIOUS SECTION,, 33211000
15,149,,11,6,0.0,150.0,84.00,91.50,93.00,, CLAY," 10YR5/4-MODERATE YELLOWISH BROWN,10YR4/4,5G Y6/1-GREENISH GRAY"," FAINT BURROW MOTTLING,INTERBEDD ED 10YR4/4 ZONE 50-58 CM,GREENISH GRAY ZONE 140-142 CM",, MN SPRECKLES, MN,,," FIRM,PLASTIC", 33211000
15,149,,12,1,25.0,122.0,93.00,93.25,94.22,, CALCAREOUS CLAY," 10YR7/4-GRAYISH ORANGE,5RP6/2 -PALE RED PURPLE",, DISTURBED THROUGHOUT,,,, PALE RED PURPLE OCCURS MIXED WITH SEDIMENT BY DYING PROCESSES," FIRM,PLASTIC", 31210000.1110
15,149,,12,2,29.0,150.0,93.00,94.79,96.00,, CALCAREOUS CLAY," 10YR7/4-GRAYISH ORANGE,5Y7/2-YEL LOWISH GRAY", FAULT BURROWS ABUNDANT IN LOWER 40 CM,,,,," YELLOWISH GRAY VERY MIXED IN UPPER ZONE WITH SECON DARY RED PURPLE CONTAMINATION FROM DYING,CALCAREOUS CONTENT INCREASING RELATIVE TO PREVIOUS SECTIONS",, 31210000.1110
15,149,,12,3,0.0,150.0,93.00,96.00,97.50,, NANNO MARL," 10YR6/4-GRAYISH ORANGE,10YR8/4-GRAYIS H ORANGE,5YR5/6-LIGHT BROWN"," STRIKING LIGHT BROWN L AYER OCCURS DISTURBED 52-65 CM,ZONE CHANGE 43 CM,BUR ROW MOTTLING THROUGHOUT",, MN SPRECKLES, MN,," CALCER OUS CONTENT HIGHER TOWARDS BOTTOM,BOTTOM ZONE DISTUR BED WITH SECONDARY RED PURPLE COLORATION,UPPER MARL STRIKING AT ITS BASAL CONTACT WITH LOWER ZONE",, 00000000
