Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygocircus buetschli,Theoperidae (other theoperids Takemura 1992),Stylosphaera spp.,Spumellaria (other spumellarians of Takemura 1992),Spongodiscus spp.,Siphocampe(?) quadrata,Sethoconus sp.,Prunopyle spp.,Peripyramis spp.,Periphaena heliasteriscus,Lychnocanoma spp.,Lychnocanoma cf. babylonis,Lychnocanoma amphitrite,Lophocyrtis biaurita,Lophoconus titanothericeraos,Lithomelissa sphaerocephalis,Eusyringium fistuligerum,Dictyoprora mongolfieri,Cyclampterium(?) milowi,Corythospyris aff. jubata,Clathrocyclas universa,Calocyclas sp. C,Axoprunum pierinae,Axoprunum bispiculum,Amphistylus? sp. ,Amphistylus angelinus,Acanthodesmiidae (Other acanthodesmiids of Takemura 1992),Xiphospira spp.,Siphocampe nodosaria,Pterocanium? sp.,Prunopyle hayesi,Plagoniidae (other plagoniids of Takemura 1992),Periphaena decora,Lychnocanoma conica,Lithapium cf. mitra,Lithapium anoectum,Dictyoprora pirum,Cornutella spp.,Ceratocyrtis spp.,Carpocanistrum spp.,Calocyclas sp. B,Siphocampe acephala,Amphipyndax stocki,Heliostylus sp.,Calocyclas cf. semipolita,Eucyrtidium spinosum,Diplocyclas sp.,Cyrtocapsella robusta,Cannobotryidae (other cannobotryids of Takemura 1992),Archaeodictyomitra? sp.,Dendrospyris stabilis,Calocyclas sp. A,Botryopyle dictyocephalus,Theocyrtis tuberosa,Eucyrtidium cheni,Pterocoryidae (other pterocoryids of Takemura 1992),Orosphaerid taxa,Cycladophora bicornis,Artostrobus? cf. pretabulatus,Artostrobiidae (other artostrobiids of Takemura 1992),Lithomelissa tricornis,Corythomelissa horrida,Eucyrtidium spp.,Theoperid (gen. et sp. Indet.),Dicolocapsa microcephala,Spongoplegma aff. antarcticum,Prunopyle frakesi,Corythomelissa? sp.,Prunopyle tetrapila,Lithomelissa challengerae,Cyrtocapsella aff. japonica,Axoprunum(?) irregularis,Plagoniid (gen. et sp. Indet.),Velicucullus cf. oddgurneri,Cycladophora conica,Lithomelissa sp.,Velicucullus altus,Stylosphaera sp. B,Stylosphaera radiosa,Stylosphaera coronata laevis,Spongotrochus spp.,Spongopyle osculosa,Spongodiscus craticulatus,Prunopyle sp. B,Lithomelissa robusta,Lamprocyclas sp.,Ceratocyrtis stigi,Carpocanarium papillosum,Actinomma sp. B,Actinomma medusa,Actinomma holtedahli,Prunopyle sp. A,Gondwanaria japonica,Corythospyris fiscella,Ceratocyrtis mashae,Cenosphaera sp. A,Artophormis gracilis,Prunopyle titan,Eucyrtidium cienkowskii,Cycladophora sp.,Velicucullus sp.,Stylosphaera sp. C,Stichopilium bicorne?,Lithomelissa stigi,Lampromitra coronata,Hexalonche philosophica?,Druppatractus hastatus,Dictyophimus crisiae,Dendrospyris cf. megalocephalis,Cyrtocapsella tetrapera,Cyrtocapsella longithorax,Cycladophora antiqua,Antarctissa deflandrei,Lithomelissa cf. ehrenbergi,Gondwanaria deflandrei,Cycladophora golli regipileus,Circodiscus ellipticus,Stylatractus santaeannae,Eucyrtidium punctatum,Eucyrtidium pseudoinflatum,Cycladophora golli golli,Eucyrtidium calvertense,Actinomma magnifenestra,Actinomma golownini,Acrosphaera spp.,Ceratocyrtis sp.,Stauroxiphos communis,Triceraspyris coronata,Rhopalodictyum sp.,Dendrospyris rhodospyroides,Trissocyclid sp. A,Stylatractus universus,Stylacontarium bispiculum,Lychnocanoma sp. C,Gondwanaria sp. A,Actinomma sp. A,Stylatractus neptunus,Tholoniid sp. B,Stylosphaera sp. A,Hexacontium cf. enthacanthum,Stichophormis sp.,Saturnalis circularis,Anthocyrtidium sp.,Desmospyris rhodospyroides,Pterocanium korotnevi,Cycladophora spongothorax,Calocyclas humerus,Siphonosphaera magnisphaera,Lithartractus timmsi?,Spongotrochus glacialis,Pterocanium charybdeum trilobum,Acrosphaera australis,Acrosphaera mercurius,Siphonosphaera vesuvius,Lychnocanium grande,Desmospyris spongiosa,Cycladophora pliocenica,Acrosphaera murrayana,Rhopalastrum spp.,Stylatractus universus var. transparum,Helotholus vema,Antarctissa strelkovi,Antarctissa denticulata,Antarctissa cylindrica,Triceraspyris antarctica,Cycladophora davisiana,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,A. irregularis    ,              ,120, 748,B, 14,H, 2,  45.00,    116.0500,Takemura ,Radiolarians                                 ,A              ,M                 ,                    ,                                            ,39               ,701                                               ,5                ,                      ,              ,5             ,4               ,7                        ,                 ,                          ,0                      ,                    ,0                           ,44                          ,                        ,                       ,85                     ,11                       ,                      ,                ,19                ,18                  ,1                ,9                    ,1                                                        ,2              ,                    ,                ,2               ,3                                              ,                 ,                   ,                   ,                  ,                 ,               ,1                ,1                  ,                ,                   ,                  ,               ,46                       ,1                   ,               ,                     ,                                                     ,0                      ,                     ,?               ,                         ,                   ,0                ,                                                   ,                ,                     ,                             ,0                                                    ,                      ,                      ,                ,0                             ,0                       ,2                            ,0                ,1                  ,                   ,                         ,                           ,                        ,                              ,                           ,                   ,                ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chpater 39 Table 1 p 736-737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,E. spinosum       ,              ,120, 748,B, 14,H, 3,  45.00,    117.5500,Takemura ,Radiolarians                                 ,F              ,P                 ,                    ,                                            ,3                ,274                                               ,0                ,                      ,              ,3             ,3               ,13                       ,                 ,                          ,0                      ,                    ,0                           ,8                           ,                        ,                       ,114                    ,1                        ,                      ,                ,12                ,51                  ,3                ,7                    ,1                                                        ,               ,                    ,                ,4               ,1                                              ,                 ,                   ,                   ,                  ,                 ,0              ,1                ,                   ,                ,                   ,                  ,               ,4                        ,                    ,               ,                     ,                                                     ,?                      ,                     ,                ,                         ,                   ,                 ,0                                                  ,0               ,                     ,                             ,                                                     ,                      ,                      ,                ,0                             ,?                       ,                             ,                 ,                   ,                   ,                         ,                           ,                        ,                              ,                           ,                   ,                ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chpater 39 Table 1 p 736-737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,E. spinosum       ,              ,120, 748,B, 14,H, 4,  45.00,    119.0500,Takemura ,Radiolarians                                 ,C              ,M                 ,0                   ,2                                           ,19               ,641                                               ,7                ,                      ,              ,2             ,5               ,13                       ,                 ,                          ,4                      ,                    ,?                           ,50                          ,                        ,                       ,131                    ,18                       ,                      ,?               ,3                 ,43                  ,5                ,3                    ,8                                                        ,4              ,                    ,0               ,8               ,2                                              ,                 ,                   ,                   ,                  ,                 ,0              ,2                ,8                  ,                ,                   ,                  ,               ,17                       ,1                   ,               ,                     ,                                                     ,1                      ,                     ,                ,                         ,                   ,?                ,15                                                 ,0               ,                     ,                             ,                                                     ,                      ,                      ,                ,                              ,                        ,                             ,                 ,                   ,                   ,                         ,                           ,                        ,                              ,                           ,                   ,                ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chpater 39 Table 1 p 736-737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,E. spinosum       ,              ,120, 748,B, 14,H, 5,  45.00,    120.5500,Takemura ,Radiolarians                                 ,F              ,P                 ,                    ,0                                           ,13               ,315                                               ,                 ,                      ,1             ,3             ,3               ,7                        ,                 ,                          ,2                      ,                    ,1                           ,14                          ,                        ,                       ,60                     ,2                        ,                      ,                ,9                 ,62                  ,1                ,2                    ,1                                                        ,1              ,                    ,                ,1               ,1                                              ,                 ,                   ,                   ,                  ,                 ,               ,1                ,0                  ,                ,                   ,                  ,               ,8                        ,0                   ,               ,                     ,                                                     ,?                      ,                     ,                ,                         ,                   ,                 ,                                                   ,0               ,                     ,                             ,                                                     ,                      ,1                     ,                ,                              ,                        ,                             ,                 ,                   ,                   ,                         ,                           ,                        ,                              ,                           ,                   ,                ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chpater 39 Table 1 p 736-737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,E. spinosum       ,              ,120, 748,B, 14,H, 6,  45.00,    122.0500,Takemura ,Radiolarians                                 ,C              ,M                 ,6                   ,0                                           ,8                ,357                                               ,8                ,                      ,              ,2             ,8               ,1                        ,                 ,                          ,0                      ,                    ,0                           ,8                           ,                        ,                       ,26                     ,1                        ,                      ,                ,4                 ,24                  ,1                ,?                    ,4                                                        ,4              ,                    ,3               ,4               ,8                                              ,                 ,                   ,                   ,                  ,                 ,0              ,2                ,0                  ,?               ,                   ,                  ,               ,28                       ,2                   ,               ,1                    ,                                                     ,                       ,?                    ,                ,0                        ,                   ,?                ,                                                   ,0               ,                     ,                             ,0                                                    ,                      ,0                     ,                ,                              ,                        ,                             ,                 ,                   ,                   ,                         ,                           ,                        ,                              ,                           ,                   ,                ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chpater 39 Table 1 p 736-737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,E. spinosum       ,              ,120, 748,B, 15,H, 1,  45.00,    124.0500,Takemura ,Radiolarians                                 ,C              ,M                 ,4                   ,0                                           ,7                ,287                                               ,14               ,                      ,?             ,6             ,1               ,7                        ,                 ,0                         ,68                     ,                    ,                            ,9                           ,                        ,                       ,35                     ,                         ,                      ,                ,19                ,15                  ,17               ,1                    ,0                                                        ,2              ,                    ,                ,3               ,2                                              ,                 ,                   ,                   ,                  ,                 ,               ,                 ,0                  ,                ,                   ,                  ,               ,5                        ,4                   ,0              ,1                    ,                                                     ,                       ,                     ,                ,0                        ,                   ,                 ,3                                                  ,0               ,                     ,                             ,                                                     ,                      ,                      ,?               ,                              ,                        ,                             ,                 ,                   ,                   ,                         ,                           ,                        ,                              ,                           ,                   ,                ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chpater 39 Table 1 p 736-737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,E. spinosum       ,              ,120, 748,B, 15,H, 2,  45.00,    125.5500,Takemura ,Radiolarians                                 ,A              ,M                 ,0                   ,0                                           ,3                ,345                                               ,17               ,0                     ,              ,7             ,3               ,3                        ,                 ,                          ,12                     ,                    ,                            ,28                          ,                        ,                       ,28                     ,0                        ,0                     ,                ,11                ,3                   ,5                ,1                    ,0                                                        ,3              ,                    ,                ,6               ,3                                              ,                 ,                   ,                   ,                  ,0                ,0              ,3                ,6                  ,                ,                   ,                  ,               ,13                       ,7                   ,1              ,?                    ,                                                     ,                       ,                     ,                ,                         ,                   ,                 ,1                                                  ,                ,                     ,0                            ,1                                                    ,0                     ,0                     ,                ,                              ,                        ,                             ,                 ,                   ,                   ,                         ,                           ,                        ,                              ,                           ,                   ,                ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chpater 39 Table 1 p 736-737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,E. spinosum       ,              ,120, 748,B, 15,H, 3,  45.00,    127.0500,Takemura ,Radiolarians                                 ,A              ,M                 ,1                   ,0                                           ,1                ,307                                               ,29               ,                      ,              ,14            ,6               ,4                        ,                 ,                          ,34                     ,                    ,                            ,9                           ,                        ,                       ,11                     ,10                       ,0                     ,                ,5                 ,3                   ,8                ,2                    ,4                                                        ,4              ,                    ,2               ,5               ,4                                              ,                 ,                   ,                   ,                  ,                 ,               ,5                ,9                  ,                ,                   ,                  ,               ,20                       ,10                  ,0              ,                     ,                                                     ,                       ,1                    ,                ,                         ,                   ,                 ,0                                                  ,                ,                     ,2                            ,                                                     ,0                     ,                      ,                ,                              ,                        ,                             ,                 ,                   ,                   ,                         ,                           ,                        ,                              ,                           ,                   ,                ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chpater 39 Table 1 p 736-737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,E. spinosum       ,              ,120, 748,B, 15,H, 4,  45.00,    128.5500,Takemura ,Radiolarians                                 ,C              ,M                 ,0                   ,0                                           ,4                ,350                                               ,12               ,0                     ,              ,3             ,4               ,5                        ,                 ,                          ,26                     ,                    ,                            ,12                          ,                        ,                       ,39                     ,                         ,1                     ,                ,17                ,8                   ,6                ,                     ,1                                                        ,1              ,                    ,1               ,2               ,3                                              ,                 ,                   ,                   ,?                 ,0                ,0              ,0                ,2                  ,0               ,                   ,                  ,               ,1                        ,3                   ,0              ,                     ,                                                     ,                       ,                     ,                ,                         ,                   ,                 ,7                                                  ,                ,                     ,1                            ,0                                                    ,                      ,                      ,                ,                              ,                        ,                             ,                 ,                   ,                   ,                         ,                           ,                        ,                              ,                           ,                   ,                ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chpater 39 Table 1 p 736-737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,E. spinosum       ,              ,120, 748,B, 15,H, 5,  45.00,    130.0500,Takemura ,Radiolarians                                 ,C              ,P                 ,0                   ,                                            ,2                ,364                                               ,4                ,                      ,              ,3             ,3               ,1                        ,                 ,                          ,4                      ,                    ,0                           ,19                          ,                        ,                       ,60                     ,15                       ,                      ,                ,19                ,3                   ,4                ,2                    ,3                                                        ,0              ,                    ,                ,                ,                                               ,                 ,                   ,                   ,                  ,0                ,               ,1                ,2                  ,                ,                   ,                  ,               ,0                        ,1                   ,               ,1                    ,                                                     ,                       ,                     ,                ,                         ,                   ,                 ,0                                                  ,                ,                     ,                             ,                                                     ,                      ,                      ,                ,                              ,                        ,                             ,                 ,                   ,                   ,                         ,                           ,                        ,                              ,                           ,                   ,                ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chpater 39 Table 1 p 736-737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,E. spinosum       ,              ,120, 748,B, 15,H, 7,  45.00,    133.0500,Takemura ,Radiolarians                                 ,C              ,M                 ,                    ,                                            ,1                ,287                                               ,14               ,                      ,              ,15            ,4               ,6                        ,                 ,1                         ,60                     ,                    ,                            ,11                          ,                        ,                       ,38                     ,5                        ,0                     ,                ,19                ,12                  ,5                ,1                    ,6                                                        ,5              ,                    ,                ,2               ,                                               ,                 ,                   ,                   ,                  ,0                ,               ,0                ,0                  ,14              ,                   ,                  ,               ,1                        ,1                   ,               ,?                    ,0                                                    ,                       ,                     ,                ,?                        ,                   ,                 ,0                                                  ,                ,                     ,1                            ,                                                     ,                      ,                      ,                ,                              ,                        ,                             ,                 ,                   ,                   ,                         ,                           ,                        ,                              ,                           ,                   ,                ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chpater 39 Table 1 p 736-737
