Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylatractus santaeannae	Spongotrochus glacialis	Prunopyle hayesi	Helotholus haysi	Eucyrtidium pseudoinflatum	Druppatractus hastatus	Desmospyris rhodospyroides	Dendrospyris cf. megalocephalis	Cycladophora spongothorax	Acrosphaera australis	Stylatractus universus	Stichocorys peregrina	Siphonosphaera vesuvius	Prunopyle titan	Eucyrtidium cienkowskii	Cycladophora bicornis	Antarctissa deflandrei	Eucyrtidium inflatum	Eucyrtidium biconicum	Botryopera deflandrei	Eucyrtidium calvertense	Cycladophora pliocenica	Acrosphaera mercurius	Theocorys redondoensis	Spongodiscus craticulatus	Lychnocanium grande	Helotholus praevema	Cycladophora humerus	Stylacontarium bispiculum	Rhopalastrum spp.	Pterocanium korotnevi	Lampromitra coronata	Anthocyrtella (?) callopisma	Prunopyle trypopyrena	Gondwanaria hister	Antarctissa strelkovi	Ceratocyrtis sp.	Velicucullus sp.	Anthocyrtidium ehrenbergi	Triceraspyris coronata	Stylatractus universus var. transparum	Cyrtocapsella japonica	Prunopyle tetrapila	Phorticium clevei	Botryopera triloba	Anthocyrtidium spp.	Didymocyrtis/Diartus spp.	Stichopileum bicorne?	Antarctissa denticulata	Lithartractus timmsi?	Lamprocyclas aegles	Acrosphaera labrata	Calocyclas humerus	Saturnalis circularis	Amphymenium challengerae	Rhizosphaera antarctica	Pseudocubus vema	Desmospyris spongiosa	Antarctissa cylindrica	Comment
  SR	Late Miocene     	                 	NR10              	              	119	 746	A	 11	X	 6	  53.00	    235.3300	Caulet   	Radiolarians                                 	R              	M                 	                        	                       	R               	                	                          	                      	C                         	                               	F                        	                     	                      	                     	                       	               	T                      	                     	                      	R                   	R                    	                     	                       	                       	                     	                      	                         	                   	T                  	R                   	                         	                 	                     	                    	                            	                     	                  	                     	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from 119 SR Chapter 28 Table 8 page 526.

  SR	Late Miocene     	                 	NR10              	              	119	 746	A	 13	X	 1	  53.00	    242.7300	Caulet   	Radiolarians                                 	R              	G                 	                        	                       	F               	                	                          	                      	C                         	                               	F                        	                     	                      	F                    	                       	               	T                      	                     	                      	F                   	F                    	                     	                       	                       	                     	                      	T                        	R                  	R                  	R                   	                         	                 	                     	                    	                            	T                    	T                 	                     	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from 119 SR Chapter 28 Table 8 page 526.

  SR	                 	                 	A. australais     	              	119	 746	A	 13	X	 2	  53.00	    244.2300	Lazarus  	Radiolarians                                 	A              	G                 	F                       	                       	F               	R               	R                         	                      	F                         	                               	F                        	R                    	                      	R                    	F                      	               	                       	                     	A                     	R                   	                     	                     	R                      	                       	                     	                      	                         	R                  	                   	R                   	                         	+                	                     	+                   	T                           	                     	                  	                     	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	Late Miocene     	                 	NR10              	              	119	 746	A	 13	X	 3	  53.00	    245.7300	Caulet   	Radiolarians                                 	R              	G                 	                        	                       	F               	                	                          	                      	C                         	                               	F                        	                     	T                     	                     	                       	               	                       	                     	                      	R                   	R                    	                     	                       	                       	                     	T                     	                         	T                  	R                  	R                   	                         	                 	                     	                    	                            	                     	                  	                     	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from 119 SR Chapter 28 Table 8 page 526.

  SR	Late Miocene     	                 	NR10              	              	119	 746	A	 13	X	 4	  53.00	    247.2300	Caulet   	Radiolarians                                 	R              	M                 	                        	                       	F               	F               	R                         	                      	F                         	                               	F                        	+                    	R                     	R                    	C                      	               	                       	                     	C                     	R                   	R                    	                     	F                      	                       	                     	                      	                         	                   	R                  	R                   	+                        	+                	R                    	+                   	                            	                     	                  	                     	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from 119 SR Chapter 28 Table 8 page 526.

  SR	Late Miocene     	                 	NR10              	              	119	 746	A	 13	X	 6	  53.00	    250.2300	Caulet   	Radiolarians                                 	C              	G                 	                        	                       	F               	                	                          	                      	F                         	                               	C                        	                     	R                     	R                    	                       	               	                       	                     	                      	R                   	F                    	                     	                       	                       	                     	T                     	T                        	R                  	R                  	R                   	                         	                 	                     	                    	                            	                     	                  	                     	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from 119 SR Chapter 28 Table 8 page 526.

  SR	Late Miocene     	                 	NR10              	              	119	 746	A	 13	X	CC	  24.00	    251.9400	Caulet   	Radiolarians                                 	R              	M                 	                        	                       	                	                	                          	                      	T                         	                               	T                        	                     	                      	                     	                       	               	                       	                     	                      	                    	                     	T                    	                       	                       	                     	                      	                         	                   	                   	                    	                         	                 	                     	                    	                            	                     	                  	                     	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from 119 SR Chapter 28 Table 8 page 526.

  SR	                 	                 	A. australais     	              	119	 746	A	 14	X	 1	  53.00	    252.3300	Lazarus  	Radiolarians                                 	C              	G                 	F                       	R                      	F               	+               	F                         	                      	C                         	                               	F                        	F                    	F                     	                     	C                      	               	R                      	                     	C                     	                    	                     	                     	F                      	+                      	R                    	                      	                         	                   	                   	                    	                         	                 	                     	                    	                            	                     	                  	                     	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	Late Miocene     	                 	NR10              	              	119	 746	A	 14	X	CC	  25.00	    253.6400	Caulet   	Radiolarians                                 	F              	G                 	                        	                       	                	                	                          	                      	C                         	                               	R                        	                     	                      	                     	                       	               	R                      	                     	                      	T                   	R                    	R                    	                       	                       	                     	                      	                         	                   	                   	                    	                         	                 	                     	                    	                            	                     	                  	                     	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from 119 SR Chapter 28 Table 8 page 526.

  SR	                 	                 	A. australais     	              	119	 746	A	 15	X	 1	  53.00	    262.0300	Lazarus  	Radiolarians                                 	F              	M                 	R                       	+                      	R               	                	R                         	                      	C                         	                               	F                        	R                    	+                     	+                    	F                      	F              	F                      	F                    	F                     	                    	                     	                     	                       	                       	                     	                      	                         	                   	                   	                    	                         	                 	                     	                    	                            	                     	                  	                     	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	Late Miocene     	                 	NR10              	              	119	 746	A	 15	X	CC	  32.00	    262.5300	Caulet   	Radiolarians                                 	R              	M                 	                        	                       	                	                	                          	                      	                          	                               	T                        	                     	                      	                     	                       	               	                       	                     	                      	                    	                     	                     	                       	                       	                     	                      	                         	                   	                   	                    	                         	                 	                     	                    	                            	                     	                  	                     	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from 119 SR Chapter 28 Table 8 page 526.

  SR	                 	                 	A. australais     	              	119	 746	A	 16	X	 1	  54.00	    271.6400	Lazarus  	Radiolarians                                 	A              	G                 	R                       	+                      	F               	R               	F                         	R                     	C                         	+                              	F                        	C                    	                      	                     	                       	               	                       	                     	                      	                    	                     	                     	                       	                       	                     	                      	                         	                   	                   	                    	                         	                 	                     	                    	                            	                     	                  	                     	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

