Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Martinottiella communis	Quinqueloculina spp.	Martinottiella nodulosa	Gyroidinoides sp. A	Cassidulina norcrossi	Miliammina echigoensis	Dentalina spp.	Cyclammina cancellata	Uvigerina hispida	Uvigerina akitaensis	Melonis pompilioides	Globobulimina subaffinis	Uvigerina spp.	Rotaliid taxa	Cassidulina cushmani	Quinqueloculina vulgaris	Quinqueloculina cf. lamarckiana	Pyrgo depressa	Pullenia salisburyi	Planulina sp. A	Parafissurina tectulostoma	Oridorsalis umbonatus	Melonis nicobarense	Fissurina spp.	Stilostomella lepidula	Pyrgo murrhina	Oridorsalis tener	Cassidulina norvangi	Pyrgoella sp.	Pandaglandulina sp. A	Globobulimina pacifica	Globobulimina auriculata	Nonionella stella	Bolivina pacifica	Pyrgo spp.	Pseudoparrella takayanagii	Lenticulina spp.	Lagena apiopleura	Fissurina sublagenoides	Fissurina cucurbitasema	Fissurina annectens	Dentalina frobisherensis	Cassidulina sp. A	Astrononion hamadaense	Pleurostomella sp. A	Parafissurina striatum	Parafissurina sp.	Nonionella(?) fragilis   	Lagena tricaritortuosa	Lagena nebulosa	Lagena distoma	Fissurina marginata	Fissurina lucida	Fissurina lagenoides	Cibicides sp.	Stainforthia complanata	Spiloloculina sp.	Pseudoeponides japonica	Planularia asanoi	Parafissurina lateralis crassa	Parafissurina fersinea	Oolina melo	Miliolid taxa	Eilohedra rotunda	Cassidulina spp.	Bulimina sp. A	Bolivina spp.	Bolivina decussata	Triloculina tricarinata	Lagena elongata	Stainforthia fusiformis	Pseudoparrella naraensis	Parafissurina costata	Nodosariid taxa	Bulimina striata	Anomalina globulosa	Pandaglandulina spp.	Epistominella pulchella	Valvulineria sadonica	Polymorphinid taxa	Buliminella tenuata	Brizalina sp. A aff. B. bradyi	Bolivina sp. A aff. B. difformis	Trifarina kokozuraensis	Stainforthia sandiegoensis	Anomalina glabrata	Glabratella globularis	Elphidium spp.	Cibicides sp. A	Bulimina marginata	Cassidulinoides tenuis	Pseudononion grateloupi	Chilostomellina frimbriata	Bulimina aculeata	Stainforthia sp. A	Quadrimorphina laevigata	Lagena spp.	Fissurina multicostulata	Bolivinita quadrilatera	Nonionellina labradorica	Dentalina setanaensis	Rutherfordoides cf. rotundiformis	Nonionella globosa	Uvigerina wakimotoensis	Lagena sulcata	Echigoina hataii	Cibicides spp.	Cassidulina japonica	Bolivina subspinescens	Angulogerina sp. A	Cassidulina cf. japonica	Cibicides asanoi	Lagena substriata	Glandulina laevigata	Pseudonodosalia spp.	Marginulina sp.	Glandulina spp.	Epistominella sp. A	Dentalina ittai 	Comment

  SR	                 	                 	                  	              	128	 799	A	  8	H	 2	  37.00	     60.5700	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	9                    	1                     	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	T             	                      	T             	                 	9                   	             	                     	                      	                        	                 	                 	4         	T                         	                	                 	                       	                       	1                  	                        	T                	                      	                    	                      	                 	8                        	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	39               	2               	T             	T            	2                 	                       	               	                       	                        	                     	               	                	9                  	                    	                       	                     	                  	                   	                              	                                	                       	                          	10                	                      	              	               	T                 	                      	                       	                          	                 	2                 	T                       	T          	T                       	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  8	H	 3	  33.00	     62.0300	Kato     	Benthic Foraminifers                         	               	M                 	                       	26                  	                       	                   	7                    	                      	4             	                     	                 	15                  	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	15                   	11                    	                        	                 	7                	7         	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	7                    	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  8	H	 4	  34.00	     63.5400	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	2                    	                      	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	37                  	             	35                   	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	6                             	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	2                   	19                     	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  8	H	 5	  32.00	     65.0200	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	                     	100                   	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  8	H	 7	  30.00	     68.0000	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	56                   	                      	              	                     	                 	2                   	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	11                  	             	                     	                      	                        	                 	2                	          	1                         	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	T                      	                 	                       	                 	                              	                      	           	             	7                	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	7                      	2                    	                  	                   	                              	                                	11                     	                          	                  	                      	              	               	                  	T                     	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  9	H	 1	  59.00	     68.8900	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	43                   	                      	              	                     	                 	8                   	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	5                   	             	                     	                      	                        	                 	6                	T         	2                         	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	2                      	                 	                       	                 	                              	                      	           	             	                 	T               	T             	             	2                 	                       	               	                       	                        	                     	               	                	                   	                    	16                     	4                    	                  	                   	                              	                                	8                      	                          	                  	                      	              	               	                  	T                     	                       	T                         	T                	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  9	H	 2	  52.00	     70.3200	Kato     	Benthic Foraminifers                         	               	M                 	                       	T                   	                       	                   	T                    	                      	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	2                   	             	                     	                      	                        	                 	33               	          	T                         	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	T                   	T            	T                      	                 	                       	                 	                              	                      	           	             	29               	                	              	             	                  	                       	               	29                     	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	3                      	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  9	H	 3	  56.00	     71.8600	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	54                   	2                     	              	                     	                 	11                  	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	5                   	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	5                	                	5             	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	9                      	                     	                  	                   	                              	                                	5                      	                          	                  	                      	              	               	                  	4                     	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  9	H	 4	  52.00	     73.3200	Kato     	Benthic Foraminifers                         	               	P                 	                       	                    	                       	                   	24                   	8                     	              	                     	                 	34                  	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	2             	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	19                     	5                    	                  	                   	                              	                                	19                     	                          	                  	                      	              	               	1                 	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  9	H	 6	  54.00	     76.3400	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	55                   	                      	              	                     	                 	                    	                    	                        	T             	             	                    	                        	                               	5             	                   	               	                          	                     	                   	              	                      	8             	                 	                    	             	                     	                      	                        	                 	                 	2         	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	6                             	                      	           	             	                 	                	              	             	6                 	                       	               	                       	1                       	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	1                      	                          	                  	14                    	T             	T              	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  9	H	 7	  30.00	     77.6000	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	                     	                      	              	                     	                 	                    	                    	                        	1             	             	                    	                        	                               	              	                   	               	                          	                     	                   	4             	                      	              	                 	11                  	             	                     	5                     	                        	                 	49               	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	1                     	           	             	9                	                	              	             	                  	                       	               	7                      	                        	                     	               	                	                   	                    	                       	5                    	                  	                   	                              	                                	                       	7                         	1                 	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 10	H	 1	  31.00	     78.2100	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	14                   	                      	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	20             	                          	                     	                   	              	                      	3             	                 	51                  	             	                     	                      	                        	                 	                 	T         	T                         	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	3                             	                      	           	             	                 	                	              	3            	T                 	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	3                      	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 10	H	 3	  29.00	     81.1900	Kato     	Benthic Foraminifers                         	               	P                 	                       	                    	                       	                   	                     	3                     	3             	                     	                 	4                   	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	5                   	             	                     	3                     	                        	                 	17               	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	22               	                	              	3            	                  	                       	               	28                     	                        	                     	               	                	                   	                    	1                      	5                    	1                 	1                  	1                             	4                               	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 10	H	 4	  31.00	     82.7100	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	5                    	                      	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	73                  	             	6                    	                      	                        	                 	                 	          	2                         	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	T                             	                      	           	             	                 	                	              	             	T                 	                       	               	13                     	                        	                     	               	                	                   	T                   	T                      	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 11	H	 1	  33.00	     87.8300	Kato     	Benthic Foraminifers                         	               	P                 	                       	                    	                       	                   	                     	                      	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	8                	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	8                	                	8             	             	                  	                       	               	75                     	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 11	H	 2	  35.00	     89.3500	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	                     	100                   	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

