Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Cassidulina translucens,Uvigerina subperegrina,Bulimina subcalva,Oridorsalis umbonatus,Gyroidina spp.,Epistominella pacifica,Cassidulina limbata,Calcareous spp. (indeterminate),Bulimina striata mexicana,Pyrgo sp.,Lenticulina spp.,Gyroidina soldanii rotundimargo,Gyroidina soldanii altiformis,Globocassidulina subglobosa,Fissurina spp.,Dentalina spp.,Cassidulina californica,Uvigerina peregrina,Pullenia salisburyi,Elphidium spp.,Cassidulina norcrossi,Cassidulina minuta,Bulimina subacuminata,Plectofrondicularia spp.,Nodosaria spp.,Bolivinita quadrilatera,Valvulineria araucana,Cibicides spp.,Bolivina spissa,Buccella frigida,Melonis barleeanus,Globobulimina pacifica,Glandulina sp.,Cassidulinoides bradyi,Bulimina fossa,Silicosigmoilina sp.,Martinottiella communis,Nonionella labradorica,Cibicidoides mckannai,Bolivina spp.,Uvigerina juncea,Bulimina exilis,Bolivina pseudobeyrichi,Valvulineria spp.,Lagena spp.,Cibicidoides wuellerstorfi,Stilostomella spp.,Quinqueloculina spp.,Elphidium excavatum f. clavatum,Buliminella subfusiformis,Trifarina angulosa,Pullenia bulloides,Buccella tenerrima,Cassidulina spp.,Uvigerina senticosa,Uvigerina hispida,Tosaia hanzawai,Eponides spp.,Uvigerina sp.,Chilostomella oolina,Melonis pompilioides,Bulimina spp.,Uvigerina dirupta,Pullenia sp.,Nonionella miocenica,Triloculina spp.,Bolivina translucens,Cassidulina carinata,Bulimina aculeata,Cassidulina cushmani,Bolivina seminuda,Elphidiella hannai,Globobulimina affinis,Agglutinated spp. (indeterminate),Nonionella globosa,Cassidulinoides cornuta,Chilostomella ovoidea,Bulimina barbata,Bolivina interjuncta,Bolivina argentea,Comment
  SR,                 ,                 ,                  ,              ,146, 889,A, 13,H,CC,  22.00,    127.4400,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,R                      ,                      ,                 ,                     ,              ,                      ,S                  ,R                              ,                         ,         ,                ,                               ,                             ,                           ,              ,R             ,                       ,S                  ,                   ,              ,                     ,                  ,                     ,                        ,S             ,                       ,                     ,              ,               ,                ,                  ,R                     ,              ,                      ,              ,                    ,                       ,R                     ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,S                 ,                    ,                               ,S                        ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 14,H,CC,  24.00,    129.1900,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,                       ,                      ,                 ,                     ,              ,S                     ,                   ,                               ,                         ,         ,                ,                               ,                             ,                           ,              ,S             ,                       ,                   ,                   ,              ,                     ,                  ,                     ,                        ,              ,                       ,                     ,              ,               ,                ,                  ,                      ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,                               ,                         ,                  ,                  ,                  ,S               ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 15,P, 1,  29.00,    129.2900,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,R                      ,                      ,                 ,                     ,S             ,R                     ,                   ,                               ,                         ,         ,                ,                               ,                             ,S                          ,S             ,              ,                       ,                   ,                   ,              ,                     ,                  ,                     ,                        ,              ,                       ,                     ,              ,               ,                ,                  ,                      ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,                               ,                         ,                  ,                  ,S                 ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 16,H,CC,   0.00,    130.0000,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,R                      ,                      ,                 ,                     ,S             ,F                     ,                   ,                               ,                         ,         ,S               ,                               ,                             ,                           ,              ,              ,                       ,                   ,S                  ,              ,                     ,R                 ,R                    ,                        ,S             ,                       ,                     ,              ,               ,                ,                  ,S                     ,              ,                      ,              ,                    ,                       ,                      ,                     ,S            ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,R                              ,                         ,                  ,S                 ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 17,X,CC,   0.00,    131.9600,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,                       ,                      ,                 ,                     ,              ,                      ,                   ,                               ,                         ,         ,                ,                               ,                             ,                           ,              ,              ,                       ,S                  ,                   ,              ,R                    ,S                 ,S                    ,                        ,              ,                       ,                     ,S             ,               ,                ,S                 ,S                     ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,R               ,               ,                       ,                 ,           ,S                         ,                  ,                    ,                               ,                         ,S                 ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 18,X,CC,  23.00,    147.0800,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,F                      ,F                     ,                 ,                     ,              ,R                     ,                   ,                               ,                         ,         ,S               ,                               ,                             ,                           ,              ,              ,                       ,C                  ,                   ,              ,F                    ,R                 ,                     ,                        ,R             ,                       ,                     ,              ,S              ,                ,                  ,                      ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,R               ,               ,                       ,                 ,           ,                          ,S                 ,R                   ,R                              ,S                        ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 20,X,CC,  12.00,    165.8100,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                       ,                      ,                 ,                     ,              ,R                     ,                   ,                               ,                         ,         ,S               ,                               ,                             ,                           ,              ,F             ,                       ,                   ,                   ,              ,                     ,                  ,                     ,                        ,R             ,                       ,                     ,              ,               ,                ,                  ,                      ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,                ,               ,                       ,S                ,S          ,R                         ,                  ,                    ,                               ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 22,X,CC,  14.00,    186.1000,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,C                      ,                      ,                 ,                     ,              ,C                     ,                   ,                               ,                         ,         ,                ,                               ,                             ,                           ,              ,              ,                       ,R                  ,                   ,              ,R                    ,                  ,S                    ,R                       ,              ,                       ,                     ,              ,               ,                ,                  ,R                     ,              ,F                     ,              ,                    ,                       ,                      ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,                               ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 24,X,CC,  18.00,    197.6600,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,R                      ,                      ,                 ,                     ,              ,F                     ,                   ,                               ,                         ,         ,                ,                               ,                             ,                           ,              ,R             ,                       ,R                  ,                   ,R             ,C                    ,R                 ,R                    ,                        ,              ,                       ,                     ,              ,               ,                ,                  ,R                     ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,R               ,R              ,S                      ,                 ,           ,                          ,                  ,                    ,                               ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 25,X,CC,  13.00,    200.6300,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,R                      ,                      ,                 ,S                    ,              ,C                     ,                   ,                               ,                         ,         ,                ,                               ,                             ,                           ,              ,              ,                       ,R                  ,                   ,              ,                     ,                  ,                     ,S                       ,R             ,                       ,                     ,              ,               ,                ,                  ,                      ,              ,                      ,              ,                    ,                       ,                      ,                     ,R            ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,                               ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 26,X,CC,  13.00,    215.3500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,R                      ,S                     ,                 ,R                    ,              ,S                     ,                   ,                               ,S                        ,         ,                ,                               ,                             ,                           ,              ,              ,                       ,S                  ,S                  ,S             ,                     ,                  ,S                    ,S                       ,R             ,R                      ,                     ,R             ,R              ,                ,                  ,R                     ,              ,                      ,              ,                    ,                       ,S                     ,R                    ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,                               ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 28,X,CC,  22.00,    224.0400,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                       ,                      ,                 ,                     ,              ,                      ,                   ,                               ,                         ,         ,                ,                               ,                             ,                           ,              ,              ,                       ,                   ,                   ,              ,                     ,                  ,                     ,                        ,              ,                       ,                     ,              ,               ,                ,                  ,S                     ,              ,                      ,              ,S                   ,S                      ,                      ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,                               ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 30,X,CC,  21.00,    235.5100,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                       ,                      ,                 ,                     ,              ,S                     ,                   ,                               ,                         ,         ,                ,                               ,                             ,                           ,              ,              ,                       ,                   ,                   ,              ,                     ,                  ,                     ,                        ,              ,                       ,                     ,              ,               ,                ,                  ,S                     ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,                               ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 31,X,CC,  18.00,    246.7900,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,R                      ,                      ,                 ,                     ,              ,C                     ,                   ,R                              ,                         ,         ,                ,                               ,                             ,                           ,              ,R             ,                       ,C                  ,                   ,              ,C                    ,                  ,                     ,S                       ,              ,                       ,                     ,              ,R              ,                ,                  ,                      ,              ,R                     ,R             ,                    ,                       ,                      ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,                               ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 32,X,CC,  16.00,    250.8100,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,R                      ,                      ,                 ,                     ,              ,C                     ,                   ,                               ,                         ,         ,                ,                               ,                             ,                           ,              ,              ,                       ,F                  ,                   ,              ,R                    ,S                 ,                     ,                        ,              ,                       ,S                    ,              ,               ,                ,                  ,R                     ,S             ,R                     ,              ,                    ,                       ,                      ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,                               ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 34,X,CC,  34.00,    261.6500,Zellers  ,Benthic Foraminifers                         ,               ,P                 ,R                      ,                      ,                 ,                     ,              ,S                     ,                   ,                               ,                         ,         ,                ,                               ,                             ,                           ,              ,R             ,                       ,R                  ,                   ,              ,F                    ,                  ,                     ,                        ,              ,                       ,                     ,              ,S              ,                ,R                 ,R                     ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,                               ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 36,X,CC,  23.00,    268.0700,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,                       ,                      ,                 ,                     ,              ,S                     ,                   ,                               ,                         ,         ,                ,                               ,                             ,                           ,              ,S             ,                       ,                   ,                   ,              ,                     ,                  ,                     ,S                       ,              ,                       ,S                    ,              ,R              ,S               ,                  ,                      ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,                               ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 37,X, 1,  20.00,    275.4000,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,S                      ,R                     ,                 ,R                    ,R             ,F                     ,                   ,                               ,R                        ,         ,                ,                               ,                             ,                           ,              ,              ,                       ,C                  ,                   ,              ,F                    ,                  ,R                    ,                        ,              ,                       ,S                    ,R             ,R              ,                ,                  ,                      ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,                               ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 38,X, 1,   5.00,    284.1500,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,R                      ,                      ,                 ,                     ,              ,                      ,                   ,                               ,                         ,         ,                ,                               ,                             ,                           ,              ,              ,                       ,                   ,                   ,              ,                     ,                  ,S                    ,S                       ,S             ,S                      ,                     ,              ,               ,                ,                  ,                      ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,                               ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 39,X,CC,  12.00,    293.9200,Zellers  ,Benthic Foraminifers                         ,               ,P                 ,S                      ,                      ,                 ,                     ,              ,C                     ,                   ,                               ,                         ,         ,                ,                               ,                             ,                           ,              ,              ,                       ,A                  ,S                  ,S             ,S                    ,S                 ,R                    ,                        ,              ,                       ,                     ,              ,               ,                ,                  ,                      ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,                               ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 41,X,CC,  12.00,    316.2400,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,                       ,                      ,S                ,R                    ,              ,                      ,                   ,                               ,                         ,R        ,R               ,S                              ,R                            ,R                          ,R             ,S             ,F                      ,                   ,                   ,              ,                     ,                  ,                     ,                        ,              ,                       ,                     ,              ,               ,                ,                  ,                      ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,                               ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 42,X,CC,  20.00,    320.2200,Zellers  ,Benthic Foraminifers                         ,               ,P                 ,                       ,                      ,S                ,S                    ,S             ,R                     ,S                  ,R                              ,S                        ,         ,                ,                               ,                             ,                           ,              ,              ,                       ,                   ,                   ,              ,                     ,                  ,                     ,                        ,              ,                       ,                     ,              ,               ,                ,                  ,                      ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,                               ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 43,X,CC,  16.00,    330.1600,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,                       ,R                     ,R                ,                     ,              ,                      ,                   ,                               ,                         ,         ,                ,                               ,                             ,                           ,              ,              ,                       ,                   ,                   ,              ,                     ,                  ,                     ,                        ,              ,                       ,                     ,              ,               ,                ,                  ,                      ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,                               ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 44,X,CC,   7.00,    338.6300,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,S                      ,                      ,                 ,                     ,              ,                      ,                   ,                               ,                         ,         ,                ,                               ,                             ,                           ,              ,              ,                       ,                   ,                   ,              ,                     ,                  ,                     ,                        ,              ,                       ,                     ,              ,               ,                ,                  ,                      ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,                               ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
