Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spiniferites sp.,Selenopemphix sp.,Operculodinium sp.,Cribroperidinium sp. cf. C. tenuitabulatum,Trinovantedinium sp.,Selenopemphix nephroides,Reticulatosphaera actinocoronata,Palaeocystodinium sp.,Melitasphaeridium choanophorum,Deflandrea phosphoritica,Spiniferites ramosus,Selenopemphix spp.,Polysphaeridium subtile,Palaeocystodinium golzowense,Operculodinium? eirikianum,Operculodinium spp.,Labyrinthodinium truncatum,Phelodinium sp.,Impagidinium sp. cf. I. sp.1,Hystrichosphaeropsis obscura,"Protoperidinium spp. ""round browns""",Nematosphaeropsis labyrinthea,Lejeunecysta sp.,Spiniferites spp.,Impagidinium sp.2,Distatodinium sp.,Phelodinium spp.,Operculodinium centrocarpum,Oligosphaeridium spp.,Invertocysta tabulata,Invertocysta lacrymosa,Chiropteridium spp.,Batiacasphaera spp.,Batiacasphaera sphaerica,Batiacasphaera hirsuta,Apteodinium australiense,Achomosphaera sp.1,Spiniferites sp. B,Nematosphaeropsis rigida,Lingulodinium brevispinosum,Impagidinium? pallidum,Hystrichokolpoma denticulatum,Filisphaera filifera,Distatodinium paradoxum,Diphyes spp.,Hystrichosphaeropsis spp.,Hystrichokolpoma poculum,Distatodinium craterum,Svalbardella spp.,Operculodinium israelianum,Lingulodinium machaerophorum,Tuberculodinium vancampoae,Barssidinium graminosum,Cribroperidinium spp.,Pentadinium spp.,Impagidinium paradoxum,Cristadinium spp.,Amiculosphaera umbracula,Achomosphaera andalousiensis,Hystrichokolpoma rigaudiae,Hystrichostrogylon coninckii,Riculacysta perforata,Nematosphaeropsis spp.,Selenopemphix dionaeacysta,Lejeunecysta spp.,Impagidinium japonicum,Batiacasphaera cf. baculata,Apteodinium spp.,Tectatodinium pellitum,Evittosphaerula? sp. 2 ,Svalbardella sp.,Tectatodinium psilatum,Capillicysta gloriana,Impagidinium patulum,Polysphaeridium zoharyi,Lophocysta sulcolimbata,Evittosphaerula spp.,Selenopemphix brevispinosa,Stelladinium spp.,Operculodinium janduchenei,Hystrichokolpoma truncatum,Homotryblium vallum,Homotryblium spp.,Nematosphaeropsis sp. cf. N. lemniscata ,Cristadinium sp. cf. C. cristatoserratum,Cristadinium diminutivum,Unipontidinium aquaeductum,Brigantedinium spp.,Batiacasphaera minuta,Spiniferites pseudofurcatus,Impletosphaeridium spp.,Cristadinium sp.,Distatodinium spp.,Votadinium spp.,Dapsilidinium pastielsii,Spiniferites mirabilis,Protoperidinium sp.1,Nematosphaeropsis lemniscata,Cristadinium sp.1,Brigantedinium simplex,Multispinula minuta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Early Pliocene   ,Mio6              ,Pli1          ,151, 909,C, 39,R,CC,   0.00,    453.1600,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,                  ,                                          ,                    ,                        ,                                ,                     ,                              ,                        ,R                   ,                  ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,R                                  ,                             ,                ,                 ,                 ,                 ,                ,                           ,                     ,                     ,                      ,                   ,                   ,R                       ,                      ,                        ,                  ,                  ,                        ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,                          ,                            ,                          ,                       ,                     ,                ,                      ,                 ,                        ,                            ,                          ,                            ,                     ,                      ,                          ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,                    ,                       ,                       ,                    ,                          ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,R                      ,                ,F                 ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,Rare reworked dinoflagellate cysts. From Leg 151SR. Ch 14. Fig 5. p. 267-269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,                  ,              ,151, 909,C, 40,R,CC,   0.00,    467.7900,Firth    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+               ,+                ,                  ,                                          ,                    ,                        ,                                ,+                    ,                              ,                        ,F                   ,                  ,                       ,                            ,                          ,                   ,                          ,+              ,                            ,R                           ,R                                  ,                             ,                ,                 ,                 ,                 ,                ,                           ,R                    ,                     ,                      ,                   ,                   ,                        ,                      ,                        ,R                 ,                  ,R                       ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,                          ,                            ,                          ,                       ,                     ,                ,                      ,                 ,                        ,                            ,                          ,                            ,                     ,                      ,+                         ,F                ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,                    ,                       ,                       ,                    ,                          ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,                       ,                ,F                 ,R              ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,uncertain age assignment. from Leg 151IR. Ch 7. Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Early Pliocene   ,Mio6              ,Pli1          ,151, 909,C, 41,R,CC,  20.00,    480.0900,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,                  ,                                          ,                    ,                        ,                                ,                     ,R                             ,                        ,F                   ,R                 ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,F                                  ,                             ,                ,                 ,                 ,                 ,                ,R                          ,F                    ,                     ,                      ,                   ,                   ,R                       ,                      ,                        ,                  ,                  ,R                       ,R                          ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,R                         ,                            ,                          ,R                      ,                     ,                ,                      ,                 ,R                       ,R                           ,                          ,                            ,                     ,                      ,                          ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,                    ,                       ,                       ,                    ,                          ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,R                      ,                ,F                 ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,Few reworked dinoflagellate cysts. From Leg 151SR. Ch 14. Fig 5. p. 267-269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Early Pliocene   ,Mio6              ,Pli1          ,151, 909,C, 42,R,CC,  13.00,    488.0400,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+               ,+                ,+                 ,                                          ,                    ,+                       ,                                ,+                    ,                              ,                        ,                    ,                  ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,                                   ,                             ,+               ,R                ,                 ,                 ,                ,R                          ,R                    ,                     ,                      ,                   ,                   ,                        ,R                     ,                        ,                  ,                  ,                        ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,A                         ,                            ,                          ,                       ,R                    ,                ,                      ,                 ,                        ,                            ,                          ,                            ,                     ,                      ,                          ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,                    ,                       ,                       ,                    ,+                         ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,cf                      ,                          ,                   ,                     ,R                          ,R                      ,+               ,                  ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,From Leg 151SR. Ch 14. Fig 5. p. 267-269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Early Pliocene   ,Mio6              ,Pli1          ,151, 909,C, 43,R,CC,  18.00,    499.3300,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,                  ,                                          ,                    ,                        ,                                ,                     ,                              ,                        ,                    ,                  ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,R                                  ,                             ,                ,R                ,                 ,                 ,                ,                           ,R                    ,                     ,                      ,                   ,                   ,                        ,                      ,                        ,                  ,                  ,                        ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,                          ,                            ,                          ,                       ,R                    ,                ,                      ,                 ,                        ,                            ,                          ,                            ,                     ,                      ,                          ,F                ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,                    ,                       ,                       ,                    ,                          ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,R                  ,R                    ,                           ,                       ,                ,                  ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,Rare reworked dinoflagellate cysts. From Leg 151SR. Ch 14. Fig 5. p. 267-269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,                  ,              ,151, 909,C, 44,R,CC,  15.00,    507.9200,Firth    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,+                ,                  ,                                          ,+                   ,+                       ,                                ,                     ,                              ,                        ,                    ,VA                ,                       ,                            ,R                         ,                   ,                          ,               ,                            ,R                           ,                                   ,                             ,+               ,R                ,                 ,                 ,                ,R                          ,F                    ,                     ,                      ,                   ,                   ,                        ,                      ,                        ,                  ,                  ,C                       ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,                          ,                            ,                          ,R                      ,R                    ,                ,                      ,                 ,                        ,                            ,                          ,                            ,                     ,                      ,+                         ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,                    ,                       ,                       ,                    ,+                         ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,+                       ,                          ,                   ,                     ,                           ,                       ,                ,                  ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,uncertain age assignment. from Leg 151IR. Ch 7. Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Early Pliocene   ,Mio6              ,Pli1          ,151, 909,C, 45,R,CC,   0.00,    516.6000,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,                  ,                                          ,                    ,                        ,                                ,                     ,                              ,                        ,R                   ,                  ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,R                                  ,                             ,                ,R                ,                 ,                 ,                ,                           ,R                    ,                     ,                      ,                   ,                   ,                        ,                      ,                        ,                  ,                  ,                        ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,                          ,                            ,                          ,                       ,                     ,                ,                      ,                 ,                        ,                            ,                          ,                            ,                     ,                      ,                          ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,                    ,                       ,                       ,                    ,                          ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,                       ,                ,                  ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,Rare reworked dinoflagellate cysts. From Leg 151SR. Ch 14. Fig 5. p. 267-269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,                  ,              ,151, 909,C, 46,R,CC,  31.00,    524.6100,Firth    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+               ,                 ,                  ,                                          ,                    ,+                       ,                                ,+                    ,R                             ,                        ,F                   ,                  ,                       ,                            ,                          ,                   ,                          ,+              ,                            ,R                           ,R                                  ,                             ,                ,                 ,                 ,                 ,                ,                           ,F                    ,                     ,                      ,R                  ,                   ,                        ,R                     ,                        ,                  ,                  ,                        ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,                          ,                            ,                          ,                       ,                     ,                ,                      ,                 ,R                       ,R                           ,                          ,                            ,                     ,                      ,                          ,F                ,                      ,                           ,R               ,                      ,                       ,                ,                      ,                     ,                    ,                       ,                       ,                    ,                          ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,?                         ,                   ,                     ,                           ,                       ,                ,                  ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,uncertain age assignment. from Leg 151IR. Ch 7. Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Early Pliocene   ,Mio6              ,Pli1          ,151, 909,C, 47,R,CC,   6.00,    536.4200,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,                  ,                                          ,                    ,                        ,                                ,                     ,                              ,                        ,R                   ,                  ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,R                                  ,                             ,                ,                 ,                 ,                 ,                ,                           ,R                    ,                     ,                      ,                   ,                   ,                        ,                      ,                        ,R                 ,                  ,R                       ,                           ,R                     ,                             ,                    ,                       ,            ,                         ,R                       ,                      ,                 ,                          ,                            ,                          ,                       ,R                    ,                ,                      ,                 ,                        ,                            ,                          ,                            ,                     ,                      ,                          ,                 ,                      ,                           ,                ,                      ,                       ,                ,R                     ,                     ,R                   ,                       ,                       ,                    ,                          ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,                       ,                ,                  ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,From Leg 151SR. Ch 14. Fig 5. p. 267-269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,                  ,              ,151, 909,C, 48,R,CC,   0.00,    546.7000,Firth    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+               ,                 ,                  ,                                          ,+                   ,+                       ,                                ,+                    ,                              ,                        ,R                   ,R                 ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,R                                  ,                             ,                ,                 ,                 ,                 ,                ,R                          ,                     ,                     ,                      ,                   ,                   ,R                       ,                      ,                        ,R                 ,                  ,R                       ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,R                         ,                            ,                          ,                       ,                     ,                ,                      ,                 ,                        ,                            ,                          ,                            ,                     ,                      ,+                         ,                 ,                      ,                           ,                ,                      ,                       ,                ,R                     ,                     ,                    ,                       ,                       ,                    ,                          ,                 ,                          ,                          ,                   ,                 ,+                                       ,+                                       ,cf                      ,                          ,                   ,                     ,                           ,                       ,                ,                  ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,uncertain age assignment. from Leg 151IR. Ch 7. Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Early Pliocene   ,Mio6              ,Pli1          ,151, 909,C, 49,R,CC,  14.00,    557.0600,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,                  ,                                          ,                    ,                        ,                                ,                     ,                              ,                        ,F                   ,                  ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,                                   ,                             ,                ,                 ,                 ,                 ,                ,                           ,                     ,                     ,                      ,                   ,                   ,                        ,R                     ,                        ,                  ,                  ,                        ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,R                         ,                            ,                          ,                       ,R                    ,                ,                      ,                 ,                        ,                            ,                          ,                            ,                     ,                      ,                          ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,                    ,                       ,                       ,                    ,                          ,R                ,R                         ,R                         ,R                  ,F                ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,                       ,                ,                  ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,Rare reworked dinoflagellate cysts. From Leg 151SR. Ch 14. Fig 5. p. 267-269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,                  ,              ,151, 909,C, 50,R,CC,   0.00,    562.1400,Firth    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+               ,                 ,                  ,                                          ,                    ,                        ,                                ,+                    ,                              ,                        ,                    ,                  ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,R                                  ,                             ,                ,                 ,                 ,                 ,                ,                           ,                     ,                     ,                      ,                   ,                   ,R                       ,                      ,                        ,                  ,                  ,                        ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,R                         ,                            ,                          ,                       ,                     ,                ,                      ,                 ,                        ,                            ,                          ,                            ,                     ,                      ,                          ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,                    ,                       ,                       ,                    ,+                         ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,                       ,                ,                  ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,uncertain age assignment. from Leg 151IR. Ch 7. Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Mio5              ,              ,151, 909,C, 51,R,CC,   0.00,    573.0100,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,                  ,                                          ,                    ,                        ,                                ,                     ,                              ,                        ,R                   ,                  ,                       ,R                           ,                          ,                   ,                          ,               ,                            ,                            ,R                                  ,                             ,                ,                 ,                 ,                 ,                ,                           ,                     ,                     ,R                     ,                   ,                   ,R                       ,                      ,                        ,                  ,                  ,F                       ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,                          ,                            ,                          ,R                      ,                     ,                ,                      ,                 ,                        ,                            ,                          ,                            ,                     ,                      ,                          ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,                    ,                       ,                       ,                    ,                          ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,                       ,                ,                  ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,Rare reworked dinoflagellate cysts. From Leg 151SR. Ch 14. Fig 5. p. 267-269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Mio5              ,              ,151, 909,C, 52,R,CC,   0.00,    581.6800,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,                  ,                                          ,                    ,                        ,                                ,                     ,                              ,                        ,F                   ,                  ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,R                                  ,                             ,                ,                 ,                 ,                 ,                ,                           ,                     ,                     ,                      ,                   ,                   ,                        ,                      ,                        ,R                 ,                  ,                        ,                           ,R                     ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,R                         ,                            ,                          ,                       ,                     ,                ,                      ,                 ,                        ,                            ,                          ,                            ,                     ,                      ,                          ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,                    ,                       ,                       ,                    ,                          ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,                       ,                ,                  ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,Rare reworked dinoflagellate cysts. From Leg 151SR. Ch 14. Fig 5. p. 267-269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Mio5              ,              ,151, 909,C, 53,R,CC,  19.00,    593.5000,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,                  ,                                          ,                    ,                        ,                                ,                     ,R                             ,                        ,C                   ,R                 ,                       ,                            ,                          ,R                  ,                          ,               ,                            ,                            ,R                                  ,                             ,                ,                 ,                 ,                 ,                ,R                          ,                     ,                     ,                      ,                   ,                   ,R                       ,R                     ,                        ,                  ,                  ,                        ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,R                         ,F                           ,                          ,                       ,                     ,                ,                      ,                 ,R                       ,R                           ,                          ,                            ,                     ,                      ,                          ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,                    ,                       ,                       ,                    ,                          ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,                       ,                ,                  ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,Rare reworked dinoflagellate cysts. From Leg 151SR. Ch 14. Fig 5. p. 267-269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,                  ,              ,151, 909,C, 54,R,CC,   0.00,    599.1500,Firth    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,+                ,                  ,                                          ,                    ,+                       ,                                ,                     ,                              ,                        ,C                   ,                  ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,R                                  ,                             ,+               ,                 ,                 ,                 ,                ,R                          ,                     ,                     ,                      ,                   ,                   ,                        ,                      ,                        ,R                 ,                  ,                        ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,                          ,                            ,                          ,                       ,R                    ,                ,                      ,                 ,                        ,                            ,                          ,                            ,                     ,                      ,                          ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,                    ,                       ,                       ,                    ,                          ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,                       ,                ,                  ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,uncertain age assignment. from Leg 151IR. Ch 7. Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Mio5              ,              ,151, 909,C, 55,R,CC,   8.00,    614.4100,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,                  ,                                          ,                    ,                        ,C                               ,                     ,                              ,                        ,C                   ,R                 ,                       ,                            ,                          ,                   ,                          ,               ,                            ,R                           ,R                                  ,                             ,                ,                 ,                 ,                 ,                ,R                          ,                     ,                     ,                      ,                   ,                   ,                        ,R                     ,                        ,R                 ,                  ,                        ,                           ,R                     ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,R                         ,                            ,                          ,R                      ,                     ,                ,                      ,                 ,R                       ,R                           ,                          ,                            ,                     ,                      ,                          ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,                    ,                       ,                       ,                    ,                          ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,                       ,                ,                  ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,From Leg 151SR. Ch 14. Fig 5. p. 267-269
