Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Vercorsella sp. cf. V. arenata	Verneuilinidae taxa	Textulariid taxa	Nezzazata isabellae	Miliolid taxa	Istriloculina unspecified taxon	Foraminifers (planispiral taxa)	Buccicrenata hedgergi	Voloshinoides (?) sp. A	Boueina sp.	Glomospira unspecified taxon	Arenobulimina sp. A	Debarina sp. cf. D. hahounerensis	Vercorsella sp.	Nezzazata sp. B	Cuneolina sp. A	Sabaudia minuta	Arenobulimina sp.cf. A.chapmani	Arenobulimina sp.	Praechrysalidina infracretacea	Nezzazata sp. A	Terquemella (unspecified taxon or taxa)	Paracoskinolina sp. cf. P. sunnilandensis	Orbitolinid taxa	Orbitolina sp.	Novalesia angulosa	Nodosariidae (taxa)	Salpingoporella (unspecified taxon or taxa)	Vercorsella sp. cf. V. scarsellai	Cayeuxia (unspecified taxon or taxa)	Spiroloculina sp.	Cuneolina parva	Trocholina sp. cf. T. lenticularis	Cuneolina sp. cf. C. pavonia	Trocholina sp. cf. T. odukpaniensis	Pseudonummoloculina sp.	Pseudonummoloculina sp. cf. P.aurigerica	Barkerina sp.cf. B. barkerensis	Bacinella irregularis	Marssonella (unspecified taxon or taxa)	Spirillina sp.	Comment
  SR	Albian           	                 	                  	              	143	 865	A	 73	R	 1	   9.00	    670.1900	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	F                             	                   	A               	A                  	VA           	A                              	                               	                     	F                      	           	F                           	                   	                                 	               	               	F              	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	F                                          	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 74	R	 1	  48.00	    680.1800	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	A               	A                  	A            	F                              	                               	                     	F                      	           	C                           	                   	                                 	               	               	C              	               	F                              	R                	                              	               	                                       	                                         	                	              	                  	R                  	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 74	R	 1	  84.00	    680.5400	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	R                  	F               	                   	             	                               	                               	                     	                       	           	                            	                   	                                 	A              	               	               	               	                               	                 	                              	               	                                       	                                         	F               	F             	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 75	R	 1	   2.00	    689.4200	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	F                             	                   	R               	C                  	             	A                              	F                              	                     	                       	           	C                           	                   	                                 	F              	               	F              	               	                               	                 	                              	               	                                       	                                         	                	              	R                 	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 75	R	 1	  47.00	    689.8700	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	R                  	C               	F                  	A            	A                              	                               	                     	                       	           	                            	                   	                                 	               	               	C              	               	                               	R                	                              	               	                                       	                                         	                	              	R                 	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 76	R	 1	  22.00	    699.3200	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	                	                   	R            	                               	                               	                     	                       	           	                            	                   	                                 	               	               	C              	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 76	R	 1	  82.00	    699.9200	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	                	VA                 	F            	C                              	F                              	                     	                       	           	                            	                   	                                 	               	               	R              	               	R                              	                 	                              	               	                                       	                                         	R               	?             	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 77	R	CC	   2.00	    708.7200	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	R                  	F               	R                  	             	                               	                               	                     	                       	           	                            	                   	                                 	               	               	               	               	?                              	                 	                              	               	                                       	F                                        	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 78	R	 1	  56.00	    718.8600	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	F               	F                  	F            	VA                             	                               	                     	                       	           	                            	                   	                                 	F              	               	               	F              	                               	                 	                              	               	A                                      	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 79	R	 1	  13.00	    728.2300	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	                	R                  	F            	R                              	                               	                     	                       	           	                            	                   	                                 	R              	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 80	R	 1	  32.00	    738.0200	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	F                             	                   	                	A                  	F            	C                              	R                              	                     	                       	           	                            	                   	                                 	F              	F              	               	               	F                              	                 	                              	?              	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 81	R	 1	  53.00	    747.9300	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	R                  	A               	VA                 	C            	A                              	R                              	                     	                       	           	                            	                   	                                 	               	               	               	               	F                              	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Late Aptian      	Albian           	                  	              	143	 865	A	 82	R	 1	  59.00	    757.6900	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	R                             	                   	                	A                  	R            	F                              	                               	                     	                       	           	                            	                   	                                 	R              	               	?              	               	F                              	R                	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Late Aptian      	Albian           	                  	              	143	 865	A	 83	R	CC	   1.00	    766.8100	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	F                             	                   	F               	F                  	R            	C                              	R                              	                     	                       	           	                            	                   	                                 	R              	R              	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Late Aptian      	Albian           	                  	              	143	 865	A	 85	R	 1	 104.00	    787.2400	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	A                             	                   	R               	F                  	C            	C                              	F                              	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Late Aptian      	Albian           	                  	              	143	 865	A	 85	R	 2	  73.00	    788.1700	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	F                             	                   	F               	F                  	             	F                              	                               	                     	                       	           	                            	                   	                                 	               	               	?              	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Late Aptian      	Albian           	                  	              	143	 865	A	 86	R	 1	  34.00	    796.1400	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	F                             	                   	F               	C                  	A            	C                              	R                              	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	R                             	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Late Aptian      	Albian           	                  	              	143	 865	A	 86	R	 2	 116.00	    798.4200	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	F               	VA                 	F            	                               	                               	                     	                       	           	                            	                   	                                 	               	               	?              	               	?                              	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Late Aptian      	Albian           	                  	              	143	 865	A	 87	R	 2	  32.00	    807.1200	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	F                             	R                  	VA              	VA                 	A            	F                              	C                              	                     	                       	           	                            	                   	F                                	               	               	?              	C              	?                              	F                	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Late Aptian      	Albian           	                  	              	143	 865	A	 88	R	 1	  13.00	    815.2300	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	F                             	F                  	A               	VA                 	A            	C                              	F                              	                     	R                      	           	R                           	                   	F                                	F              	F              	?              	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Late Aptian      	Albian           	                  	              	143	 865	A	 89	R	 5	   1.00	    830.2500	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	F                             	F                  	F               	F                  	F            	                               	F                              	F                    	                       	           	R                           	                   	R                                	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Late Aptian      	Albian           	                  	              	143	 865	A	 90	R	 1	  45.00	    832.2500	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	R                             	A                  	A               	VA                 	F            	F                              	F                              	                     	                       	           	F                           	F                  	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Late Aptian      	Albian           	                  	              	143	 865	A	 91	R	 3	  89.00	    844.7000	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	F                  	F               	?                  	             	                               	F                              	                     	R                      	A          	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Late Aptian      	Albian           	                  	              	143	 865	A	 92	R	 3	  63.00	    850.1000	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	R                             	F                  	F               	?                  	R            	R                              	R                              	F                    	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Late Aptian      	Albian           	                  	              	143	 865	A	 94	R	 3	 123.00	    867.1300	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	R                             	                   	                	                   	             	                               	                               	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

