Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus moriformis	Reticulofenestra umbilica	Reticulofenestra lockerii	Pontosphaera spp.	Isthmolithus recurvus	Helicosphaera perch-nielseniae	Helicosphaera paleocarteri	Helicosphaera carteri	Discoaster variabilis	Discoaster druggii	Discoaster deflandrei	Discoaster adamanteus	Dictyococcites bisectus	Dictyococcites antarcticus	Cyclicargolithus floridanus	Cyclicargolithus abisectus	Coccolithus pelagicus	Coccolithus miopelagicus	Chiasmolithus spp.	Calcidiscus premacintyrei	Helicosphaera intermedia	Discoaster dilatus	Pyrocyclus spp.	Reticulofenestra Z	Helicosphaera euphratis	Geminilithella rotula	Cruciplacolithus primus	Calcidiscus leptoporus	Reticulofenestra small-sized	Reticulofenestra pseudoumbilicus	Discoaster exilis	Sphenolithus heteromorphus	Rhabdosphaera procera	Dictyococcites productus	Reticulofenestra medium-sized	Helicosphaera walbersdorfensis	Fasciculithus spp.	Calcidiscus macintyrei	Sphenolithus neoabies	Reticulofenestra gelida	Pseudoemiliania lacunosa	Helicosphaera sellii	Gephyrocapsa large	Gephyrocapsa medium-sized	Reticulofenestra asanoi	Gephyrocapsa (small)	Gephyrocapsa parallela	Syracosphaera pulchra	Cribrocentrum reticulatum	Sphenolithus abies	Braarudosphaera bigelowii	Comment
  IR	                 	                 	                  	              	181	1122	C	 35	X	CC	  24.00	    307.8400	nannos   	Nannofossils                                 	A              	G                 	                       	                         	                         	                 	                     	                              	                          	R                    	                     	                  	                     	                     	                       	F                         	R                          	                          	C                    	F                       	                  	                         	                        	                  	               	                  	                       	                     	                       	F                     	                            	                                	                 	                          	                     	                        	F                            	                              	                  	R                     	                     	F                      	F                       	                    	                  	C                        	                       	D                   	F                     	                     	                         	                  	                         	tunicaate spicules

  IR	                 	                 	                  	              	181	1122	C	 36	X	CC	  20.00	    318.2200	nannos   	Nannofossils                                 	F              	G                 	R                      	                         	                         	                 	                     	                              	                          	                     	                     	                  	                     	                     	                       	                          	                           	                          	                     	                        	                  	                         	                        	                  	               	                  	                       	                     	                       	                      	F                           	                                	                 	                          	                     	F                       	                             	                              	                  	R                     	                     	                       	                        	                    	                  	                         	R                      	F                   	                      	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 37	X	CC	   7.00	    328.2100	nannos   	Nannofossils                                 	A              	G                 	                       	                         	                         	                 	                     	                              	                          	F                    	                     	                  	                     	                     	                       	F                         	R                          	                          	C                    	R                       	                  	                         	                        	                  	               	                  	                       	                     	                       	F                     	                            	                                	                 	                          	                     	                        	F                            	                              	                  	R                     	                     	R                      	R                       	                    	                  	A                        	F                      	A                   	                      	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 38	X	CC	   0.00	    333.2800	nannos   	Nannofossils                                 	F              	M                 	R                      	                         	                         	                 	                     	                              	                          	F                    	                     	                  	                     	                     	                       	                          	R                          	                          	                     	                        	                  	                         	                        	                  	               	                  	                       	                     	                       	C                     	C                           	R                               	                 	                          	                     	C                       	                             	                              	                  	                      	                     	                       	C                       	                    	                  	                         	F                      	C                   	                      	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 39	X	CC	  11.00	    343.6600	nannos   	Nannofossils                                 	F              	M                 	                       	                         	                         	R                	                     	                              	                          	                     	                     	                  	                     	                     	                       	                          	                           	                          	R                    	R                       	                  	                         	                        	                  	R              	                  	                       	                     	                       	R                     	F                           	R                               	                 	                          	                     	                        	                             	                              	                  	                      	                     	R                      	R                       	                    	                  	                         	                       	                    	                      	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 43	X	CC	  24.00	    377.4400	nannos   	Nannofossils                                 	F              	G                 	R                      	                         	                         	                 	                     	                              	                          	F                    	                     	                  	                     	                     	R                      	                          	                           	                          	F                    	R                       	R                 	                         	                        	                  	               	                  	                       	                     	                       	R                     	F                           	                                	                 	                          	                     	C                       	F                            	                              	                  	R                     	                     	                       	F                       	                    	F                 	F                        	                       	                    	                      	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 46	X	CC	  24.00	    412.4400	nannos   	Nannofossils                                 	R              	M                 	                       	                         	                         	                 	                     	                              	                          	                     	                     	                  	                     	                     	                       	                          	                           	                          	F                    	                        	                  	                         	                        	                  	               	                  	                       	                     	                       	                      	F                           	                                	                 	                          	                     	                        	                             	                              	                  	                      	                     	                       	R                       	                    	                  	                         	                       	                    	                      	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 47	X	CC	  32.00	    421.5600	nannos   	Nannofossils                                 	F              	M                 	                       	                         	                         	                 	                     	                              	                          	                     	                     	                  	                     	                     	                       	                          	                           	                          	R                    	                        	                  	                         	                        	                  	               	                  	                       	                     	                       	R                     	                            	                                	                 	                          	                     	F                       	                             	                              	                  	                      	                     	                       	F                       	F                   	                  	                         	                       	                    	                      	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 48	X	CC	  29.00	    432.4100	nannos   	Nannofossils                                 	A              	M                 	                       	                         	                         	R                	                     	                              	                          	C                    	                     	                  	                     	                     	                       	F                         	F                          	                          	A                    	R                       	                  	R                        	                        	                  	               	                  	                       	R                    	                       	C                     	R                           	                                	                 	                          	                     	F                       	                             	                              	                  	                      	                     	                       	R                       	C                   	R                 	                         	                       	                    	                      	                     	                         	                  	                         	C. pelagicus coccosphere

  IR	                 	                 	                  	              	181	1122	C	 49	X	CC	  21.00	    444.4100	nannos   	Nannofossils                                 	A              	M                 	                       	R                        	                         	                 	                     	                              	                          	R                    	                     	                  	                     	                     	                       	F                         	R                          	                          	                     	                        	R                 	                         	                        	                  	R              	                  	                       	                     	                       	R                     	C                           	                                	                 	                          	                     	A                       	                             	                              	                  	R                     	                     	R                      	C                       	F                   	                  	                         	                       	                    	                      	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 50	X	CC	  29.00	    452.1800	nannos   	Nannofossils                                 	R              	M                 	                       	                         	                         	                 	                     	                              	                          	                     	                     	                  	                     	                     	R                      	                          	                           	                          	C                    	                        	                  	                         	                        	                  	               	                  	                       	                     	                       	                      	A                           	                                	                 	                          	                     	A                       	                             	                              	                  	R                     	                     	F                      	                        	                    	                  	                         	                       	                    	                      	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 51	X	CC	  21.00	    463.6100	nannos   	Nannofossils                                 	A              	M                 	R                      	                         	                         	R                	                     	                              	                          	C                    	                     	                  	R                    	                     	                       	R                         	R                          	                          	                     	                        	                  	                         	                        	                  	               	                  	                       	                     	                       	R                     	C                           	                                	                 	                          	                     	                        	                             	                              	                  	F                     	                     	                       	R                       	                    	                  	                         	                       	                    	                      	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 53	X	CC	  36.00	    478.2600	nannos   	Nannofossils                                 	A              	M                 	                       	R                        	                         	                 	                     	                              	                          	C                    	                     	                  	                     	                     	                       	                          	R                          	                          	                     	                        	R                 	                         	                        	                  	R              	                  	                       	                     	                       	R                     	                            	                                	                 	                          	                     	                        	F                            	                              	                  	                      	                     	                       	                        	                    	                  	                         	                       	                    	                      	                     	                         	                  	                         	many rewoked

  IR	                 	                 	                  	              	181	1122	C	 55	X	CC	  18.00	    499.9400	nannos   	Nannofossils                                 	F              	M                 	R                      	                         	                         	                 	                     	                              	                          	                     	                     	                  	                     	                     	                       	F                         	                           	                          	F                    	                        	                  	                         	                        	                  	               	                  	                       	                     	                       	                      	                            	                                	                 	                          	                     	                        	                             	                              	                  	                      	                     	                       	                        	                    	                  	                         	                       	                    	                      	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 56	X	CC	  37.00	    507.7800	nannos   	Nannofossils                                 	A              	G                 	                       	                         	                         	                 	                     	                              	                          	                     	                     	                  	                     	                     	                       	A                         	                           	                          	                     	                        	                  	                         	                        	                  	               	                  	                       	                     	                       	                      	                            	                                	                 	                          	                     	A                       	                             	                              	                  	                      	                     	                       	                        	                    	                  	                         	                       	                    	                      	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 58	X	CC	   0.00	    523.4800	nannos   	Nannofossils                                 	C              	G                 	                       	                         	                         	                 	                     	                              	                          	                     	                     	                  	                     	                     	                       	A                         	F                          	R                         	C                    	                        	                  	                         	                        	                  	               	                  	                       	R                    	                       	                      	                            	C                               	                 	                          	                     	C                       	                             	                              	                  	F                     	C                    	C                      	                        	                    	                  	                         	                       	                    	                      	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 59	X	CC	   7.00	    531.2700	nannos   	Nannofossils                                 	C              	M                 	C                      	                         	                         	                 	                     	                              	                          	                     	                     	                  	                     	                     	                       	                          	F                          	                          	C                    	                        	                  	                         	                        	                  	               	                  	                       	F                    	                       	                      	                            	C                               	                 	                          	                     	                        	                             	                              	                  	R                     	C                    	A                      	                        	                    	                  	                         	                       	                    	                      	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 60	X	CC	  41.00	    541.1100	nannos   	Nannofossils                                 	A              	G                 	C                      	R                        	                         	                 	                     	                              	                          	F                    	R                    	                  	                     	                     	                       	F                         	C                          	                          	F                    	R                       	R                 	                         	                        	                  	               	                  	                       	F                    	                       	F                     	                            	F                               	                 	                          	                     	F                       	F                            	R                             	R                 	C                     	                     	                       	                        	                    	                  	                         	                       	                    	                      	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 61	X	CC	  13.00	    555.4900	nannos   	Nannofossils                                 	F              	G                 	                       	                         	                         	                 	                     	                              	                          	                     	                     	                  	                     	                     	                       	                          	C                          	                          	C                    	                        	                  	                         	                        	                  	               	                  	                       	                     	                       	                      	F                           	                                	                 	                          	                     	C                       	                             	                              	                  	                      	                     	                       	                        	                    	                  	                         	                       	                    	                      	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 62	X	CC	   0.00	    563.3100	nannos   	Nannofossils                                 	A              	G                 	F                      	R                        	                         	R                	                     	                              	                          	C                    	                     	                  	R                    	                     	R                      	C                         	C                          	                          	F                    	R                       	R                 	C                        	                        	                  	               	                  	C                      	R                    	                       	F                     	                            	F                               	                 	F                         	                     	                        	                             	                              	                  	                      	                     	                       	                        	                    	                  	                         	                       	                    	                      	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 63	X	CC	  17.00	    571.2700	nannos   	Nannofossils                                 	A              	M                 	C                      	R                        	                         	                 	                     	                              	                          	C                    	                     	                  	                     	                     	R                      	A                         	                           	                          	                     	                        	R                 	C                        	                        	                  	               	                  	F                      	F                    	                       	C                     	                            	C                               	                 	R                         	R                    	                        	                             	                              	                  	                      	                     	                       	                        	                    	                  	                         	                       	                    	                      	                     	                         	                  	                         	AGATA HELP

  IR	                 	                 	                  	              	181	1122	C	 64	X	CC	  18.00	    580.8000	nannos   	Nannofossils                                 	F              	M                 	                       	                         	R                        	                 	                     	                              	                          	                     	                     	                  	                     	                     	                       	F                         	F                          	R                         	F                    	R                       	R                 	                         	                        	                  	               	                  	                       	                     	                       	                      	F                           	R                               	R                	                          	                     	                        	                             	                              	                  	                      	                     	                       	                        	                    	                  	                         	                       	                    	                      	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 65	X	CC	  13.00	    590.6300	nannos   	Nannofossils                                 	A              	M                 	F                      	R                        	                         	R                	                     	                              	C                         	C                    	                     	                  	                     	                     	                       	A                         	F                          	R                         	A                    	C                       	R                 	F                        	                        	                  	R              	A                 	R                      	F                    	R                      	F                     	                            	                                	                 	                          	                     	                        	                             	                              	                  	                      	                     	                       	                        	                    	                  	                         	                       	                    	                      	                     	                         	                  	                         	AGATA HELP

  IR	                 	                 	                  	              	181	1122	C	 66	X	CC	   0.00	    599.4000	nannos   	Nannofossils                                 	F              	M                 	F                      	                         	                         	                 	                     	                              	                          	                     	                     	                  	                     	                     	R                      	                          	F                          	                          	                     	                        	                  	                         	                        	                  	R              	                  	                       	                     	                       	                      	                            	                                	                 	                          	                     	                        	                             	                              	                  	                      	                     	                       	                        	                    	                  	                         	                       	                    	                      	                     	                         	                  	                         	probably all reworked

  IR	                 	                 	                  	              	181	1122	C	 67	X	CC	   0.00	    609.1600	nannos   	Nannofossils                                 	F              	M                 	F                      	                         	R                        	                 	                     	                              	                          	R                    	                     	                  	                     	                     	                       	                          	C                          	R                         	C                    	                        	R                 	                         	R                       	R                 	               	                  	                       	                     	                       	                      	                            	                                	                 	                          	                     	                        	                             	                              	                  	                      	                     	                       	                        	                    	                  	                         	                       	                    	                      	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 68	X	CC	   0.00	    617.8000	nannos   	Nannofossils                                 	A              	G                 	R                      	R                        	C                        	F                	F                    	R                             	R                         	F                    	R                    	R                 	F                    	R                    	R                      	F                         	C                          	R                         	C                    	R                       	F                 	F                        	                        	                  	               	                  	                       	                     	                       	                      	                            	                                	                 	                          	                     	                        	                             	                              	                  	                      	                     	                       	                        	                    	                  	                         	                       	                    	                      	                     	                         	                  	                         	       

