Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pullenia spp.,Pullenia quinqueloba,Pullenia osloensis,Pleurostomella spp.,Oridorsalis umbonatus,Nuttallides umbonifera,Gyroidinoides altiformis,Globocassidulina subglobosa,Fissurina/Lagena/Oolina/Parafissurina (unspecified taxon or taxa),Epistominella exigua,Eggerella bradyi,Cibicidoides cf. pseudoungerianus,Cibicidoides kullenbergi,Pyrgo murrhina,Miliolina spp.,Melonis barleeanus,Gyroidinoides spp.,Gyroidinoides sp.2,Pullenia bulloides,Gyroidinoides sp.1,Pullenia subcarinata,Planulina wuellerstorfi,Cibicidoides spp.,Uvigerina senticosa,Uvigerina proboscidea,Stilostomella spp.,Sphaeroidina bulloides,Lenticulina spp.,Gyroidinoides sp.3,Eponides pusillus,Pullenia salisburyi sl.,Siphotextularia catenata,Laticarinina pauperata,Eponides tumidulus,Textularia australis,Quinqueloculina venusta,Quinqueloculina cf. weaveri,Cibicidoides bradyi,Cassidulina spp.,Anomalinoides globulosus,Pyrgo elongata,Pyrgo sp.1,Astrononion echolsi,Buliminella sp. 1,Stainforthia complanata,Melonis pompilioides,Gyroidinoides lamarckianus,Cassidulinoides spp.,Pyrulina extensa,Bolivina pseudoplicata,Ehrenbergina trigona,Dorothia brevis,Uvigerina hollicki,Pyrgo lucernula,Comment
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  6,H, 2,  98.00,     43.7800,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,3                 ,                   ,7                    ,38                    ,                        ,1                          ,4                                                                ,8                   ,3               ,1                                ,                        ,1             ,              ,                  ,                  ,                  ,3                 ,                  ,                    ,18                     ,                 ,                   ,                     ,                  ,                      ,                ,                  ,4                ,2                      ,                        ,                      ,                  ,1                   ,                       ,                           ,                   ,                ,                        ,3             ,          ,1                  ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  6,H, 3,  98.00,     45.2800,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,                  ,                   ,8                    ,33                    ,1                       ,27                         ,6                                                                ,23                  ,1               ,1                                ,                        ,3             ,1             ,                  ,                  ,                  ,1                 ,                  ,                    ,6                      ,                 ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,                        ,                      ,                  ,                    ,                       ,                           ,                   ,1               ,                        ,              ,          ,1                  ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  6,H, 4,  98.00,     46.7800,Clark    ,Benthic Foraminifers                         ,               ,                  ,2            ,2                   ,4                 ,1                  ,24                   ,153                   ,4                       ,28                         ,6                                                                ,7                   ,4               ,                                 ,                        ,              ,              ,1                 ,                  ,                  ,9                 ,                  ,                    ,6                      ,                 ,                   ,                     ,                  ,1                     ,                ,                  ,3                ,1                      ,                        ,2                     ,                  ,                    ,                       ,                           ,                   ,2               ,                        ,              ,          ,                   ,                 ,                       ,                    ,5                         ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  6,H, 5,  98.00,     48.2800,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,1                   ,3                 ,                   ,3                    ,80                    ,                        ,10                         ,7                                                                ,2                   ,                ,                                 ,                        ,1             ,              ,                  ,                  ,                  ,1                 ,                  ,                    ,1                      ,                 ,                   ,                     ,                  ,                      ,                ,                  ,1                ,                       ,                        ,                      ,                  ,                    ,                       ,                           ,                   ,                ,                        ,              ,          ,                   ,                 ,                       ,                    ,1                         ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  6,H, 6,  98.00,     49.7800,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,5                 ,                   ,12                   ,73                    ,                        ,9                          ,6                                                                ,4                   ,2               ,                                 ,                        ,              ,1             ,1                 ,                  ,                  ,                  ,                  ,                    ,                       ,                 ,                   ,1                    ,                  ,1                     ,                ,                  ,                 ,1                      ,2                       ,                      ,1                 ,1                   ,                       ,1                          ,                   ,1               ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  6,H,CC,  16.00,     51.0800,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,1                 ,                   ,37                   ,97                    ,                        ,1                          ,9                                                                ,5                   ,7               ,                                 ,                        ,              ,1             ,                  ,                  ,                  ,                  ,                  ,                    ,3                      ,                 ,                   ,                     ,                  ,                      ,1               ,                  ,                 ,                       ,                        ,                      ,                  ,                    ,                       ,                           ,                   ,                ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  7,H, 1,  80.00,     51.6000,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,2                   ,6                 ,                   ,11                   ,32                    ,2                       ,48                         ,6                                                                ,17                  ,6               ,                                 ,                        ,              ,1             ,                  ,1                 ,                  ,2                 ,                  ,                    ,2                      ,1                ,                   ,                     ,                  ,                      ,                ,                  ,2                ,                       ,                        ,                      ,                  ,3                   ,                       ,                           ,1                  ,2               ,                        ,              ,          ,                   ,                 ,                       ,                    ,1                         ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  7,H, 2,  80.00,     53.1000,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,2                 ,                   ,7                    ,54                    ,                        ,16                         ,5                                                                ,4                   ,                ,                                 ,                        ,              ,2             ,                  ,                  ,                  ,                  ,                  ,                    ,5                      ,1                ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,                        ,                      ,                  ,                    ,1                      ,1                          ,                   ,                ,                        ,2             ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  7,H, 3,  80.00,     54.6000,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,5                 ,                   ,8                    ,27                    ,                        ,20                         ,9                                                                ,21                  ,                ,                                 ,                        ,1             ,              ,                  ,2                 ,                  ,                  ,                  ,                    ,3                      ,1                ,                   ,                     ,                  ,1                     ,                ,                  ,3                ,2                      ,                        ,                      ,                  ,                    ,                       ,                           ,                   ,1               ,                        ,1             ,          ,                   ,                 ,                       ,                    ,1                         ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  7,H, 4,  80.00,     56.1000,Clark    ,Benthic Foraminifers                         ,               ,                  ,2            ,2                   ,2                 ,1                  ,5                    ,39                    ,1                       ,52                         ,3                                                                ,31                  ,4               ,2                                ,                        ,              ,              ,                  ,3                 ,                  ,                  ,                  ,2                   ,5                      ,                 ,                   ,                     ,1                 ,                      ,1               ,                  ,                 ,3                      ,                        ,                      ,                  ,                    ,                       ,                           ,                   ,                ,                        ,2             ,1         ,                   ,                 ,                       ,                    ,1                         ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  7,H, 5,  80.00,     57.6000,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,2                 ,2                  ,14                   ,20                    ,                        ,21                         ,2                                                                ,6                   ,2               ,                                 ,                        ,1             ,1             ,                  ,                  ,                  ,1                 ,                  ,                    ,                       ,                 ,                   ,                     ,                  ,                      ,1               ,                  ,1                ,6                      ,                        ,                      ,1                 ,                    ,                       ,                           ,                   ,                ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  7,H, 6,  80.00,     59.1000,Clark    ,Benthic Foraminifers                         ,               ,                  ,3            ,2                   ,7                 ,                   ,4                    ,39                    ,5                       ,11                         ,11                                                               ,9                   ,3               ,                                 ,                        ,4             ,2             ,4                 ,2                 ,                  ,                  ,                  ,1                   ,1                      ,                 ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,                        ,1                     ,                  ,                    ,1                      ,2                          ,                   ,1               ,                        ,              ,          ,                   ,                 ,1                      ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  7,H, 7,  14.00,     59.9400,Clark    ,Benthic Foraminifers                         ,               ,                  ,3            ,                    ,6                 ,2                  ,2                    ,41                    ,1                       ,8                          ,2                                                                ,19                  ,13              ,                                 ,                        ,1             ,1             ,1                 ,1                 ,1                 ,                  ,                  ,2                   ,9                      ,                 ,                   ,                     ,1                 ,                      ,1               ,                  ,                 ,                       ,                        ,1                     ,1                 ,                    ,                       ,                           ,                   ,1               ,                        ,2             ,          ,                   ,                 ,                       ,                    ,                          ,1                   ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  7,H,CC,  11.00,     60.4500,Clark    ,Benthic Foraminifers                         ,               ,                  ,5            ,1                   ,5                 ,                   ,6                    ,47                    ,2                       ,                           ,3                                                                ,15                  ,5               ,                                 ,                        ,              ,              ,6                 ,1                 ,                  ,                  ,                  ,4                   ,4                      ,                 ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,1                       ,                      ,2                 ,                    ,                       ,                           ,                   ,                ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  8,H, 1,  79.00,     61.0900,Clark    ,Benthic Foraminifers                         ,               ,                  ,6            ,                    ,4                 ,                   ,5                    ,47                    ,3                       ,6                          ,5                                                                ,3                   ,6               ,                                 ,                        ,              ,              ,1                 ,                  ,                  ,                  ,                  ,2                   ,10                     ,                 ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,                        ,1                     ,                  ,                    ,                       ,1                          ,                   ,                ,                        ,              ,          ,                   ,1                ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  8,H, 2,  79.00,     62.5900,Clark    ,Benthic Foraminifers                         ,               ,                  ,1            ,1                   ,5                 ,                   ,16                   ,42                    ,                        ,7                          ,5                                                                ,7                   ,7               ,                                 ,                        ,              ,              ,                  ,                  ,                  ,                  ,                  ,3                   ,                       ,                 ,                   ,                     ,                  ,                      ,                ,                  ,                 ,3                      ,1                       ,                      ,1                 ,                    ,                       ,                           ,                   ,                ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  8,H, 3,  79.00,     64.0900,Clark    ,Benthic Foraminifers                         ,               ,                  ,3            ,                    ,9                 ,                   ,2                    ,28                    ,2                       ,7                          ,6                                                                ,10                  ,10              ,                                 ,                        ,3             ,1             ,3                 ,3                 ,1                 ,1                 ,                  ,                    ,11                     ,1                ,                   ,1                    ,                  ,2                     ,1               ,                  ,                 ,                       ,                        ,                      ,                  ,2                   ,                       ,                           ,                   ,1               ,1                       ,2             ,          ,                   ,                 ,                       ,                    ,1                         ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  8,H, 4,  79.00,     65.5900,Clark    ,Benthic Foraminifers                         ,               ,                  ,3            ,1                   ,9                 ,1                  ,6                    ,14                    ,                        ,10                         ,9                                                                ,5                   ,5               ,                                 ,2                       ,2             ,3             ,5                 ,1                 ,1                 ,                  ,                  ,                    ,9                      ,                 ,                   ,                     ,                  ,                      ,1               ,                  ,1                ,2                      ,2                       ,1                     ,                  ,                    ,                       ,                           ,2                  ,                ,1                       ,3             ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  8,H, 5,  79.00,     67.0900,Clark    ,Benthic Foraminifers                         ,               ,                  ,5            ,2                   ,8                 ,                   ,5                    ,30                    ,3                       ,8                          ,2                                                                ,8                   ,                ,2                                ,                        ,1             ,              ,6                 ,                  ,                  ,                  ,                  ,                    ,6                      ,                 ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,8                       ,2                     ,1                 ,                    ,                       ,1                          ,                   ,1               ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  8,H, 6,  79.00,     68.5900,Clark    ,Benthic Foraminifers                         ,               ,                  ,1            ,1                   ,6                 ,2                  ,3                    ,55                    ,1                       ,4                          ,4                                                                ,9                   ,5               ,1                                ,1                       ,              ,              ,3                 ,                  ,                  ,                  ,3                 ,                    ,7                      ,                 ,                   ,                     ,                  ,1                     ,                ,                  ,2                ,                       ,1                       ,                      ,1                 ,                    ,1                      ,1                          ,                   ,                ,                        ,4             ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  8,H,CC,  19.00,     70.0800,Clark    ,Benthic Foraminifers                         ,               ,                  ,5            ,                    ,9                 ,                   ,27                   ,46                    ,9                       ,6                          ,13                                                               ,8                   ,5               ,                                 ,1                       ,              ,              ,                  ,                  ,                  ,                  ,                  ,                    ,                       ,                 ,                   ,                     ,                  ,                      ,1               ,                  ,                 ,                       ,                        ,                      ,1                 ,                    ,                       ,                           ,                   ,                ,                        ,              ,          ,                   ,                 ,                       ,                    ,2                         ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  9,H, 1,  80.00,     70.6000,Clark    ,Benthic Foraminifers                         ,               ,                  ,1            ,                    ,11                ,                   ,5                    ,25                    ,1                       ,9                          ,10                                                               ,14                  ,5               ,                                 ,1                       ,1             ,              ,4                 ,                  ,1                 ,                  ,4                 ,3                   ,1                      ,2                ,                   ,                     ,                  ,                      ,1               ,                  ,                 ,1                      ,4                       ,                      ,1                 ,3                   ,                       ,                           ,                   ,                ,                        ,              ,          ,                   ,1                ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  9,H, 2,  80.00,     72.1000,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,3                   ,1                 ,                   ,17                   ,12                    ,                        ,8                          ,5                                                                ,10                  ,11              ,                                 ,                        ,3             ,2             ,                  ,3                 ,                  ,2                 ,11                ,3                   ,1                      ,                 ,                   ,                     ,                  ,                      ,                ,                  ,1                ,1                      ,2                       ,                      ,                  ,2                   ,                       ,                           ,                   ,                ,                        ,1             ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  9,H, 3,  80.00,     73.6000,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,8                 ,1                  ,4                    ,23                    ,2                       ,12                         ,5                                                                ,13                  ,10              ,2                                ,                        ,2             ,1             ,1                 ,1                 ,                  ,                  ,3                 ,3                   ,                       ,                 ,                   ,                     ,                  ,                      ,3               ,                  ,                 ,                       ,                        ,                      ,1                 ,                    ,                       ,                           ,                   ,1               ,                        ,              ,          ,                   ,1                ,1                      ,2                   ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  9,H, 4,  80.00,     75.1000,Clark    ,Benthic Foraminifers                         ,               ,                  ,5            ,                    ,7                 ,                   ,9                    ,21                    ,                        ,7                          ,8                                                                ,28                  ,2               ,2                                ,                        ,2             ,              ,                  ,                  ,                  ,                  ,                  ,6                   ,                       ,1                ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,                        ,                      ,                  ,1                   ,                       ,                           ,                   ,                ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  9,H, 5,  80.00,     76.6000,Clark    ,Benthic Foraminifers                         ,               ,                  ,2            ,                    ,                  ,1                  ,14                   ,14                    ,3                       ,24                         ,15                                                               ,15                  ,3               ,4                                ,                        ,              ,1             ,1                 ,                  ,                  ,                  ,2                 ,2                   ,                       ,                 ,                   ,                     ,                  ,                      ,                ,                  ,                 ,2                      ,                        ,                      ,1                 ,                    ,                       ,1                          ,                   ,                ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A, 10,H, 1,  80.00,     80.1000,Clark    ,Benthic Foraminifers                         ,               ,                  ,5            ,                    ,13                ,                   ,14                   ,13                    ,2                       ,14                         ,11                                                               ,13                  ,1               ,7                                ,                        ,5             ,1             ,                  ,1                 ,                  ,                  ,3                 ,2                   ,                       ,3                ,                   ,                     ,                  ,                      ,                ,                  ,                 ,3                      ,                        ,                      ,1                 ,                    ,                       ,                           ,                   ,                ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A, 10,H, 2,  80.00,     81.6000,Clark    ,Benthic Foraminifers                         ,               ,                  ,6            ,                    ,9                 ,                   ,4                    ,24                    ,3                       ,7                          ,3                                                                ,23                  ,8               ,8                                ,                        ,3             ,              ,                  ,                  ,                  ,1                 ,2                 ,2                   ,1                      ,                 ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,                        ,                      ,                  ,1                   ,                       ,                           ,                   ,1               ,                        ,2             ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A, 10,H, 3,  80.00,     83.1000,Clark    ,Benthic Foraminifers                         ,               ,                  ,6            ,                    ,5                 ,                   ,10                   ,13                    ,1                       ,14                         ,8                                                                ,16                  ,7               ,4                                ,2                       ,2             ,              ,1                 ,2                 ,                  ,                  ,2                 ,5                   ,                       ,2                ,                   ,                     ,                  ,1                     ,1               ,                  ,                 ,                       ,1                       ,1                     ,                  ,1                   ,                       ,                           ,                   ,                ,1                       ,              ,          ,1                  ,1                ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,110, 672,A, 10,H, 4,  80.00,     84.6000,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,1                   ,1                 ,1                  ,14                   ,18                    ,2                       ,16                         ,4                                                                ,3                   ,3               ,4                                ,1                       ,1             ,              ,                  ,1                 ,                  ,                  ,11                ,6                   ,2                      ,4                ,                   ,                     ,                  ,1                     ,                ,                  ,1                ,                       ,3                       ,                      ,                  ,4                   ,                       ,                           ,                   ,                ,                        ,2             ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,110, 672,A, 10,H, 5,  80.00,     86.1000,Clark    ,Benthic Foraminifers                         ,               ,                  ,4            ,                    ,8                 ,                   ,1                    ,19                    ,5                       ,7                          ,4                                                                ,14                  ,2               ,                                 ,                        ,3             ,              ,                  ,1                 ,                  ,                  ,3                 ,3                   ,21                     ,1                ,                   ,                     ,1                 ,                      ,                ,                  ,                 ,                       ,1                       ,                      ,                  ,                    ,                       ,                           ,2                  ,                ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,110, 672,A, 11,H, 1,  76.00,     89.5600,Clark    ,Benthic Foraminifers                         ,               ,                  ,7            ,                    ,12                ,1                  ,12                   ,2                     ,2                       ,                           ,13                                                               ,                    ,6               ,29                               ,1                       ,3             ,1             ,                  ,                  ,                  ,                  ,3                 ,3                   ,                       ,                 ,                   ,                     ,                  ,2                     ,                ,                  ,                 ,                       ,                        ,1                     ,                  ,1                   ,                       ,1                          ,                   ,1               ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
