Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeugrhabdotus sisyphus	Watznaueria barnesae	Micula staurophora	Kamptnerius magnificus	Helicolithus anceps	Gartnerago obliquum	Eiffellithus turriseiffelii	Cretarhabdus crenulatus	Cretarhabdus conicus	Biscutum ellipticum	Arkhangelskiella cymbiformis	Reinhardtites anthophorus	Quadrum gartneri	Prediscosphaera cretacea	Marthasterites furcatus	Lithastrinus floralis	Broinsonia enormis	Watznaueria biporta	Microrhabdulus decoratus	Lithraphidites carniolensis	Eiffellithus eximius	Broinsonia signata	Watznaueria ovata	Tranolithus orionatus	Tranolithus gabalus	Seribiscutum primitivum	Manivitella pemmatoidea	Lithastrinus grillii	Helicolithus trabeculatus	Ahmuellerella octoradiata	Reinhardtites sp. aff. R.anthophorus/levis	Lucianorhabdus spp.	Lucianorhabdus cayeuxii	Cylindralithus biarcus	Cribrosphaerella ehrenbergii	Glaukolithus compactus	Cretarhabdus angustiforatus	Orastrum campanensis	Calculites obscurus	Biscutum coronum	Cylindralithus sculptus	Broinsonia parca	Biscutum magnum	Monomarginatus primus	Scampanella spp.	Prediscosphaera stoveri	Zygodiscus spiralis	Pervilithus varius	Micula sp.	Monomarginatus pectinatus/quaternarius	Microrhabdulus stradneri	Biscutum dissimilis	Lucianorhabdus scotus	Nephrolithus frequens	Lucianorhabdus arcuatus	Thoracosphaera spp.	Nephrolithus corystus	Teichorhabdus ethmos	Staurolithites mielnicensis	Micula murus	Thoracosphaera operculata	Prinsius dimorphosus	Placozygus sigmoides	Markalius inversus	Hornibrookina teuriensis	Cruciplacolithus tenuis	Cruciplacolithus primus	Coccolithus pelagicus	Chiasmolithus danicus	Biscutum harrisonii	Coccolithus subpertusus	Prinsius martinii	Markalius apertus	Neochiastozygus distentus	Prinsius bisulcus	Chiasmolithus bidens/solitus	Toweius eminens/pertusus	Neochiastozygus spp.	Neocrepidolithus rimosus	Cruciplacolithus latipons	Neochiastozygus concinnus	Toweius tovae	Fasciculithus tympaniformis group	Neochiastozygus digitosus	Sphenolithus sp.	Heliolithus kleinpellii	Chiasmolithus californicus/consuetus	Heliolithus riedelii	Neochiastozygus junctus	Zygrhablithus bijugatus	Scampanella sp.	Zygodiscus adamas	Discoaster multiradiatus	Comment
  SR	Maestrichtian    	                 	R. levis          	              	114	 700	B	 40	R	CC	  14.00	    362.1200	Crux     	Nannofossils                                 	C              	VP                	                      	                    	R                 	F                     	                   	R                  	R                          	R                      	R                   	                   	R                           	                         	                	R                       	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	C                                         	F                  	R                      	                      	                            	                      	                           	                    	                   	                	                       	                	A              	                     	R               	R                      	R                  	                  	          	                                      	                        	R                  	                     	R                    	                       	R                  	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Maestrichtian    	                 	R. levis          	              	114	 700	B	 41	R	 2	  23.00	    365.7300	Crux     	Nannofossils                                 	C              	VP                	R                     	                    	R                 	C                     	                   	                   	R                          	                       	                    	                   	F                           	                         	                	R                       	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	R                      	                    	                         	                         	F                                         	C                  	R                      	                      	R                           	                      	                           	                    	R                  	                	                       	                	C              	                     	                	R                      	R                  	                  	          	R                                     	                        	R                  	                     	R                    	R                      	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Maestrichtian    	                 	K. magnificus     	              	114	 700	B	 41	R	 4	 145.00	    369.9500	Crux     	Nannofossils                                 	A              	VP                	                      	R                   	F                 	R                     	                   	R                  	R                          	                       	                    	                   	A                           	                         	                	R                       	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	R                        	F                                         	A                  	F                      	                      	R                           	                      	                           	                    	R                  	R               	                       	                	A              	                     	                	F                      	R                  	                  	          	R                                     	R                       	R                  	R                    	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Maestrichtian    	                 	K. magnificus     	              	114	 700	B	 42	R	 2	   9.00	    375.0900	Crux     	Nannofossils                                 	F              	VP                	                      	R                   	                  	R                     	                   	R                  	R                          	                       	                    	R                  	R                           	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	R                        	R                                         	R                  	                       	                      	                            	                      	                           	                    	R                  	                	                       	                	R              	                     	                	R                      	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Maestrichtian    	                 	K. magnificus     	              	114	 700	B	 42	R	CC	   0.00	    378.2500	Crux     	Nannofossils                                 	R              	VP                	                      	                    	R                 	R                     	                   	                   	R                          	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	R                                         	R                  	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	R                 	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Maestrichtian    	                 	K. magnificus     	              	114	 700	B	 43	R	 2	  32.00	    384.8200	Crux     	Nannofossils                                 	C              	VP                	                      	R                   	R                 	                      	                   	                   	                           	R                      	R                   	                   	R                           	                         	                	F                       	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	R                                         	A                  	                       	                      	R                           	                      	                           	                    	                   	                	                       	                	C              	                     	R               	                       	R                  	                  	          	R                                     	R                       	R                  	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Maestrichtian    	                 	M. primus         	              	114	 700	B	 43	R	CC	  26.00	    392.8900	Crux     	Nannofossils                                 	C              	VP                	                      	                    	F                 	C                     	                   	C                  	                           	R                      	                    	                   	A                           	                         	                	F                       	                       	                     	                  	                   	                        	                           	                    	                  	                 	R                    	                   	                       	                       	                    	                         	                         	C                                         	A                  	                       	                      	R                           	                      	                           	                    	R                  	                	                       	                	C              	R                    	                	                       	R                  	                  	          	R                                     	R                       	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Maestrichtian    	                 	M. primus         	              	114	 700	B	 44	R	 1	  99.00	    393.4900	Crux     	Nannofossils                                 	R              	VP                	                      	F                   	F                 	R                     	                   	                   	R                          	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	R                                         	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	F              	R                    	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Maestrichtian    	                 	M. primus         	              	114	 700	B	 44	R	CC	  14.00	    394.1700	Crux     	Nannofossils                                 	A              	VP                	                      	F                   	AA                	R                     	                   	R                  	R                          	R                      	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	R                  	                       	                      	                            	                      	                           	                    	                   	                	                       	                	F              	R                    	                	                       	                   	                  	R         	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Presence of B. parca is uncertain; Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Maestrichtian    	                 	M. primus         	              	114	 700	B	 45	R	 2	  61.00	    399.1100	Crux     	Nannofossils                                 	R              	VP                	                      	R                   	C                 	R                     	                   	R                  	                           	                       	                    	                   	R                           	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	R                                         	R                  	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	R                    	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Maestrichtian    	                 	M. primus         	              	114	 700	B	 45	R	CC	  38.00	    400.2900	Crux     	Nannofossils                                 	C              	VP                	                      	C                   	A                 	F                     	                   	F                  	R                          	R                      	                    	R                  	R                           	                         	                	R                       	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	F                                         	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	R              	R                    	                	                       	                   	R                 	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Maestrichtian    	                 	B. parca          	              	114	 700	B	 46	R	 2	  69.00	    405.6900	Crux     	Nannofossils                                 	C              	VP                	                      	F                   	A                 	R                     	                   	R                  	                           	                       	                    	                   	R                           	                         	                	R                       	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	C                                         	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	R               	R              	F                    	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Maestrichtian    	                 	B. parca          	              	114	 700	B	 46	R	CC	  17.00	    408.1500	Crux     	Nannofossils                                 	A              	VP                	                      	F                   	A                 	                      	                   	R                  	R                          	                       	R                   	R                  	R                           	                         	                	R                       	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	C                                         	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	R               	R              	F                    	                	                       	R                  	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Presence of B. coronum is uncertain; Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Campanian        	                 	E. eximius        	              	114	 700	B	 47	R	 2	  93.00	    415.4300	Crux     	Nannofossils                                 	A              	VP                	                      	A                   	C                 	R                     	                   	R                  	                           	                       	                    	R                  	F                           	                         	                	F                       	                       	                     	                  	                   	                        	                           	R                   	                  	                 	                     	                   	                       	                       	R                   	                         	                         	C                                         	R                  	R                      	                      	R                           	                      	                           	                    	                   	                	                       	R               	R              	R                    	                	R                      	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Campanian        	                 	E. eximius        	              	114	 700	B	 47	R	CC	   0.00	    420.0100	Crux     	Nannofossils                                 	A              	VP                	                      	C                   	A                 	F                     	                   	R                  	R                          	R                      	                    	R                  	C                           	                         	                	F                       	                       	                     	                  	                   	R                       	                           	R                   	                  	                 	R                    	                   	                       	                       	                    	                         	R                        	A                                         	C                  	R                      	                      	R                           	R                     	                           	                    	                   	R               	                       	R               	R              	R                    	R               	R                      	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Campanian        	                 	E. eximius        	              	114	 700	B	 48	R	CC	  13.00	    431.4800	Crux     	Nannofossils                                 	C              	VP                	                      	F                   	A                 	F                     	                   	                   	                           	                       	R                   	R                  	C                           	                         	                	R                       	                       	                     	                  	                   	                        	                           	R                   	                  	                 	                     	                   	                       	                       	R                   	                         	                         	C                                         	R                  	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	R                    	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Campanian        	                 	E. eximius        	              	114	 700	B	 49	R	 5	  10.00	    438.1000	Crux     	Nannofossils                                 	F              	VP                	                      	C                   	C                 	R                     	                   	C                  	                           	                       	                    	R                  	R                           	R                        	                	R                       	                       	                     	                  	                   	                        	                           	F                   	                  	                 	                     	                   	                       	                       	R                   	                         	                         	R                                         	R                  	                       	                      	R                           	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Campanian        	                 	O. campanensis    	              	114	 700	B	 49	R	CC	  25.00	    439.1600	Crux     	Nannofossils                                 	C              	VP                	                      	C                   	A                 	F                     	                   	F                  	                           	R                      	                    	F                  	                            	                         	                	R                       	                       	                     	                  	                   	                        	                           	R                   	                  	                 	                     	                   	                       	                       	R                   	                         	                         	F                                         	R                  	                       	                      	                            	                      	                           	                    	                   	R               	R                      	R               	R              	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Campanian        	                 	O. campanensis    	              	114	 700	B	 50	R	 2	  26.00	    443.2600	Crux     	Nannofossils                                 	R              	VP                	                      	F                   	C                 	F                     	                   	R                  	                           	                       	                    	                   	F                           	                         	                	R                       	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	F                                         	                   	                       	                      	                            	                      	                           	R                   	R                  	R               	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Santonian        	                 	S. primitivum     	              	114	 700	B	 50	R	CC	  25.00	    445.6500	Crux     	Nannofossils                                 	A              	VP                	                      	AA                  	A                 	C                     	R                  	F                  	R                          	R                      	R                   	R                  	F                           	F                        	                	R                       	                       	                     	                  	                   	R                       	                           	R                   	                  	                 	                     	                   	R                      	R                      	R                   	                         	R                        	A                                         	                   	                       	                      	                            	R                     	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Santonian        	                 	S. primitivum     	              	114	 700	B	 51	R	 2	  88.00	    453.3800	Crux     	Nannofossils                                 	C              	VP                	                      	C                   	F                 	R                     	R                  	C                  	R                          	                       	                    	                   	F                           	F                        	                	                        	                       	                     	                  	                   	                        	                           	R                   	R                 	                 	R                    	                   	R                      	                       	                    	                         	R                        	                                          	R                  	                       	                      	                            	R                     	R                          	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Santonian        	                 	S. primitivum     	              	114	 700	B	 51	R	CC	   7.00	    460.2900	Crux     	Nannofossils                                 	A              	VP                	                      	AA                  	A                 	F                     	R                  	C                  	R                          	R                      	R                   	R                  	C                           	F                        	                	F                       	                       	                     	R                 	                   	                        	                           	R                   	R                 	                 	R                    	                   	R                      	                       	                    	R                        	R                        	F                                         	R                  	R                      	R                     	R                           	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Santonian        	                 	L. floralis       	              	114	 700	B	 52	R	CC	  12.00	    465.6400	Crux     	Nannofossils                                 	A              	VP                	                      	AA                  	A                 	R                     	R                  	F                  	R                          	                       	                    	C                  	C                           	R                        	                	F                       	                       	R                    	                  	                   	                        	                           	R                   	                  	R                	R                    	R                  	R                      	R                      	R                   	C                        	R                        	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Santonian        	                 	L. floralis       	              	114	 700	B	 53	R	CC	  16.00	    476.6800	Crux     	Nannofossils                                 	A              	VP                	                      	AA                  	C                 	A                     	R                  	C                  	R                          	                       	                    	R                  	C                           	R                        	R               	C                       	                       	C                    	R                 	R                  	R                       	R                          	F                   	R                 	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Santonian        	                 	L. floralis       	              	114	 700	B	 54	R	 3	  13.00	    482.6300	Crux     	Nannofossils                                 	F              	VP                	                      	C                   	C                 	                      	                   	R                  	                           	                       	                    	F                  	                            	R                        	R               	R                       	R                      	C                    	R                 	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Santonian        	                 	L. floralis       	              	114	 700	B	 54	R	CC	  18.00	    483.4100	Crux     	Nannofossils                                 	F              	VP                	R                     	A                   	R                 	R                     	R                  	R                  	R                          	R                      	R                   	R                  	R                           	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

