Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sceptroneis tenue-pesplanus (group),Resting spores (excluding Chaetoceros),Pyxilla spp.,Paralia sulcata,Melosira architecturalis,Kisseleviella carina,Cavitatus jouseanus,Benthic diatoms,Azpeitia tabularis,Actinoptychus senarius,Stellarima spp.,Rouxia naviculoides,Rocella praenitida,Pseudotriceratium radiosoreticulatum,Hemiaulus cf. incisus,Coscinodiscus marginatus,Azpeitia oligocenica,Chaetoceros spores,Thalassiothrix longissima,Thalassionema nitzschioides,Rouxia obesa,Cavitatus miocenicus,Actinocyclus octonarius,Rocella vigilans,Ikebea tenuis,Hemiaulus sp. (pyxiloides form),Thalassiosira dubiosa,Simonseniella interposita,Rocella semigelida,Coscinodiscus lewisianus var. levis,Cestodiscus trochus,Cestodiscus kugleri,Thalassiosira media/convexa,Rouxia cf. granda,Rocella gelida  var. schraderi,Thalassiosira irregulata,Cavitatus rectus,Pseudodimerogramma elegans,Goniothecium odontella,Cavitatus linearis,Kozloviella minor,Cymatosira aff. lorenziana,Asteromphalus aff. robustus-symmetricus,Asteromphalus aff. oligocenicus,Rocella gelida,Lisitzinia ornata,Coscinodiscus rhombicus,Lisitzinia ornata  f. pentagona,Thalassiosira lusca,Kisselviella magnaareolata,Thalassiosira praefraga,Kisseleviella ezoensis,Goniothecium decoratum,Raphidodiscus marylandicus,Actinocyclus ingens,Azpeitia salisburyana,Azpeitia praenodulifera,Azpeitia biradiata,Rhizosolenia hotaense,Thalassiosira fraga,Rhizosolenia norwegica,Azpeitia aff. praenodulifera,Nitzschia maleinterpretaria,Simonseniella praebarboi,Crucidenticula sawamurae,Coscinodiscus lewisianus,Actinocyclus tsugaruensis,Actinocyclus sp. (ochotensis-ingens form),Mediaria splendida,Crucidenticula ikebei,Asteromphalus cf. darwinii,Thalassionema nitzschioides  var. parva,Rouxia isopolica,Crucidenticula kanayae,Nitzschia challengeri,Denticulopsis praelauta,Nitzschia aff. challengeri,Cavitatus exiguus,Denticulopsis lauta,Actinocyclus ingens  var. nodus,Cavitatus lanceolatus,Yoshidaia divergens,Denticulopsis hyalina,Comment
  SR,Early Miocene    ,                 ,T. fraga          ,              ,145, 884,B, 66,X, 2,  25.00,    605.5500,Gladenkov,Diatoms                                      ,C              ,M                 ,                                   ,9                                     ,            ,               ,                        ,1                   ,2                  ,1              ,                  ,+                     ,63             ,                   ,                  ,                                    ,                     ,32                      ,+?                  ,16                ,15                       ,9                          ,            ,4                   ,3                      ,                ,2            ,                               ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,1                 ,                 ,                          ,                                       ,                               ,              ,                 ,                       ,                               ,                   ,                          ,4                      ,                      ,                      ,                          ,                   ,                     ,6                      ,                  ,2                    ,4                  ,1                     ,3                           ,26                         ,                        ,                        ,                        ,                         ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,T. fraga          ,              ,145, 884,B, 66,X, 3,  25.00,    607.0500,Gladenkov,Diatoms                                      ,A              ,G                 ,                                   ,3                                     ,+           ,+              ,                        ,3                   ,10                 ,+              ,                  ,+                     ,71             ,                   ,                  ,                                    ,                     ,2                       ,?4                  ,22                ,8                        ,4                          ,            ,15                  ,3                      ,                ,5            ,                               ,                     ,                         ,                  ,                                   ,+                  ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,6                 ,                 ,                          ,                                       ,                               ,              ,+                ,                       ,                               ,                   ,                          ,14                     ,                      ,                      ,2                         ,                   ,1                    ,7                      ,                  ,2                    ,37                 ,4                     ,3                           ,                           ,                        ,                        ,                        ,                         ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,T. fraga          ,              ,145, 884,B, 66,X, 4,  25.00,    608.5500,Gladenkov,Diatoms                                      ,F              ,M                 ,                                   ,18                                    ,1           ,2              ,1                       ,7                   ,17                 ,+              ,                  ,                      ,66             ,                   ,                  ,                                    ,                     ,34                      ,?3                  ,34                ,1                        ,2                          ,            ,3                   ,3                      ,                ,3            ,                               ,                     ,                         ,                  ,                                   ,2                  ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,1                 ,                 ,+                         ,1                                      ,                               ,              ,                 ,                       ,                               ,                   ,+                         ,10                     ,                      ,                      ,                          ,+?                 ,                     ,                       ,                  ,2                    ,17                 ,                      ,                            ,                           ,                        ,                        ,                        ,                         ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,T. fraga          ,              ,145, 884,B, 66,X, 5,  25.00,    610.0500,Gladenkov,Diatoms                                      ,C              ,M                 ,                                   ,16                                    ,            ,+              ,                        ,15                  ,12                 ,3              ,                  ,+                     ,43             ,                   ,                  ,                                    ,                     ,71                      ,+?                  ,69                ,2                        ,2                          ,            ,4                   ,5                      ,                ,2            ,                               ,                     ,                         ,                  ,                                   ,2                  ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,4                 ,                 ,                          ,                                       ,                               ,              ,                 ,                       ,                               ,                   ,                          ,8                      ,                      ,                      ,                          ,                   ,                     ,                       ,                  ,3                    ,4                  ,                      ,                            ,                           ,                        ,                        ,                        ,                         ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,T. praefraga      ,              ,145, 884,B, 66,X, 6,  25.00,    611.5500,Gladenkov,Diatoms                                      ,C              ,M                 ,+?                                 ,54                                    ,            ,5              ,                        ,40                  ,12                 ,4              ,                  ,+                     ,7              ,                   ,                  ,+                                   ,                     ,12                      ,                    ,89                ,4                        ,2                          ,            ,12                  ,6                      ,                ,8            ,                               ,                     ,                         ,                  ,                                   ,6                  ,1                  ,                           ,                 ,                              ,                        ,                ,                          ,                      ,1                 ,                 ,                          ,                                       ,                               ,              ,+                ,                       ,                               ,                   ,                          ,+                      ,+                     ,                      ,                          ,                   ,                     ,                       ,                  ,1                    ,                   ,                      ,                            ,                           ,                        ,                        ,                        ,                         ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,T. praefraga      ,              ,145, 884,B, 66,X,CC,  12.00,    612.2700,Gladenkov,Diatoms                                      ,F              ,M                 ,                                   ,28                                    ,+           ,3              ,                        ,17                  ,8                  ,1              ,                  ,1                     ,24             ,                   ,                  ,                                    ,                     ,32                      ,+?                  ,68                ,4                        ,7                          ,            ,19                  ,1                      ,                ,2            ,                               ,                     ,                         ,                  ,                                   ,10                 ,+                  ,                           ,                 ,                              ,                        ,+?              ,                          ,1                     ,4                 ,                 ,                          ,                                       ,                               ,              ,                 ,                       ,                               ,                   ,                          ,7                      ,+                     ,                      ,                          ,1                  ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,                        ,                        ,                        ,                         ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,T. praefraga      ,              ,145, 884,B, 67,X, 1,  24.00,    613.5400,Gladenkov,Diatoms                                      ,C              ,M                 ,                                   ,30                                    ,1           ,2              ,+                       ,62                  ,4                  ,2              ,1                 ,8                     ,10             ,                   ,                  ,+                                   ,                     ,1                       ,                    ,122               ,5                        ,1                          ,            ,10                  ,1                      ,                ,4            ,                               ,                     ,                         ,                  ,                                   ,                   ,                   ,+?                         ,+                ,                              ,                        ,+               ,+                         ,8                     ,1                 ,                 ,                          ,                                       ,                               ,              ,+                ,                       ,                               ,+                  ,                          ,+                      ,                      ,                      ,                          ,                   ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,                        ,                        ,                        ,                         ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,T. praefraga      ,              ,145, 884,B, 67,X, 2,  24.00,    615.0400,Gladenkov,Diatoms                                      ,C              ,M                 ,+                                  ,20                                    ,2           ,17             ,+                       ,61                  ,1                  ,8              ,2                 ,8                     ,2              ,                   ,                  ,1                                   ,1                    ,2                       ,?1                  ,62                ,5                        ,9                          ,            ,2                   ,1                      ,                ,2            ,                               ,                     ,                         ,                  ,                                   ,+                  ,+                  ,                           ,                 ,                              ,                        ,1               ,1                         ,+                     ,+                 ,                 ,                          ,                                       ,                               ,              ,+                ,                       ,                               ,                   ,                          ,+                      ,                      ,                      ,                          ,                   ,                     ,+                      ,+                 ,                     ,                   ,                      ,                            ,                           ,                        ,                        ,                        ,                         ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,T. praefraga      ,              ,145, 884,B, 67,X, 3,  24.00,    616.5400,Gladenkov,Diatoms                                      ,C              ,G                 ,+                                  ,12                                    ,+           ,2              ,                        ,45                  ,11                 ,5              ,5                 ,3                     ,19             ,+                  ,                  ,+                                   ,                     ,3                       ,5                   ,138               ,17                       ,6                          ,+           ,14                  ,1                      ,                ,6            ,                               ,                     ,                         ,                  ,                                   ,+                  ,                   ,+?                         ,                 ,                              ,+                       ,+               ,+                         ,                      ,5                 ,                 ,                          ,                                       ,                               ,              ,2                ,                       ,                               ,+                  ,                          ,1                      ,+                     ,                      ,                          ,+?                 ,+                    ,+                      ,10                ,                     ,                   ,                      ,                            ,                           ,                        ,                        ,                        ,                         ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,T. praefraga      ,              ,145, 884,B, 67,X, 4,  24.00,    618.0400,Gladenkov,Diatoms                                      ,C              ,M/G               ,+                                  ,25                                    ,5           ,14             ,1                       ,57                  ,3                  ,5              ,3                 ,5                     ,2              ,                   ,                  ,1                                   ,1                    ,2                       ,+                   ,63                ,5                        ,12                         ,+           ,6                   ,2                      ,                ,2            ,3                              ,                     ,                         ,                  ,                                   ,+                  ,                   ,+?                         ,+                ,                              ,                        ,1               ,1                         ,2                     ,3                 ,                 ,                          ,                                       ,                               ,+             ,2                ,                       ,                               ,                   ,                          ,+                      ,                      ,                      ,                          ,                   ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,                        ,                        ,                        ,                         ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,T. praefraga      ,              ,145, 884,B, 67,X, 5,  24.00,    619.5400,Gladenkov,Diatoms                                      ,C              ,M                 ,+                                  ,17                                    ,3           ,3              ,+                       ,36                  ,19                 ,6              ,2                 ,9                     ,2              ,                   ,                  ,+                                   ,+                    ,10                      ,+                   ,53                ,7                        ,1                          ,+           ,11                  ,2                      ,+               ,5            ,                               ,                     ,                         ,                  ,                                   ,+                  ,+                  ,+?                         ,+                ,                              ,+                       ,2               ,1                         ,+                     ,30                ,                 ,                          ,                                       ,                               ,+             ,3                ,                       ,                               ,+                  ,                          ,+                      ,+                     ,+                     ,+                         ,+?                 ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,                        ,                        ,                        ,                         ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,T. praefraga      ,              ,145, 884,B, 67,X, 6,  24.00,    621.0400,Gladenkov,Diatoms                                      ,C              ,G                 ,+                                  ,18                                    ,2           ,6              ,+                       ,56                  ,7                  ,8              ,4                 ,4                     ,1              ,                   ,                  ,+                                   ,                     ,43                      ,1                   ,51                ,3                        ,7                          ,1           ,3                   ,1                      ,                ,3            ,+                              ,                     ,+                        ,                  ,                                   ,+                  ,+                  ,                           ,+                ,                              ,                        ,1               ,2                         ,+                     ,4                 ,                 ,+                         ,+                                      ,                               ,1             ,4                ,                       ,                               ,                   ,                          ,+                      ,                      ,                      ,                          ,                   ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,                        ,                        ,                        ,                         ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,T. praefraga      ,              ,145, 884,B, 67,X,CC,  24.00,    621.6800,Gladenkov,Diatoms                                      ,C              ,G                 ,+                                  ,20                                    ,2           ,9              ,+                       ,51                  ,5                  ,2              ,1                 ,2                     ,3              ,?1                 ,                  ,+                                   ,                     ,3                       ,+                   ,82                ,11                       ,2                          ,+           ,6                   ,3                      ,+               ,7            ,+                              ,                     ,+                        ,                  ,                                   ,+                  ,1                  ,                           ,+                ,                              ,+                       ,2               ,3                         ,+                     ,+                 ,                 ,                          ,                                       ,                               ,              ,2                ,+                      ,                               ,+                  ,1                         ,+                      ,+                     ,+                     ,                          ,                   ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,                        ,                        ,                        ,                         ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,T. praefraga      ,              ,145, 884,B, 67,X,CC,  37.00,    621.8100,Gladenkov,Diatoms                                      ,F              ,M                 ,+                                  ,40                                    ,7           ,7              ,1                       ,50                  ,11                 ,10             ,3                 ,6                     ,4              ,?1                 ,                  ,4                                   ,                     ,5                       ,+                   ,99                ,9                        ,2                          ,1           ,9                   ,2                      ,                ,6            ,                               ,                     ,                         ,                  ,                                   ,1                  ,2                  ,                           ,                 ,                              ,+                       ,1               ,4                         ,                      ,4                 ,                 ,                          ,                                       ,                               ,              ,6                ,                       ,                               ,1                  ,+                         ,1                      ,+                     ,                      ,                          ,                   ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,                        ,                        ,                        ,                         ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,R. gelida         ,              ,145, 884,B, 68,X, 1,  25.00,    623.0500,Gladenkov,Diatoms                                      ,F              ,P                 ,2                                  ,30                                    ,4           ,8              ,                        ,22                  ,11                 ,5              ,2                 ,4                     ,1              ,                   ,                  ,1                                   ,                     ,2                       ,                    ,56                ,11                       ,3                          ,2           ,8                   ,3                      ,                ,2            ,1                              ,                     ,                         ,                  ,                                   ,                   ,1                  ,                           ,                 ,                              ,                        ,                ,3                         ,                      ,2                 ,                 ,                          ,                                       ,                               ,              ,                 ,                       ,                               ,                   ,                          ,                       ,                      ,                      ,                          ,                   ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,                        ,                        ,                        ,                         ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,R. gelida         ,              ,145, 884,B, 68,X, 2,  25.00,    624.5500,Gladenkov,Diatoms                                      ,R-F            ,P/M               ,                                   ,20                                    ,6           ,8              ,1                       ,14                  ,4                  ,9              ,                  ,3                     ,               ,                   ,                  ,                                    ,                     ,5                       ,                    ,52                ,6                        ,2                          ,            ,3                   ,                       ,1               ,             ,4                              ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,                ,2                         ,1                     ,1                 ,                 ,                          ,                                       ,                               ,              ,1                ,                       ,                               ,                   ,1                         ,                       ,                      ,                      ,                          ,                   ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,                        ,                        ,                        ,                         ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,R. gelida         ,              ,145, 884,B, 68,X, 3,  25.00,    626.0500,Gladenkov,Diatoms                                      ,F              ,M                 ,                                   ,10                                    ,1           ,4              ,1                       ,25                  ,20                 ,3              ,                  ,1                     ,12             ,?1                 ,                  ,                                    ,                     ,2                       ,                    ,31                ,18                       ,5                          ,1           ,5                   ,1                      ,1               ,             ,                               ,                     ,                         ,                  ,                                   ,1                  ,1                  ,                           ,                 ,                              ,1                       ,10              ,+                         ,+                     ,11                ,                 ,                          ,                                       ,                               ,              ,                 ,                       ,                               ,1                  ,                          ,                       ,                      ,                      ,                          ,                   ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,                        ,                        ,                        ,                         ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,R. gelida         ,              ,145, 884,B, 68,X, 4,  25.00,    627.5500,Gladenkov,Diatoms                                      ,F              ,P/M               ,                                   ,21                                    ,4           ,5              ,2                       ,35                  ,5                  ,3              ,1                 ,1                     ,3              ,                   ,                  ,1                                   ,                     ,2                       ,                    ,75                ,22                       ,4                          ,            ,9                   ,1                      ,1               ,             ,1                              ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,2               ,2                         ,                      ,1                 ,                 ,                          ,                                       ,                               ,1             ,2                ,                       ,                               ,1                  ,1                         ,                       ,                      ,                      ,                          ,                   ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,                        ,                        ,                        ,                         ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,R. gelida         ,              ,145, 884,B, 68,X, 5,  25.00,    629.0500,Gladenkov,Diatoms                                      ,R              ,P/M               ,                                   ,6                                     ,4           ,4              ,                        ,8                   ,3                  ,1              ,                  ,1                     ,1              ,                   ,                  ,                                    ,                     ,3                       ,                    ,30                ,2                        ,1                          ,            ,3                   ,1                      ,                ,             ,                               ,                     ,                         ,                  ,                                   ,                   ,1                  ,                           ,                 ,                              ,                        ,                ,                          ,                      ,1                 ,                 ,                          ,                                       ,                               ,              ,1                ,                       ,                               ,                   ,                          ,                       ,                      ,                      ,                          ,                   ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,                        ,                        ,                        ,                         ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,R. gelida         ,              ,145, 884,B, 68,X, 6,  25.00,    630.5500,Gladenkov,Diatoms                                      ,F              ,M                 ,                                   ,15                                    ,3           ,3              ,3                       ,27                  ,6                  ,2              ,+                 ,2                     ,1              ,                   ,                  ,1                                   ,                     ,2                       ,                    ,21                ,16                       ,4                          ,            ,6                   ,                       ,                ,             ,2                              ,                     ,                         ,                  ,                                   ,                   ,1                  ,                           ,                 ,                              ,                        ,1               ,                          ,2                     ,3                 ,                 ,                          ,                                       ,                               ,2             ,1                ,1                      ,                               ,1                  ,                          ,                       ,                      ,                      ,                          ,                   ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,                        ,                        ,                        ,                         ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,R. gelida         ,              ,145, 884,B, 68,X, 7,  25.00,    632.0500,Gladenkov,Diatoms                                      ,F              ,M                 ,1                                  ,9                                     ,5           ,4              ,                        ,13                  ,5                  ,2              ,                  ,1                     ,3              ,                   ,                  ,+                                   ,                     ,1                       ,                    ,15                ,17                       ,3                          ,1           ,5                   ,+                      ,                ,             ,1                              ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,1               ,                          ,                      ,+                 ,                 ,                          ,                                       ,                               ,3             ,2                ,                       ,                               ,1                  ,                          ,                       ,                      ,                      ,                          ,                   ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,                        ,                        ,                        ,                         ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,R. gelida         ,              ,145, 884,B, 68,X,CC,  48.00,    632.8800,Gladenkov,Diatoms                                      ,C              ,M                 ,+                                  ,30                                    ,6           ,7              ,2                       ,39                  ,19                 ,4              ,                  ,2                     ,2              ,                   ,                  ,1                                   ,                     ,2                       ,1                   ,45                ,21                       ,+                          ,1           ,13                  ,3                      ,                ,             ,4                              ,                     ,                         ,                  ,                                   ,+                  ,                   ,                           ,                 ,                              ,                        ,1               ,+                         ,1                     ,2                 ,                 ,                          ,                                       ,                               ,11            ,6                ,                       ,                               ,                   ,                          ,                       ,                      ,                      ,                          ,                   ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,                        ,                        ,                        ,                         ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
