Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],?Acarinina spp.,?Morozovella spp.,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi,Globigerina euapertura,Globigerina falconensis,Globigerina gortanii,Globigerina ouachitaensis,Globigerina praebulloides,Globigerina pseudovenezuelana,Globigerina quinqueloba,Globigerina rubescens (pink),Globigerina rubescens (white),Globigerina tapuriensis,Globigerina tripartita,Globigerinatella insueta,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiaperturus,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina baroemoenensis,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina praedehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia birnageae,Globorotalia cibaoensis,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula,Globorotalia decoraperta,Globorotalia exilis,Globorotalia fimbriata,Globorotalia flexuosa,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miotumida,Globorotalia miozea,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta,Globorotalia peripheroronda,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia scitula,Globorotalia sp.,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp.,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp.,Orbulina sp.,Orbulina suturalis,Orbulina universa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Paragloborotalia sp.,Praeorbulina circularis,Praeorbulina glomerosa,Praeorbulina sicana,Praeorbulina sp.,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides,Subbotina eocaena s.l.,Subbotina linaperta s.l.,Subbotinal yeguaensis s.l.,Tenuitella gemma,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis,Turborotalia cocoaensis,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli,Turborotalita humilis,Comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
368-U1505C-37F-CC-PAL-FORAM,0,5,272.96,273.01,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,F,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,R,,,A,F,,,,R,P,,F,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,P,R,P,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,368,U1505,C,37,F,CC,PAL,3df0bbbf5d801d8adec24bdb1104991f
368-U1505C-38F-CC-PAL-FORAM,0,5,277.9,277.95,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,A,A,,,,R,P,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,P,R,R,P,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,368,U1505,C,38,F,CC,PAL,ec2495fe61cae7a795d6d2bacaa3dae1
368-U1505C-39F-CC-PAL-FORAM,0,5,279.35,279.4,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,P,,,,,,R,,,A,F,,,,R,P,,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,R,P,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,368,U1505,C,39,F,CC,PAL,0750998dfbb6527125ba54b39279896a
368-U1505C-40F-CC-PAL-FORAM,0,5,284.39,284.44,,,,,,,,,,,,,,G [P32],A,95,,,,,,,P,,,,F,,,,,,P,,,,,,,,,,,,,,,,P,,P,,,,R,,,A,F,,,,P,P,,F,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,368,U1505,C,40,F,CC,PAL,c4498263c7e36e0b412e918ea50c834d
368-U1505C-41F-CC-PAL(20-25)-FORAM,0,5,288.96,289.01,,,,,,,,,,,,,,G [P32],A,95,,,,,,,P,,,,F,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,R,,,A,F,,,,P,P,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,368,U1505,C,41,F,CC,PAL,a078c4db2b436fc1bbaac415037e9111
368-U1505C-42F-CC-PAL(28-33)-FORAM,0,5,293.78,293.83,,,,,,,,,,,,,,G [P32],A,95,,,,,,,P,,,,A,,,,,,,,,,,,,,,,,,,,,,P,,,,,,R,,,F,F,,,,,P,,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,368,U1505,C,42,F,CC,PAL,0db4425e6f171be9c4ca595d4f537f32
368-U1505C-43F-CC-PAL(21-26)-FORAM,0,5,298.17,298.22,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,A,,,,,,P,,,,,P,,,,,,,,,,,P,,,,,,R,,,F,A,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,43,F,CC,PAL,20b1fa2092f36d7ab47ff72177af9cd0
368-U1505C-44F-CC-PAL(26-31)-FORAM,0,5,303.16,303.21,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,A,,,,,,P,,,,,P,,,,,,,,,,,P,,,,,,R,,,A,A,,,,,P,,P,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,P,,,,,,,R,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,368,U1505,C,44,F,CC,PAL,ef4268e1a0a43192364467fdc4ffae1b
368-U1505C-45F-CC-PAL(22-27)-FORAM,0,5,307.87,307.92,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,A,,,,,,,,,,,R,,,,,,,,,,,F,,,,,,,,,F,F,,,,,P,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,368,U1505,C,45,F,CC,PAL,4a552216df752f42ef5f4b96ee02dc9d
368-U1505C-46F-CC-PAL(20-25)-FORAM,0,5,310.69,310.74,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,P,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,46,F,CC,PAL,2fcbc03c72eb6e83e143e0bd5952c300
368-U1505C-47F-CC-PAL(21-26)-FORAM,0,5,314.85,314.9,,,,,,,,,,,,,,G,A,90,,,,,,,,,,,P,,,,,,,,,,,R,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,47,F,CC,PAL,c714e980ebb3b319ac91ce15037f4a19
368-U1505C-48X-CC-PAL(36-41)-FORAM,0,5,326.88,326.93,,,,,,,,,,,,,,G [P32],A,90,,,,,,,F,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,48,X,CC,PAL,45bcda9b9d7d5879f07808e9067c92a2
368-U1505C-49X-CC-PAL(34-39)-FORAM,0,5,336.65,336.7,,,,,,,,,,,,,,M [P32],A,95,,,,,,,F,,,,R,,,,,,,A,,,,A,,,,,,,,,,,F,,,,,,,,,,,,,,,P,P,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,368,U1505,C,49,X,CC,PAL,092782dd2d609a754649a47e285bfca0
368-U1505C-50X-CC-PAL-FORAM,0,5,346.07,346.12,,,,,,,,,,,,,,M [P32],A,90,,,,,,,R,,,,,,,,,,,P,,,,F,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,50,X,CC,PAL,804eea6e3df16e3c2e90fd16e848fe7e
368-U1505C-51X-CC-PAL-FORAM,0,5,355.53,355.58,,,,,,,,,,,,,,M [P32],A,90,,,,,,,R,,,,,,,,,,,R,,,,R,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,51,X,CC,PAL,acb6de8c03424ccdbed87d1133385a18
368-U1505C-52X-CC-PAL-FORAM,0,5,364.93,364.98,,,,,,,,,,,,,,M [P32],A,90,,,,,,,R,,,,,,,,,,,F,,,,R,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,R,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,52,X,CC,PAL,947be180e4a9c84b0c995d7c1fe8b9d1
368-U1505C-53X-CC-PAL-FORAM,0,5,374.52,374.57,,,,,,,,,,,,,,M [P32],A,70,,,,,,,F,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,P,R,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,53,X,CC,PAL,2b28b2262315a839e4ff3975c78736b3
368-U1505C-54X-CC-PAL-FORAM,0,5,383.9,383.95,,,,,,,,,,,,,,M [P32],A,95,,,,,,,R,,,,,,,,,P,,R,,,,R,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,54,X,CC,PAL,5b37c03dc37a853b7a5a99f4997c6bd2
368-U1505C-55X-CC-PAL(44-49)-FORAM,0,5,394.06,394.11,,,,,,,,,,,,,,M [P32],A,90,,,,,,,R,,,,,,,,,P,,R,,,,F,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,55,X,CC,PAL,5fc296d6eaf1e957ee78da0c30b5779d
368-U1505C-56X-CC-PAL(37-42)-FORAM,0,5,403.79,403.84,,,,,,,,,,,,,,M,A,90,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,56,X,CC,PAL,e30f11c6d8dad0676f28219745175d6f
368-U1505C-57X-1-W 24/26-FORAM,0,2,403.74,403.76,,,,,,,,,,,,,,P [P32],B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,57,X,1,W,602600e4e7caa5adbda898af6eb3cb8b
368-U1505C-57X-CC-PAL(39-44)-FORAM,0,5,413.44,413.49,,,,,,,,,,,,,,P [P32],R,5,,,,,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,57,X,CC,PAL,7045add99848ed049ecdfce92c6e97e6
368-U1505C-58X-CC-PAL(37-42)-FORAM,0,5,419.53,419.58,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,58,X,CC,PAL,eb8d99ad0facd1960acee70195e200c2
368-U1505C-59X-CC-PAL(46-51)-FORAM,0,5,430.21,430.26,,,,,,,,,,,,,,M [P32],C,50,,,,,,,,,,,,,,,,R,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,368,U1505,C,59,X,CC,PAL,dd63dc24b0dc9bf0403706c0823e6743
368-U1505C-60X-CC-PAL-FORAM,0,5,442.26,442.31,,,,,,,,,,,,,,M,A,75,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,60,X,CC,PAL,78a9c9bf5f35cb5db8c8f75c2a624331
368-U1505C-61X-CC-PAL-FORAM,0,5,451.88,451.93,,,,,,,,,,,,,,M [P32],C,70,,,,,,,,,,,,,,,,R,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,368,U1505,C,61,X,CC,PAL,1d0f7329203753e6959fe52fcdb92657
368-U1505C-62X-CC-PAL-FORAM,0,5,461.44,461.49,,,,,,,,,,,,,,M [P32],C,50,,,,,,,,,,,,,,,,F,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,368,U1505,C,62,X,CC,PAL,22a126f6740a0e0478b084089f2db933
368-U1505C-63X-CC-PAL-FORAM,0,5,471.04,471.09,,,,,,,,,,,,,,P [P32],R,10,,,,,,,,,,,,,,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,63,X,CC,PAL,66a116a30a2a6677a008bcae49ff1dbd
368-U1505C-64X-CC-PAL(36-41)-FORAM,0,5,480.49,480.54,,,,,,,,,,,,,,P [P32],R,10,,,,,,,,,,,,,,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,368,U1505,C,64,X,CC,PAL,0055347dcf018e66926115bc80b52a46
