Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Emiliania huxleyi,Gephyrocapsa omega,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (5-10 microns),Reticulofenestra pseudoumbilicus,Reticulofenestra asanoi,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster coalitus,Catinaster calyculus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Clausicoccus subdistichus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Ceratolithus cristatus,Ceratolithus acutus,Florisphaera profunda,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera burkei,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera millepuncta,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus belemnos,Sphenolithus disbelemnos,Sphenolithus pseudoheteromorphus,Sphenolithus predistentus,Sphenolithus distentus,Sphenolithus ciperoensis,Sphenolithus spp.,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
367-U1499B-30R-6-W 15/15-NANNO,0,0,932.88,932.88,,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,F,,,,,,,,Additional sample for quick check of Sphenolithus key species,,,,367,U1499,B,30,R,6,W,26eda8c60303d6b46ed658659f835b2a
367-U1499B-30R-6-W 25/25-NANNO,0,0,932.98,932.98,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,,,,,,,Additional sample for quick check of Sphenolithus key species,,,,367,U1499,B,30,R,6,W,dbab1ff4ee8ad3af997ea580fce79209
367-U1499B-30R-6-W 35/35-NANNO,0,0,933.08,933.08,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,,,,,,,Additional sample for quick check of Sphenolithus key species,,,,367,U1499,B,30,R,6,W,8c84f2e530b1e92961a454c18d025583
367-U1499B-30R-6-W 45/45-NANNO,0,0,933.18,933.18,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,,,,,,Additional sample for quick check of Sphenolithus key species,,,,367,U1499,B,30,R,6,W,78f8dc4dd40e910fd37dfa587968a9e2
367-U1499B-30R-6-W 5/5-NANNO,0,0,932.78,932.78,,G,C,,,,,,,,,,,A,A,,,,,,R,F,,R,,A,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,R,,,,,,,,Additional sample for quick check of Sphenolithus key species,,,,367,U1499,B,30,R,6,W,229c214c39af5927beb6997a4688b1bb
367-U1499B-30R-6-W 54/54-NANNO,0,0,933.27,933.27,,G,A,,,,,,,,,,,,C,,,,,,,A,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,F,,,C,,,,,Cyclicargolithus abisectus,,,,367,U1499,B,30,R,6,W,308a36c1025aa26ab5b9d15862efcb7a
367-U1499B-30R-CC-PAL-NANNO,0,1,933.66,933.67,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,30,R,CC,PAL,5a09df8ed8299d7efded3aa636527367
367-U1499B-34R-2-PAL(52-60)-NANNO,0,5,967.34,967.39,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,34,R,2,PAL,cf3d7e4602e640af41a056435c165bc4
367-U1499B-34R-2-PAL(7-10)-NANNO,0,3,966.89,966.92,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,34,R,2,PAL,75cc0aaa704a438834bc7aeea4692a5d
367-U1499B-36R-1-PAL-FORAM-NANNO,0,5,985.32,985.37,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,36,R,1,PAL,792b21e0a4946551bf99ed371b2e8857
367-U1499B-36R-1-PAL-NANNO,0,5,985.11,985.16,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,36,R,1,PAL,01b5304015763fa9f0aa5ee82a362cc1
367-U1499B-37R-1-W 0/5-NANNO,0,5,994.5,994.55,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,37,R,1,W,df5309ef2d7006f1f727dcefc699a44d
367-U1499B-38R-1-PAL-NANNO,0,5,1005.69,1005.74,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,38,R,1,PAL,7bd94bf9561db87a94bb335150ad0a96
