Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Prunopyle titan	Prunopyle hayesi	Lychnocanium grande	Eucyrtidium cienkowskii	Cycladophora spongothorax	Amphistylus angelinus	Acrosphaera murrayana	Acrosphaera australis	Stylatractus universus	Cycladophora humerus	Actinomma golownini	Stichopilium bicorne	Desmospyris spongiosa	Desmospyris rhodospyroides	Dendrospyris megalocephalis	Antarctissa strelkovi	Antarctissa denticulata	Antarctissa deflandrei	Eucyrtidium pseudoinflatum	Siphonosphaera vesuvius	Eucyrtidium calvertense	Cycladophora pliocenica	Acrosphaera labrata	Helotholus haysi	Lithelius nautiloides	Helotholus vema	Spongotrochus glacialis	Cycladophora davisiana	Antarctissa cylindrica	Comment
  IR	                 	                 	                  	              	188	1165	B	 32	X	CC	  24.00	    265.7000	paleo    	Radiolarians                                 	B              	                  	R              	                	                   	                       	                         	                     	                     	                     	                      	                    	                   	R                   	                     	                          	                           	                     	                       	                      	                          	                       	                       	                       	                   	                	                     	               	                       	                      	                      	       

  IR	                 	                 	                  	              	188	1165	B	 34	X	 6	  81.00	    289.5100	paleo    	Radiolarians                                 	B              	                  	               	                	+                  	+                      	+                        	                     	                     	                     	+                     	+                   	+                  	                    	                     	                          	                           	                     	                       	                      	                          	                       	                       	                       	                   	                	                     	               	                       	                      	                      	       

  IR	                 	                 	                  	              	188	1165	B	 34	X	CC	  25.00	    290.8900	paleo    	Radiolarians                                 	C              	G                 	R              	R               	1                  	1                      	1                        	+                    	                     	                     	1                     	R1                  	1                  	                    	                     	                          	                           	                     	                       	                      	                          	                       	                       	                       	                   	                	                     	               	                       	                      	                      	Cycladopora spongothorax Zone

  IR	                 	                 	                  	              	188	1165	B	 38	X	CC	  24.00	    327.7800	paleo    	Radiolarians                                 	C              	G                 	               	                	                   	                       	                         	                     	R                    	                     	                      	                    	                   	                    	                     	                          	                           	                     	                       	                      	                          	                       	                       	                       	                   	                	                     	               	                       	                      	                      	C. spongothorax Zone

  IR	                 	                 	                  	              	188	1165	B	 39	X	CC	  21.00	    336.8900	paleo    	Radiolarians                                 	C              	M                 	R              	R               	R                  	R                      	R                        	R                    	R                    	R                    	                      	                    	                   	                    	                     	                          	                           	                     	                       	                      	                          	                       	                       	                       	                   	                	                     	               	                       	                      	                      	C. spongothorax Zone

