Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina utilisindex	Subbotina pseudovenezuelana	Subbotina linaperta s.l.	Subbotina gortanii	Subbotina angiporoides	Praetenuitella sp. 3	Praetenuitella sp. 2	Praetenuitella sp. 1	Paragloborotalia pseudocontinuosa	Paragloborotalia nana	Globorotaloides suteri	Globigerinatheka index	Globigerina leroyi	Chiloguembelina cubensis	Catapsydrax unicavus	Subbotina yeguaensis	Subbotina eocaena	Praetenuitella insolita	Globigerina cf. G. praebulloides	Catapsydrax echinatus	Pseudohastigerina micra	Globigerina tapuriensis	Tenuitella gemma	Tenuitella munda	Globorotaloides aff. testarugosa	Catapsydrax dissimilis	Globigerina praebulloides	Globigerina euapertura	Tenuitella angustiumbilicata	Globoturborotalita labiacrassata	Globigerinita juvenilis	Tenuitella clemenciae	Globoturborotalita connecta	Globoturborotalita brazieri	Turborotalia quinqueloba	Globoturborotalita woodi	Globoturborotalita cf. G. labiacrassata	Sphaeroidinellopsis disjuncta	Paragloborotalita incognita	Globorotalia zealandica	Globorotalia praescitula	Globigerina bulloides	Globorotalia scitula	Neogloboquadrina pachyderma	Globigerina falconensis	Globorotalia puncticulata	Comment
  SR	Early Oligocene  	                 	AP13              	              	119	 744	A	 18	H	 3	  95.00	    151.5500	Huber    	Planktonic Foraminifers                      	A              	G                 	C                    	                           	                        	                  	C                     	                    	                    	                    	                                 	                     	F                     	                      	                  	A                       	R                   	                    	                 	                       	                                	R                    	                       	                       	F               	                	R                               	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Eocene      	                 	AP13              	              	119	 744	A	 18	H	 4	  95.00	    153.0500	Huber    	Planktonic Foraminifers                      	A              	G                 	A                    	                           	                        	                  	F                     	                    	                    	                    	                                 	R                    	F                     	                      	R                 	A                       	F                   	                    	                 	                       	                                	                     	                       	                       	R               	                	R                               	R                     	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Eocene      	                 	AP13              	              	119	 744	A	 18	H	 5	  95.00	    154.5500	Huber    	Planktonic Foraminifers                      	A              	G                 	C                    	                           	                        	                  	F                     	                    	                    	                    	                                 	                     	R                     	                      	R                 	A                       	C                   	                    	                 	                       	                                	                     	                       	                       	R               	F               	F                               	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Eocene      	                 	AP13              	              	119	 744	A	 18	H	 6	  95.00	    156.0500	Huber    	Planktonic Foraminifers                      	A              	G                 	C                    	F                          	                        	                  	C                     	                    	                    	                    	                                 	                     	R                     	                      	                  	C                       	C                   	R                   	                 	                       	                                	R                    	                       	R                      	C               	F               	F                               	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Eocene      	                 	AP13              	              	119	 744	A	 18	H	CC	  16.00	    157.2600	Huber    	Planktonic Foraminifers                      	A              	G                 	C                    	R                          	R                       	                  	C                     	                    	                    	                    	                                 	                     	C                     	                      	R                 	A                       	C                   	R                   	                 	                       	                                	R                    	                       	R                      	R               	R               	R                               	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Eocene      	                 	AP12              	              	119	 744	A	 19	H	 1	  90.00	    158.0000	Huber    	Planktonic Foraminifers                      	A              	G                 	C                    	                           	                        	                  	C                     	                    	R                   	                    	                                 	                     	F                     	R                     	R                 	A                       	C                   	                    	                 	                       	                                	                     	                       	                       	F               	R               	R                               	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Eocene      	                 	AP12              	              	119	 744	A	 19	H	 2	  90.00	    159.5000	Huber    	Planktonic Foraminifers                      	A              	G                 	F                    	                           	                        	                  	F                     	                    	                    	                    	                                 	                     	F                     	R                     	R                 	A                       	R                   	                    	R                	                       	                                	                     	                       	                       	C               	R               	                                	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Eocene      	                 	AP12              	              	119	 744	A	 19	H	 3	  90.00	    161.0000	Huber    	Planktonic Foraminifers                      	A              	G                 	C                    	R                          	                        	                  	F                     	                    	                    	                    	                                 	                     	C                     	R                     	                  	A                       	C                   	                    	                 	F                      	                                	                     	                       	R                      	R               	F               	                                	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Eocene      	                 	AP12              	              	119	 744	A	 19	H	 4	  90.00	    162.5000	Huber    	Planktonic Foraminifers                      	A              	G                 	C                    	                           	                        	                  	F                     	                    	                    	                    	                                 	                     	F                     	F                     	R                 	A                       	C                   	                    	                 	F                      	                                	R                    	F                      	                       	                	                	                                	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Eocene      	                 	AP12              	              	119	 744	A	 19	H	 5	  90.00	    164.0000	Huber    	Planktonic Foraminifers                      	A              	G                 	                     	                           	                        	                  	F                     	                    	                    	                    	                                 	                     	                      	C                     	F                 	C                       	C                   	                    	                 	F                      	                                	                     	                       	                       	C               	                	                                	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Eocene      	                 	AP12              	              	119	 744	A	 19	H	 6	  90.00	    165.5000	Huber    	Planktonic Foraminifers                      	A              	G                 	C                    	                           	F                       	                  	                      	                    	                    	                    	                                 	                     	F                     	C                     	R                 	C                       	C                   	                    	                 	R                      	                                	                     	R                      	                       	                	                	                                	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Eocene      	                 	AP12              	              	119	 744	A	 19	H	CC	  44.00	    166.0400	Huber    	Planktonic Foraminifers                      	C              	M                 	C                    	                           	                        	                  	C                     	                    	                    	                    	                                 	R                    	F                     	C                     	                  	A                       	                    	R                   	                 	R                      	                                	                     	                       	                       	                	                	                                	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Eocene      	                 	AP12              	              	119	 744	A	 20	H	 1	  95.00	    167.5500	Huber    	Planktonic Foraminifers                      	A              	G                 	C                    	R                          	R                       	                  	F                     	                    	R                   	                    	                                 	                     	C                     	C                     	R                 	C                       	R                   	                    	R                	R                      	                                	                     	                       	                       	                	                	                                	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Eocene      	                 	AP12              	              	119	 744	A	 20	H	 2	  95.00	    169.0500	Huber    	Planktonic Foraminifers                      	A              	G                 	F                    	                           	R                       	R                 	F                     	                    	                    	F                   	                                 	                     	C                     	C                     	                  	C                       	R                   	                    	R                	C                      	                                	                     	                       	                       	                	                	                                	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Eocene      	                 	AP12              	              	119	 744	A	 20	H	 3	  95.00	    170.5500	Huber    	Planktonic Foraminifers                      	A              	G                 	                     	R                          	R                       	                  	R                     	                    	                    	F                   	                                 	                     	C                     	A                     	R                 	F                       	F                   	                    	F                	C                      	                                	R                    	                       	R                      	                	                	                                	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Eocene      	                 	AP12              	              	119	 744	A	 20	H	 4	  95.00	    172.0500	Huber    	Planktonic Foraminifers                      	A              	G                 	C                    	                           	R                       	R                 	F                     	                    	                    	                    	                                 	                     	C                     	A                     	R                 	A                       	R                   	                    	                 	C                      	                                	                     	R                      	                       	                	                	                                	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Eocene      	                 	AP12              	              	119	 744	A	 20	H	 5	  95.00	    173.5500	Huber    	Planktonic Foraminifers                      	A              	G                 	C                    	                           	                        	                  	C                     	                    	R                   	F                   	                                 	                     	F                     	A                     	                  	A                       	F                   	                    	                 	F                      	                                	R                    	                       	                       	                	                	                                	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Eocene      	                 	AP12              	              	119	 744	A	 20	H	 6	  95.00	    175.0500	Huber    	Planktonic Foraminifers                      	A              	G                 	C                    	                           	F                       	R                 	                      	R                   	R                   	R                   	F                                	C                    	C                     	A                     	F                 	R                       	F                   	R                   	R                	R                      	R                               	                     	                       	                       	                	                	                                	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Eocene      	                 	AP12              	              	119	 744	A	 20	H	CC	  14.00	    176.4600	Huber    	Planktonic Foraminifers                      	A              	G                 	F                    	R                          	C                       	R                 	F                     	R                   	R                   	F                   	C                                	A                    	F                     	C                     	R                 	C                       	R                   	                    	                 	                       	                                	                     	                       	                       	                	                	                                	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

