Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Sphenolithus distentus,Sphenolithus ciperoensis,Reticulofenestra lockerii,Helicosphaera euphratis,Discoaster deflandrei,Dictyococcites bisectus,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Chiasmolithus altus,Braarudosphaera bigelowii,Triquetrorhabdulus carinatus,Triquetrorhabdulus auritus,Helicosphaera recta,Dictyococcites scrippsae,Coccolithus miopelagicus,Sphenolithus moriformis,Micrantholithus entaster,Helicosphaera perch-nielseniae,Pontosphaera multipora,Micrantholithus altus,Coccolithus pelagicus,Triquetrorhabdulus milowii,Syracosphaera pulchra,Sphenolithus dissimilis,Micrantholithus australiensis,Coronocyclus nitescens,Discoaster druggii,Sphenolithus heteromorphus,Pontosphaera multipunctata,Discoaster variabilis,Calcidiscus macintyrei,Reticulofenestra pseudoumbilicus,Pontosphaera pachymorpha,Micrantholithus pinguis,Helicosphaera obliqua,Helicosphaera carteri,Geminilithella rotula,Calcidiscus leptoporus,Calcidiscus premacintyrei,Triquetrorhabdulus rugosus,Reticulofenestra minuta,Reticulofenestra haqii,Scyphosphaera spp.,Pontosphaera japonica,Helicosphaera cf. rhomba,Dictyococcites antarcticus,Sphenolithus neoabies,Sphenolithus abies,Scapholithus fossilis,Reticulofenestra minutula,Reticulofenestra gelida,Discoaster brouweri,Minylitha convallis,Discoaster surculus,Discoaster prepentaradiatus,Triquetrorhabdulus challengeri,Helicosphaera intermedia,Discoaster pentaradiatus,Dictyococcites productus,Amaurolithus primus,Umbilicosphaera sibogae,Rhabdosphaera clavigera,Pseudoemiliania lacunosa,Helicosphaera kamptneri,Discoaster triradiatus,Scapholithus rhombiformis,Helicosphaera sellii,Hayaster perplexus,Reticulofenestra asanoi,Helicosphaera wallichii,Rhabdosphaera stylifera,Gephyrocapsa aperta,Oolithotus fragilis,Gephyrocapsa oceanica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Miocene    ,NN1               ,NN2           ,182,1126,B, 24,X,CC,  23.00,    188.0000,Ladner   ,Nannofossils                                 ,C              ,M                 ,                       ,                      ,                        ,                         ,                       ,F                    ,                       ,C                          ,                          ,                   ,F                        ,                            ,                          ,                   ,                        ,C                       ,F                      ,                        ,                              ,                      ,                     ,                     ,                          ,F                    ,                       ,R                            ,R                     ,                  ,                          ,                          ,                     ,                      ,                                ,                        ,                       ,                     ,                     ,                     ,                      ,                         ,                          ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,                     ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Miocene    ,                  ,NN2           ,182,1126,B, 25,X,CC,  15.00,    197.2800,Ladner   ,Nannofossils                                 ,A              ,M                 ,                       ,                      ,                        ,                         ,                       ,F                    ,                       ,C                          ,F                         ,                   ,C                        ,                            ,                          ,                   ,                        ,F                       ,C                      ,                        ,                              ,                      ,                     ,C                    ,                          ,                     ,R                      ,F                            ,                      ,R                 ,                          ,                          ,                     ,                      ,                                ,                        ,                       ,                     ,                     ,                     ,                      ,                         ,                          ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,                     ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Miocene    ,NN1               ,NN2           ,182,1126,B, 26,X,CC,  15.00,    205.8500,Ladner   ,Nannofossils                                 ,A              ,M                 ,                       ,                      ,                        ,                         ,                       ,F                    ,                       ,C                          ,F                         ,                   ,C                        ,                            ,                          ,                   ,                        ,                        ,C                      ,                        ,                              ,                      ,                     ,C                    ,R                         ,R                    ,F                      ,F                            ,F                     ,                  ,                          ,                          ,                     ,                      ,                                ,                        ,                       ,                     ,                     ,                     ,                      ,                         ,                          ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,                     ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Oligocene   ,                  ,NP25          ,182,1126,B, 27,X,CC,  28.00,    222.8800,Ladner   ,Nannofossils                                 ,A              ,M                 ,C                      ,                      ,                        ,                         ,                       ,                     ,F                      ,C                          ,                          ,                   ,C                        ,                            ,                          ,                   ,                        ,                        ,F                      ,C                       ,                              ,                      ,                     ,C                    ,                          ,                     ,                       ,                             ,                      ,                  ,                          ,                          ,                     ,                      ,                                ,                        ,                       ,                     ,                     ,                     ,                      ,                         ,                          ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,                     ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Oligocene   ,                  ,NP25          ,182,1126,B, 28,X,CC,  22.00,    228.9100,Ladner   ,Nannofossils                                 ,A              ,M                 ,                       ,                      ,                        ,                         ,C                      ,C                    ,C                      ,C                          ,                          ,                   ,F                        ,                            ,                          ,                   ,                        ,                        ,C                      ,                        ,                              ,F                     ,R                    ,C                    ,                          ,                     ,                       ,                             ,                      ,                  ,                          ,                          ,                     ,                      ,                                ,                        ,                       ,                     ,                     ,                     ,                      ,                         ,                          ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,                     ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Oligocene   ,                  ,NP25          ,182,1126,B, 29,X,CC,  16.00,    237.3100,Ladner   ,Nannofossils                                 ,A              ,M                 ,C                      ,                      ,F                       ,                         ,F                      ,C                    ,C                      ,A                          ,                          ,R                  ,F                        ,                            ,                          ,                   ,                        ,                        ,C                      ,F                       ,F                             ,                      ,                     ,                     ,                          ,                     ,                       ,                             ,                      ,                  ,                          ,                          ,                     ,                      ,                                ,                        ,                       ,                     ,                     ,                     ,                      ,                         ,                          ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,                     ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Oligocene   ,NP25              ,NP25          ,182,1126,B, 30,X,CC,   0.00,    244.1000,Shafik   ,Nannofossils                                 ,C              ,M                 ,                       ,                      ,F                       ,                         ,F                      ,F                    ,A                      ,A                          ,C                         ,C                  ,F                        ,C                           ,F                         ,C                  ,F                       ,C                       ,                       ,                        ,                              ,                      ,                     ,                     ,                          ,                     ,                       ,                             ,                      ,                  ,                          ,                          ,                     ,                      ,                                ,                        ,                       ,                     ,                     ,                     ,                      ,                         ,                          ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,                     ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1126,B, 31,X,CC,   0.00,    248.7000,Shafik   ,Nannofossils                                 ,C              ,M                 ,                       ,                      ,                        ,                         ,R                      ,F                    ,A                      ,C                          ,C                         ,C                  ,F                        ,                            ,                          ,                   ,                        ,                        ,                       ,                        ,                              ,                      ,                     ,                     ,                          ,                     ,                       ,                             ,                      ,                  ,                          ,                          ,                     ,                      ,                                ,                        ,                       ,                     ,                     ,                     ,                      ,                         ,                          ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,                     ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Oligocene   ,NP24              ,NP24          ,182,1126,B, 32,X,CC,  26.00,    254.8200,Shafik   ,Nannofossils                                 ,C              ,M                 ,A                      ,R                     ,R                       ,F                        ,R                      ,F                    ,A                      ,C                          ,C                         ,C                  ,C                        ,                            ,                          ,                   ,                        ,                        ,                       ,                        ,                              ,                      ,                     ,                     ,                          ,                     ,                       ,                             ,                      ,                  ,                          ,                          ,                     ,                      ,                                ,                        ,                       ,                     ,                     ,                     ,                      ,                         ,                          ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,                     ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
