Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia peripheroronda,Globorotalia obesa,Globorotalia siakensis,Globorotalia minutissima,Globigerinoides immaturus,Globigerinita uvula,Cassigerinella chipolensis,Globorotaloides hexagona,Neogloboquadrina continuosa,Globorotalia praescitula,Globorotalia challengeri,Globigerinoides sacculifer,Globigerinoides quadrilobatus,Globigerina foliata,Globorotalia scitula scitula,Globorotalia birnageae,Globoquadrina dehiscens dehiscens,Globoquadrina baroemoenensis,Globoquadrina altispira globosa,Globigerinoides parawoodi,Globigerinita glutinata,Globigerina woodi,Globigerina praebulloides,Globigerina falconensis,Globigerina eamesi,Globoquadrina venezuelana,Orbulina universa,Neogloboquadrina incompta,Neogloboquadrina humerosa,Neogloboquadrina dutertrei,Globorotalia bermudezi,Globigerinella aequilateralis,Globigerina bulloides,Neogloboquadrina pachyderma,Globorotalia inflata,Globigerina quinqueloba,Globorotalia pumilio,Hastigerinopsis riedeli,Neogloboquadrina acostaensis,Globorotalia tumida,Beella praedigitata,Globorotalia hirsuta,Globigerina bulbosa,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Neogloboquadrina blowi,Globorotalia cultrata menardii,Globoquadrina conglomerata,Globigerinita iota,Globigerina calida calida,Orbulina suturalis,Globorotalia truncatulinoides,Globigerinoides trilobus,Globigerina umbilicata,Globigerinoides ruber,Globorotalia praepumilio,Beella digitata,Globigerina decoraperta,Turborotalita humilis,Globigerina megastoma,Globorotalia cultrata cultrata,Globigerinoides cyclostomus,Globigerina rubescens,Neogloboquadrina eggeri,Globorotalia theyeri,Globorotalia crassula,Globorotalia crassaformis crassaformis,Globigerina calida praecalida,Globigerinita parkerae,Comment
  SR,                 ,                 ,                  ,              ,112, 683,A, 29,X,CC,  14.00,    260.1400,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                           ,                  ,                      ,                        ,                         ,                   ,                          ,                        ,                           ,                        ,                        ,                          ,                             ,                   ,                            ,                      ,                                 ,                            ,                               ,                         ,T                      ,                 ,                         ,                       ,                  ,                         ,                 ,                         ,                         ,                          ,                      ,                             ,                     ,                           ,                    ,                       ,                    ,                       ,                            ,                   ,                   ,                    ,                   ,                         ,                            ,                      ,                              ,                          ,                  ,                         ,                  ,                             ,                        ,                      ,                     ,                        ,               ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A, 30,X, 1, 134.00,    269.5400,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                  ,R                     ,                        ,T                        ,                   ,                          ,                        ,                           ,T                       ,                        ,                          ,                             ,                   ,                            ,                      ,                                 ,                            ,                               ,                         ,R                      ,                 ,R                        ,R                      ,                  ,                         ,                 ,                         ,                         ,                          ,                      ,                             ,                     ,                           ,                    ,                       ,                    ,                       ,                            ,                   ,                   ,                    ,                   ,                         ,                            ,                      ,                              ,                          ,                  ,                         ,                  ,                             ,                        ,                      ,                     ,                        ,               ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A, 30,X,CC,  23.00,    270.7200,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                  ,F                     ,                        ,                         ,T                  ,                          ,                        ,T                          ,                        ,                        ,F                         ,T                            ,F                  ,T                           ,T                     ,F                                ,T                           ,F                              ,F                        ,C                      ,F                ,A                        ,F                      ,T                 ,                         ,                 ,                         ,                         ,                          ,                      ,                             ,                     ,                           ,                    ,                       ,                    ,                       ,                            ,                   ,                   ,                    ,                   ,                         ,                            ,                      ,                              ,                          ,                  ,                         ,                  ,                             ,                        ,                      ,                     ,                        ,               ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A, 33,X,CC,  19.00,    305.5500,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,R                 ,T                     ,                        ,T                        ,                   ,                          ,R                       ,T                          ,T                       ,T                       ,T                         ,R                            ,T                  ,                            ,                      ,                                 ,                            ,                               ,                         ,                       ,                 ,                         ,                       ,                  ,                         ,                 ,                         ,                         ,                          ,                      ,                             ,                     ,                           ,                    ,                       ,                    ,                       ,                            ,                   ,                   ,                    ,                   ,                         ,                            ,                      ,                              ,                          ,                  ,                         ,                  ,                             ,                        ,                      ,                     ,                        ,               ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A, 40,X, 4,  63.00,    368.3300,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                           ,                  ,                      ,                        ,                         ,                   ,                          ,T                       ,                           ,                        ,                        ,                          ,                             ,                   ,                            ,                      ,                                 ,                            ,                               ,                         ,                       ,                 ,                         ,                       ,                  ,                         ,                 ,                         ,                         ,                          ,                      ,                             ,                     ,                           ,                    ,                       ,                    ,                       ,                            ,                   ,                   ,                    ,                   ,                         ,                            ,                      ,                              ,                          ,                  ,                         ,                  ,                             ,                        ,                      ,                     ,                        ,               ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A, 41,X, 4,  61.00,    377.8100,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                           ,T                 ,T                     ,T                       ,T                        ,T                  ,T                         ,                        ,                           ,                        ,                        ,                          ,                             ,                   ,                            ,                      ,                                 ,                            ,                               ,                         ,                       ,                 ,                         ,                       ,                  ,                         ,                 ,                         ,                         ,                          ,                      ,                             ,                     ,                           ,                    ,                       ,                    ,                       ,                            ,                   ,                   ,                    ,                   ,                         ,                            ,                      ,                              ,                          ,                  ,                         ,                  ,                             ,                        ,                      ,                     ,                        ,               ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A, 41,X,CC,  13.00,    382.1200,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,T                          ,T                 ,                      ,                        ,                         ,                   ,                          ,                        ,                           ,                        ,                        ,                          ,                             ,                   ,                            ,                      ,                                 ,                            ,                               ,                         ,                       ,                 ,                         ,                       ,                  ,                         ,                 ,                         ,                         ,                          ,                      ,                             ,                     ,                           ,                    ,                       ,                    ,                       ,                            ,                   ,                   ,                    ,                   ,                         ,                            ,                      ,                              ,                          ,                  ,                         ,                  ,                             ,                        ,                      ,                     ,                        ,               ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
